Be yourself, &quot;she exclaimed, with
956
632,1445,0
631,1452,0
629,1452,0
628,1465,0
630,1491,0
638,1536,0
649,1589,0
658,1650,0
665,1715,0
671,1778,0
675,1836,0
676,1882,0
675,1911,1
653,1909,0
638,1877,0
619,1835,0
596,1774,0
572,1716,0
546,1652,0
523,1587,0
504,1537,0
492,1493,0
485,1455,0
485,1433,0
494,1414,0
508,1394,0
533,1388,0
565,1385,0
602,1378,0
643,1385,0
682,1386,0
717,1393,0
751,1418,0
772,1440,0
784,1472,0
786,1505,0
781,1545,0
767,1579,0
748,1611,0
723,1638,0
699,1662,0
676,1680,0
657,1692,0
643,1692,0
638,1690,0
639,1691,0
650,1681,0
670,1678,0
695,1681,0
723,1691,0
750,1710,0
774,1732,0
797,1768,0
811,1800,0
819,1829,0
820,1853,0
815,1872,0
805,1896,0
792,1913,0
776,1927,0
757,1940,0
738,1940,0
723,1937,0
716,1936,0
713,1927,0
719,1920,0
738,1915,0
764,1908,0
796,1894,0
834,1883,0
870,1864,0
904,1840,0
936,1819,0
961,1792,0
978,1761,0
988,1734,0
988,1706,0
983,1690,0
973,1681,0
959,1684,0
942,1698,0
928,1725,0
915,1752,0
907,1780,0
912,1816,0
921,1845,0
941,1875,0
964,1897,0
991,1911,0
1013,1908,0
1030,1900,0
1044,1892,0
1055,1881,1
1204,1664,0
1201,1660,0
1204,1664,0
1203,1664,0
1206,1676,0
1206,1696,0
1208,1724,0
1208,1756,0
1211,1792,0
1211,1820,0
1212,1840,0
1211,1843,0
1216,1848,0
1222,1838,0
1235,1830,0
1249,1812,0
1263,1786,0
1278,1756,0
1295,1730,0
1305,1696,0
1317,1679,0
1321,1666,0
1325,1669,0
1328,1673,0
1330,1692,0
1331,1725,0
1334,1769,0
1334,1821,0
1334,1882,0
1331,1943,0
1326,2000,0
1319,2050,0
1311,2087,0
1303,2108,0
1298,2113,0
1297,2113,0
1295,2101,1
1514,1713,0
1510,1710,0
1510,1706,0
1512,1705,0
1516,1700,0
1528,1701,0
1541,1701,0
1562,1708,0
1581,1714,0
1597,1721,0
1607,1730,0
1614,1749,0
1614,1774,0
1604,1802,0
1588,1829,0
1570,1851,0
1547,1861,0
1529,1862,0
1510,1847,0
1503,1824,0
1501,1787,0
1508,1747,0
1522,1707,0
1539,1668,0
1567,1642,0
1592,1621,0
1622,1615,0
1648,1618,0
1671,1630,0
1684,1647,0
1693,1673,0
1695,1702,0
1691,1734,0
1689,1769,0
1686,1800,0
1684,1818,0
1686,1829,0
1686,1829,0
1693,1827,0
1705,1819,0
1720,1800,0
1735,1776,0
1749,1749,0
1770,1727,0
1786,1707,0
1800,1696,0
1810,1691,0
1823,1698,0
1831,1713,0
1841,1734,0
1848,1757,0
1857,1784,0
1870,1813,0
1880,1835,0
1881,1857,0
1889,1857,0
1906,1849,0
1914,1832,0
1923,1809,0
1935,1780,0
1930,1761,0
1939,1738,0
1936,1721,0
1930,1715,0
1923,1710,0
1928,1702,0
1920,1702,0
1916,1704,0
1916,1704,0
1914,1701,0
1915,1696,0
1926,1680,0
1938,1665,0
1950,1643,0
1964,1626,0
1987,1616,0
2008,1608,0
2033,1606,0
2056,1605,0
2077,1606,0
2095,1607,0
2104,1605,0
2114,1608,0
2116,1607,0
2112,1604,0
2108,1602,0
2099,1599,0
2089,1602,0
2072,1603,0
2055,1610,0
2045,1626,0
2034,1643,0
2031,1664,0
2034,1681,0
2046,1698,0
2065,1713,0
2092,1730,0
2124,1752,0
2148,1775,0
2166,1801,0
2178,1826,0
2183,1848,0
2174,1858,0
2162,1865,0
2148,1870,0
2130,1867,0
2111,1860,0
2099,1853,0
2088,1841,0
2087,1831,0
2093,1819,0
2108,1804,0
2130,1791,0
2156,1778,0
2183,1765,0
2210,1751,0
2239,1735,0
2263,1716,0
2285,1695,0
2298,1674,0
2301,1661,0
2301,1661,0
2301,1662,0
2287,1663,0
2275,1678,0
2256,1693,0
2248,1719,0
2243,1746,0
2243,1772,0
2250,1796,0
2267,1819,0
2285,1830,0
2308,1833,0
2333,1825,0
2363,1806,0
2390,1775,0
2415,1732,0
2439,1684,0
2461,1633,0
2474,1576,0
2478,1520,0
2476,1471,0
2467,1428,0
2457,1397,0
2442,1377,0
2431,1372,0
2419,1378,0
2406,1398,0
2396,1438,0
2393,1493,0
2394,1558,0
2394,1629,0
2395,1698,0
2400,1761,0
2412,1813,0
2425,1845,0
2435,1857,0
2444,1855,0
2461,1850,0
2475,1834,0
2483,1812,0
2495,1792,0
2506,1776,0
2514,1763,0
2519,1754,0
2526,1747,0
2538,1742,0
2542,1722,0
2548,1693,0
2550,1659,0
2558,1622,0
2564,1581,0
2572,1538,0
2584,1495,0
2597,1455,0
2606,1419,0
2615,1395,0
2622,1380,0
