come near, indeed, to despising him.
1132
480,4548,0
480,4548,0
480,4552,0
480,4552,0
480,4548,0
474,4550,0
469,4550,0
461,4549,0
453,4548,0
441,4550,0
428,4553,0
414,4558,0
397,4572,0
388,4583,0
378,4589,0
369,4603,0
363,4615,0
359,4635,0
354,4654,0
364,4676,0
369,4689,0
378,4707,0
391,4721,0
402,4735,0
413,4740,0
428,4738,0
441,4731,0
449,4721,0
468,4711,0
480,4697,0
498,4683,0
516,4661,0
530,4647,0
547,4629,0
564,4619,0
578,4608,0
590,4601,0
602,4591,0
609,4584,0
612,4584,0
613,4579,0
610,4584,0
607,4587,0
600,4587,0
593,4590,0
579,4601,0
568,4615,0
561,4630,0
557,4646,0
557,4658,0
565,4671,0
571,4688,0
581,4697,0
587,4702,0
601,4707,0
623,4705,0
637,4699,0
641,4691,0
657,4684,0
661,4665,0
672,4654,0
670,4633,0
665,4621,0
656,4613,0
644,4608,0
630,4598,0
621,4593,0
613,4588,0
608,4587,0
605,4591,0
607,4587,0
611,4591,0
621,4589,0
634,4594,0
650,4592,0
665,4597,0
675,4599,0
692,4599,0
707,4601,0
717,4606,0
728,4614,0
738,4623,0
743,4636,0
745,4648,0
751,4657,0
750,4664,0
749,4669,0
749,4669,0
748,4668,0
752,4665,0
755,4661,0
758,4645,0
759,4629,0
760,4609,0
765,4597,0
769,4570,0
777,4558,0
789,4555,0
809,4556,0
823,4558,0
832,4570,0
842,4590,0
844,4602,0
846,4615,0
846,4623,0
845,4626,0
845,4626,0
846,4623,0
847,4614,0
849,4602,0
852,4587,0
863,4575,0
871,4560,0
880,4548,0
891,4545,0
901,4541,0
914,4541,0
924,4541,0
931,4550,0
936,4566,0
940,4582,0
942,4594,0
944,4611,0
948,4626,0
953,4639,0
962,4651,0
970,4654,0
980,4655,0
992,4652,0
1007,4652,0
1020,4644,0
1035,4632,0
1047,4620,0
1060,4605,0
1070,4592,0
1074,4577,0
1079,4560,0
1080,4553,0
1076,4548,0
1066,4541,0
1058,4536,0
1047,4536,0
1040,4540,0
1032,4548,0
1028,4560,0
1027,4576,0
1029,4588,0
1033,4608,0
1042,4629,0
1054,4652,0
1067,4669,0
1081,4684,0
1091,4697,0
1100,4704,0
1105,4712,0
1108,4712,0
1108,4712,1
1351,4588,0
1353,4584,0
1356,4576,0
1356,4575,0
1356,4579,0
1357,4584,0
1361,4603,0
1365,4616,0
1368,4631,0
1370,4652,0
1370,4663,0
1368,4676,0
1366,4675,0
1363,4671,0
1360,4671,0
1357,4664,0
1353,4652,0
1353,4640,0
1349,4624,0
1348,4604,0
1347,4588,0
1349,4576,0
1354,4560,0
1361,4551,0
1369,4543,0
1378,4534,0
1389,4537,0
1401,4541,0
1413,4548,0
1422,4555,0
1428,4563,0
1435,4574,0
1439,4585,0
1442,4594,0
1446,4609,0
1443,4626,0
1452,4637,0
1452,4649,0
1455,4657,0
1464,4672,0
1475,4679,0
1488,4686,0
1500,4685,0
1516,4683,0
1532,4678,0
1547,4668,0
1557,4655,0
1573,4637,0
1571,4617,0
1578,4592,0
1569,4577,0
1564,4558,0
1556,4550,0
1547,4548,0
1537,4545,0
1513,4635,0
1510,4656,0
1520,4687,0
1527,4702,0
1537,4718,0
1546,4721,0
1561,4723,0
1575,4717,0
1590,4704,0
1605,4686,0
1621,4668,0
1635,4650,0
1650,4632,0
1667,4622,0
1686,4607,0
1701,4597,0
1713,4591,0
1725,4589,0
1734,4588,0
1742,4591,0
1744,4587,0
1744,4591,0
1742,4587,0
1737,4588,0
1726,4585,0
1647,4664,0
1640,4685,0
1644,4710,0
1647,4721,0
1650,4724,0
1660,4724,0
1671,4714,0
1696,4703,0
1707,4685,0
1718,4663,0
1727,4642,0
1735,4624,0
1739,4620,0
1739,4616,0
1742,4620,0
1745,4627,0
1748,4638,0
1750,4654,0
1758,4678,0
1761,4697,0
1767,4717,0
1783,4722,0
1802,4723,0
1817,4717,0
1829,4703,0
1843,4685,0
1854,4662,0
1867,4648,0
1872,4635,0
1875,4630,0
1882,4632,0
1886,4632,0
1893,4639,0
1900,4654,0
1903,4666,0
1906,4681,0
1906,4693,0
1908,4697,0
1908,4698,0
1906,4694,0
1902,4686,0
1898,4671,0
1894,4655,0
1889,4640,0
1883,4625,0
1882,4616,0
1881,4604,0
1883,4596,0
1889,4591,0
1897,4585,0
1909,4583,0
1923,4584,0
1940,4585,0
1955,4587,0
1968,4588,0
1978,4590,0
1983,4589,0
1987,4589,0
1988,4588,1
2115,4708,0
2113,4708,0
2111,4713,0
2105,4718,0
2098,4732,0
2086,4751,0
2069,4775,0
2058,4806,0
2048,4828,0
2043,4838,0
2038,4843,0
2034,4835,1
2343,4724,0
2345,4719,0
2350,4722,0
2353,4722,0
2355,4717,0
2358,4708,0
2366,4698,0
2376,4685,0
2386,4671,0
2396,4659,0
2403,4649,0
2412,4634,0
2418,4620,0
2423,4609,0
2424,4604,0
2425,4609,0
2425,4609,0
2421,4614,0
2413,4616,0
2408,4631,0
2400,4646,0
2389,4670,0
2386,4696,0
2383,4717,0
2386,4741,0
2391,4753,0
2403,4766,0
2417,4766,0
2434,4760,0
2451,4751,0
2464,4735,0
2480,4717,0
2492,4697,0
2504,4681,0
2513,4665,0
2521,4659,0
2525,4653,0
2531,4656,0
2536,4666,0
2538,4683,0
2543,4702,0
2552,4724,0
2556,4748,0
2557,4769,0
2566,4783,0
2560,4789,0
2560,4772,0
2559,4756,0
2557,4739,0
2558,4719,0
2562,4695,0
2572,4684,0
2577,4670,0
2585,4664,0
2593,4656,0
2604,4653,0
2618,4652,0
2628,4649,0
2639,4653,0
2647,4659,0
2651,4661,0
2655,4673,0
2659,4680,0
2664,4690,0
2666,4702,0
2692,4749,0
2700,4755,0
2707,4753,0
2718,4753,0
2726,4741,0
2736,4729,0
2747,4717,0
2757,4704,0
2770,4695,0
2783,4686,0
2797,4676,0
2813,4675,0
2824,4671,0
2836,4674,0
2847,4679,0
2852,4677,0
2856,4679,0
2854,4680,0
2852,4681,0
2848,4686,0
2840,4686,0
2829,4685,0
2813,4679,0
2801,4684,0
2790,4688,0
2774,4698,0
2758,4713,0
2748,4724,0
2742,4740,0
2739,4748,0
2741,4757,0
2744,4765,0
2751,4770,0
2758,4772,0
2770,4772,0
2783,4767,0
2798,4758,0
2813,4748,0
2830,4733,0
2844,4710,0
2861,4682,0
2874,4650,0
2883,4603,0
2897,4572,0
2907,4546,0
2915,4530,0
2916,4521,0
2914,4521,0
2912,4522,0
2912,4531,0
2907,4555,0
2902,4578,0
2905,4613,0
2907,4641,0
2917,4672,0
2926,4698,0
2938,4719,0
2951,4736,0
2963,4743,0
2974,4740,0
2986,4735,0
2995,4722,0
3005,4705,0
3010,4690,0
3008,4673,0
3004,4657,0
2997,4647,0
2986,4635,0
2976,4626,0
2969,4629,0
2958,4629,0
2950,4645,0
2940,4658,0
2934,4674,0
2931,4693,0
2932,4714,0
2941,4736,0
2951,4753,0
2964,4770,0
2976,4777,0
2993,4783,0
3009,4785,0
3025,4783,0
3045,4780,0
3058,4765,0
3076,4748,0
3088,4730,0
3099,4712,0
3103,4693,0
3109,4677,0
3110,4667,0
3108,4659,0
3105,4657,0
3098,4652,0
3091,4654,0
3082,4659,0
3071,4668,0
3066,4683,0
3058,4700,0
3057,4717,0
3062,4736,0
3066,4748,0
3075,4758,0
3087,4770,0
3098,4778,0
3111,4785,0
3121,4785,0
3135,4788,0
3148,4782,0
3162,4771,0
3181,4753,0
3194,4735,0
3206,4715,0
3218,4697,0
3230,4683,0
3245,4671,0
3256,4657,0
3273,4653,0
3284,4647,0
3298,4649,0
3308,4649,0
3313,4647,0
3319,4648,0
3319,4648,0
3318,4649,0
3315,4650,0
3303,4651,0
3292,4652,0
3275,4652,0
3257,4661,0
3235,4671,0
3216,4689,0
3197,4702,0
3187,4720,0
3182,4736,0
3181,4749,0
3182,4762,0
3187,4769,0
3194,4774,0
3204,4775,0
3215,4769,0
3226,4760,0
3241,4748,0
3258,4731,0
3272,4706,0
3288,4685,0
3302,4661,0
3317,4636,0
3330,4611,0
3340,4583,0
3352,4555,0
3356,4526,0
3364,4508,0
3362,4496,0
3363,4499,0
3362,4500,0
3358,4516,0
3356,4539,0
3355,4567,0
3355,4603,0
3355,4639,0
3353,4666,0
3356,4692,0
3356,4710,0
3355,4715,1
3525,4776,0
3525,4780,0
3510,4797,0
3499,4821,0
3493,4855,0
3482,4883,0
3472,4906,0
3467,4923,0
3458,4936,1
3643,4734,0
3653,4733,0
3663,4722,0
3674,4707,0
3687,4686,0
3697,4661,0
3708,4632,0
3717,4603,0
3725,4576,0
3729,4555,0
3730,4535,0
3732,4524,0
3734,4523,0
3735,4524,0
3740,4534,0
3735,4546,0
3733,4570,0
3730,4596,0
3728,4625,0
3726,4664,0
3726,4696,0
3728,4727,0
3726,4755,0
3725,4780,0
3724,4794,0
3723,4804,0
3723,4804,0
3722,4799,0
3730,4795,0
3736,4782,0
3747,4768,0
3759,4751,0
3773,4733,0
3791,4717,0
3809,4702,0
3825,4688,0
3836,4676,0
3848,4665,0
3853,4657,0
3854,4656,0
3854,4656,0
3852,4658,0
3848,4661,0
3839,4665,0
3830,4671,0
3819,4683,0
3810,4698,0
3803,4715,0
3801,4736,0
3799,4755,0
3803,4776,0
3812,4794,0
3826,4804,0
3846,4811,0
3863,4809,0
3882,4807,0
3901,4801,0
3916,4788,0
3924,4768,0
3931,4754,0
3934,4743,0
3931,4726,0
3928,4714,0
3920,4700,0
3911,4687,0
3906,4676,0
3906,4676,0
3909,4679,0
3909,4678,0
3916,4678,0
3930,4679,0
3943,4676,0
3958,4676,0
3968,4679,0
3976,4684,0
3977,4683,0
3975,4679,1
4341,4548,0
4340,4558,0
4337,4566,0
4335,4577,0
4335,4596,0
4335,4622,0
4337,4655,0
4341,4692,0
4345,4727,0
4350,4759,0
4355,4784,0
4359,4801,0
4360,4811,0
4360,4811,0
4357,4808,0
4348,4794,0
4338,4777,0
4326,4757,0
4309,4739,0
4291,4722,0
4275,4714,0
4254,4709,0
4239,4709,0
4226,4714,0
4215,4722,0
4206,4732,0
4205,4748,0
4199,4762,0
4201,4780,0
4205,4796,0
4210,4811,0
4219,4825,0
4229,4838,0
4239,4845,0
4252,4852,0
4267,4855,0
4284,4858,0
4303,4860,0
4322,4857,0
4343,4847,0
4366,4841,0
4387,4831,0
4405,4818,0
4418,4803,0
4432,4784,0
4442,4766,0
4449,4746,0
4451,4730,0
4454,4718,0
4450,4706,0
4447,4698,0
4442,4691,0
4439,4695,0
4427,4698,0
4420,4713,0
4415,4731,0
4410,4745,0
4409,4765,0
4413,4787,0
4414,4811,0
4422,4835,0
4434,4857,0
4442,4859,0
4458,4864,0
4471,4864,0
4484,4854,0
4498,4839,0
4508,4818,0
4514,4797,0
4521,4777,0
4528,4763,0
4537,4756,0
4543,4751,0
4548,4748,0
4555,4746,0
4567,4753,0
4573,4764,0
4578,4780,0
4581,4797,0
4579,4815,0
4575,4833,0
4572,4844,0
4568,4852,0
4565,4859,0
4565,4864,0
4565,4859,0
4571,4855,0
4584,4851,0
4591,4840,0
4600,4823,0
4611,4809,0
4623,4796,0
4630,4781,0
4640,4768,0
4642,4755,0
4647,4753,0
4650,4755,0
4647,4756,0
4649,4765,0
4652,4779,0
4651,4799,0
4650,4825,0
4648,4857,0
4650,4891,0
4651,4925,0
4649,4961,0
4658,4990,0
4659,5014,0
4656,5026,0
4659,5034,0
4659,5034,0
4658,5030,0
4653,5014,0
4654,4993,0
4657,4966,0
4659,4934,0
4662,4901,0
4666,4869,0
4669,4841,0
4671,4815,0
4673,4787,0
4677,4765,0
4685,4748,0
4695,4739,0
4711,4738,0
4724,4738,0
4731,4741,0
4739,4751,0
4741,4755,0
4739,4766,0
4741,4780,0
4735,4790,0
4725,4797,0
4723,4815,0
4715,4825,0
4710,4835,0
4712,4843,0
4712,4848,0
4717,4850,0
4728,4851,0
4743,4854,0
4754,4846,0
4773,4841,0
4787,4830,0
4804,4816,0
4820,4804,0
4833,4789,0
4845,4773,0
4857,4759,0
4866,4745,0
4871,4736,0
4876,4732,0
4874,4729,0
4873,4730,0
4872,4731,0
4873,4734,0
4867,4740,0
4864,4748,0
4855,4755,0
4852,4768,0
4847,4782,0
4842,4796,0
4840,4809,0
4838,4826,0
4835,4843,0
4835,4858,0
4838,4871,0
4843,4877,0
4849,4879,0
4856,4883,0
4864,4882,0
4869,4876,0
4878,4875,0
4890,4866,0
4900,4857,0
4908,4846,0
4919,4831,0
4930,4817,0
4939,4799,0
4944,4779,0
4953,4768,0
4960,4745,0
4964,4742,0
4962,4739,0
4961,4739,0
4964,4742,0
4966,4746,0
4968,4749,0
4973,4760,0
4977,4768,0
4983,4778,0
4986,4791,0
4990,4809,0
4994,4827,0
4995,4841,0
4997,4854,0
4997,4860,0
4999,4869,0
4999,4874,0
4999,4874,0
5004,4876,0
5011,4875,0
5017,4870,0
5026,4862,0
5033,4852,0
5043,4842,0
5054,4828,0
5063,4810,0
5071,4792,0
5081,4778,0
5086,4763,0
5088,4751,0
5092,4743,0
5096,4739,0
5096,4739,0
5096,4739,0
5093,4741,0
5091,4753,0
5089,4771,0
5092,4789,0
5092,4806,0
5099,4826,0
5103,4843,0
5109,4854,0
5117,4864,0
5124,4868,0
5131,4868,0
5140,4860,0
5149,4847,0
5154,4827,0
5164,4812,0
5170,4796,0
5180,4787,0
5186,4782,0
5194,4781,0
5197,4778,0
5204,4787,0
5209,4799,0
5211,4813,0
5212,4834,0
5210,4847,0
5210,4857,0
5213,4859,0
5214,4859,0
5215,4857,0
5214,4849,0
5216,4835,0
5220,4821,0
5221,4799,0
5228,4782,0
5233,4767,0
5239,4755,0
5245,4745,0
5254,4736,0
5260,4731,0
5271,4732,0
5279,4736,0
5283,4737,0
5292,4745,0
5292,4751,0
5301,4764,0
5306,4777,0
5310,4793,0
5318,4803,0
5329,4814,0
5338,4822,0
5348,4825,0
5356,4822,0
5366,4813,0
5379,4801,0
5393,4788,0
5405,4772,0
5420,4763,0
5430,4753,0
5445,4751,0
5455,4746,0
5469,4743,0
5479,4745,0
5484,4746,0
5492,4750,0
5491,4751,0
5488,4748,0
5483,4746,0
5474,4744,0
5462,4745,0
5451,4744,0
5431,4747,0
5418,4753,0
5402,4763,0
5395,4780,0
5392,4801,0
5393,4821,0
5397,4839,0
5405,4854,0
5419,4863,0
5433,4866,0
5446,4859,0
5463,4848,0
5477,4830,0
5492,4816,0
5504,4804,0
5517,4797,0
5525,4794,0
5534,4797,0
5549,4811,0
5563,4830,0
5574,4859,0
5586,4893,0
5593,4929,0
5602,4970,0
5602,5009,0
5595,5048,0
5588,5086,0
5574,5116,0
5556,5139,0
5537,5155,0
5512,5156,0
5491,5153,0
5466,5144,1
4916,4609,0
4917,4608,0
4917,4608,0
4912,4608,0
4909,4615,0
4907,4617,0
4905,4619,0
4905,4618,0
4906,4618,1
5073,4599,0
5072,4595,0
5075,4597,0
5075,4597,0
5075,4597,0
5071,4596,0
5073,4599,0
5072,4600,0
5067,4598,0
5069,4601,0
5064,4601,0
5061,4604,0
5063,4592,1
5845,4799,0
5846,4798,0
5850,4799,0
5858,4803,0
5863,4803,0
5871,4801,0
5883,4800,0
5894,4794,0
5908,4785,0
5923,4770,0
5934,4746,0
5951,4722,0
5956,4693,0
5960,4666,0
5965,4642,0
5962,4622,0
5953,4608,0
5948,4608,0
5935,4610,0
5923,4618,0
5916,4630,0
5909,4644,0
5903,4663,0
