Yes sir, I am slightly wet, and Buck
654
897,1042,0
895,1046,0
899,1059,0
909,1077,0
914,1090,0
920,1104,0
933,1122,0
946,1136,0
965,1158,0
977,1175,0
985,1189,0
991,1201,0
993,1213,0
991,1221,0
991,1233,0
998,1250,0
1008,1263,1
1060,1093,0
1057,1097,0
1054,1105,0
1049,1117,0
1039,1132,0
1025,1155,0
1009,1179,0
999,1206,0
994,1233,0
989,1253,0
983,1269,0
986,1289,0
987,1301,0
989,1313,0
992,1326,0
1004,1351,0
1012,1371,0
1020,1392,0
1030,1416,0
1040,1440,0
1047,1461,1
1189,1356,0
1192,1360,0
1195,1359,0
1201,1354,0
1215,1349,0
1228,1335,0
1242,1322,0
1253,1304,0
1259,1287,0
1258,1266,0
1258,1255,0
1249,1244,0
1240,1241,0
1225,1243,0
1209,1253,0
1196,1271,0
1183,1296,0
1174,1325,0
1168,1353,0
1172,1381,0
1179,1401,0
1194,1416,0
1211,1422,0
1231,1419,0
1250,1413,1
1418,1274,0
1414,1271,0
1414,1271,0
1414,1272,0
1408,1274,0
1401,1284,0
1400,1301,0
1397,1315,0
1405,1333,0
1421,1349,0
1437,1360,0
1455,1372,0
1467,1381,0
1474,1387,0
1474,1391,0
1472,1396,0
1463,1399,0
1445,1401,0
1423,1399,0
1396,1393,0
1377,1393,0
1360,1393,0
1353,1399,0
1348,1399,0
1346,1397,1
1854,1194,0
1843,1192,0
1833,1195,0
1826,1200,0
1814,1204,0
1804,1210,0
1789,1220,0
1774,1235,0
1764,1251,0
1761,1267,0
1769,1281,0
1783,1291,0
1806,1301,0
1829,1310,0
1845,1318,0
1853,1327,0
1852,1337,0
1850,1353,0
1842,1368,0
1833,1383,0
1820,1396,0
1804,1404,0
1792,1411,0
1773,1413,0
1761,1411,0
1751,1406,0
1749,1399,0
1756,1391,0
1770,1378,1
1952,1245,0
1948,1252,0
1949,1266,0
1948,1283,0
1949,1302,0
1952,1320,0
1953,1335,0
1953,1345,0
1955,1353,1
1952,1139,0
1946,1134,0
1947,1134,0
1947,1134,0
1954,1138,1
2082,1318,0
2086,1319,0
2085,1315,0
2092,1303,0
2095,1279,0
2096,1251,0
2102,1228,0
2116,1216,0
2130,1207,0
2148,1206,0
2166,1210,0
2176,1216,0
2198,1228,1
2304,1291,0
2296,1306,0
2287,1326,0
2278,1348,0
2272,1371,1
2607,1046,0
2606,1073,0
2596,1103,0
2596,1135,0
2591,1164,0
2589,1189,0
2590,1207,0
2591,1220,0
2593,1225,1
2808,1168,0
2806,1165,0
2803,1163,0
2799,1162,0
2799,1163,0
2794,1163,0
2788,1165,0
2783,1165,0
2782,1167,0
2782,1167,0
2782,1167,0
2782,1167,0
2786,1167,0
2782,1166,0
2786,1166,0
2788,1165,0
2788,1163,0
2789,1163,0
2789,1162,0
2789,1162,0
2789,1162,0
2786,1161,0
2789,1162,0
2789,1162,0
2789,1163,0
2785,1162,0
2792,1165,0
2783,1164,0
