John, isn&apos;t it?&quot; &quot;My fault entirely,&quot;
705
987,2190,0
984,2194,0
982,2203,0
984,2219,0
989,2239,0
996,2263,0
1006,2295,0
1012,2320,0
1018,2344,0
1023,2371,0
1021,2388,0
1018,2403,0
1011,2412,0
1003,2415,0
991,2415,0
979,2422,0
961,2422,0
943,2421,0
928,2415,0
919,2415,0
917,2415,1
1180,2318,0
1177,2315,0
1172,2315,0
1164,2319,0
1150,2323,0
1134,2332,0
1121,2348,0
1111,2365,0
1105,2381,0
1107,2393,0
1117,2405,0
1131,2408,0
1150,2408,0
1169,2399,0
1188,2390,0
1200,2374,0
1206,2357,0
1209,2345,0
1207,2333,0
1201,2321,0
1194,2318,0
1183,2310,0
1175,2311,0
1175,2315,0
1183,2318,1
1307,2196,0
1305,2212,0
1306,2236,0
1308,2260,0
1311,2288,0
1314,2321,0
1315,2344,0
1314,2364,0
1313,2376,0
1311,2377,0
1312,2376,0
1313,2372,0
1315,2364,0
1321,2343,0
1330,2314,0
1341,2285,0
1358,2266,0
1372,2257,0
1382,2259,0
1389,2266,0
1396,2281,0
1400,2297,0
1404,2316,0
1403,2329,0
1404,2349,0
1405,2365,0
1406,2372,0
1410,2376,0
1413,2371,1
1447,2252,0
1447,2265,0
1448,2281,0
1450,2305,0
1447,2321,0
1445,2338,0
1443,2347,0
1446,2354,0
1445,2350,0
1447,2350,0
1450,2346,0
1455,2328,0
1464,2306,0
1477,2287,0
1492,2277,0
1502,2275,0
1510,2277,0
1516,2284,0
1522,2295,0
1523,2308,0
1525,2323,0
1523,2336,0
1522,2348,0
1523,2356,0
1525,2364,1
1665,2368,0
1664,2381,0
1660,2391,0
1651,2400,0
1644,2419,0
1637,2433,0
1631,2443,0
1631,2456,0
1634,2463,1
1980,2241,0
1978,2256,0
1976,2279,0
1976,2301,0
1976,2317,0
1978,2325,0
1982,2333,0
1985,2335,0
1988,2334,1
1964,2196,0
1957,2186,0
1951,2176,0
1949,2168,0
1946,2157,0
1944,2148,0
1944,2140,0
1943,2135,0
1949,2138,1
2116,2196,1
2076,2206,0
2067,2219,0
2065,2230,0
2070,2240,0
2082,2253,0
2092,2265,0
2106,2281,0
2111,2292,0
2106,2299,0
2099,2306,0
2088,2311,0
2073,2314,0
2057,2313,0
2045,2314,0
2036,2309,0
2034,2306,1
2159,2209,0
2164,2220,0
2166,2237,0
2172,2257,0
2173,2269,0
2174,2282,0
2178,2294,0
2180,2301,0
2177,2299,0
2178,2299,0
2177,2294,0
2181,2292,0
2186,2281,0
2195,2262,0
2209,2246,0
2224,2234,0
2233,2229,0
2236,2231,0
2242,2236,0
2248,2247,0
2253,2258,0
2256,2270,0
2257,2284,0
2254,2294,0
2258,2310,0
2261,2322,0
2263,2330,0
2268,2333,0
2269,2327,1
2324,2231,0
2322,2223,0
2323,2208,0
2325,2193,0
2326,2178,0
2325,2159,0
2327,2145,0
2326,2131,0
2330,2123,1
2411,2118,0
2407,2125,0
2406,2146,0
2398,2166,0
2396,2190,0
2395,2215,0
2396,2238,0
2407,2260,0
2415,2273,0
2428,2284,0
2446,2292,0
2463,2294,0
2474,2287,1
2395,2239,0
2391,2236,0
2398,2236,0
2409,2235,0
2428,2231,0
2447,2224,0
2469,2219,0
2491,2218,0
2506,2217,1
2810,2164,0
2808,2165,0
2808,2175,0
2812,2194,0
2808,2212,0
