absolutely right, &quot;said Bawley, as he
507
982,4179,0
957,4186,0
933,4202,0
914,4217,0
907,4245,0
905,4269,0
909,4289,0
920,4309,0
934,4322,0
951,4326,0
971,4324,0
990,4311,0
1008,4295,0
1018,4268,0
1023,4244,0
1012,4184,0
1015,4188,0
1023,4208,0
1035,4228,0
1048,4256,0
1059,4276,0
1071,4288,1
1095,4088,0
1097,4085,0
1098,4080,0
1101,4085,0
1109,4104,0
1118,4133,0
1124,4164,0
1131,4200,0
1138,4236,0
1155,4256,0
1165,4247,0
1178,4235,0
1194,4227,0
1208,4218,0
1223,4210,0
1242,4213,0
1259,4220,0
1236,4297,0
1226,4290,0
1222,4286,0
1224,4278,0
1234,4270,0
1250,4261,1
1428,4213,0
1421,4210,0
1405,4208,0
1385,4205,0
1370,4206,0
1360,4215,0
1356,4223,0
1358,4239,0
1368,4255,0
1383,4273,0
1401,4292,0
1416,4307,0
1358,4343,0
1352,4340,0
1352,4331,1
1528,4256,0
1529,4252,0
1524,4240,0
1519,4237,0
1508,4230,0
1498,4235,0
1482,4241,0
1472,4258,0
1465,4270,0
1469,4294,0
1477,4309,0
1541,4319,0
1553,4297,0
1561,4276,1
1556,4140,0
1556,4136,0
1558,4140,0
1558,4144,0
1561,4159,0
1566,4184,0
1573,4210,0
1581,4234,0
1593,4260,0
1605,4279,0
1615,4282,0
1628,4288,0
1686,4219,0
1688,4223,0
1690,4227,0
1698,4242,0
1705,4253,0
1718,4267,0
1732,4273,0
1745,4279,0
1794,4234,0
1801,4242,0
1809,4260,0
1819,4283,0
1825,4298,0
1835,4316,0
1843,4319,1
1886,4131,0
1888,4135,0
1889,4135,0
1894,4146,0
1899,4169,0
1908,4204,0
1917,4243,0
1964,4274,1
1973,4251,0
1973,4251,0
1968,4244,0
1958,4243,0
1942,4238,0
1923,4234,1
1974,4268,0
1986,4270,0
2002,4270,0
2019,4262,0
2034,4250,0
2048,4239,0
2058,4228,0
2064,4223,0
2062,4211,0
2056,4204,0
2045,4198,0
2030,4251,0
2041,4266,0
2055,4274,0
2073,4282,0
2092,4285,0
2111,4285,0
2129,4277,0
2142,4261,1
2123,4071,0
2124,4080,0
2121,4097,0
2122,4117,0
2125,4141,0
2134,4172,0
2146,4202,1
2234,4186,0
2236,4190,0
2234,4190,0
2235,4198,0
2241,4221,0
2255,4247,0
2270,4271,0
2287,4291,0
2297,4292,0
2309,4285,0
2321,4269,0
2311,4217,0
2297,4234,0
2281,4259,0
2261,4286,0
2242,4312,0
2223,4334,0
2204,4352,0
2186,4361,0
2174,4365,1
2622,4199,0
2624,4203,0
2625,4207,0
2627,4219,0
2627,4227,0
2629,4239,0
2636,4258,0
2637,4266,0
2639,4270,0
2638,4266,0
2644,4263,0
2651,4253,0
2659,4232,0
2668,4220,0
2684,4214,0
2699,4212,0
2716,4215,0
2791,4270,0
2791,4266,0
2785,4246,0
2777,4219,0
2766,4184,0
2762,4164,0
2762,4160,0
2761,4157,1
2905,4237,0
2907,4233,0
2898,4219,0
2888,4210,0
2881,4213,0
2870,4215,0
2858,4232,0
2858,4241,0
2861,4244,0
2869,4246,0
2880,4244,0
2889,4241,0
2901,4244,0
2914,4338,0
2906,4351,0
2896,4360,0
2885,4365,0
2869,4358,0
2859,4354,0
2852,4340,1
2945,4123,0
2952,4133,0
2956,4144,0
2960,4164,0
2972,4189,0
2984,4215,0
3000,4239,0
3013,4254,0
3019,4256,0
3043,4231,0
3054,4234,0
3062,4239,0
3074,4251,0
3083,4265,0
3094,4282,0
3102,4291,0
3113,4299,1
3118,4064,0
3117,4063,0
3121,4071,0
3127,4094,0
3136,4131,0
3148,4169,0
3160,4208,1
3230,4213,0
3229,4213,0
3225,4210,0
3218,4210,0
3202,4200,0
3185,4213,0
3179,4217,0
3175,4223,0
3176,4227,0
3177,4222,1
3301,4266,0
3303,4268,0
3302,4269,0
3303,4278,0
3298,4290,0
3294,4301,0
3286,4314,0
3276,4328,0
3260,4336,1
3431,4062,0
3430,4062,0
3430,4062,0
3434,4069,0
3442,4078,0
3447,4085,0
3455,4089,0
3455,4089,0
3453,4085,0
3453,4081,0
3452,4073,0
3452,4072,0
3456,4070,0
3467,4077,0
3477,4086,0
3485,4099,0
3491,4114,1
3957,4190,0
3951,4188,0
3937,4184,0
3919,4182,0
3899,4181,0
3885,4181,0
3877,4188,0
3872,4191,0
3875,4198,0
3887,4214,0
3923,4247,0
3934,4259,0
3937,4268,0
3931,4270,0
3921,4274,0
3902,4271,0
3883,4270,0
3839,4256,1
4035,4212,0
4033,4208,0
4029,4207,0
4019,4204,0
4007,4207,0
3991,4210,0
3977,4219,0
3973,4232,0
3973,4242,0
3981,4251,0
3993,4256,0
4007,4256,0
4024,4254,0
4040,4248,0
4047,4238,0
4052,4229,0
4076,4275,0
4085,4285,1
4118,4215,0
4123,4216,0
4128,4218,0
4128,4218,0
4131,4225,0
4137,4242,0
4140,4258,0
4143,4276,0
4143,4286,1
4100,4154,0
4103,4147,0
4111,4150,0
4116,4156,0
4128,4173,1
4249,4267,0
4254,4262,0
4258,4259,0
4258,4249,0
4257,4240,0
4251,4229,0
4243,4226,0
4233,4223,0
4219,4223,0
4208,4232,0
4198,4239,0
4239,4239,0
4242,4216,0
4242,4196,0
4238,4173,0
4237,4155,0
4231,4138,0
4232,4132,0
4229,4129,0
4266,4283,1
4671,4153,0
4676,4143,0
4681,4139,0
4683,4142,0
4683,4147,0
4691,4168,0
4701,4191,0
4704,4210,0
4707,4229,0
4702,4233,0
4694,4229,0
4684,4206,0
4680,4178,0
4677,4148,0
4690,4126,0
4702,4109,0
4721,4092,0
4835,4160,0
4812,4170,0
4792,4179,0
4780,4184,0
4777,4186,0
4779,4185,0
4797,4189,0
4783,4257,0
4753,4257,0
4724,4251,0
4702,4244,0
4688,4240,0
4681,4236,0
4683,4234,1
4933,4161,0
4932,4162,0
4926,4162,0
4915,4162,0
4903,4167,0
4891,4173,0
4886,4189,0
4887,4221,0
4893,4232,0
4907,4240,0
4922,4237,0
4939,4233,0
4951,4220,0
4963,4210,0
4985,4255,0
4992,4270,0
4999,4275,1
5019,4167,0
5014,4167,0
5016,4170,0
