Captain Henry Turton, D.S.O,
731
1086,1086,0
1085,1081,0
1087,1066,0
1094,1050,0
1090,1030,0
1084,1013,0
1075,1001,0
1054,994,0
1031,1000,0
998,1017,0
982,1072,0
905,1117,0
860,1165,0
829,1228,0
822,1292,0
798,1353,0
786,1411,0
780,1463,0
782,1488,0
795,1503,0
811,1507,0
829,1493,0
851,1469,0
880,1438,0
916,1394,0
960,1351,0
1008,1310,0
1055,1277,0
1097,1249,0
1139,1235,0
1165,1221,0
1193,1223,0
1206,1221,0
1212,1225,0
1211,1225,0
1208,1225,0
1199,1222,0
1186,1224,0
1164,1229,0
1137,1243,0
1105,1260,0
1083,1297,0
1056,1333,0
1037,1376,0
1025,1416,0
1023,1444,0
1030,1459,0
1043,1460,0
1066,1449,0
1095,1425,0
1122,1388,0
1149,1351,0
1174,1312,0
1192,1279,0
1211,1261,0
1217,1244,0
1220,1244,0
1222,1247,0
1218,1248,0
1208,1257,0
1197,1279,0
1186,1307,0
1177,1345,0
1163,1374,0
1160,1406,0
1159,1426,0
1165,1442,0
1179,1449,0
1196,1443,0
1223,1437,0
1245,1409,0
1273,1382,0
1302,1353,0
1329,1323,0
1347,1290,0
1368,1268,0
1381,1252,0
1387,1251,0
1385,1252,0
1380,1265,0
1371,1296,0
1353,1334,0
1332,1383,0
1309,1445,0
1281,1510,0
1256,1570,0
1237,1628,0
1217,1667,0
1203,1696,0
1195,1708,0
1196,1709,0
1199,1696,0
1208,1655,0
1226,1609,0
1247,1558,0
1266,1496,0
1295,1443,0
1326,1392,0
1352,1346,0
1372,1312,0
1393,1298,0
1406,1295,0
1414,1301,0
1423,1323,0
1420,1349,0
1416,1384,0
1414,1417,0
1416,1445,0
1426,1459,0
1442,1459,0
1472,1447,0
1506,1414,0
1546,1370,0
1589,1317,0
1635,1265,0
1675,1211,0
1713,1165,0
1719,1118,0
1738,1100,0
1744,1096,0
1742,1102,0
1736,1131,0
1720,1175,0
1701,1224,0
1672,1272,0
1652,1319,0
1634,1350,0
1619,1365,0
1617,1371,0
1616,1367,0
1614,1351,0
1617,1331,0
1616,1318,0
1611,1312,0
1609,1313,0
1602,1325,0
1596,1350,0
1593,1377,0
1597,1401,0
1606,1415,0
1620,1418,0
1643,1411,0
1677,1396,0
1705,1363,0
1744,1329,0
1789,1293,0
1829,1261,0
1867,1249,0
1899,1251,0
1918,1261,0
1933,1274,0
1942,1288,0
1942,1293,0
1942,1293,0
1940,1289,0
1935,1278,0
1928,1264,0
1912,1250,0
1899,1245,0
1881,1249,0
1857,1261,0
1834,1287,0
1810,1317,0
1793,1346,0
1789,1372,0
1790,1385,0
1807,1394,0
1822,1389,0
1848,1374,0
1876,1350,0
1901,1318,0
1931,1290,0
1947,1269,0
1955,1262,0
1955,1262,0
1954,1273,0
1949,1298,0
1937,1327,0
1926,1359,0
1919,1389,0
1918,1404,0
1930,1411,0
1943,1406,0
1964,1387,0
1992,1356,0
2024,1315,0
2053,1278,0
2079,1256,0
2094,1248,0
2094,1247,0
2096,1257,0
2089,1279,0
2076,1307,0
2066,1336,0
2056,1360,0
2054,1372,0
2056,1376,0
2060,1372,0
2075,1360,0
2094,1334,0
2123,1303,0
2152,1275,0
2178,1261,0
2199,1263,0
2206,1267,0
2210,1281,0
2208,1305,0
2195,1327,0
2187,1347,0
2188,1357,0
2192,1359,0
2200,1357,0
2214,1343,0
2235,1329,0
2247,1317,0
2262,1319,0
2265,1327,0
2265,1344,0
2269,1368,0
2283,1382,0
2300,1382,0
2326,1372,0
2357,1351,0
2385,1320,0
2422,1283,0
2447,1240,0
2466,1208,0
2477,1194,0
2479,1191,1
2134,1140,0
2130,1131,0
2130,1125,0
2131,1124,0
2135,1126,0
2131,1124,0
2131,1124,0
2131,1124,0
2132,1124,0
2128,1122,0
2128,1122,0
2128,1122,0
2135,1121,1
2808,1120,0
2813,1111,0
2823,1095,0
2837,1076,0
2849,1052,0
2873,1028,0
2901,1008,0
2924,996,0
2946,997,0
2953,1009,0
2953,1039,0
2937,1081,0
2920,1133,0
2900,1185,0
2869,1240,0
2830,1293,0
2784,1341,0
2741,1381,0
2700,1409,0
2671,1422,0
2649,1417,0
2636,1401,0
2635,1382,0
2641,1361,0
2659,1338,0
2690,1315,0
2731,1292,0
2777,1274,0
2823,1261,0
2871,1251,0
2920,1239,0
2967,1222,0
3011,1199,0
3052,1172,0
3085,1142,0
3112,1115,0
3124,1089,0
3127,1072,0
3125,1065,0
3112,1065,0
3094,1076,0
3071,1100,0
3041,1134,0
3011,1175,0
2982,1220,0
2965,1264,0
2951,1304,0
2944,1339,0
2949,1368,0
2957,1386,0
2973,1398,0
2994,1401,0
3018,1394,0
3042,1377,0
3066,1354,0
3087,1327,0
3103,1298,0
3117,1274,0
3117,1257,0
3107,1250,0
3093,1252,0
3073,1261,0
3057,1282,0
3042,1308,0
3029,1338,0
3026,1366,0
3025,1382,0
3030,1389,0
3049,1390,0
3069,1380,0
3087,1358,0
3117,1331,0
3145,1297,0
3170,1267,0
3192,1252,0
3209,1251,0
3220,1259,0
3221,1274,0
3217,1298,0
3199,1323,0
3187,1346,0
3180,1358,0
3178,1360,0
3183,1359,0
3189,1348,0
3208,1324,0
3231,1297,0
3250,1276,0
3271,1271,0
3286,1278,0
3294,1289,0
3298,1307,0
3298,1331,0
3295,1356,0
3298,1374,0
3307,1384,0
3315,1385,0
3332,1380,0
3351,1363,0
3380,1339,0
3410,1306,0
3436,1272,0
3456,1247,0
3462,1233,0
3467,1233,0
3467,1233,0
3459,1240,0
3453,1252,0
3458,1261,0
3469,1266,0
3481,1267,0
3505,1265,0
3524,1261,0
