&quot;It &apos;s me, sir - Fred,&quot; panted
481
938,786,0
979,826,0
977,838,0
979,875,0
978,919,0
981,955,0
988,981,0
991,993,0
996,997,1
1008,801,0
1002,801,0
1011,838,0
1014,883,0
1017,919,0
1018,948,0
1020,964,0
1028,972,0
1035,972,1
960,786,0
960,786,0
962,786,0
961,787,0
960,786,0
960,791,0
963,808,0
982,847,0
981,879,0
971,906,0
967,938,0
967,966,0
972,990,0
972,1006,0
977,1015,0
983,1015,0
987,1004,1
1020,787,0
1025,791,0
1019,787,0
1020,791,0
1032,808,0
1035,836,0
1037,868,0
1041,905,0
1043,937,0
1037,957,0
1044,982,0
1044,993,0
1046,996,1
1071,817,0
1068,817,0
1066,817,0
1068,830,0
1068,866,0
1064,914,0
1059,965,0
1054,1018,0
1058,1069,0
1057,1112,0
1057,1149,0
1058,1172,0
1067,1189,1
1167,860,0
1158,861,0
1159,869,0
1166,900,0
1178,943,0
1196,989,0
1204,1025,0
1209,1056,0
1211,1084,0
1211,1105,0
1208,1113,0
1205,1109,0
1198,1097,1
1097,1049,0
1104,1053,0
1114,1049,0
1145,1047,0
1189,1042,0
1233,1032,0
1273,1020,0
1295,998,0
1300,967,1
1338,833,0
1330,837,0
1329,853,0
1334,873,0
1348,898,1
1551,969,0
1546,967,0
1534,965,0
1521,972,0
1497,989,0
1469,1012,0
1440,1037,0
1419,1054,0
1419,1059,0
1435,1057,0
1480,1052,0
1522,1039,0
1563,1040,0
1590,1044,0
1601,1051,0
1600,1056,0
1605,1072,0
1583,1088,0
1559,1111,0
1537,1131,0
1509,1143,0
1486,1148,0
1474,1149,0
1474,1150,0
1483,1146,1
1952,1073,0
1927,1070,0
1912,1068,0
1897,1054,0
1883,1029,0
1882,1001,0
1885,977,0
1899,958,0
1912,943,0
1934,943,0
1954,957,0
1963,977,0
1964,994,0
1967,1007,0
1967,1013,0
1968,1012,0
1976,1009,0
1993,985,0
2022,950,0
2063,927,0
2090,924,0
2114,938,0
2136,968,0
2148,1011,0
