&quot;I aim to,&quot; I said, cold as a fish.
485
676,1878,0
678,1882,0
676,1878,0
676,1878,0
676,1874,0
678,1878,0
677,1879,0
677,1894,0
673,1939,0
675,1968,0
678,1977,0
680,1978,0
685,1958,0
697,1924,0
710,1894,0
724,1877,0
735,1874,0
747,1885,0
755,1927,0
756,1976,0
759,1997,1
979,1850,0
982,1858,0
986,1894,0
987,1950,0
984,2026,0
980,2094,0
982,2126,0
987,2138,0
1005,2143,1
1317,2002,0
1317,2002,0
1317,2002,0
1310,2002,0
1294,2012,0
1271,2023,0
1251,2037,0
1240,2058,0
1241,2082,0
1252,2105,0
1271,2123,0
1289,2137,0
1305,2136,0
1322,2122,0
1333,2088,0
1334,2056,0
1329,2036,0
1321,2021,0
1320,2022,0
1321,2029,0
1321,2053,0
1332,2084,0
1346,2110,0
1363,2129,0
1381,2137,1
1445,2034,0
1450,2040,0
1452,2048,0
1450,2065,0
1448,2086,0
1456,2109,0
1467,2123,0
1486,2131,0
1506,2131,1
1550,2018,0
1556,2025,0
1562,2040,0
1563,2056,0
1563,2081,0
1565,2101,0
1566,2109,0
1564,2106,0
1565,2101,0
1568,2084,0
1575,2061,0
1582,2038,0
1594,2019,0
1606,2003,0
1616,2000,0
1626,2001,0
1636,2011,0
1642,2042,0
1643,2079,0
1628,2100,0
1628,2100,0
1635,2090,0
1646,2066,0
1654,2047,0
1670,2029,0
1685,2020,0
1700,2019,0
1704,2043,0
1709,2079,0
1714,2116,0
1708,2139,0
1725,2130,0
1735,2117,1
1495,1826,0
1499,1833,0
1497,1829,0
1497,1829,0
1506,1827,1
1944,1870,0
1954,1865,0
1959,1858,0
1963,1861,0
1958,1859,0
1961,1870,0
1952,1912,0
1955,1972,0
1959,2036,0
1967,2086,0
1980,2120,0
1984,2125,0
1993,2127,1
2049,2014,0
2056,2019,0
2055,2020,0
2040,2023,0
1998,2026,0
1947,2024,0
1909,2015,0
1894,2013,0
1901,2019,1
2198,2036,0
2198,2036,0
2192,2035,0
2168,2031,0
2133,2024,0
2108,2028,0
2096,2043,0
2100,2065,0
2116,2087,0
2147,2111,0
2184,2132,0
2221,2139,0
2251,2130,0
2259,2121,0
2257,2103,0
2237,2077,0
2207,2054,1
2323,1787,0
2330,1791,0
2332,1795,0
2329,1802,0
2323,1838,0
2315,1878,0
2313,1908,0
2316,1921,0
2335,1927,1
2386,1834,0
2393,1854,0
2391,1896,0
2390,1932,0
2392,1955,1
2304,2107,0
2311,2145,0
2307,2194,0
2302,2248,0
2292,2287,1
2830,1846,0
2832,1850,0
2835,1875,0
2835,1916,0
2837,1966,0
2831,2010,0
2822,2040,0
2820,2069,0
2825,2092,1
3136,1975,0
3135,1976,0
3119,1982,0
3096,1989,0
3076,1994,0
3059,2000,0
3059,2012,0
3059,2023,0
3071,2040,0
3093,2063,0
3117,2092,0
3139,2120,0
3153,2140,0
3152,2152,0
3136,2162,0
3103,2169,0
3068,2159,1
3291,2053,0
3295,2053,0
3296,2052,0
3291,2051,0
3269,2053,0
3240,2056,0
3219,2061,0
3201,2071,0
3199,2090,0
3206,2113,0
3221,2132,0
3240,2141,0
3267,2141,0
3288,2130,0
3305,2110,0
3313,2088,0
3311,2072,0
3312,2072,0
3314,2075,0
3311,2096,0
3315,2128,0
3325,2154,0
3339,2173,0
3356,2184,0
3381,2186,1
3470,2048,0
3484,2064,0
3489,2083,0
3492,2104,0
3486,2123,0
3481,2143,0
3477,2154,0
3476,2155,0
3485,2150,1
3439,1857,0
3443,1858,0
3440,1856,0
3438,1857,0
3440,1863,1
3658,2065,0
3659,2064,0
3649,2058,0
3633,2053,0
3610,2049,0
3593,2052,0
3576,2062,0
3571,2081,0
3579,2104,0
3590,2121,0
3610,2135,0
3620,2135,0
3639,2125,0
3655,2089,0
3659,2044,0
3654,1988,0
3653,1935,0
3645,1897,0
3636,1882,0
3638,1885,0
3644,1905,0
3650,1952,0
3670,2007,0
3684,2058,0
3699,2090,1
3867,2075,0
3868,2088,0
3855,2128,0
3841,2181,0
3829,2224,1
4231,2010,0
4230,2009,0
4231,2008,0
4226,2009,0
4206,2019,0
4176,2030,0
4155,2043,0
4139,2060,0
4132,2079,0
4144,2105,0
4167,2129,0
4197,2149,0
4229,2165,0
4268,2171,0
4302,2171,0
4326,2169,0
4345,2169,1
4479,2058,0
4479,2058,0
4476,2056,0
4455,2053,0
4436,2053,0
4416,2056,0
4406,2067,0
4399,2084,0
4404,2109,0
4423,2140,0
4445,2164,0
4470,2185,0
4489,2186,0
4511,2171,0
4519,2143,0
4514,2118,0
4498,2097,1
4591,1877,0
4595,1887,0
4587,1912,0
4578,1948,0
4575,1988,0
4578,2026,0
4587,2069,0
4601,2110,0
4624,2142,0
4645,2162,0
4667,2171,0
4695,2172,0
4719,2169,1
4794,2078,0
4795,2077,0
4787,2076,0
4768,2078,0
4741,2077,0
4729,2084,0
4722,2104,0
4725,2133,0
4735,2166,0
4755,2193,0
4772,2205,0
4794,2198,0
4814,2162,0
4825,2106,0
4823,2039,0
4816,1983,0
4809,1941,0
4796,1920,0
4800,1923,0
4808,1944,0
4821,1999,0
4833,2065,0
