sticking out all round. A coach, I thought,
987
288,2494,0
294,2487,0
313,2481,0
337,2468,0
383,2441,0
402,2422,0
417,2409,0
429,2400,0
437,2398,0
444,2404,0
450,2418,0
453,2444,0
455,2478,0
456,2511,0
458,2545,0
458,2581,0
452,2597,0
448,2604,0
441,2607,0
432,2600,0
424,2594,0
417,2588,0
414,2583,0
414,2574,0
419,2563,0
429,2545,0
441,2523,0
453,2502,1
579,2270,0
581,2287,0
578,2307,0
578,2331,0
576,2360,0
573,2400,0
569,2436,0
565,2468,0
564,2500,0
562,2528,0
561,2545,0
560,2552,0
559,2557,1
523,2470,0
528,2468,0
538,2461,0
552,2449,0
569,2444,0
588,2437,0
607,2428,0
624,2419,0
641,2418,0
656,2417,0
667,2419,0
675,2425,0
680,2426,0
682,2434,0
682,2446,0
678,2458,0
673,2477,0
672,2489,0
672,2502,0
673,2510,0
677,2522,0
681,2523,0
689,2524,0
699,2518,0
712,2504,0
726,2490,0
740,2476,0
754,2458,0
767,2444,0
777,2433,0
786,2417,0
793,2411,0
800,2403,0
803,2404,0
805,2400,0
805,2400,0
805,2400,0
805,2404,0
805,2404,0
805,2404,0
804,2403,0
804,2403,0
803,2404,0
803,2400,0
803,2404,0
803,2404,0
803,2404,0
803,2400,0
805,2404,0
807,2405,0
810,2405,0
812,2405,0
813,2405,0
813,2405,0
813,2405,0
808,2408,0
798,2415,0
789,2427,0
783,2441,0
779,2457,0
778,2478,0
779,2490,0
784,2507,0
791,2519,0
801,2520,0
813,2522,0
825,2515,0
839,2496,0
853,2473,0
865,2443,0
879,2416,0
892,2389,0
902,2357,0
911,2326,0
918,2306,0
924,2295,0
928,2291,0
928,2287,0
931,2292,0
931,2296,0
929,2308,0
926,2331,0
920,2359,0
914,2395,0
909,2431,0
902,2458,0
897,2482,0
892,2497,0
887,2505,0
886,2505,0
885,2504,0
886,2501,0
891,2485,0
902,2474,0
914,2455,0
925,2435,0
938,2428,0
946,2421,0
951,2417,0
955,2421,0
956,2425,0
952,2425,0
947,2437,0
938,2444,0
931,2456,0
926,2464,0
922,2463,0
922,2468,0
924,2471,0
928,2472,0
935,2476,0
943,2477,0
954,2477,0
965,2478,0
977,2478,0
989,2475,0
1003,2468,1
1044,2412,0
1049,2417,0
1052,2416,0
1052,2417,0
1054,2417,0
1054,2425,0
1052,2437,0
1050,2449,0
1051,2465,0
1049,2468,0
1054,2480,0
1056,2480,0
1065,2485,0
1076,2477,0
1084,2461,0
1094,2449,0
1104,2440,0
1113,2437,0
1119,2428,0
1124,2428,0
1129,2428,0
1133,2432,0
1134,2437,0
1134,2444,0
1135,2456,0
1136,2468,0
1137,2472,0
1140,2476,0
1141,2476,0
1145,2475,0
1150,2468,0
1160,2463,0
1169,2447,0
1181,2438,0
1192,2426,0
1200,2417,0
1209,2421,0
1213,2417,0
1219,2424,0
1221,2429,0
1225,2440,0
1228,2448,0
1234,2456,0
1242,2463,0
1252,2463,0
1266,2461,0
1281,2456,0
1293,2443,0
1304,2429,0
1312,2425,0
1312,2417,0
1310,2413,0
1307,2413,0
1301,2414,0
