a hold-up as any,&quot; he said, re-
788
466,2299,0
458,2288,0
450,2281,0
439,2278,0
428,2275,0
415,2274,0
399,2282,0
383,2298,0
369,2318,0
354,2347,0
340,2376,0
329,2406,0
323,2439,0
324,2463,0
332,2479,0
346,2492,0
365,2502,0
383,2503,0
402,2497,0
422,2481,0
437,2465,0
450,2444,0
459,2417,0
467,2390,0
472,2367,0
475,2342,0
473,2321,0
470,2309,0
466,2307,0
462,2310,0
461,2309,0
461,2318,0
464,2339,0
466,2365,0
471,2391,0
480,2419,0
496,2439,0
518,2457,0
547,2468,0
578,2467,0
608,2465,0
636,2454,0
662,2431,0
686,2403,1
893,2064,0
892,2060,0
893,2064,0
895,2075,0
894,2100,0
893,2136,0
890,2168,0
889,2208,0
890,2253,0
892,2301,0
896,2341,0
902,2377,0
908,2407,0
914,2427,0
919,2435,0
921,2435,0
921,2432,0
925,2420,0
934,2400,0
949,2369,0
970,2342,0
989,2315,0
1003,2296,0
1015,2288,0
1023,2288,0
1030,2292,0
1039,2300,0
1051,2325,0
1061,2349,0
1068,2376,0
1076,2400,0
1085,2420,0
1099,2432,1
1219,2260,0
1211,2256,0
1200,2258,0
1189,2270,0
1177,2286,0
1166,2311,0
1158,2335,0
1155,2359,0
1159,2379,0
1170,2391,0
1184,2395,0
1203,2398,0
1223,2396,0
1241,2386,0
1254,2366,0
1266,2349,0
1269,2321,0
1269,2301,0
1260,2277,0
1247,2262,0
1232,2251,0
1220,2248,0
1213,2244,0
1212,2244,0
1213,2248,0
1222,2256,0
1233,2259,0
1247,2258,0
1264,2253,0
1281,2243,0
1301,2233,0
1317,2211,0
1334,2189,0
1346,2167,0
1352,2147,0
1351,2126,0
1349,2114,0
1347,2111,0
1344,2107,0
1342,2107,0
1341,2115,0
1339,2140,0
1336,2169,0
1334,2200,0
1334,2233,0
1336,2265,0
1344,2297,0
1351,2324,0
1358,2347,1
1532,2289,0
1534,2276,0
1538,2268,0
1538,2259,0
1534,2252,1
1500,2255,0
1479,2259,0
1459,2271,0
1438,2287,0
1421,2309,0
1407,2332,0
1398,2354,0
1394,2371,0
1399,2386,0
1406,2393,0
1416,2396,0
1425,2391,0
1437,2380,0
1451,2362,0
1466,2334,0
1483,2307,0
1496,2276,0
1505,2246,0
1506,2209,0
1510,2179,0
1512,2150,0
1515,2121,0
1515,2096,0
1515,2079,0
1511,2068,0
1508,2065,0
1505,2065,0
1502,2066,0
1500,2075,0
1499,2096,0
1495,2121,0
1494,2154,0
