the time, Dan.&quot; Of course,
442
340,2536,0
328,2541,0
330,2550,0
331,2571,0
332,2605,0
333,2655,0
335,2706,0
335,2760,0
330,2817,0
324,2869,0
319,2914,0
318,2938,0
321,2951,1
252,2806,0
241,2811,0
242,2807,0
251,2811,0
272,2812,0
299,2820,0
331,2821,0
360,2816,0
381,2818,1
432,2550,0
433,2555,0
441,2574,0
450,2605,0
456,2648,0
454,2697,0
448,2748,0
436,2803,0
431,2844,0
429,2876,0
433,2893,0
442,2895,0
458,2890,0
477,2874,0
499,2851,0
521,2830,0
539,2823,0
551,2820,0
557,2826,0
557,2842,0
556,2862,0
554,2890,0
557,2912,0
564,2925,0
580,2931,0
605,2928,0
635,2917,0
665,2901,0
690,2881,0
707,2863,0
713,2844,0
711,2828,0
702,2813,0
687,2812,0
668,2821,0
650,2839,0
641,2861,0
641,2890,0
657,2917,0
678,2928,0
715,2945,1
1260,2554,0
1255,2583,0
1254,2631,0
1249,2675,0
1248,2731,0
1247,2784,0
1248,2828,0
1252,2863,0
1259,2890,0
1264,2906,0
1269,2914,0
1269,2914,0
1265,2902,1
1167,2823,0
1169,2823,0
1175,2819,0
1196,2818,0
1225,2817,0
1255,2815,0
1284,2813,0
1312,2818,0
1335,2817,0
1358,2826,0
1375,2832,0
1385,2843,0
1389,2855,0
1390,2875,0
1387,2892,0
1387,2912,0
1388,2924,0
1389,2927,0
1390,2927,0
1389,2903,1
1393,2596,0
1393,2596,0
1394,2596,0
1399,2604,0
1406,2619,1
1483,2806,0
1485,2806,0
1488,2813,0
1491,2829,0
1493,2857,0
1493,2881,0
1495,2902,0
1500,2913,0
1509,2916,0
1521,2910,0
1536,2890,0
1558,2871,0
1579,2843,0
1597,2827,0
1609,2820,0
1614,2823,0
1619,2826,0
1621,2842,0
1618,2859,0
1616,2881,0
1619,2896,0
1623,2899,0
1633,2893,0
1652,2885,0
1674,2868,0
1697,2847,0
1720,2833,0
1737,2833,0
1749,2834,0
1758,2840,0
1763,2852,0
1768,2871,0
1771,2886,0
1779,2905,0
1790,2914,0
1810,2922,0
1833,2920,0
1862,2915,0
1889,2903,0
1913,2888,0
1931,2866,0
1944,2844,0
1954,2833,0
1954,2825,0
1945,2815,0
1935,2814,0
1922,2823,0
1908,2840,0
1901,2862,0
1904,2887,0
1920,2911,0
1947,2928,0
1976,2931,1
2142,2884,0
2142,2889,0
2145,2905,0
2143,2931,0
2133,2960,1
2517,2674,0
2511,2710,0
2510,2760,0
2516,2802,0
2526,2847,0
2531,2876,0
2539,2904,0
2545,2919,0
2548,2922,1
2455,2685,0
2453,2673,0
2462,2654,0
2482,2638,0
2517,2627,0
2554,2625,0
2594,2628,0
2634,2646,0
2666,2668,0
2699,2704,0
2721,2742,0
2737,2784,0
2737,2822,0
2723,2854,0
2701,2886,0
2665,2912,0
2624,2931,0
2583,2943,0
2537,2946,0
2503,2946,0
2487,2945,0
2478,2940,0
2478,2931,0
2489,2922,0
2509,2911,1
2898,2792,0
2897,2789,0
2891,2778,0
2883,2774,0
2868,2774,0
2842,2782,0
2818,2803,0
2795,2828,0
2785,2863,0
2784,2892,0
2796,2912,0
2811,2917,0
2835,2917,0
2859,2910,0
2875,2895,0
2888,2877,0
2900,2854,0
2910,2832,0
2916,2814,0
2918,2803,0
2917,2799,0
2917,2799,0
2922,2806,0
2925,2818,0
2925,2837,0
2928,2864,0
2935,2894,0
2943,2917,0
2956,2932,0
2968,2938,0
2982,2938,0
2996,2929,0
3012,2913,0
3029,2896,0
3040,2873,0
3049,2852,0
3049,2832,0
3049,2817,0
3051,2811,0
3053,2810,0
3052,2810,0
3057,2821,0
3061,2839,0
3065,2860,0
3069,2881,0
3081,2904,0
3087,2913,0
3100,2919,0
3112,2915,0
3131,2906,0
3151,2890,0
3174,2873,0
3194,2857,0
3206,2847,0
3213,2842,0
3213,2842,0
3215,2846,0
3215,2856,0
3216,2871,0
3218,2889,0
3226,2908,0
3242,2922,0
3265,2929,0
3291,2928,0
3314,2921,1
3404,2924,0
3406,2928,0
3407,2927,0
3409,2931,0
3418,2943,0
3424,2948,0
3419,2947,0
3422,2946,0
3416,2934,1
3423,2460,0
3419,2458,0
3424,2470,0
3424,2487,0
3421,2512,1
3474,2458,0
3473,2459,0
3476,2473,0
3484,2499,0
3486,2526,1
4036,2690,0
4010,2707,0
3988,2732,0
3967,2761,0
3957,2802,0
3945,2838,0
3942,2876,0
3944,2910,0
3953,2935,0
3970,2952,0
3992,2958,0
4023,2954,0
4056,2936,0
4089,2912,0
4122,2882,0
4147,2841,0
4169,2804,0
4173,2767,0
4173,2738,0
4159,2711,0
4141,2695,0
4116,2687,0
4092,2690,0
4068,2700,0
4053,2717,1
4381,2634,0
4367,2633,0
4358,2637,0
4352,2654,0
4344,2677,0
4335,2709,0
4328,2749,0
4324,2794,0
4319,2844,0
4324,2900,0
4322,2951,0
4321,2995,0
4323,3036,0
4321,3062,0
4321,3078,0
4324,3081,0
4326,3074,1
4246,2917,0
4246,2916,0
4261,2918,0
4288,2917,0
4331,2917,1
4874,2835,0
4874,2832,0
4868,2829,0
4852,2830,0
4830,2840,0
4796,2852,0
4768,2871,0
4742,2893,0
4727,2913,0
4728,2932,0
4737,2947,0
4763,2958,0
4792,2960,1
5017,2845,0
5005,2840,0
