Appleton, Dan?&quot; &quot;That he &apos;s dead,&quot;
836
1439,2622,0
1438,2635,0
1436,2651,0
1440,2671,0
1447,2690,0
1457,2701,0
1464,2704,0
1469,2703,0
1474,2694,0
1481,2676,0
1486,2651,0
1489,2623,0
1491,2593,0
1488,2562,0
1478,2531,0
1462,2502,0
1447,2480,0
1430,2462,0
1416,2452,0
1406,2441,0
1407,2441,0
1414,2444,0
1432,2450,0
1454,2451,0
1478,2451,0
1500,2446,0
1518,2443,0
1530,2441,0
1534,2440,0
1534,2440,0
1532,2440,0
1534,2444,0
1529,2449,0
1528,2470,0
1527,2502,0
1524,2543,0
1519,2581,0
1517,2610,0
1517,2634,0
1517,2654,0
1514,2663,0
1515,2675,0
1517,2679,0
1515,2675,0
1513,2671,0
1510,2656,0
1503,2636,0
1496,2622,0
1487,2607,0
1482,2599,0
1482,2599,0
1483,2600,0
1485,2599,0
1496,2605,0
1516,2610,0
1543,2613,0
1564,2613,1
1592,2562,0
1592,2558,0
1592,2558,0
1594,2562,0
1597,2569,0
1599,2586,0
1602,2614,0
1602,2646,0
1602,2679,0
1602,2712,0
1603,2744,0
1603,2772,0
1603,2794,0
1602,2801,0
1604,2805,0
1604,2793,0
1602,2761,0
1604,2728,0
1604,2687,0
1607,2654,0
1613,2620,0
1621,2589,0
1635,2565,0
1650,2550,0
1665,2542,0
1681,2546,0
1696,2563,0
1699,2579,0
1696,2604,0
1688,2635,0
1672,2655,0
1662,2678,0
1655,2688,1
1739,2538,0
1739,2538,0
1742,2542,0
1742,2550,0
1742,2567,0
1743,2591,0
1746,2620,0
1746,2645,0
1748,2677,0
1748,2707,0
1747,2736,0
1745,2756,0
1744,2770,0
1743,2770,0
1739,2758,0
1739,2733,0
1743,2703,0
1745,2666,0
1749,2632,0
1753,2601,0
1762,2582,0
1773,2567,0
1787,2555,0
1806,2552,0
1824,2560,0
1833,2569,0
1835,2581,0
1829,2605,0
1812,2626,0
1797,2647,0
1786,2654,0
1784,2659,0
1784,2655,1
1860,2599,0
1863,2601,0
1870,2599,0
1882,2591,0
1894,2575,0
1904,2550,0
1918,2528,0
1929,2503,0
1934,2475,0
1937,2458,0
1932,2442,0
1923,2432,0
1916,2431,0
1908,2439,0
1896,2451,0
1891,2475,0
1890,2504,0
1894,2532,0
1899,2552,0
1907,2570,0
1917,2580,0
1930,2588,0
1944,2587,0
1966,2587,0
1989,2583,1
2031,2584,0
2039,2577,0
2047,2564,0
2058,2557,0
2065,2545,0
2068,2531,0
2069,2521,0
2067,2518,0
2059,2517,0
2046,2526,0
2023,2540,0
2001,2557,0
1994,2581,0
1991,2595,0
2005,2612,0
2029,2615,0
2068,2617,1
2235,2417,0
2233,2410,0
2233,2410,0
2232,2410,0
2235,2422,0
2233,2437,0
2233,2463,0
2234,2494,0
2233,2521,0
2241,2553,0
2243,2579,0
2245,2604,0
2241,2620,0
2240,2633,0
2241,2642,0
2239,2639,0
2239,2638,1
2190,2572,0
2192,2572,0
2193,2572,0
2195,2571,0
2206,2574,0
2220,2577,0
2234,2574,0
2251,2579,1
2338,2593,0
2335,2591,0
2332,2588,0
2332,2588,0
2334,2591,0
2344,2604,0
2355,2612,0
2374,2625,0
2389,2625,0
2403,2622,0
2413,2613,0
2423,2603,0
2429,2591,0
2425,2574,0
2412,2559,0
2391,2548,0
2373,2544,0
2360,2551,0
2349,2557,0
2345,2567,0
2350,2579,1
2475,2577,0
2484,2573,0
2482,2564,0
2481,2560,0
2480,2557,0
2480,2557,0
2479,2557,0
2478,2558,0
2482,2569,0
2487,2580,0
2497,2588,0
2515,2591,0
2534,2585,0
2556,2576,0
2571,2568,0
2575,2560,0
2577,2563,0
2575,2565,0
2572,2572,0
2575,2588,1
2704,2596,0
2703,2591,0
2700,2589,0
2702,2592,0
2702,2602,0
2702,2621,0
2696,2649,0
2682,2686,0
2665,2730,1
2953,2497,0
2953,2497,0
2953,2497,0
2954,2502,0
2963,2516,0
2966,2528,0
2977,2545,0
2984,2560,0
2984,2569,1
2881,2463,0
2874,2453,0
2869,2441,0
2873,2432,0
2888,2426,0
2907,2416,0
2941,2414,0
2980,2413,0
3012,2411,0
3046,2420,0
3074,2437,0
3086,2458,0
3090,2487,0
3083,2520,0
3064,2552,0
3035,2580,0
3003,2601,0
2972,2615,0
2944,2620,0
2922,2618,0
2908,2613,0
2897,2597,0
2898,2580,0
2907,2564,0
2931,2556,1
3195,2555,0
3202,2553,0
3210,2547,0
3218,2538,0
3228,2531,0
3228,2519,0
3226,2511,0
3215,2499,0
3200,2490,0
3182,2486,0
3155,2483,0
3132,2488,0
3109,2497,0
3095,2514,0
3091,2534,0
3094,2552,0
3103,2565,0
3117,2575,0
3139,2583,0
3160,2580,0
3179,2574,0
3194,2565,0
3203,2552,0
3213,2538,0
3218,2523,0
3217,2513,0
3221,2510,0
3218,2507,0
3216,2508,0
3214,2510,0
3214,2528,0
3210,2547,0
3216,2567,0
3220,2575,0
3237,2582,0
3252,2579,0
3267,2570,0
3286,2564,0
3296,2550,0
3301,2539,0
3302,2533,0
3298,2531,0
3300,2535,0
3296,2538,0
3296,2550,0
3306,2562,0
3314,2566,0
3331,2566,0
3352,2563,0
3366,2555,0
3378,2549,0
3383,2543,0
3387,2545,0
3385,2547,0
3387,2556,0
3395,2572,0
3416,2584,1
3528,2388,0
3520,2374,0
3513,2362,0
3514,2356,0
3508,2345,0
3519,2338,0
3531,2330,0
3557,2326,0
3589,2325,0
3621,2331,0
3643,2341,0
3661,2357,0
3663,2374,0
3658,2393,0
3643,2410,0
3626,2429,0
3611,2446,0
3598,2460,0
3592,2473,0
3590,2480,0
3591,2491,1
3576,2593,0
3572,2592,0
3565,2593,0
3558,2596,0
3554,2601,0
3551,2603,0
3554,2606,0
3559,2606,0
3565,2606,1
3736,2343,0
3738,2334,0
3738,2328,0
3738,2328,0
3736,2330,0
3735,2344,0
3737,2360,0
3740,2370,0
3747,2373,0
3749,2371,0
3759,2365,0
3767,2356,0
3771,2343,0
3771,2333,0
3769,2328,0
3765,2327,0
3764,2334,0
3767,2349,0
3789,2361,0
3813,2357,0
3829,2355,1
4014,2338,0
4012,2333,0
4012,2333,0
4013,2332,0
4012,2333,0
4015,2342,0
4012,2359,0
4011,2382,0
4004,2398,0
4003,2406,0
4005,2410,0
4002,2407,0
4007,2405,0
4015,2390,0
4023,2371,0
4028,2358,0
4034,2357,0
4033,2359,0
4037,2373,0
4040,2397,0
4037,2420,1
4222,2328,0
4211,2323,0
4215,2326,0
4208,2328,0
4206,2344,0
4192,2364,0
4190,2396,0
4184,2429,0
4180,2463,0
4176,2496,0
4172,2526,0
4167,2553,0
4166,2581,0
4161,2600,0
4160,2613,0
4162,2624,0
4163,2629,0
4163,2629,0
4164,2627,0
4165,2627,0
4165,2627,0
4162,2624,0
4163,2623,0
4163,2623,0
4159,2621,0
4162,2624,0
4159,2622,0
4162,2625,0
4162,2625,0
4161,2625,0
4163,2629,0
4158,2630,0
4159,2622,1
4133,2308,0
4142,2311,0
4138,2309,0
4147,2310,0
4159,2315,0
4171,2317,0
4186,2318,0
4215,2317,0
4234,2310,0
4265,2308,0
4280,2307,0
4294,2316,0
4308,2330,1
4296,2397,0
4290,2384,0
4283,2375,0
4284,2372,0
4277,2369,0
4283,2375,0
4273,2380,0
4273,2402,0
4265,2434,0
4262,2472,0
4259,2510,0
4263,2539,0
4268,2557,0
4275,2564,0
4275,2562,0
4280,2557,0
4297,2547,0
4311,2521,0
4326,2493,0
4342,2471,0
4342,2457,0
4345,2460,0
4341,2465,0
4335,2488,0
4333,2519,0
4337,2545,0
4353,2564,0
4372,2573,0
4397,2579,0
4424,2576,0
4451,2566,0
4489,2553,0
4514,2532,0
4530,2509,0
4531,2491,0
4527,2484,0
4501,2479,0
4476,2487,0
4447,2502,0
4420,2521,0
4401,2546,0
4391,2561,0
4397,2572,0
4418,2578,0
4445,2573,0
4484,2568,0
4506,2557,0
4531,2550,0
4536,2549,0
4539,2551,0
4528,2554,0
4526,2571,0
4533,2589,1
4601,2371,0
4601,2355,0
4606,2345,0
4606,2340,0
4606,2340,0
4605,2348,0
4607,2367,0
4601,2398,0
4603,2440,0
4603,2479,0
4599,2507,0
4602,2531,0
4603,2549,0
4609,2563,0
4603,2565,0
4610,2568,0
4604,2562,0
4608,2550,0
4605,2533,0
4603,2521,0
4591,2510,0
4586,2504,0
4579,2500,0
4575,2498,0
4579,2499,0
4580,2499,0
4584,2499,0
4606,2502,0
4625,2503,0
4644,2504,0
4652,2504,0
4653,2504,0
4657,2506,0
4652,2506,0
4652,2506,0
4652,2507,0
4652,2507,0
4652,2507,0
4649,2504,0
4652,2504,0
4654,2503,0
4654,2503,0
4654,2503,0
4654,2503,0
4654,2503,0
4653,2504,0
4649,2502,0
4649,2504,0
4649,2503,0
4652,2506,0
4652,2506,0
4655,2509,0
4652,2506,0
4652,2507,0
4652,2506,0
4649,2504,0
4649,2503,0
4652,2504,0
4652,2504,0
4657,2506,0
4653,2504,0
4657,2506,0
4653,2504,0
4656,2507,0
4652,2504,1
4937,2344,0
4939,2340,0
4936,2340,0
4939,2349,0
4941,2371,0
4932,2403,0
4923,2441,0
4917,2482,0
4912,2521,0
4906,2553,0
4901,2584,0
4908,2610,0
4913,2624,1
4930,2590,0
4928,2593,0
4933,2601,0
4932,2609,0
4936,2618,0
4938,2623,0
4944,2628,0
4945,2626,0
4949,2620,0
4962,2608,0
4967,2591,0
4973,2574,0
4976,2555,0
