Take it easy, mister, &quot;I sang
525
1066,2772,0
1064,2773,0
1063,2768,0
1064,2777,0
1068,2789,0
1069,2808,0
1071,2837,0
1070,2864,0
1068,2900,0
1066,2936,0
1064,2968,0
1062,3001,0
1062,3029,0
1064,3056,0
1064,3069,0
1063,3076,0
1061,3081,1
953,2733,0
955,2729,0
961,2726,0
974,2726,0
996,2724,0
1022,2724,0
1051,2725,0
1080,2729,0
1107,2733,1
1307,2964,0
1303,2964,0
1293,2969,0
1278,2970,0
1264,2982,0
1254,2995,0
1248,3007,0
1248,3016,0
1252,3019,0
1260,3015,0
1274,3014,0
1285,3001,0
1296,2989,0
1305,2975,0
1314,2967,0
1318,2963,0
1322,2966,0
1324,2970,0
1329,2989,0
1334,3009,0
1341,3029,0
1348,3045,0
1351,3052,0
1355,3056,0
1357,3055,1
1372,2789,0
1375,2796,0
1376,2815,0
1379,2848,0
1380,2888,0
1382,2936,0
1385,2972,0
1388,2992,0
1393,2999,0
1401,2999,0
1414,2997,0
1430,2987,0
1446,2973,0
1460,2955,0
1472,2941,0
1479,2927,0
1483,2919,1
1436,2994,0
1438,3006,0
1446,3013,0
1459,3019,0
1474,3021,0
1491,3019,0
1505,3017,0
1518,3011,0
1529,3005,1
1588,2999,0
1600,3001,0
1612,2995,0
1624,2989,0
1635,2975,0
1644,2960,0
1652,2954,0
1652,2947,0
1649,2943,0
1641,2941,0
1627,2939,0
1614,2954,0
1598,2970,0
1588,2987,0
1585,3008,0
1591,3028,0
1603,3037,0
1627,3054,0
1653,3056,0
1681,3054,0
1706,3045,1
2152,2907,0
2150,2907,0
2154,2914,0
2157,2926,0
2163,2945,0
2168,2960,0
2171,2972,0
2174,2984,0
2178,2999,0
2176,3008,0
2178,3016,0
2178,3016,0
2179,3004,1
2133,2755,0
2128,2756,0
2126,2757,0
2128,2770,0
2130,2786,1
2295,2678,0
2293,2683,0
2296,2704,0
2292,2728,0
2295,2762,0
2297,2796,0
2297,2832,0
2302,2878,0
2303,2921,0
2306,2959,0
2310,2983,0
2315,2999,0
2317,3003,1
2250,2919,0
2246,2919,0
2248,2923,0
2248,2919,0
2263,2922,0
2288,2923,0
2317,2924,0
2345,2924,0
2368,2922,1
2713,2925,0
2714,2924,0
2722,2924,0
2744,2925,0
2770,2919,0
2800,2910,0
2823,2890,0
2843,2873,0
2858,2858,0
2869,2851,0
2871,2844,0
2872,2844,0
2862,2841,0
2844,2840,0
2823,2847,0
2799,2863,0
2774,2884,0
2755,2910,0
2740,2928,0
2738,2948,0
2742,2960,0
2761,2972,0
2789,2977,0
2825,2979,0
2855,2970,1
3045,2881,0
3027,2888,0
3001,2896,0
2976,2910,0
2958,2926,0
2943,2941,0
2946,2958,0
2949,2966,0
2959,2969,0
2974,2968,0
2994,2965,0
3010,2949,0
3028,2931,0
3041,2912,0
3054,2898,0
3060,2889,0
3064,2890,0
3066,2894,0
3068,2902,0
3072,2919,0
3077,2936,0
3083,2951,0
3090,2961,0
3095,2967,0
3103,2967,1
3233,2867,0
3229,2866,0
3221,2867,0
3203,2871,0
3187,2884,0
3170,2896,0
3163,2907,0
3160,2909,0
3165,2910,0
3182,2913,0
3205,2919,0
3224,2920,0
3245,2924,0
3252,2924,0
3252,2924,0
3253,2928,0
3243,2931,0
3223,2941,0
3206,2954,0
3187,2964,0
3173,2970,1
3484,2859,0
3482,2867,0
3478,2881,0
3467,2900,0
3457,2926,0
3439,2957,0
3419,2990,0
3400,3025,0
3382,3060,0
3370,3091,0
3354,3108,0
3346,3119,0
3344,3122,1
3332,2844,0
3335,2852,0
3339,2863,0
3357,2885,0
3367,2897,1
3638,2974,0
3641,2977,0
3638,2989,0
3635,3014,0
3628,3042,0
3616,3069,0
3608,3096,0
3601,3113,0
3602,3127,1
3969,2794,0
3968,2796,0
3957,2797,0
3942,2806,0
3923,2821,0
3909,2842,0
3896,2861,0
3890,2879,0
3889,2892,0
3892,2905,0
3892,2911,0
3897,2917,0
3899,2921,0
3899,2921,0
3899,2921,0
3899,2921,0
3900,2920,0
3902,2918,0
3905,2904,0
3918,2885,0
3936,2866,0
3956,2844,0
3981,2830,0
4000,2820,0
4014,2818,0
4021,2822,0
4027,2833,0
4029,2848,0
4032,2861,0
4037,2869,0
4038,2867,0
4048,2863,0
4061,2854,0
4075,2838,0
4098,2825,0
4113,2813,0
4122,2810,0
4135,2818,0
4141,2830,0
4150,2849,0
4155,2869,0
4159,2883,0
4161,2893,0
4165,2900,0
4170,2900,1
4306,2815,0
4308,2825,0
4316,2846,0
4316,2866,0
4318,2888,0
4320,2910,0
4321,2928,0
4311,2933,0
4306,2933,1
4260,2751,0
4257,2748,0
4261,2748,0
4259,2745,0
4267,2748,0
4273,2753,0
4290,2765,0
4302,2775,0
4324,2786,1
4490,2808,0
4490,2810,0
4487,2813,0
4472,2819,0
4456,2832,0
4431,2844,0
4411,2857,0
4401,2869,0
4396,2875,0
4395,2876,0
4403,2879,0
4422,2882,0
4444,2885,0
4465,2885,0
4479,2887,0
4488,2890,0
4486,2891,0
4480,2892,0
4469,2900,0
4449,2905,0
4427,2914,0
4409,2923,0
4394,2922,0
4391,2919,1
4537,2618,0
4541,2619,0
4543,2624,0
4541,2639,0
4544,2663,0
4547,2693,0
4550,2730,0
4551,2768,0
4549,2804,0
4550,2836,0
4557,2866,0
4559,2883,0
4560,2893,1
4520,2849,0
4521,2848,0
4521,2847,0
4531,2848,0
4550,2849,0
4570,2849,0
4587,2847,0
4600,2842,0
4610,2837,1
4699,2851,0
4702,2846,0
4714,2842,0
4722,2834,0
4729,2823,0
4724,2810,0
4717,2799,0
4702,2792,0
4688,2791,0
4675,2796,0
4659,2803,0
4652,2813,0
4646,2828,0
4649,2844,0
4657,2860,0
4666,2873,0
4684,2884,0
4702,2887,0
4725,2890,0
4739,2885,0
4748,2878,1
4823,2890,0
4824,2890,0
4821,2887,0
4818,2878,0
4818,2865,0
4816,2847,0
4818,2829,0
4817,2811,0
4821,2798,0
4822,2790,0
4824,2786,0
4826,2784,0
4830,2784,0
4843,2787,0
4859,2791,0
4876,2795,0
4898,2801,1
5043,2912,0
5040,2917,0
5044,2933,0
5052,2956,0
5054,2981,0
5058,3009,0
5045,3035,0
5031,3062,0
5011,3088,0
4997,3115,0
4973,3132,0
4958,3144,0
4951,3147,1
5275,2693,0
5271,2700,0
5272,2715,0
5270,2732,0
5269,2750,0
5269,2765,0
5265,2773,0
5267,2783,0
5265,2787,1
5320,2672,0
5324,2683,0
5325,2697,0
5323,2723,0
5331,2748,0
5328,2769,0
5330,2788,0
5328,2806,0
5328,2821,1
5518,2731,0
5518,2738,0
5521,2757,0
5523,2786,0
5527,2819,0
5529,2854,0
5529,2892,0
5528,2932,0
5525,2973,0
5522,3009,0
5525,3042,0
5522,3060,0
5527,3075,1
5858,2861,0
5857,2864,0
5856,2865,0
5842,2866,0
5800,2890,0
5779,2910,0
5753,2931,0
5729,2972,0
5728,2980,0
5738,2995,0
5762,3010,0
5788,3022,0
5820,3031,0
5840,3035,0
5854,3042,0
5861,3048,0
5857,3054,0
5850,3064,0
5827,3080,0
5803,3095,0
5775,3111,0
5756,3117,0
5745,3120,1
5960,2894,0
5932,2909,0
5902,2930,0
5886,2951,0
5876,2975,0
5873,2994,0
