while you can.&quot; &quot;Oh, I do,
517
576,3203,0
573,3203,0
567,3214,0
558,3240,0
547,3255,0
538,3291,0
526,3320,0
518,3380,0
518,3404,0
525,3422,0
535,3419,0
548,3417,0
567,3400,0
588,3358,0
610,3326,0
629,3292,0
646,3262,0
656,3252,0
656,3255,0
655,3264,0
651,3284,0
648,3303,0
651,3332,0
661,3361,0
678,3376,0
700,3378,0
723,3373,0
740,3350,0
750,3332,0
753,3308,0
752,3284,0
748,3263,0
740,3246,0
731,3241,0
722,3236,0
717,3240,0
716,3235,1
861,3088,0
856,3105,0
849,3132,0
840,3159,0
830,3199,0
822,3238,0
814,3277,0
808,3317,0
808,3349,0
813,3370,0
823,3382,0
837,3384,0
858,3365,0
933,3253,0
960,3230,0
977,3218,0
982,3211,0
981,3215,0
974,3227,0
967,3250,0
960,3334,0
972,3335,0
993,3327,0
1052,3292,0
1081,3269,0
1106,3248,0
1126,3240,0
1134,3240,0
1134,3245,0
1132,3256,0
1131,3280,0
1126,3304,0
1117,3320,0
1107,3337,0
1100,3352,0
1099,3360,0
1102,3360,0
1105,3348,0
1111,3341,1
1160,3060,0
1157,3060,0
1158,3059,0
1159,3064,0
1163,3064,1
1138,3364,0
1142,3363,0
1151,3356,0
1165,3347,0
1187,3334,0
1212,3306,0
1243,3272,0
1273,3234,0
1299,3192,0
1319,3155,0
1334,3118,0
1342,3093,0
1344,3073,0
1337,3065,0
1327,3066,0
1310,3076,0
1290,3101,0
1266,3139,0
1245,3188,0
1225,3226,0
1216,3257,0
1219,3298,0
1229,3317,0
1249,3332,0
1276,3330,0
1305,3325,0
1336,3310,0
1363,3288,0
1389,3262,0
1411,3231,0
1427,3204,0
1431,3180,0
1428,3173,0
1416,3170,0
1398,3180,0
1378,3198,0
1360,3220,0
1347,3245,0
1344,3274,0
1345,3289,0
1356,3305,0
1375,3310,0
1403,3316,0
1438,3313,0
1476,3300,1
1758,3169,0
1751,3175,0
1742,3197,0
1729,3225,0
1716,3247,0
1709,3277,0
1708,3302,0
1714,3313,0
1725,3310,0
1746,3303,0
1770,3281,0
1794,3255,0
1815,3229,0
1832,3201,0
1841,3178,0
1844,3173,0
1841,3170,0
1838,3179,0
1826,3227,0
1816,3262,0
1803,3306,0
1785,3351,0
1765,3401,0
1744,3445,0
1723,3491,0
1700,3524,0
1677,3548,0
1662,3563,0
1658,3564,0
1658,3551,0
1664,3518,0
1680,3474,1
2007,3173,0
2007,3173,0
1998,3163,0
1988,3162,0
1976,3165,0
1959,3175,0
1940,3193,0
1923,3214,0
1913,3238,0
1908,3259,0
1908,3276,0
1918,3291,0
1930,3296,0
1944,3291,0
1961,3279,0
1979,3260,0
1999,3238,0
2012,3209,0
2022,3185,0
2025,3168,0
2024,3159,0
2026,3163,0
2022,3160,0
2024,3167,0
2034,3182,0
2048,3194,0
2071,3202,0
2096,3203,0
2126,3197,0
2158,3186,0
2185,3163,0
2210,3141,0
2227,3122,0
2236,3114,0
2233,3111,0
2231,3115,0
2221,3124,0
2210,3153,0
2195,3185,0
2181,3220,0
2171,3253,0
2171,3279,0
2178,3293,0
2187,3294,0
2206,3292,0
2229,3275,0
2260,3250,0
2292,3216,0
2323,3178,0
2350,3153,0
2367,3137,0
2369,3132,0
2371,3140,0
2363,3156,0
2359,3193,0
2350,3228,0
2345,3259,1
2725,3117,0
2721,3109,0
2712,3101,0
2697,3095,0
2678,3097,0
2651,3103,0
2618,3111,0
2584,3133,0
2555,3160,0
2539,3195,0
2523,3216,0
2525,3242,0
2538,3262,0
2554,3268,0
2587,3274,0
2622,3266,0
2663,3255,1
2845,3153,0
2849,3143,0
2847,3134,0
2843,3127,0
2833,3119,0
2823,3117,0
2805,3117,0
2779,3123,0
2756,3136,0
2739,3159,0
2724,3181,0
2722,3210,0
2721,3228,0
2733,3245,0
2746,3247,0
2770,3243,0
2797,3233,0
2823,3208,0
2852,3182,0
2873,3151,0
2885,3130,0
2891,3126,0
2890,3127,0
2883,3136,0
2872,3156,0
2866,3184,0
2859,3210,0
2858,3230,0
2866,3244,0
2882,3248,0
2902,3240,0
2927,3221,0
2955,3195,0
2981,3169,0
3002,3151,0
3011,3140,0
3011,3140,0
3011,3150,0
3007,3167,0
3000,3185,0
2998,3206,0
3001,3228,0
3006,3238,0
3019,3244,0
3035,3234,0
3060,3218,0
3090,3199,0
3119,3180,0
3139,3165,0
3149,3163,0
3153,3171,0
3149,3187,0
3146,3214,0
3141,3237,0
3142,3255,0
3146,3262,1
3319,3214,0
3316,3217,0
3314,3218,0
3313,3219,0
3313,3219,0
3310,3216,0
3311,3215,0
3313,3215,0
3323,3211,1
3489,2920,0
3486,2926,0
3482,2941,0
3477,2956,0
3474,2974,1
3530,2916,0
3527,2917,0
3527,2922,0
3528,2933,0
3527,2944,0
3520,2955,0
3520,2972,0
3522,2980,0
3527,2982,1
3989,2914,0
3983,2938,0
3976,2958,0
3973,2977,0
3976,2991,1
4028,2884,0
4026,2893,0
4013,2906,0
4010,2928,0
4005,2944,0
4004,2962,0
4006,2972,0
4014,2975,0
4024,2970,1
4363,2996,0
4360,2975,0
4356,2960,0
4345,2943,0
4328,2926,0
4316,2915,0
4296,2907,0
4275,2907,0
4251,2911,0
4225,2924,0
4203,2948,0
4176,2977,0
4153,3015,0
4138,3054,0
4130,3092,0
4130,3126,0
4144,3157,0
4162,3178,0
4184,3190,0
4213,3190,0
4239,3180,0
4271,3164,0
4304,3140,0
4336,3111,0
4361,3077,0
4379,3043,0
4392,3011,0
4392,2980,0
4387,2960,0
4379,2952,0
4369,2952,0
4362,2960,0
4359,2969,0
4358,2982,0
4367,2998,0
4383,3010,0
4403,3009,0
4434,3004,0
4465,2986,0
4495,2963,0
4526,2938,0
4541,2911,0
4553,2891,0
4555,2882,0
4547,2878,0
4536,2887,0
4521,2905,0
4505,2937,0
4490,2980,0
4474,3025,0
4459,3068,0
4447,3106,0
4437,3143,0
4432,3166,0
4438,3177,0
4447,3180,0
4461,3169,0
4484,3149,0
4516,3119,0
4546,3088,0
4575,3066,0
4601,3060,0
4612,3059,0
4621,3067,0
4624,3083,0
4627,3104,0
4630,3127,0
4632,3148,0
4640,3165,1
4834,3198,0
4834,3199,0
4833,3201,0
4830,3216,0
4816,3233,0
4809,3262,0
4794,3284,0
4789,3304,0
4784,3309,1
5136,2926,0
5125,2948,0
5116,2975,0
5103,3008,0
5088,3042,0
5074,3069,0
5071,3094,0
