,, Please don&apos;t try to brazen it
544
566,4949,0
560,4956,0
557,4973,0
559,4977,0
564,4973,0
571,4962,1
610,4901,0
614,4934,0
610,4945,0
611,4969,0
614,4982,0
617,4982,0
617,4978,1
885,4688,0
887,4712,0
895,4749,0
900,4781,0
902,4817,0
902,4833,0
901,4849,0
902,4857,0
901,4857,1
762,4649,0
760,4633,0
766,4618,0
782,4594,0
807,4579,0
834,4566,0
867,4559,0
899,4548,0
930,4546,0
953,4543,0
971,4555,0
981,4571,0
980,4591,0
968,4611,0
948,4638,0
914,4657,0
876,4684,0
844,4698,0
823,4709,0
817,4705,0
827,4698,1
1059,4613,0
1060,4636,0
1066,4669,0
1067,4701,0
1072,4740,0
1067,4765,0
1067,4784,0
1065,4796,0
1068,4804,1
1159,4724,0
1173,4728,0
1183,4719,0
1188,4707,0
1192,4707,0
1194,4699,0
1194,4695,0
1189,4683,0
1184,4683,0
1175,4683,0
1165,4692,0
1154,4696,0
1143,4708,0
1137,4724,0
1131,4752,0
1139,4772,0
1148,4780,0
1162,4792,0
1177,4792,0
1196,4783,0
1214,4779,1
1337,4693,0
1327,4685,0
1317,4682,0
1305,4675,0
1295,4679,0
1286,4688,0
1275,4704,0
1269,4741,0
1267,4764,0
1271,4777,0
1275,4780,0
1283,4784,0
1293,4780,0
1305,4771,0
1318,4763,0
1328,4754,0
1335,4741,0
1338,4733,0
1339,4729,0
1337,4729,0
1341,4745,0
1345,4753,0
1352,4760,0
1361,4776,0
1375,4783,0
1390,4782,0
1407,4777,0
1426,4768,0
1447,4753,1
1568,4642,0
1517,4659,0
1498,4673,0
1484,4683,0
1478,4699,0
1478,4707,0
1483,4710,0
1496,4717,0
1515,4720,0
1536,4722,0
1555,4719,0
1570,4727,0
1580,4733,0
1585,4741,0
1584,4753,0
1576,4762,0
1561,4772,0
1541,4785,0
1520,4792,0
1499,4789,0
1483,4783,0
1473,4776,0
1474,4760,1
1628,4731,0
1628,4731,0
1632,4727,0
1642,4717,0
1661,4715,0
1679,4705,0
1700,4702,0
1715,4696,0
1729,4690,0
1735,4689,0
1739,4689,0
1739,4684,0
1737,4685,0
1734,4685,0
1726,4678,0
1715,4672,0
1655,4724,0
1665,4759,0
1686,4781,0
1698,4771,0
1720,4772,0
1738,4765,1
2235,4620,0
2231,4622,0
2221,4608,0
2211,4606,0
2197,4602,0
2180,4598,0
2162,4606,0
2142,4619,0
2120,4637,0
2099,4662,0
2091,4701,0
2088,4718,0
2099,4731,0
2120,4736,0
2145,4726,0
2171,4707,0
2198,4684,1
2263,4548,0
2260,4573,0
2253,4604,0
2251,4646,0
2250,4679,0
2256,4707,0
2260,4722,0
2265,4729,0
2268,4723,1
2374,4603,0
2366,4606,0
2355,4613,0
2342,4625,0
2333,4648,0
2329,4673,0
2331,4698,0
2345,4712,0
2355,4713,0
2374,4715,0
2388,4703,0
2401,4688,0
2408,4664,0
2408,4644,0
2405,4623,0
2403,4616,0
2394,4606,0
2386,4604,0
2376,4606,0
2367,4605,0
2359,4608,0
2359,4608,0
2360,4607,0
2367,4601,0
2384,4601,0
2403,4582,0
2429,4570,0
2461,4560,0
2489,4552,0
2515,4547,0
2536,4549,0
2548,4553,0
2554,4567,0
2556,4588,0
2556,4613,0
2553,4640,0
2553,4661,0
2555,4673,0
2556,4677,0
2560,4676,0
2569,4669,0
2583,4656,0
2593,4630,0
2612,4620,0
2625,4611,0
2631,4613,0
2640,4631,0
2644,4651,0
2651,4674,0
2662,4691,0
2678,4699,0
2699,4695,0
2716,4673,1
2750,4527,0
2751,4557,0
2750,4574,0
2758,4592,1
2930,4471,0
2930,4476,0
2931,4489,0
2930,4515,0
2924,4548,0
2926,4599,0
2921,4628,0
2928,4663,0
2936,4682,0
2941,4688,0
2944,4682,0
2956,4677,0
2967,4664,1
2890,4588,0
2887,4581,0
2906,4582,0
2928,4572,0
2953,4575,1
3437,4410,0
3433,4420,0
3432,4444,0
3428,4478,0
3427,4529,0
3429,4569,0
3438,4605,0
3440,4622,0
3443,4629,1
3367,4515,0
3373,4512,0
3391,4502,0
3424,4494,0
3460,4488,0
3496,4477,0
3524,4466,0
3549,4461,0
3565,4451,1
3555,4449,0
3556,4466,0
3562,4495,0
3567,4534,0
3568,4565,0
3571,4591,0
3571,4601,0
3571,4600,0
3569,4597,0
3568,4588,0
3565,4567,0
3569,4542,0
3581,4512,0
3594,4482,0
3621,4466,0
3653,4455,0
3686,4449,1
3738,4441,0
3737,4460,0
3739,4488,0
3734,4514,0
3735,4538,0
3741,4557,0
3743,4560,0
3749,4556,0
3761,4549,0
3774,4536,0
3788,4514,0
3798,4488,0
3812,4470,0
3826,4461,0
3832,4457,0
3835,4460,0
3834,4465,0
3830,4478,0
3829,4497,0
3824,4519,0
3825,4556,0
3826,4594,0
3824,4628,0
3821,4654,0
3814,4681,0
3802,4698,0
3785,4708,0
3765,4710,0
3742,4710,1
4239,4369,0
4234,4387,0
4232,4425,0
4233,4468,0
4232,4509,0
4241,4542,0
4244,4565,0
4247,4577,0
4246,4577,1
4216,4490,0
4233,4493,0
