told me! Oh, he did, did he! Jamming
621
709,2685,0
709,2690,0
709,2690,0
716,2687,0
738,2678,0
769,2669,0
797,2665,0
822,2660,0
842,2654,1
807,2581,0
807,2581,0
805,2590,0
796,2613,0
776,2642,0
760,2668,0
748,2691,0
740,2702,0
737,2714,0
736,2721,0
736,2726,0
740,2722,0
745,2719,1
973,2619,0
973,2615,0
970,2610,0
965,2610,0
950,2613,0
926,2632,0
898,2659,0
880,2680,0
882,2689,0
891,2694,0
909,2691,0
938,2677,0
967,2658,0
987,2643,0
995,2639,0
992,2631,0
987,2623,0
979,2618,0
972,2618,0
970,2618,0
971,2622,1
1133,2528,0
1133,2528,0
1132,2528,0
1131,2532,0
1124,2544,0
1109,2572,0
1092,2601,0
1077,2625,0
1067,2641,0
1068,2653,0
1074,2661,0
1085,2657,0
1102,2644,1
1242,2572,0
1218,2577,0
1192,2598,0
1162,2620,0
1136,2644,0
1120,2664,0
1120,2668,0
1130,2664,0
1155,2648,0
1189,2614,0
1227,2580,0
1261,2554,0
1286,2528,0
1300,2502,0
1306,2490,0
1304,2486,0
1303,2490,0
1288,2499,0
1269,2529,0
1253,2558,0
1242,2584,0
1243,2603,0
1252,2615,0
1266,2622,0
1283,2624,1
1560,2548,0
1566,2543,0
1566,2539,0
1568,2543,0
1567,2551,0
1566,2572,0
1561,2597,0
1553,2619,0
1544,2630,0
1537,2635,0
1532,2636,0
1532,2635,0
1534,2627,0
1543,2613,0
1561,2593,0
1589,2572,0
1620,2548,0
1645,2530,0
1662,2530,0
1666,2533,0
1667,2545,0
1664,2571,0
1651,2594,0
1637,2614,0
1632,2627,0
1634,2631,0
1635,2631,0
1643,2625,0
1657,2605,0
1679,2584,0
1701,2562,0
1718,2552,0
1720,2548,0
1720,2548,0
1720,2560,0
1721,2572,0
1727,2584,0
1735,2593,0
1746,2595,0
1762,2591,0
1782,2581,0
1802,2567,0
1816,2549,0
1826,2529,0
1831,2516,0
1830,2507,0
1821,2502,0
1805,2507,0
1783,2522,0
1769,2543,0
1765,2561,0
1764,2573,0
1772,2588,0
1783,2596,0
1803,2603,0
1832,2607,0
1860,2603,1
1993,2437,0
1994,2435,0
1995,2439,0
1995,2448,0
1986,2464,0
1978,2489,0
1973,2516,0
1971,2543,0
1975,2567,1
2000,2605,0
1982,2611,0
1975,2614,0
1973,2615,0
1975,2614,1
2396,2397,0
2391,2396,0
2381,2402,0
2358,2419,0
2329,2453,0
2298,2493,0
2279,2529,0
2280,2548,0
2294,2553,0
2320,2553,0
2345,2536,0
2379,2513,0
2409,2482,0
2432,2460,0
2437,2438,0
2435,2425,0
2428,2415,1
2535,2382,0
2533,2383,0
2526,2393,0
2512,2425,0
2491,2453,0
2469,2479,0
2456,2510,0
2453,2526,0
2453,2526,0
2456,2525,0
2466,2519,0
2481,2495,0
2511,2478,0
2536,2458,0
2550,2453,0
2554,2455,0
2552,2466,0
2545,2489,0
2543,2509,0
2543,2528,1
2627,2522,0
2617,2529,0
2603,2551,0
2587,2586,0
2572,2618,1
2951,2301,0
2944,2318,0
2929,2357,0
2914,2406,0
2893,2442,0
2885,2475,0
2880,2494,0
2881,2499,0
2881,2498,0
2886,2495,0
2894,2473,0
2922,2445,0
2951,2412,0
2984,2399,0
3004,2398,0
3011,2408,0
3008,2425,0
3002,2452,0
2989,2473,0
2984,2487,0
2989,2499,0
2994,2499,0
3016,2498,0
3043,2480,0
3078,2455,0
3124,2430,0
3156,2401,0
3177,2382,0
3176,2371,0
3163,2368,0
3142,2376,0
3113,2392,0
3093,2415,0
3080,2432,0
3076,2452,0
3084,2470,0
3107,2482,0
3146,2480,0
3194,2463,0
3235,2443,0
3265,2424,1
3411,2367,0
3409,2364,0
3411,2361,0
3407,2359,0
3395,2367,0
3370,2387,0
3344,2420,0
3319,2445,0
3305,2457,0
3309,2459,0
3319,2456,0
3338,2437,0
3372,2402,0
3407,2360,0
3440,2323,0
3469,2299,0
3479,2287,0
3480,2287,0
3478,2289,0
3464,2304,0
3450,2338,0
3430,2376,0
3418,2412,0
3416,2431,0
3431,2439,0
3445,2436,0
3462,2425,0
3481,2410,0
3502,2393,0
3517,2383,0
3518,2381,0
3518,2387,0
3508,2410,0
3493,2427,0
3486,2439,0
3486,2444,0
3490,2441,1
3557,2294,0
3551,2289,0
3549,2286,0
3548,2287,0
3551,2296,1
3638,2355,0
3620,2356,0
3597,2365,0
3576,2384,0
3554,2400,0
3544,2417,0
3542,2432,0
3547,2439,0
3559,2439,0
3583,2422,0
3619,2393,0
3658,2362,0
3686,2328,0
3703,2301,0
3715,2280,0
3724,2269,0
3724,2269,0
3718,2269,0
3703,2281,0
3688,2301,0
3670,2328,0
3664,2355,0
3663,2381,0
3669,2398,0
3679,2410,1
3715,2430,0
3717,2429,0
3717,2429,0
3717,2429,0
3712,2434,0
3701,2459,0
3687,2487,0
3672,2509,0
3666,2522,1
4093,2345,0
4090,2328,0
4086,2320,0
4070,2315,0
4061,2328,0
4038,2352,0
4007,2388,0
3977,2433,0
3958,2469,0
3958,2482,0
3968,2483,0
3979,2475,0
4003,2451,0
4041,2415,0
4087,2374,0
4126,2332,0
4147,2289,0
4151,2262,0
4158,2259,0
4157,2260,0
4148,2266,0
4128,2295,0
4106,2346,0
4084,2397,0
4077,2427,0
4082,2439,0
4097,2447,0
4113,2446,0
4128,2432,0
4152,2413,0
4181,2386,0
4211,2357,0
4235,2338,0
4240,2337,0
4237,2335,0
4228,2347,0
4210,2374,0
4198,2404,0
4190,2429,0
4188,2451,0
4194,2458,1
4231,2280,0
4220,2268,0
4217,2265,0
4220,2266,0
4223,2270,1
4364,2318,0
4348,2312,0
4333,2321,0
4308,2337,0
4285,2371,0
4256,2413,0
4239,2450,0
4240,2475,0
4256,2487,0
4270,2482,0
4295,2460,0
4333,2427,0
4367,2385,0
4402,2340,0
4436,2302,0
4457,2277,0
4459,2265,0
4456,2263,0
4459,2265,0
4451,2270,0
4437,2292,0
4419,2321,0
4408,2353,0
4406,2385,0
4410,2408,0
4419,2422,0
4425,2434,0
4442,2446,0
4463,2444,1
4811,2191,0
4806,2193,0
4796,2210,0
4782,2244,0
4763,2287,0
4746,2331,0
4731,2364,0
4727,2379,0
4727,2386,0
4727,2386,0
4733,2386,0
4738,2376,0
4749,2350,0
4775,2314,0
4799,2282,0
4825,2273,0
4842,2277,0
4852,2292,0
4853,2315,0
4855,2342,0
4854,2362,0
4858,2378,0
4860,2381,0
4874,2383,0
4890,2371,0
4912,2348,0
4948,2318,0
4980,2285,0
5004,2256,0
5014,2246,0
5007,2241,0
4995,2239,0
4975,2243,0
4947,2260,0
4923,2287,0
4902,2317,0
4896,2344,0
4900,2361,0
4920,2374,0
4949,2382,0
4983,2377,1
5231,2145,0
5226,2142,0
5230,2145,0
5232,2151,0
5223,2170,0
5213,2200,0
5195,2234,0
5179,2268,0
5163,2296,1
5127,2390,0
5117,2392,0
5117,2391,0
5118,2391,0
5118,2389,0
5118,2389,0
5127,2391,0
5134,2386,0
5133,2379,1
5444,2188,0
5438,2183,0
5439,2180,0
5440,2178,0
5452,2170,0
5470,2161,0
5490,2156,0
5503,2156,0
5510,2159,0
5509,2172,0
5506,2197,0
5494,2232,0
5480,2282,0
5461,2338,0
5436,2386,0
5419,2420,0
5402,2443,0
5390,2460,0
5373,2474,0
5362,2486,0
5351,2490,0
5347,2488,0
5346,2481,0
