From the saddle, Brock said, &quot;You
689
573,3579,0
569,3578,0
569,3574,0
570,3575,0
569,3587,0
569,3603,0
566,3627,0
559,3658,0
551,3697,0
544,3737,0
538,3772,0
532,3800,0
530,3803,1
559,3544,0
560,3541,0
564,3537,0
571,3535,0
584,3532,0
606,3527,0
635,3520,0
666,3511,0
694,3506,0
715,3505,0
728,3502,0
731,3510,0
723,3522,1
555,3658,0
555,3662,0
562,3662,0
579,3661,0
600,3656,0
624,3647,0
646,3645,0
668,3645,0
688,3650,1
694,3805,0
690,3800,0
685,3783,0
684,3766,0
685,3751,0
690,3728,0
698,3704,0
709,3685,0
719,3670,0
733,3660,0
748,3649,0
766,3646,0
787,3645,1
891,3664,0
885,3655,0
878,3655,0
866,3654,0
849,3657,0
833,3668,0
820,3683,0
810,3694,0
804,3718,0
805,3734,0
816,3747,0
834,3752,0
857,3750,0
883,3743,0
909,3724,0
929,3709,0
943,3694,0
946,3678,0
941,3670,0
928,3661,0
910,3652,0
895,3648,0
881,3643,0
875,3646,0
873,3647,1
1029,3632,0
1030,3636,0
1031,3644,0
1032,3657,0
1034,3672,0
1031,3688,0
1029,3704,0
1029,3720,0
1030,3732,0
1032,3736,0
1036,3732,0
1042,3724,0
1051,3705,0
1064,3680,0
1082,3653,0
1100,3633,0
1115,3625,0
1122,3621,0
1126,3624,0
1129,3629,0
1130,3644,0
1131,3665,0
1129,3684,0
1129,3704,0
1129,3712,0
1131,3720,0
1136,3720,0
1143,3712,0
1152,3696,0
1163,3675,0
1177,3655,0
1195,3638,0
1211,3622,0
1227,3614,0
1240,3605,0
1249,3608,0
1257,3612,0
1260,3616,0
1264,3636,0
1264,3652,0
1260,3668,0
1257,3688,0
1254,3701,0
1255,3704,0
1257,3704,1
1566,3433,0
1568,3444,0
1570,3465,0
1569,3492,0
1569,3529,0
1568,3569,0
1566,3607,0
1565,3643,0
1566,3679,0
1566,3703,0
1566,3719,0
1564,3728,0
1562,3728,1
1526,3644,0
1529,3643,0
1539,3634,0
1555,3628,0
1578,3625,0
1601,3621,0
1623,3622,0
1640,3619,1
1672,3569,0
1674,3573,0
1679,3580,0
1683,3592,0
1686,3616,0
1684,3636,0
1684,3660,0
1684,3685,0
1687,3709,0
1689,3728,0
1691,3737,0
1693,3744,0
1694,3749,0
1697,3752,0
1699,3755,0
1699,3755,0
1698,3752,0
1701,3755,0
1698,3752,0
1701,3755,0
1700,3752,0
1700,3747,0
1699,3731,0
1700,3719,0
1701,3707,0
1700,3687,0
1703,3673,0
1709,3656,0
1720,3642,0
1751,3619,0
1763,3613,0
1773,3616,0
1782,3626,0
1785,3633,0
1790,3649,0
1791,3665,0
1793,3685,0
1790,3698,0
1791,3710,0
1791,3714,0
1792,3713,0
1795,3713,0
1802,3707,0
1809,3701,1
1817,3692,0
1821,3687,0
1829,3682,0
1842,3674,0
1857,3663,0
1874,3650,0
1887,3632,0
1899,3620,0
1908,3614,0
1908,3610,0
1901,3607,0
