hands,&quot; he warned, and leaped to the
859
931,5198,1
932,5218,0
933,5234,0
936,5262,0
938,5298,0
937,5335,0
940,5370,0
943,5407,0
946,5438,0
948,5467,0
948,5487,0
951,5503,0
955,5511,0
956,5511,0
958,5503,0
960,5487,0
967,5459,0
971,5424,0
979,5392,0
988,5360,0
999,5336,0
1013,5315,0
1026,5301,0
1042,5296,0
1055,5300,0
1068,5316,0
1078,5332,0
1084,5364,0
1084,5397,0
1082,5429,0
1078,5460,0
1079,5492,0
1084,5513,1
1247,5397,0
1245,5386,0
1239,5373,0
1229,5362,0
1216,5355,0
1203,5343,0
1189,5339,0
1177,5344,0
1164,5348,0
1154,5368,0
1148,5392,0
1143,5428,0
1143,5464,0
1148,5496,0
1158,5516,0
1174,5528,0
1194,5531,0
1215,5530,0
1233,5514,0
1246,5494,0
1254,5470,0
1261,5441,0
1261,5413,0
1261,5385,0
1257,5373,0
1254,5366,0
1249,5366,0
1247,5370,0
1245,5382,0
1246,5406,0
1252,5437,0
1257,5470,0
1265,5497,0
1274,5525,0
1286,5540,0
1297,5552,0
1310,5559,1
1348,5366,0
1347,5361,0
1348,5366,0
1349,5373,0
1351,5397,0
1353,5429,0
1355,5457,0
1356,5485,0
1359,5509,0
1363,5533,0
1369,5540,0
1372,5545,0
1374,5540,0
1377,5528,0
1379,5508,0
1380,5475,0
1387,5443,0
1397,5410,0
1406,5383,0
1418,5361,0
1428,5352,0
1435,5356,0
1444,5368,0
1448,5388,0
1451,5412,0
1452,5447,0
1453,5479,0
1457,5511,0
1464,5538,1
1607,5466,0
1611,5450,0
1609,5434,0
1601,5414,0
1590,5399,0
1575,5385,0
1561,5382,0
1546,5380,0
1529,5377,0
1518,5390,0
1507,5411,0
1501,5443,0
1498,5479,0
1499,5512,0
1510,5547,0
1522,5562,0
1539,5573,0
1558,5571,0
1578,5554,0
1599,5527,0
1614,5494,1
1628,5259,0
1626,5247,0
1624,5247,0
1623,5248,0
1623,5255,0
1623,5279,0
1625,5315,0
1625,5359,0
1625,5407,0
1625,5448,0
1628,5484,0
1636,5519,0
1647,5542,0
1659,5557,0
1676,5567,0
1693,5566,1
1814,5434,0
1805,5426,0
1795,5419,0
1778,5414,0
1757,5412,1
1699,5419,0
1691,5429,0
1689,5429,0
1693,5432,0
1708,5443,0
1730,5453,0
1752,5465,0
1774,5479,0
1795,5496,0
1812,5514,0
1826,5532,0
1833,5552,0
1836,5567,0
1833,5581,0
1826,5589,0
1814,5595,0
1798,5598,0
1784,5595,0
1771,5592,0
1763,5586,1
1924,5558,0
1923,5559,0
1926,5566,0
1927,5583,0
1927,5602,0
1927,5623,0
1926,5643,0
1927,5659,0
1931,5675,1
