&quot;I must see you, Mister Taylor,&quot;
747
1452,752,0
1464,787,0
1419,903,0
1423,919,0
1423,919,0
1509,868,0
1421,897,0
1487,797,0
1464,779,0
1474,743,0
1475,791,0
1459,902,0
1452,918,0
1455,921,0
1530,878,1
1628,853,0
1625,860,0
1621,859,0
1624,856,0
1626,844,0
1630,825,0
1640,801,0
1650,776,0
1656,760,0
1656,754,0
1656,754,0
1654,756,0
1653,767,0
1654,794,0
1662,836,0
1665,885,0
1677,946,0
1684,1011,0
1691,1079,0
1689,1138,0
1680,1185,0
1661,1206,0
1647,1208,0
1626,1193,0
1604,1164,0
1582,1130,0
1570,1100,0
1566,1084,0
1569,1083,1
1883,1201,0
1890,1186,0
1894,1158,0
1903,1124,0
1921,1085,0
1939,1048,0
1954,1022,0
1955,1008,0
1961,1008,0
1961,1013,0
1969,1035,0
1971,1067,0
1968,1108,0
1969,1150,0
1965,1176,0
1965,1182,0
1962,1179,0
1966,1170,0
1966,1143,0
1975,1107,0
1990,1064,0
2013,1022,0
2033,995,0
2043,989,0
2053,994,0
2070,1013,0
2077,1041,0
2086,1079,0
2088,1118,0
2096,1151,0
2104,1166,0
2109,1166,0
2116,1152,0
2132,1118,0
2154,1067,0
2174,1018,0
2181,988,0
2180,977,0
2186,977,0
2188,979,0
2188,999,0
2187,1033,0
2186,1079,0
2192,1129,0
2199,1163,0
2212,1178,0
2228,1179,0
2248,1161,0
2275,1122,0
2299,1071,0
2315,1035,0
2319,1015,0
2318,1009,0
2319,1008,0
2321,1014,0
2316,1035,0
2314,1072,0
2310,1117,0
2310,1155,0
2318,1178,0
2327,1186,0
2335,1182,0
2349,1164,0
2375,1129,0
2398,1085,0
2412,1050,0
2419,1032,0
2417,1026,0
2418,1025,0
2417,1033,0
2414,1054,0
2412,1085,0
2414,1117,0
2417,1141,0
2429,1152,0
2436,1148,0
2449,1130,0
2469,1100,0
2492,1066,0
2512,1040,0
2523,1024,0
2535,1019,0
2552,1022,0
2561,1030,0
2573,1049,0
2579,1078,0
2581,1111,0
2572,1141,0
2557,1163,0
2540,1175,0
2520,1175,0
2508,1172,0
2505,1169,0
2506,1167,0
2509,1164,0
2526,1153,0
2554,1131,0
2591,1097,0
2615,1054,0
2637,1009,0
2640,959,0
2642,902,0
2639,840,0
2633,781,0
2628,738,0
2627,714,0
2630,709,0
2629,713,0
2642,735,0
2647,778,0
2654,844,0
2661,925,0
2667,1013,0
2668,1085,0
2670,1136,0
2665,1166,0
2671,1180,0
2669,1176,0
2666,1165,0
2663,1139,0
2661,1103,0
2657,1071,0
2656,1049,0
2656,1034,0
2663,1026,0
2673,1016,0
2695,1001,0
2722,991,0
2745,993,0
2765,1005,0
2784,1022,0
2798,1037,0
2818,1053,1
2970,1097,0
2980,1102,0
2985,1102,0
2986,1100,0
2984,1094,0
2987,1081,0
2996,1060,0
3008,1033,0
3026,1001,0
3061,972,0
3088,945,0
3112,928,0
3126,924,0
3141,930,0
3161,944,0
3177,971,0
3192,1010,0
3191,1053,0
3187,1095,0
3174,1124,0
3160,1134,0
3156,1135,0
3144,1129,0
3139,1122,0
3144,1113,0
3153,1100,0
3173,1086,0
3202,1070,0
3238,1056,0
3272,1045,0
3308,1032,0
3341,1012,0
3364,984,0
3375,950,0
3382,918,0
3379,889,0
3373,868,0
3364,857,0
3352,855,0
3337,865,0
3322,887,0
3299,916,0
3288,949,0
3288,984,0
3296,1020,0
3313,1052,0
3334,1073,0
3357,1082,0
3394,1076,0
3425,1049,0
3459,1015,0
3477,978,0
3486,948,0
3486,925,0
3483,907,0
3479,894,0
3474,892,0
3460,900,0
3445,919,0
3428,948,0
3410,986,0
3401,1023,0
3401,1056,0
3407,1084,0
3421,1102,0
3445,1109,0
3475,1109,0
3516,1093,0
3554,1070,1
3608,1039,0
3606,1044,0
3621,1047,0
3630,1037,0
3653,1017,0
3673,981,0
3695,938,0
3713,901,0
3720,877,0
3718,871,0
3713,873,0
3703,895,0
3691,936,0
3678,980,0
3681,1023,0
3691,1053,0
3705,1076,0
3722,1088,0
3744,1085,0
3773,1062,0
3809,1015,0
3831,967,0
3838,932,0
3836,907,0
3833,887,0
3834,882,0
3834,883,0
3835,897,0
3839,926,0
3845,979,0
3851,1042,0
3851,1109,0
3849,1184,0
3843,1254,0
3822,1317,0
3802,1363,0
3788,1387,0
3778,1388,0
3772,1372,0
3766,1338,0
3766,1285,1
3918,984,0
3933,965,0
3943,940,0
3937,916,0
3933,900,0
3923,890,0
3904,898,0
3884,916,0
3875,948,0
3883,977,0
3883,1007,0
3891,1036,0
3906,1055,0
3925,1058,0
3945,1049,0
3965,1038,0
3976,1014,0
3976,974,0
3963,930,0
3943,907,0
3938,897,0
3934,897,0
3931,908,0
3939,927,0
3952,950,0
3969,968,0
3991,978,0
4017,977,0
4036,961,0
4061,934,0
4075,908,0
4080,889,0
4083,878,0
4079,876,0
4077,883,0
4079,910,0
4077,950,0
4083,988,0
4092,1019,0
4099,1035,0
4106,1041,0
4120,1035,0
4136,1010,0
4159,970,0
4174,925,0
4173,897,0
4168,883,0
4160,881,0
4159,882,0
4157,896,0
4154,924,0
4152,964,0
4159,1001,0
4164,1027,0
4174,1037,0
4178,1037,0
4191,1035,0
4211,1024,0
4239,1008,0
4263,996,0
4285,992,1
4392,1011,0
4391,1013,0
4395,1014,0
4390,1016,0
4384,1025,0
4379,1042,0
4371,1075,0
4352,1112,0
4343,1143,0
4338,1160,0
4338,1160,0
4335,1156,0
4343,1144,1
4582,917,0
4587,915,0
4587,915,0
4591,917,0
4584,929,0
