her lips. &quot;Yes,&quot; she said, and
559
913,2041,0
911,2049,0
915,2066,0
917,2098,0
915,2130,0
912,2166,0
906,2205,0
898,2248,0
888,2284,0
880,2311,0
873,2323,0
873,2327,0
872,2323,0
873,2315,0
875,2294,0
883,2272,0
896,2245,0
912,2214,0
929,2188,0
947,2164,0
964,2153,0
978,2146,0
993,2151,0
1006,2164,0
1015,2184,0
1019,2208,0
1020,2240,0
1015,2272,0
1007,2295,0
999,2311,0
994,2323,0
992,2323,0
994,2319,1
1061,2305,0
1070,2309,0
1083,2305,0
1100,2301,0
1115,2285,0
1131,2272,0
1145,2252,0
1158,2231,0
1163,2211,0
1163,2191,0
1155,2175,0
1141,2164,0
1124,2161,0
1105,2165,0
1089,2181,0
1077,2197,0
1073,2225,0
1076,2253,0
1088,2281,0
1107,2309,0
1129,2324,0
1156,2331,0
1185,2326,0
1213,2313,0
1238,2294,1
1288,2166,0
1286,2166,0
1288,2178,0
1288,2194,0
1286,2218,0
1285,2242,0
1284,2267,0
1283,2283,0
1281,2292,0
1281,2295,0
1281,2291,0
1280,2275,0
1281,2251,0
1281,2223,0
1281,2195,0
1285,2174,0
1287,2158,0
1291,2154,0
1293,2149,0
1301,2157,0
1317,2159,0
1346,2176,0
1377,2187,0
1416,2201,0
1458,2206,1
1721,2017,0
1720,2012,0
1722,2017,0
1725,2029,0
1725,2050,0
1718,2072,0
1710,2105,0
1699,2137,0
1695,2177,0
1694,2206,0
1696,2222,0
1703,2232,0
1709,2235,0
1717,2233,0
1727,2225,0
1742,2216,0
1754,2200,1
1836,2119,0
1841,2122,0
1843,2125,0
1843,2133,0
1838,2145,0
1835,2167,0
1829,2190,0
1821,2215,0
1819,2236,1
1844,2048,0
1844,2039,0
1847,2038,0
1843,2035,0
1848,2046,1
1914,2135,0
1913,2135,0
1917,2147,0
1915,2161,0
1913,2183,1
1879,2304,0
1874,2323,0
1870,2329,0
1869,2330,0
1868,2321,0
1872,2303,0
1877,2275,0
1889,2240,0
1906,2204,0
1920,2163,0
1937,2134,0
1954,2109,0
1970,2093,0
1986,2085,0
2004,2086,0
2029,2101,0
2046,2119,0
2060,2143,0
2066,2166,0
2069,2192,0
2065,2212,0
2053,2222,0
2040,2228,0
2024,2231,0
2000,2224,0
1979,2221,0
1961,2215,0
1952,2210,1
2253,2087,0
2240,2080,0
2224,2077,0
2203,2075,0
2183,2077,0
2166,2082,0
2159,2087,0
2159,2091,0
2168,2100,0
2180,2106,0
2201,2118,0
2224,2128,0
2246,2138,0
2262,2147,0
2270,2156,0
2269,2166,0
2258,2177,0
2237,2189,0
2207,2196,0
2178,2199,0
2154,2203,0
2135,2200,0
2123,2196,0
2121,2193,0
2125,2190,1
2428,2179,0
2429,2178,0
2426,2176,0
2428,2179,0
2428,2179,1
2775,1903,0
2774,1903,0
2774,1903,0
2777,1907,0
2778,1915,0
2775,1930,0
2773,1949,0
2769,1968,0
2767,1982,1
2817,1901,0
2817,1901,0
2818,1905,0
2821,1919,0
2818,1939,1
2910,1919,0
2907,1916,0
2911,1918,0
2917,1923,0
2933,1936,0
2945,1952,0
2966,1976,0
2984,1997,0
3007,2014,1
3122,1948,0
3118,1940,0
3112,1935,0
3103,1935,0
3093,1946,0
3074,1966,0
3048,1995,0
3019,2031,0
2990,2072,0
2963,2109,0
2943,2141,0
2936,2164,0
2935,2170,1
3064,2112,0
3074,2112,0
3099,2109,0
3129,2101,0
3158,2089,1
3201,2053,0
3214,2031,0
3219,2013,0
3217,2004,0
3200,1998,0
3175,2003,0
3147,2016,0
3124,2036,0
3104,2058,0
3098,2082,0
3103,2105,0
3117,2125,0
3141,2141,0
3173,2148,0
3212,2147,0
3251,2140,1
3414,2016,0
3405,2008,0
3394,2002,0
3378,2004,0
3348,2009,0
3323,2021,0
3307,2033,0
3302,2046,0
3303,2056,0
3317,2070,0
3341,2086,0
3367,2099,0
3390,2108,0
3409,2117,0
3420,2123,0
3416,2128,0
3404,2135,0
3378,2141,0
3351,2149,0
3327,2152,0
3306,2151,1
3492,2065,0
3496,2067,0
3496,2067,0
3496,2067,0
3497,2072,0
3493,2077,0
3484,2089,0
3476,2106,0
3467,2123,1
3631,1831,0
3631,1825,0
3632,1822,0
3631,1824,0
3634,1833,0
3632,1850,0
3626,1867,0
3619,1878,0
3615,1884,1
3659,1818,0
3662,1819,0
3662,1819,0
3663,1825,0
3660,1838,1
4137,2019,0
4131,2012,0
4123,2001,0
4114,1993,0
4095,1987,0
4073,1983,0
4041,1983,0
4010,1987,0
3983,1993,0
3969,2002,0
3965,2007,0
3971,2012,0
3993,2023,0
4023,2035,0
4054,2046,0
4085,2057,0
4114,2070,0
4126,2082,0
4128,2093,0
4119,2107,0
4097,2120,0
4062,2129,0
4025,2135,0
3992,2134,0
3957,2121,1
4198,1897,0
4200,1893,0
4205,1892,0
4208,1894,0
4214,1901,0
4217,1912,0
4220,1931,0
4221,1954,0
4219,1981,0
4213,2008,0
4207,2034,0
4198,2055,0
4192,2074,0
4186,2083,0
4186,2083,0
4188,2079,0
4188,2063,0
4196,2043,0
4209,2022,0
4226,2000,0
4242,1981,0
4258,1969,0
4270,1963,0
4288,1965,0
4297,1973,0
4303,1987,0
4306,2007,0
4302,2029,0
4294,2051,0
4286,2073,0
4279,2092,0
4280,2106,0
4289,2114,0
4306,2118,0
4326,2116,0
4351,2104,0
4381,2091,0
4412,2072,0
4437,2051,0
4451,2027,0
4457,2007,0
4452,1990,0
4439,1981,0
4421,1981,0
4399,1987,0
4378,2001,0
4362,2022,0
4362,2047,0
4366,2071,0
4386,2092,0
4419,2107,0
4457,2113,0
4506,2116,1
4821,1954,0
4816,1953,0
4803,1954,0
4787,1958,0
4770,1968,0
4760,1978,0
4755,1988,0
4759,1997,0
4775,2011,0
4801,2022,0
4827,2033,0
4854,2041,0
4881,2050,0
4895,2056,0
4901,2062,0
4898,2068,0
4882,2072,0
4857,2077,0
4822,2079,0
4788,2082,0
4750,2077,0
4725,2074,0
4714,2068,0
4709,2060,0
4722,2053,1
5085,2012,0
5092,2007,0
5091,1999,0
5087,1989,0
5074,1980,1
5033,1971,0
5006,1972,0
4990,1981,0
4971,1992,0
4959,2007,0
4956,2023,0
4961,2040,0
4977,2051,0
4998,2055,0
5013,2052,0
5038,2047,0
5056,2036,0
5072,2019,0
5084,2005,0
5086,1990,0
5083,1978,0
5086,1972,0
5086,1971,0
5085,1973,0
5089,1983,0
5092,1997,0
5098,2012,0
5110,2025,0
5126,2038,0
5142,2041,0
5164,2042,0
5177,2034,0
5191,2021,0
5207,2005,0
5212,1985,0
5219,1967,0
5224,1957,0
5224,1956,0
5223,1958,0
5219,1967,0
5219,1985,0
5222,2010,0
5224,2034,0
5228,2056,0
5238,2073,1
5216,1923,0
5206,1907,0
5198,1895,0
5192,1887,0
5193,1886,1
5391,1962,0
5381,1954,0
5371,1949,0
5357,1948,0
5342,1954,1
5309,2000,0
5315,2015,0
5330,2025,0
5336,2029,0
5351,2026,0
5363,2017,0
5374,2002,0
5383,1980,0
5390,1953,0
5397,1925,0
5395,1899,0
5397,1881,0
5397,1870,0
5392,1862,0
5392,1863,0
5395,1867,0
5397,1881,0
5411,1903,0
5417,1930,0
5430,1960,0
5436,1986,0
5449,2009,0
5463,2027,0
5473,2034,1
5624,2025,0
5628,2028,0
5624,2034,0
5622,2052,0
5617,2075,1
6087,1933,0
6092,1919,0
6095,1908,0
6091,1897,0
6073,1888,0
6058,1882,0
6034,1879,0
6003,1884,0
5978,1894,0
5958,1914,0
5942,1935,0
5933,1957,0
5935,1975,0
5947,1990,0
