I cursed, pulled it clear,
438
398,4775,0
389,4794,0
377,4811,0
373,4835,0
369,4876,0
367,4927,0
369,4992,0
376,5062,0
386,5137,0
393,5206,0
399,5259,0
406,5276,0
411,5277,1
819,4945,0
828,4941,0
836,4938,0
842,4934,0
840,4927,0
834,4922,0
821,4922,0
798,4924,0
774,4939,0
749,4957,0
723,4983,0
704,5018,0
702,5050,0
715,5083,0
745,5113,0
783,5135,0
822,5146,0
866,5139,0
902,5113,0
931,5082,0
953,5043,1
1006,4948,0
1006,4948,0
1004,4952,0
1003,4963,0
1002,4984,0
1002,5004,0
1005,5036,0
1012,5076,0
1026,5113,0
1049,5137,0
1073,5137,0
1099,5120,0
1120,5092,0
1135,5056,0
1143,5012,0
1145,4960,0
1143,4916,0
1136,4884,0
1124,4864,0
1119,4860,1
1287,4928,0
1303,4951,0
1314,4975,0
1327,4998,0
1331,5014,0
1331,5014,0
1329,5002,0
1324,4977,0
1316,4934,0
1313,4895,0
1316,4862,0
1329,4838,0
1350,4837,1
1540,4838,0
1561,4828,0
1573,4810,0
1576,4801,0
1573,4802,0
1555,4800,0
1527,4807,0
1500,4817,0
1483,4831,0
1478,4847,0
1482,4863,0
1502,4881,0
1527,4895,0
1554,4908,0
1580,4926,0
1602,4948,0
1615,4962,0
1618,4970,0
1614,4970,0
1599,4976,0
1575,4979,0
1550,4973,0
1534,4963,0
1534,4963,0
1538,4954,0
1558,4949,0
1586,4941,0
1621,4926,0
1658,4913,0
1692,4905,0
1716,4889,0
1734,4879,0
1741,4866,0
1739,4862,0
1731,4863,0
1705,4863,0
1677,4875,0
1655,4889,0
1652,4906,0
1664,4933,0
1690,4949,0
1721,4958,0
1756,4957,0
1792,4939,0
1823,4918,0
1855,4905,0
1878,4890,0
1891,4879,0
1895,4866,0
1894,4871,0
1886,4871,0
1870,4875,0
1850,4878,0
1831,4885,0
1812,4892,0
1793,4903,0
1792,4915,0
1798,4926,0
1812,4932,0
1829,4929,0
1852,4922,0
1871,4898,0
1887,4859,0
1900,4809,0
1913,4753,0
1917,4700,0
1922,4658,0
1920,4613,0
1916,4590,0
1915,4586,0
1914,4591,0
1912,4603,0
1910,4632,0
1913,4676,0
1918,4732,0
1929,4787,0
1943,4833,0
1961,4874,0
1983,4907,0
2003,4932,0
2020,4944,0
2034,4946,0
2041,4928,0
2050,4898,1
2166,4823,0
2169,4838,0
2165,4856,0
2160,4874,0
2152,4904,0
2141,4944,0
2128,4996,0
2123,5054,0
2130,5110,1
2537,4780,0
2545,4831,0
2548,4876,0
2556,4929,0
2569,4984,0
2574,5023,0
2572,5049,0
2571,5050,0
2567,5042,0
2553,5014,0
2538,4972,0
2536,4918,0
2544,4862,0
2562,4805,0
2587,4755,0
2620,4724,0
2650,4705,0
2674,4700,0
2688,4704,0
2692,4714,0
2692,4736,0
2685,4760,0
2673,4781,0
2660,4798,0
2647,4807,0
2634,4811,0
2628,4809,0
2631,4804,0
2643,4791,1
2810,4706,0
2815,4703,0
2815,4704,0
2813,4708,0
2812,4718,0
2809,4736,0
2808,4758,0
2815,4785,0
2830,4809,0
2848,4815,0
2866,4808,0
2885,4792,0
2895,4768,0
2897,4736,0
2895,4711,0
2893,4687,0
2889,4671,0
2888,4662,0
2890,4665,0
2896,4668,1
3007,4463,0
3005,4478,0
3001,4510,0
3004,4557,0
3006,4608,0
3011,4659,0
3021,4707,0
3033,4736,0
3045,4753,0
3056,4753,0
3069,4739,0
3076,4705,0
3086,4661,0
3095,4608,0
3107,4559,0
3116,4510,0
3124,4476,0
3132,4455,0
3130,4451,0
3129,4464,0
3124,4493,0
3121,4531,0
3117,4581,0
3115,4625,0
3122,4675,0
3139,4716,0
3159,4733,0
3186,4739,0
3214,4734,0
3239,4714,0
3259,4686,0
3273,4653,0
3276,4625,0
3274,4613,0
3270,4615,0
3264,4621,0
3254,4640,0
3250,4655,0
3258,4673,0
3276,4691,0
3303,4709,0
3329,4710,0
3356,4706,0
3380,4693,0
3404,4676,0
3426,4661,0
3447,4650,0
3461,4637,0
3470,4624,0
3474,4608,0
3471,4601,0
3464,4595,0
3448,4595,0
3426,4602,0
3405,4613,0
3395,4627,0
3396,4644,0
3402,4659,0
3409,4665,0
3425,4657,0
3447,4632,0
3468,4594,0
3482,4540,0
3492,4475,0
3497,4412,0
3499,4360,0
3501,4336,0
3498,4328,0
3496,4334,0
3488,4353,0
3486,4396,0
3489,4449,0
3496,4509,0
3506,4568,0
3522,4623,0
3542,4662,0
3563,4692,0
3582,4705,0
3597,4705,0
3612,4692,0
3626,4674,1
3906,4500,0
3905,4506,0
3906,4515,0
3906,4515,0
3908,4523,0
3911,4536,0
3911,4554,0
3916,4584,0
3919,4620,0
3920,4662,0
3918,4700,0
3916,4731,0
3911,4739,1
3893,4437,0
3896,4396,0
3901,4374,0
3899,4366,0
3897,4367,0
3899,4371,0
3898,4372,0
3903,4372,1
4013,4238,0
4024,4240,0
4034,4252,0
4045,4278,0
4049,4315,0
4048,4360,0
4049,4413,0
4051,4475,0
4051,4548,0
4050,4621,0
4048,4675,0
4041,4698,0
4039,4700,0
4036,4683,0
4036,4654,0
4036,4611,0
4048,4579,0
4065,4558,0
4080,4543,0
4099,4540,0
4121,4543,0
4143,4552,0
4168,4564,0
4191,4567,1
4538,4466,0
4542,4463,0
4541,4463,0
4533,4464,0
4511,4467,0
4486,4482,0
4461,4501,0
4439,4529,0
4429,4562,0
4432,4599,0
4442,4623,0
4465,4640,0
4499,4649,0
4536,4645,0
4579,4637,0
4622,4625,1
4776,4226,0
4774,4228,0
4760,4229,0
4751,4243,0
4736,4267,0
4718,4304,0
4699,4352,0
4681,4405,0
4675,4457,0
4676,4503,0
4683,4544,0
4695,4581,0
4716,4606,0
4736,4610,0
4765,4601,0
4794,4577,0
4817,4547,0
4840,4521,0
4859,4495,0
4871,4473,0
4873,4461,0
4832,4497,0
4811,4515,0
4803,4543,0
4806,4577,0
4821,4607,0
4842,4625,0
4877,4632,0
4920,4632,0
4963,4621,0
5001,4603,0
5041,4584,0
5067,4556,0
5083,4530,0
5090,4507,0
5096,4492,0
5088,4477,0
5066,4465,0
5040,4466,0
5015,4483,0
5006,4513,0
5007,4539,0
5014,4561,0
5028,4574,0
5046,4574,0
5069,4565,0
5091,4544,0
5112,4509,0
5128,4478,0
5142,4454,0
5146,4449,0
5153,4460,0
5161,4485,0
5168,4523,0
5175,4560,0
5186,4592,0
5193,4613,0
5199,4613,1
5296,4454,0
5299,4473,0
5300,4501,0
5299,4530,0
5298,4553,0
5303,4570,0
5302,4565,0
5307,4556,0
5319,4533,0
5335,4500,0
5357,4462,0
5387,4432,0
5412,4411,0
5442,4404,0
5475,4405,0
5503,4410,0
5529,4423,0
5549,4437,0
5564,4445,0
5573,4447,1
5692,4530,0
5696,4532,0
5699,4534,0
5701,4533,0
5698,4536,0
5697,4537,0
5687,4565,0
5669,4607,0
5651,4659,1
