straightened it, tried again, but
717
598,5595,0
599,5599,0
600,5595,0
606,5588,0
611,5580,0
613,5564,0
612,5544,0
603,5523,0
586,5513,0
559,5511,0
530,5520,0
499,5541,0
474,5563,0
461,5581,0
463,5606,0
477,5627,0
499,5649,0
525,5665,0
553,5679,0
578,5689,0
593,5699,0
595,5715,0
588,5747,0
579,5782,0
559,5816,0
533,5854,0
503,5879,0
468,5907,0
434,5920,0
409,5933,0
395,5923,0
392,5895,0
404,5852,1
680,5353,0
683,5349,0
683,5349,0
684,5353,0
687,5378,0
696,5419,0
703,5471,0
719,5532,0
737,5605,0
760,5675,0
783,5740,0
798,5789,0
804,5825,0
800,5829,0
784,5828,0
760,5812,0
726,5777,1
679,5686,0
680,5677,0
687,5674,0
699,5667,0
724,5665,0
754,5670,0
788,5680,0
817,5694,1
926,5639,0
932,5638,0
938,5642,0
948,5655,0
955,5679,0
957,5711,0
958,5735,0
955,5747,0
958,5743,0
961,5735,0
972,5707,0
978,5671,0
994,5627,0
1014,5580,0
1042,5544,0
1072,5516,0
1105,5505,0
1135,5504,0
1163,5508,0
1188,5523,0
1213,5538,1
1316,5551,0
1320,5547,0
1317,5543,0
1317,5543,0
1306,5544,0
1289,5544,0
1264,5553,0
1240,5574,0
1217,5606,0
1199,5639,0
1191,5687,0
1194,5731,0
1204,5759,0
1218,5759,0
1243,5750,0
1269,5729,0
1289,5692,0
1307,5651,0
1319,5607,0
1329,5566,0
1335,5542,0
1335,5530,0
1335,5535,0
1334,5542,0
1334,5554,0
1339,5582,0
1344,5622,0
1355,5660,0
1368,5692,0
1378,5704,0
1387,5692,0
1397,5663,0
1409,5622,1
1440,5536,0
1453,5511,0
1462,5507,0
1469,5513,0
1478,5537,0
1485,5581,0
1491,5621,0
1496,5656,0
1499,5676,0
1497,5672,0
1491,5645,0
1481,5589,1
1500,5311,0
1508,5283,0
1512,5274,0
1512,5278,0
1517,5290,0
1521,5309,0
1520,5333,0
1517,5354,1
1739,5552,0
1744,5564,0
1744,5564,0
1744,5559,0
1742,5556,0
1727,5545,0
1707,5532,0
1680,5519,0
1653,5518,0
1630,5528,0
1611,5554,0
1602,5579,0
1607,5615,0
1621,5638,0
1638,5644,0
1657,5638,0
1674,5619,0
1684,5602,0
1694,5590,0
1701,5593,0
1707,5604,0
1715,5636,0
1725,5675,0
1742,5737,0
1766,5803,0
1779,5861,0
1780,5905,0
1771,5923,0
1759,5928,0
