follow ,&quot;, I said hastily.
473
1020,2864,0
1017,2864,0
1016,2860,0
1013,2856,0
1010,2848,0
1006,2840,0
1002,2828,0
996,2811,0
989,2803,0
981,2795,0
975,2795,0
972,2794,0
970,2806,0
968,2830,0
968,2870,0
971,2922,0
975,2979,0
982,3031,0
990,3071,0
1001,3107,0
1008,3128,1
928,3013,0
928,3013,0
937,3013,0
953,3014,0
972,3006,0
996,3004,0
1023,3001,0
1047,2993,0
1067,2989,0
1079,2977,0
1086,2977,0
1088,2977,0
1083,2969,0
1077,2965,0
1071,2965,0
1064,2965,0
1056,2972,0
1051,2981,0
1051,2996,0
1056,3016,0
1070,3033,0
1089,3036,0
1112,3037,0
1135,3028,0
1155,3011,0
1170,2999,0
1175,2980,0
1173,2959,0
1165,2947,0
1150,2939,0
1134,2936,0
1121,2936,0
1109,2941,1
1221,2772,0
1217,2770,0
1216,2769,0
1216,2770,0
1219,2789,0
1222,2808,0
1227,2840,0
1227,2869,0
1228,2900,0
1230,2936,0
1232,2972,0
1233,3001,0
1235,3024,0
1237,3040,0
1242,3052,0
1245,3052,0
1249,3044,1
1296,2812,0
1295,2808,0
1296,2808,0
1298,2812,0
1303,2831,0
1305,2851,0
1307,2879,0
1308,2912,0
1311,2947,0
1315,2975,0
1320,2994,0
1328,3009,0
1337,3017,1
1378,2965,0
1378,2965,0
1377,2965,0
1380,2977,0
1382,2984,0
1392,2999,0
1401,3006,0
1414,3009,0
1426,3008,0
1437,2998,0
1445,2989,0
1447,2972,0
1445,2957,0
1440,2945,0
1430,2938,0
1418,2936,0
1404,2942,0
1391,2948,0
1381,2960,0
1374,2977,1
1455,2935,0
1455,2936,0
1459,2943,0
1464,2954,0
1471,2969,0
1481,2988,0
1488,2999,0
1495,3006,0
1501,3010,0
1507,3008,0
1511,3000,0
1517,2983,0
1522,2966,0
1524,2946,0
1527,2936,0
1527,2937,0
1529,2941,0
1528,2941,0
1530,2948,0
1536,2964,0
1540,2980,0
1546,2991,0
1552,2997,0
1556,2993,0
1566,2991,0
1573,2982,0
1578,2968,0
1581,2955,0
1583,2948,0
1583,2939,0
1583,2935,0
1580,2928,0
1580,2928,1
1682,3006,0
1681,3006,0
1687,3025,0
1688,3041,0
1686,3062,0
1679,3083,0
1669,3106,0
1660,3129,0
1645,3144,1
1788,2729,0
1787,2729,0
1793,2739,0
1799,2750,0
1802,2758,0
1803,2758,0
1807,2760,0
1811,2755,0
1814,2742,0
1816,2729,0
1818,2720,0
1820,2719,0
1820,2719,0
1818,2720,0
1823,2731,0
1825,2743,0
1826,2755,0
1827,2772,0
1827,2784,0
1826,2788,0
1831,2787,1
2008,3009,0
2010,3013,0
2010,3012,0
2015,3028,0
2017,3044,0
2016,3061,0
2012,3079,0
2005,3094,0
1995,3106,1
2229,2749,0
2231,2752,0
2236,2754,0
2241,2760,0
2249,2774,0
2257,2797,0
2263,2825,0
2265,2859,0
2267,2897,0
2269,2932,0
2273,2965,0
2277,2994,0
2277,3016,1
2485,2883,0
2485,2883,0
2483,2879,0
2480,2876,0
2479,2876,0
2478,2877,0
2473,2875,0
2470,2877,0
2460,2873,0
2454,2876,0
2449,2878,0
2443,2885,0
2440,2893,0
2438,2897,0
2443,2908,0
2457,2919,0
2473,2929,0
2493,2937,0
2509,2943,0
2523,2953,0
2534,2965,0
2536,2974,0
2535,2987,0
2525,2997,0
2511,3008,0
2495,3016,0
2477,3021,0
2461,3020,0
2448,3018,0
2434,3010,0
2429,3008,0
2424,3002,0
2425,2997,1
2611,2924,0
2604,2918,0
2603,2919,0
2596,2919,0
2584,2916,0
2576,2925,0
2563,2941,0
2552,2960,0
2549,2980,0
2551,2996,0
2560,3010,0
2570,3014,0
2584,3016,0
2594,3010,0
2605,3001,0
2615,2986,0
2622,2968,0
2622,2949,0
2621,2932,0
2619,2924,0
2619,2924,0
2617,2925,0
2616,2926,0
2623,2944,0
2634,2970,0
2645,2992,0
2656,3009,0
2663,3018,0
2672,3023,1
2721,2939,0
2721,2939,0
2722,2943,0
2725,2955,0
2726,2969,0
2726,2983,0
2727,3000,0
2724,3008,1
2673,2814,0
2675,2813,0
2676,2812,0
2673,2809,0
2677,2811,1
2796,2926,0
2794,2927,0
2794,2928,0
2791,2929,0
2784,2929,0
2776,2938,0
