it, raised the glass, lighted it
791
540,3363,0
542,3368,0
542,3385,0
540,3411,0
536,3448,0
533,3476,0
535,3509,0
542,3530,0
550,3539,0
561,3544,0
574,3539,0
588,3525,0
604,3498,0
621,3465,0
636,3423,0
650,3376,0
664,3329,0
675,3283,0
684,3247,0
690,3216,0
693,3200,0
692,3197,0
692,3196,0
690,3208,0
686,3235,0
681,3271,0
677,3315,0
673,3367,0
673,3416,0
674,3455,0
679,3497,0
688,3526,0
702,3544,0
714,3545,0
730,3547,0
745,3532,0
757,3509,1
596,3368,0
596,3364,0
603,3370,0
615,3367,0
635,3366,0
657,3361,0
677,3355,0
692,3349,0
703,3343,0
706,3339,0
702,3338,0
693,3329,0
677,3320,1
483,3288,0
472,3286,0
470,3281,0
470,3282,0
472,3274,0
477,3267,0
487,3257,0
499,3255,0
512,3261,1
871,3510,0
873,3522,0
873,3538,0
867,3562,0
856,3589,0
842,3617,0
827,3644,0
815,3655,0
809,3662,1
1210,3366,0
1207,3382,0
1204,3406,0
1199,3435,0
1193,3462,0
1187,3483,0
1182,3503,0
1178,3511,0
1179,3520,0
1179,3515,0
1179,3511,0
1178,3496,0
1178,3467,0
1179,3439,0
1184,3415,0
1190,3386,0
1200,3362,0
1213,3338,0
1228,3317,0
1248,3304,0
1268,3296,0
1288,3289,0
1308,3292,0
1325,3299,0
1340,3310,1
1469,3401,0
1467,3390,0
1464,3378,0
1460,3362,0
1451,3347,0
1439,3341,0
1420,3334,0
1398,3337,0
1375,3351,0
1351,3373,0
1330,3403,0
1315,3436,0
1306,3465,0
1307,3484,0
1316,3501,0
1331,3507,0
1350,3502,0
1372,3491,0
1395,3474,0
1418,3448,0
1438,3416,0
1452,3387,0
1464,3369,0
1469,3353,0
1471,3349,0
1471,3349,0
1469,3353,0
1467,3369,0
1464,3398,0
1459,3431,0
1459,3467,0
1462,3494,0
1471,3518,0
1481,3525,0
1498,3527,0
1517,3524,0
1537,3506,0
1558,3482,0
1576,3451,0
1593,3416,0
1608,3385,0
1620,3359,0
1626,3338,0
1628,3325,0
1627,3321,0
1626,3326,0
1623,3334,0
1616,3356,0
1609,3390,0
1604,3426,0
1604,3467,0
1607,3499,0
1618,3525,0
1635,3543,0
1658,3551,0
1683,3551,0
1704,3535,1
1686,3245,0
1678,3243,0
1678,3243,0
1679,3243,0
1680,3243,1
1829,3361,0
1826,3358,0
1824,3355,0
1817,3349,0
1808,3346,0
1797,3349,0
1785,3356,0
1775,3366,0
1770,3379,0
1770,3392,0
1775,3411,0
1784,3430,0
1795,3448,0
1807,3469,0
1816,3488,0
1824,3506,0
1821,3520,0
1814,3533,0
1797,3537,0
1779,3541,0
1754,3533,0
1732,3525,0
1713,3513,0
1699,3499,0
1691,3481,1
1902,3431,0
1905,3429,0
1911,3424,0
1920,3418,0
1932,3411,0
1941,3396,0
1944,3378,0
1942,3362,0
1937,3351,0
1928,3345,0
1918,3344,0
1906,3346,0
1895,3363,0
1883,3382,0
1879,3411,0
1876,3437,0
1883,3468,0
1894,3491,0
1911,3507,0
1936,3525,0
1959,3527,1
2162,3464,0
2159,3456,0
2159,3443,0
2154,3428,0
2146,3410,0
2138,3395,0
2125,3383,0
2110,3375,0
2089,3373,0
2069,3384,0
2043,3399,0
2023,3423,0
2008,3443,0
2001,3470,0
2001,3487,0
2007,3498,0
2023,3510,0
2038,3506,0
2058,3496,0
2082,3480,0
2105,3452,0
2125,3416,0
2142,3377,0
2154,3335,0
2161,3295,0
2162,3257,0
2159,3223,0
2154,3204,0
2146,3189,0
2145,3191,0
2142,3196,0
2136,3219,0
2130,3259,0
2129,3310,0
2127,3361,0
2128,3420,0
2135,3481,1
2574,3267,0
2568,3279,0
2566,3298,0
2563,3325,0
2561,3353,0
2563,3387,0
2563,3419,0
2563,3448,0
2562,3480,0
2557,3500,0
2556,3522,0
2559,3535,0
2560,3534,1
2477,3373,0
2483,3375,0
2499,3376,0
2521,3371,0
2548,3359,0
2579,3344,0
2606,3323,0
2627,3299,0
2646,3276,0
2659,3256,0
2665,3235,0
2670,3224,0
2673,3222,0
2671,3223,0
2669,3229,0
2663,3250,0
2656,3289,0
2646,3330,0
2636,3375,0
2627,3419,0
2620,3457,0
2618,3481,0
2615,3495,0
2620,3502,0
2620,3498,0
2620,3493,0
2625,3473,0
2634,3442,0
2649,3413,0
2664,3388,0
2680,3371,0
2692,3360,0
2700,3356,0
2707,3362,0
2712,3373,0
2717,3397,0
2723,3426,0
2730,3454,0
2738,3477,0
2751,3496,0
2767,3506,0
2787,3510,0
2810,3503,0
2834,3490,0
2859,3472,0
2881,3446,0
2897,3419,0
2910,3398,0
2914,3378,0
2912,3361,0
2906,3350,0
2900,3349,0
2889,3350,0
2881,3364,0
2870,3385,0
2865,3409,0
2868,3435,0
2881,3460,0
2900,3481,0
2925,3495,0
2952,3503,1
3458,3400,0
3460,3399,0
3456,3387,0
3455,3378,0
3452,3369,0
3445,3360,0
3433,3354,0
3416,3351,0
3396,3356,0
3373,3368,0
3352,3387,0
3340,3415,0
3332,3440,0
3337,3467,0
3342,3482,0
3360,3494,0
3378,3496,0
3402,3495,0
3419,3481,0
3438,3465,0
3457,3445,0
3473,3424,0
3484,3402,0
3491,3385,0
3492,3375,0
3493,3373,0
3492,3375,0
3490,3381,0
3487,3404,0
3477,3436,0
3472,3474,0
3462,3515,0
3453,3561,0
3445,3606,0
3438,3650,0
3425,3687,0
3412,3719,0
3395,3744,0
3372,3759,0
3350,3769,0
3330,3771,0
3310,3761,0
3293,3748,0
3283,3730,0
3279,3714,0
3278,3695,0
3281,3679,0
3294,3666,0
3315,3653,0
3344,3638,0
3375,3619,0
3411,3600,0
3451,3577,0
3489,3545,0
3520,3508,0
3556,3466,0
3585,3414,0
3612,3363,0
3628,3310,0
3635,3257,0
3639,3212,0
3637,3172,0
3633,3143,0
3625,3124,0
3619,3119,0
3614,3122,0
3605,3141,0
3597,3179,0
3591,3226,0
3591,3277,0
3594,3327,0
3605,3373,0
3619,3408,1
3768,3423,0
3790,3399,0
3812,3375,0
3825,3347,0
3836,3322,0
3836,3301,0
3834,3288,0
3825,3279,0
3817,3281,0
3802,3288,0
3784,3303,0
3768,3328,0
3752,3358,0
3742,3386,0
3737,3411,0
3741,3428,0
3745,3436,0
3754,3439,0
3765,3436,0
3777,3419,0
3793,3397,0
3809,3372,0
3821,3346,0
3827,3325,0
3833,3314,0
3832,3310,0
3835,3313,0
3834,3319,0
3831,3337,0
3829,3370,0
3829,3402,0
3834,3434,0
3844,3458,0
3857,3472,0
3877,3482,0
3896,3481,0
3918,3474,0
3937,3452,0
3960,3426,0
3983,3396,0
3998,3359,0
4015,3328,0
4028,3300,0
4039,3278,0
4048,3264,0
4056,3262,0
4060,3264,0
4060,3269,0
4063,3284,0
4063,3310,0
4064,3343,0
4058,3375,0
4048,3407,0
4036,3433,0
4024,3455,0
4005,3467,0
3994,3477,0
3986,3477,0
3988,3477,0
3992,3473,0
4000,3461,0
4017,3445,0
4041,3424,0
4066,3400,0
4095,3374,0
4125,3351,0
4149,3327,0
4172,3306,0
4190,3288,0
4204,3274,0
4210,3262,0
4213,3259,0
4213,3259,0
4213,3264,0
4211,3267,0
4211,3284,0
4210,3307,0
4213,3333,0
4215,3363,0
4219,3393,0
4225,3421,0
4227,3447,0
4227,3463,0
4220,3475,0
4208,3476,0
4192,3475,0
4172,3466,0
4147,3451,0
4128,3436,0
4114,3421,0
4108,3411,0
4107,3400,1
4365,3407,0
4365,3407,0
4367,3410,0
4374,3421,0
4376,3436,0
4377,3457,0
4371,3480,0
4362,3506,0
4348,3530,1
4623,3419,0
4625,3416,0
4631,3411,0
4638,3402,0
4649,3384,0
4662,3358,0
4678,3328,0
4694,3291,0
4708,3250,0
4724,3213,0
4734,3176,0
4739,3145,0
4741,3129,0
4741,3122,0
4739,3127,0
4734,3144,0
4722,3179,0
4708,3225,0
4700,3278,0
4695,3327,0
4689,3370,0
4695,3405,0
4706,3429,0
4723,3440,0
4736,3438,0
4760,3428,0
4781,3405,0
4801,3375,0
4822,3344,0
4842,3315,0
4853,3289,0
4866,3274,0
4869,3271,0
4866,3273,0
4864,3288,0
