&quot;Carmel,&quot; Balfour Crescent, New
640
546,1468,0
546,1481,0
542,1484,0
540,1496,0
536,1512,0
537,1529,0
541,1539,0
550,1542,0
559,1542,0
570,1533,0
581,1520,0
591,1503,0
600,1498,0
603,1494,0
603,1494,0
603,1503,0
604,1520,0
605,1537,0
610,1561,0
617,1575,0
626,1590,1
904,1594,0
888,1584,0
871,1578,0
852,1570,0
832,1575,0
807,1587,0
777,1602,0
748,1631,0
721,1671,0
699,1710,0
689,1745,0
691,1783,0
704,1811,0
728,1836,0
758,1851,0
793,1865,0
832,1871,0
871,1872,0
908,1864,0
945,1851,0
979,1838,0
1010,1820,0
1032,1800,0
1045,1789,0
1044,1777,0
1040,1773,0
1029,1768,0
1014,1768,0
997,1775,0
979,1790,0
960,1809,0
948,1831,0
943,1851,0
950,1868,0
962,1873,0
979,1866,0
1003,1851,0
1025,1828,0
1044,1804,0
1054,1784,0
1056,1773,0
1057,1773,0
1056,1773,0
1056,1780,0
1056,1797,0
1061,1816,0
1073,1837,0
1088,1849,0
1107,1857,0
1128,1856,0
1146,1843,0
1166,1822,0
1185,1797,0
1200,1777,0
1207,1768,0
1206,1768,0
1206,1772,0
1206,1788,0
1204,1808,0
1204,1824,0
1209,1844,0
1212,1855,0
1216,1863,0
1217,1863,0
1218,1863,0
1219,1855,0
1225,1838,0
1233,1818,0
1240,1797,0
1248,1780,0
1252,1768,0
1255,1763,0
1257,1763,1
1313,1736,0
1312,1735,0
1316,1743,0
1322,1763,0
1322,1783,0
1322,1803,0
1327,1823,0
1331,1833,0
1336,1837,0
1344,1841,0
1350,1826,0
1362,1804,0
1377,1778,0
1391,1759,0
1397,1745,0
1399,1744,0
1399,1745,0
1401,1761,0
1401,1777,0
1408,1797,0
1420,1810,0
1435,1815,0
1454,1819,0
1468,1812,0
1483,1804,0
1494,1792,0
1501,1783,0
1503,1782,0
1503,1783,0
1502,1786,0
1500,1795,0
1503,1811,0
1510,1826,0
1521,1835,0
1538,1839,0
1562,1836,0
1590,1824,0
1614,1804,0
1633,1781,0
1645,1763,0
1645,1751,0
1635,1742,0
1619,1739,0
1604,1744,0
1590,1757,0
1580,1777,0
1576,1800,0
1579,1819,0
1596,1839,0
1622,1847,0
1660,1847,0
1698,1830,0
1741,1804,0
1778,1771,0
1806,1728,0
1822,1685,0
1828,1647,0
1824,1617,0
1812,1597,0
1796,1587,0
1778,1587,0
1761,1604,0
1745,1638,0
1739,1684,0
1743,1734,0
1759,1780,0
1788,1815,0
1836,1842,0
1892,1851,1
2005,1479,0
2005,1476,0
2007,1479,0
2007,1483,0
2000,1493,0
2000,1508,0
2001,1522,0
2002,1530,0
2005,1533,0
2010,1530,0
2015,1522,0
2021,1508,0
2024,1496,0
2029,1492,0
2027,1488,0
2030,1491,0
2028,1498,0
2034,1512,0
2047,1534,0
2050,1551,0
2053,1573,1
2070,1847,0
2067,1849,0
2067,1867,0
