&quot;I was waiting,&quot; he explained,
676
791,3629,0
786,3633,0
787,3632,0
789,3641,0
792,3644,0
796,3661,0
798,3673,0
799,3689,0
798,3701,1
829,3607,0
829,3607,0
830,3612,0
832,3607,0
836,3616,1
839,3628,0
841,3641,0
839,3656,0
842,3672,1
962,3595,1
970,3611,0
971,3631,0
970,3651,0
970,3682,0
970,3715,0
968,3742,0
968,3775,0
971,3799,1
1276,3687,0
1277,3703,0
1276,3727,0
1276,3759,0
1275,3792,0
1275,3807,0
1279,3814,0
1286,3815,0
1293,3806,0
1302,3798,0
1312,3781,0
1324,3764,0
1335,3743,1
1349,3702,0
1355,3698,0
1358,3694,0
1360,3694,0
1365,3701,0
1370,3717,0
1377,3740,0
1387,3763,0
1399,3783,0
1411,3793,0
1422,3800,0
1435,3803,0
1444,3794,0
1455,3789,0
1461,3773,0
1469,3755,0
1474,3731,0
1476,3706,0
1479,3686,0
1479,3670,0
1476,3658,0
1474,3650,0
1474,3646,0
1475,3645,1
1555,3652,0
1566,3643,0
1578,3637,0
1590,3627,0
1603,3621,0
1617,3624,0
1631,3633,0
1641,3648,0
1648,3667,0
1651,3690,0
1647,3711,0
1641,3737,0
1629,3754,0
1616,3769,0
1602,3779,0
1585,3782,0
1570,3779,0
1558,3773,0
1551,3761,0
1547,3746,0
1550,3737,0
1558,3732,0
1568,3727,0
1582,3729,0
1598,3735,0
1616,3745,0
1632,3754,0
1646,3764,0
1659,3774,1
1826,3604,0
1820,3602,0
1813,3599,0
1804,3597,0
1792,3595,1
1768,3608,0
1762,3621,0
1759,3631,0
1761,3643,0
1771,3657,0
1783,3670,0
1799,3684,0
1815,3697,0
1831,3710,0
1838,3716,0
1844,3728,0
1842,3740,0
1836,3754,0
1824,3769,0
1807,3781,0
1786,3788,1
2075,3587,0
2075,3587,0
2073,3583,0
2074,3583,0
2075,3583,1
2077,3590,0
2079,3606,0
2081,3631,0
2086,3667,0
2089,3699,0
2097,3726,0
2108,3744,0
2116,3745,0
2128,3746,0
2140,3739,0
2154,3730,0
2162,3711,0
2168,3692,0
2173,3670,0
2178,3651,0
2183,3641,0
2185,3633,0
2186,3632,0
2188,3636,0
2195,3654,0
2200,3674,0
2214,3703,0
2230,3723,0
2244,3731,0
2258,3731,0
2271,3730,0
2284,3726,0
2292,3711,0
2300,3696,0
2309,3672,0
2315,3644,0
2319,3617,0
2320,3591,0
2323,3577,0
2323,3568,0
2322,3565,1
2394,3602,0
2393,3598,0
2394,3593,0
2400,3586,0
2407,3571,0
2421,3556,0
2439,3546,0
2458,3538,0
2473,3535,0
2487,3539,0
2499,3551,0
2508,3568,0
2514,3601,1
2502,3667,0
2487,3694,0
2466,3707,0
2448,3718,0
2438,3722,0
2427,3713,0
2420,3699,0
2416,3683,0
