said, &quot;but we &apos;ll give you a nice one, so that
570
910,2915,0
908,2907,0
904,2907,0
895,2907,0
880,2913,0
858,2928,0
834,2942,0
815,2960,0
805,2980,0
805,2996,0
817,3004,0
872,3017,0
904,3027,0
931,3028,0
952,3037,0
962,3046,0
960,3054,0
945,3062,0
919,3085,0
886,3110,0
854,3132,0
828,3154,0
814,3165,0
813,3169,1
1124,3004,0
1124,3000,0
1123,2996,0
1118,2993,0
1110,2988,0
1100,2989,0
1087,2984,0
1074,2989,0
1062,3001,0
1056,3009,0
1056,3017,0
1060,3028,0
1072,3036,0
1087,3033,0
1105,3025,0
1124,3012,0
1139,2996,0
1145,3000,0
1133,3016,0
1122,3033,0
1119,3045,0
1122,3049,1
1199,3046,1
1315,3011,0
1315,3011,0
1311,3004,0
1308,2999,0
1305,2996,0
1298,2992,0
1293,2996,0
1280,3042,0
1317,3035,0
1331,3009,0
1346,2980,0
1359,2951,0
1370,2917,0
1373,2889,0
1372,2873,1
1438,3026,0
1439,3030,0
1436,3034,0
1414,3086,0
1396,3115,0
1381,3141,0
1365,3156,1
1590,2890,0
1589,2885,0
1591,2881,0
1597,2871,0
1606,2857,0
1615,2844,0
1623,2838,0
1628,2837,0
1626,2841,1
1604,2915,0
1610,2914,0
1623,2890,0
1650,2865,1
1893,2890,0
1893,2890,0
1893,2890,0
1894,2893,0
1895,2906,0
1894,2927,0
1884,2942,0
1877,2970,0
1867,2997,0
1858,3025,0
1849,3048,0
1841,3058,0
1842,3066,0
1842,3066,0
1843,3062,0
1852,3059,0
1863,3052,0
1872,3046,0
1880,3044,0
1887,3041,0
1895,3047,0
1899,3051,0
1900,3058,0
1899,3067,0
1894,3073,0
1884,3080,0
1873,3091,0
1857,3095,0
1843,3099,0
1833,3101,0
1830,3103,0
1829,3094,0
1837,3088,1
1981,3035,0
1978,3031,0
1976,3031,0
1974,3036,0
1971,3046,0
1964,3056,0
1959,3066,0
1962,3078,0
1969,3083,0
1979,3085,0
1993,3077,0
2007,3064,0
2022,3050,0
2036,3042,0
2043,3040,0
2043,3043,0
2041,3053,1
2194,2881,1
2113,3083,0
2114,3083,0
2115,3074,0
2114,3053,0
2117,3030,0
2119,3013,0
2121,3004,0
2124,3002,0
2128,2997,0
2141,2996,0
2157,2990,0
2180,2982,0
2202,2968,1
2423,3020,0
2423,3038,0
2420,3057,0
2416,3072,0
2415,3086,0
2415,3094,0
2419,3098,0
2422,3095,0
2427,3089,0
2437,3076,0
2447,3062,0
2455,3045,0
2465,3036,0
2471,3037,0
2471,3037,0
2475,3053,0
2469,3069,0
2468,3087,0
2471,3099,0
2474,3098,0
2485,3093,0
2498,3078,0
2516,3059,0
2533,3037,0
2550,3025,1
2587,3055,0
2598,3049,0
2609,3039,0
2621,3028,0
2630,3014,0
2634,3007,0
2630,3005,0
2619,3006,0
2606,3018,0
2591,3034,0
2581,3058,0
2576,3079,0
2580,3095,1
2689,2972,0
2692,2965,0
2700,2947,0
2712,2926,0
2724,2905,1
2795,2904,0
2791,2907,0
2787,2917,0
2776,2938,0
2765,2970,0
2754,3013,0
2748,3063,0
2745,3092,0
2750,3098,1
2851,2910,0
2850,2911,0
2845,2914,0
2839,2928,0
2826,2951,0
2820,2987,0
2810,3026,0
2807,3064,0
2811,3091,1
3115,3026,0
3113,3018,0
3113,3008,0
3110,2996,0
3100,2984,0
3091,2980,0
3076,2975,0
3064,2984,0
3050,2999,0
3042,3014,0
3042,3028,0
3049,3038,0
3057,3038,0
3071,3038,0
3084,3029,0
3100,3017,0
3114,2998,0
3125,2980,0
3135,2972,0
3134,2973,0
3132,2980,0
3126,3004,0
3113,3038,0
3104,3078,0
3099,3120,0
3091,3156,0
3087,3186,0
3078,3202,0
3072,3211,0
3068,3214,0
3059,3204,0
3047,3193,0
3040,3179,1
3227,2994,0
3226,2994,0
3226,2995,0
3226,2999,0
3217,3006,0
3213,3025,0
3207,3043,0
3210,3062,0
3215,3068,1
3284,3056,0
3281,3062,0
3286,3065,0
3294,3064,0
3307,3054,0
3317,3035,0
3333,3018,0
3345,3003,0
3351,2993,1
3390,3049,0
3395,3045,0
3409,3040,0
3415,3029,0
3424,3022,0
3427,3014,0
3425,3011,0
3414,3008,0
3405,3016,0
3395,3029,0
3389,3045,0
3387,3061,0
3392,3073,0
3401,3076,0
3417,3074,0
3438,3066,0
3460,3054,1
3261,2937,0
3247,2932,0
3252,2929,0
3262,2926,0
3281,2926,1
3678,3002,0
3677,3003,0
3677,3004,0
3681,3011,0
3681,3022,0
3677,3035,0
3682,3053,0
3682,3063,0
3691,3071,1
3793,2999,0
3787,2999,0
3776,3003,0
3766,3018,0
3746,3037,0
3717,3059,0
3692,3091,0
3662,3124,0
3636,3157,1
3827,3038,0
3828,3037,0
3827,3033,0
3825,3029,0
3818,3025,0
3809,3023,0
3791,3022,0
3780,3033,0
3766,3051,1
3782,3124,0
3800,3117,0
3822,3103,0
3841,3079,1
3859,3023,0
3855,3022,0
3842,3023,0
3828,3032,1
3921,3041,0
3917,3045,0
3913,3049,0
3906,3055,0
3907,3066,0
3904,3074,0
3908,3082,0
3914,3087,1
3932,3081,0
3943,3069,0
3962,3056,0
3976,3037,0
3988,3025,1
4245,3021,0
4239,3015,0
4237,3012,0
4233,3010,0
4229,3008,0
4220,3006,0
4211,3011,0
4198,3020,0
4185,3038,0
4172,3052,0
4165,3066,0
4170,3073,0
4176,3073,0
4185,3068,0
4198,3060,0
4209,3048,0
4215,3036,0
4216,3028,0
4218,3032,0
4216,3034,0
4209,3042,1
4375,3012,0
4379,3014,0
4377,3016,0
4377,3029,0
4372,3047,0
4370,3066,0
4369,3080,0
4372,3083,0
4374,3080,0
4378,3070,0
4391,3054,0
4408,3036,0
4425,3022,0
4436,3015,0
4445,3017,0
4449,3025,0
4451,3040,0
4449,3056,0
4447,3071,0
4447,3076,0
4449,3074,1
4539,3009,0
4542,3013,0
4541,3014,0
4536,3019,0
4531,3033,0
4526,3051,0
4519,3065,0
4519,3078,0
4522,3080,1
4625,3025,0
4625,3025,0
4622,3023,0
4618,3021,0
4613,3020,0
4607,3022,0
4598,3027,0
4592,3040,0
4585,3055,0
4586,3073,0
4588,3082,0
4599,3088,0
4615,3088,1
4720,3033,0
4719,3034,0
4716,3032,0
4717,3031,0
4722,3031,0
4727,3025,0
4731,3014,0
4736,3006,0
4736,3000,1
4580,2947,0
4567,2938,0
4572,2924,0
4576,2913,0
4594,2909,1
4929,3016,0
4922,3014,0
4915,3010,0
4905,3009,0
4890,3009,0
4874,3018,0
4862,3033,0
4852,3053,0
4852,3079,0
4851,3093,0
4859,3102,0
4880,3101,0
4900,3088,0
4921,3067,0
4941,3042,0
4951,3014,0
4950,2996,0
4941,2988,0
4924,2991,0
4903,2999,0
4885,3010,1
4996,3006,0
4996,3006,0
4999,3011,0
4994,3017,0
4986,3028,0
4978,3038,0
4977,3047,0
4978,3051,0
4984,3051,1
5035,3021,0
5045,3021,0
5051,3026,0
5051,3033,0
5052,3047,0
5051,3060,0
5046,3066,0
5052,3072,1
5144,3047,0
5142,3049,0
5142,3049,0
5150,3053,0
5151,3050,0
5160,3046,0
5167,3036,0
5170,3025,0
5175,3016,0
5170,3011,0
5166,3011,0
5156,3016,0
5145,3025,0
5135,3040,0
5131,3052,0
5131,3059,0
5137,3064,1
5253,3073,0
5255,3077,0
5253,3087,0
5243,3108,0
5227,3137,1
5429,3004,0
5429,2997,0
5429,2991,0
5426,2987,0
5422,2986,1
5414,3072,0
5414,3078,0
5405,3085,0
5390,3093,0
5379,3103,0
5361,3107,0
5349,3110,0
5339,3110,0
5342,3106,1
5509,3029,0
5511,3025,0
5513,3023,0
5513,3022,0
5509,3022,0
5496,3019,0
5484,3025,0
5467,3036,0
5448,3049,0
5438,3065,0
5439,3083,0
5443,3094,0
5458,3100,0
5479,3096,0
5503,3083,0
5524,3065,0
5540,3048,0
5543,3035,0
5538,3021,0
5526,3009,0
5514,3007,1
5716,2859,0
5717,2858,0
5717,2858,0
5716,2869,0
5705,2895,0
5698,2938,0
5688,2984,0
5677,3025,0
5667,3057,1
5651,2992,0
5656,2984,0
5651,2977,0
5656,2969,0
5666,2960,1
5774,2856,0
5771,2861,0
5768,2865,0
5764,2882,0
5758,2906,0
5754,2936,0
5750,2966,0
5743,2994,0
5741,3013,0
5744,3023,0
5751,3028,0
5760,3027,0
5774,3022,0
5786,3016,0
5807,3013,0
5816,3012,0
5828,3017,0
5836,3028,0
5842,3038,0
5844,3044,0
5851,3047,1
5936,3015,0
5938,3012,0
5940,3007,0
5935,2999,0
5926,2992,1
5890,3030,0
5892,3040,0
5899,3045,0
5909,3045,0
5921,3040,0
5926,3030,0
5936,3022,0
5939,3016,1
6057,2873,0
6065,2868,0
6061,2866,0
6063,2871,0
6051,2884,0
6037,2910,0
6022,2946,0
6012,2987,0
5998,3020,0
5992,3038,0
5991,3040,0
5989,3034,0
5990,3018,0
5999,2993,0
6009,2967,0
6020,2950,0
6036,2945,0
6046,2941,0
6066,2947,0
6085,2948,0
6107,2949,1
