&quot;Dear me, Mr. Dark, I would
620
794,1128,0
827,1174,0
830,1182,0
829,1199,0
824,1231,0
817,1274,0
811,1315,0
816,1348,0
820,1353,1
893,1184,0
887,1183,0
887,1195,0
879,1210,0
873,1237,0
869,1274,0
865,1305,0
870,1327,0
879,1331,1
1039,1180,0
1040,1184,0
1041,1188,0
1043,1204,0
1043,1233,0
1049,1281,0
1052,1336,0
1053,1392,0
1054,1449,0
1059,1493,0
1065,1524,0
1071,1545,0
1075,1557,0
1070,1553,0
1064,1544,0
1055,1524,0
1044,1485,0
1036,1436,0
1035,1388,0
1037,1336,0
1046,1285,0
1061,1241,0
1079,1205,0
1096,1181,0
1112,1172,0
1129,1184,0
1145,1207,0
1155,1238,0
1163,1278,0
1166,1322,0
1164,1362,0
1153,1391,0
1141,1423,0
1119,1448,0
1089,1465,0
1056,1477,0
1025,1483,0
999,1483,0
979,1469,0
981,1462,0
995,1446,1
1214,1429,0
1216,1429,0
1221,1425,0
1235,1416,0
1255,1401,0
1278,1377,0
1301,1348,0
1324,1319,0
1344,1291,0
1350,1265,0
1348,1249,0
1340,1242,0
1324,1246,0
1300,1259,0
1269,1281,0
1241,1317,0
1220,1360,0
1217,1401,0
1222,1421,0
1245,1434,0
1276,1434,0
1320,1426,0
1365,1400,0
1415,1380,0
1454,1352,1
1544,1254,0
1541,1247,0
1534,1241,0
1528,1240,0
1521,1242,0
1507,1257,0
1488,1281,0
1466,1310,0
1451,1344,0
1445,1371,0
1453,1389,0
1458,1392,0
1469,1393,0
1478,1377,0
1494,1356,0
1508,1321,0
1522,1285,0
1533,1254,0
1531,1230,0
1534,1228,0
1529,1225,0
1528,1244,0
1518,1274,0
1522,1315,0
1510,1345,0
1521,1380,0
1543,1406,0
1574,1420,0
1613,1421,0
1650,1409,0
1683,1389,0
1714,1368,0
1729,1341,0
1737,1319,0
1726,1298,0
1708,1280,0
1684,1266,0
1664,1259,0
1643,1252,0
1628,1246,0
1628,1246,0
1631,1249,0
1635,1247,0
1657,1249,0
1677,1242,0
1705,1241,0
1728,1236,0
1746,1229,0
1767,1225,0
1788,1222,0
1807,1213,0
1837,1206,1
2099,1193,0
2098,1189,0
2097,1189,0
2097,1195,0
2104,1216,0
2108,1245,0
2113,1279,0
2114,1311,0
2115,1337,0
2115,1347,0
2118,1350,0
2118,1350,0
2117,1341,0
2118,1313,0
2123,1275,0
2131,1235,0
2147,1202,0
2157,1179,0
2166,1169,0
2175,1165,0
2178,1167,0
2186,1182,0
2190,1208,0
2187,1241,0
2183,1274,0
2180,1299,0
2181,1314,0
2181,1319,0
2181,1319,0
2182,1318,0
2182,1307,0
2193,1281,0
2206,1243,0
2230,1212,0
2241,1187,0
2251,1182,0
2252,1182,0
2253,1186,0
2256,1202,0
2256,1226,0
2256,1254,0
2258,1276,0
2275,1293,0
2291,1300,0
2314,1298,0
2337,1285,0
2368,1266,0
2395,1241,0
2418,1212,0
2434,1185,0
2436,1162,0
2431,1148,0
2415,1143,0
2396,1148,0
2364,1164,0
2340,1189,0
2321,1223,0
2314,1255,0
2321,1284,0
2338,1307,0
2364,1319,0
2400,1322,0
2439,1313,0
2482,1300,0
2521,1287,1
2615,1289,0
2618,1292,0
2620,1298,0
2622,1308,0
2611,1329,0
2591,1360,0
2567,1397,0
2554,1426,0
2557,1434,1
2858,1202,0
2855,1199,0
2854,1193,0
2860,1176,0
2873,1152,0
2892,1126,0
2919,1098,0
2948,1076,0
2975,1066,0
2987,1068,0
3006,1085,0
3018,1116,0
3024,1158,0
3020,1200,0
3022,1239,0
3018,1270,0
3015,1291,0
3016,1298,0
3011,1298,0
3012,1295,0
3004,1278,0
3005,1252,0
3011,1216,0
3023,1175,0
3039,1137,0
3066,1109,0
3084,1089,0
3102,1078,0
3114,1081,0
3117,1093,0
3118,1120,0
3115,1155,0
3110,1190,0
3105,1220,0
3099,1238,0
3100,1246,0
3095,1246,0
3100,1244,0
3097,1235,0
3100,1211,0
3109,1176,0
3126,1132,0
3152,1093,0
3170,1072,0
3177,1066,0
3185,1068,0
3190,1078,0
3194,1100,0
3193,1129,0
3199,1165,0
3202,1204,0
3203,1237,0
3213,1261,0
3221,1271,0
3243,1276,0
3253,1271,0
3270,1255,0
3286,1230,0
3309,1202,0
3325,1176,0
3341,1162,0
3346,1158,0
3349,1162,0
3347,1175,0
3350,1199,0
3344,1222,0
3342,1244,0
3344,1260,0
3349,1267,0
3353,1270,0
3353,1269,0
3351,1263,0
3346,1246,0
3335,1223,0
3332,1201,0
3325,1177,0
3327,1155,0
3339,1135,0
3356,1117,0
3364,1106,0
3375,1099,0
3394,1096,0
3411,1097,0
3425,1105,0
3441,1118,1
3494,1239,0
3490,1239,0
3486,1238,0
3486,1237,0
3487,1236,1
3725,1056,0
3718,1073,0
3714,1098,0
3715,1131,0
3711,1167,0
3718,1202,0
3728,1232,0
3733,1250,0
3742,1261,0
3749,1266,0
3744,1264,0
3746,1261,0
3735,1247,0
3730,1225,0
3721,1194,0
3714,1158,0
3718,1122,0
3725,1090,0
3737,1066,0
3755,1052,0
3778,1045,0
3802,1048,0
3831,1066,0
3847,1091,0
3858,1122,0
3860,1155,0
3851,1190,0
3834,1223,0
3820,1248,0
3805,1264,0
3789,1274,0
3769,1279,0
3760,1278,0
3754,1273,0
3754,1260,0
3765,1247,0
3782,1235,1
3995,1143,0
3982,1131,0
3968,1123,0
3961,1119,0
3947,1122,0
3930,1132,0
3915,1155,0
3899,1184,0
3885,1213,0
3887,1230,0
3893,1237,0
3910,1239,0
3924,1233,0
3942,1220,0
3961,1204,0
3982,1179,0
4004,1153,0
4020,1130,0
4032,1122,0
4032,1122,0
4028,1131,0
4021,1155,0
4006,1184,0
3999,1215,0
3993,1243,0
4003,1263,0
4021,1271,0
4051,1270,0
4077,1260,0
4106,1249,0
4120,1234,0
4131,1215,0
4129,1194,0
4123,1175,0
4109,1156,0
4096,1142,0
4080,1129,0
4075,1118,0
4073,1112,0
4073,1109,0
4069,1108,0
4081,1112,0
4088,1114,0
4109,1114,0
4132,1109,0
4163,1100,0
4180,1088,0
4192,1074,0
4201,1056,0
4203,1035,0
4210,1013,0
4210,997,0
4203,988,0
4196,984,0
4196,984,0
4190,994,0
4182,1020,0
4178,1053,0
4172,1089,0
4168,1128,0
4174,1161,0
4187,1187,0
4190,1202,0
4195,1213,0
4193,1216,0
4194,1216,0
4186,1211,0
4182,1201,0
4179,1185,0
4179,1161,0
4184,1132,0
4202,1100,0
4227,1072,0
4251,1054,0
4283,1047,0
4307,1050,0
4321,1060,0
4326,1075,0
4319,1099,0
4302,1126,0
4279,1147,0
4266,1162,0
4251,1170,0
4237,1175,0
4228,1177,0
4224,1175,0
4225,1175,0
4225,1175,0
4229,1186,0
4235,1205,0
4242,1223,0
4268,1233,0
4305,1237,0
4345,1231,0
4392,1226,0
4439,1224,0
4471,1216,1
4492,1199,0
4493,1199,0
4497,1199,0
4509,1203,0
4523,1213,0
4533,1232,0
4525,1259,0
4506,1292,0
4483,1322,1
4759,1006,0
4755,1006,0
4755,1008,0
4758,1013,0
4767,1028,0
4777,1055,0
4781,1089,0
4787,1128,0
4789,1167,0
4792,1201,0
4792,1220,0
4796,1230,0
4794,1237,0
4794,1238,0
4787,1236,0
4787,1235,0
4788,1233,0
4787,1233,0
4796,1229,0
4807,1221,0
4830,1216,0
4848,1208,0
4864,1200,0
4869,1192,0
4876,1182,1
4683,1014,0
4680,1011,0
4690,1006,0
4700,999,0
4721,992,0
4740,984,0
4761,977,0
4791,972,0
4821,967,1
5026,1061,0
5021,1059,0
5022,1060,0
5021,1064,0
5017,1079,0
5012,1104,0
5014,1129,0
5016,1150,0
5026,1163,0
5040,1170,0
5048,1172,0
5052,1171,0
5058,1165,0
5071,1150,0
5080,1126,0
5090,1101,0
5099,1083,0
5104,1077,0
5105,1075,0
5105,1073,0
5107,1081,0
5108,1099,0
5105,1124,0
5112,1150,0
5128,1169,0
5142,1177,0
5172,1173,0
5199,1161,0
5225,1140,0
5243,1114,0
5249,1086,0
5248,1061,0
5235,1042,0
5209,1030,0
5185,1027,0
5168,1030,0
5150,1035,1
5339,1048,0
5332,1042,0
5330,1038,0
5323,1031,0
5323,1029,0
5312,1026,0
5302,1032,0
5291,1047,0
5277,1074,0
5262,1101,0
5258,1122,0
5267,1136,0
5274,1141,0
5291,1141,0
5301,1135,0
5315,1124,0
5331,1106,0
5349,1083,0
5370,1060,0
5378,1040,0
5380,1033,0
5379,1032,0
5380,1033,0
5378,1037,0
5371,1058,0
5357,1083,0
5352,1103,0
5358,1114,0
5373,1121,0
5385,1119,0
5412,1113,0
5431,1098,0
5452,1077,0
5472,1056,0
5489,1036,0
5499,1027,0
5494,1026,0
5495,1027,0
5493,1037,0
