demanded faintly. &quot;Perhaps, Mr. Dark,&quot;
709
650,4483,0
645,4463,0
638,4442,0
628,4425,0
615,4407,0
596,4397,0
578,4403,0
558,4417,0
543,4447,0
535,4483,0
537,4503,0
546,4504,0
559,4501,0
576,4487,0
593,4461,0
612,4423,0
632,4377,0
650,4335,0
662,4296,0
667,4264,0
665,4260,0
661,4267,0
653,4290,0
643,4338,0
636,4397,0
639,4450,0
652,4480,0
673,4489,0
698,4488,0
723,4478,0
745,4456,0
765,4429,0
780,4394,0
783,4362,0
779,4341,0
768,4341,0
753,4356,0
735,4391,0
723,4434,0
721,4466,0
730,4487,0
745,4491,0
767,4493,0
791,4487,0
815,4468,0
839,4446,0
857,4410,0
867,4379,0
872,4359,0
871,4355,0
872,4359,0
869,4383,0
867,4423,0
866,4455,0
878,4472,0
891,4480,0
904,4485,0
919,4482,0
933,4466,0
947,4447,0
960,4415,0
971,4387,0
977,4367,0
977,4363,0
975,4363,0
971,4387,0
966,4419,0
965,4439,0
972,4459,0
982,4463,0
994,4468,0
1006,4468,0
1020,4456,0
1035,4440,0
1049,4416,0
1061,4393,0
1064,4389,0
1062,4388,0
1059,4401,0
1053,4432,0
1054,4460,0
1068,4476,0
1094,4485,0
1122,4476,0
1149,4468,0
1175,4459,0
1196,4439,0
1213,4418,0
1221,4398,0
1218,4378,0
1205,4371,0
1186,4367,0
1163,4384,0
1137,4412,0
1122,4440,0
1120,4464,0
1129,4472,0
1145,4476,0
1163,4476,0
1182,4463,0
1199,4447,0
1215,4422,0
1228,4401,0
1236,4378,0
1237,4362,0
1235,4362,0
1235,4374,0
1228,4401,0
1228,4430,0
1231,4454,0
1240,4465,0
1261,4473,0
1284,4471,0
1305,4463,0
1321,4450,0
1336,4433,0
1347,4408,0
1353,4388,0
1354,4372,0
1350,4367,0
1348,4372,0
1340,4393,0
1334,4420,0
1336,4445,0
1344,4461,0
1356,4468,0
1372,4474,0
1389,4469,0
1411,4463,0
1423,4447,0
1436,4434,0
1442,4417,0
1442,4421,0
1440,4418,0
1438,4425,0
1438,4454,0
1443,4469,1
1611,4432,0
1625,4413,0
1628,4397,0
1619,4382,0
1601,4372,0
1578,4379,0
1554,4402,0
1537,4424,0
1533,4440,0
1540,4447,0
1552,4447,0
1570,4444,0
1592,4434,0
1615,4415,0
1634,4384,0
1652,4353,0
1663,4316,0
1666,4290,0
1662,4284,0
1656,4285,0
1647,4305,0
1637,4343,0
1632,4385,0
1632,4425,0
1640,4444,0
1662,4457,0
1693,4456,0
1725,4452,0
1752,4436,0
1775,4416,0
1783,4386,0
1786,4369,0
1778,4363,0
1763,4361,0
1746,4384,0
1729,4407,0
1724,4427,0
1737,4450,0
1762,4463,0
1793,4461,1
1865,4461,0
1899,4450,0
1931,4432,0
1952,4407,0
1961,4385,0
1958,4366,0
1938,4353,0
1908,4351,0
1877,4369,0
1853,4394,0
1841,4417,0
1841,4429,0
1850,4436,0
1868,4444,0
1891,4444,0
1913,4436,0
1937,4423,0
1961,4401,0
1981,4373,0
1993,4342,0
1998,4316,0
1995,4297,0
1990,4293,0
1990,4301,0
1983,4320,0
1978,4357,0
1973,4395,0
1968,4433,1
2309,4402,0
2310,4397,0
2314,4396,0
2326,4388,0
2342,4367,0
2363,4336,0
2383,4296,0
2395,4254,0
2397,4224,0
2382,4199,0
2364,4197,0
2341,4212,0
2318,4249,0
2303,4308,0
2299,4372,0
2306,4432,0
2312,4480,0
2313,4521,0
2307,4555,0
2297,4584,0
2284,4600,0
2279,4601,0
2285,4599,0
2298,4579,0
2322,4548,1
2473,4308,0
2459,4304,0
2443,4309,0
2420,4329,0
2402,4360,0
2390,4385,0
2392,4410,0
2403,4423,0
2415,4428,0
2429,4427,0
2441,4420,0
2456,4406,0
2473,4384,0
2487,4355,0
2498,4329,0
2504,4319,0
2500,4316,0
2498,4325,0
2491,4349,0
2488,4379,0
2490,4396,0
2500,4409,0
2515,4413,0
2535,4410,0
2555,4398,0
2576,4383,0
2594,4363,0
2607,4350,0
2614,4356,0
2620,4371,0
2625,4394,0
2627,4406,0
2633,4418,0
2637,4420,0
2640,4419,0
2640,4406,0
2637,4394,0
2637,4377,0
2634,4362,0
2628,4346,1
2625,4246,0
2627,4249,0
2627,4244,0
2630,4248,0
2634,4251,1
2732,4316,0
2731,4316,0
2732,4328,0
2732,4358,0
2733,4379,0
2737,4391,0
2747,4396,0
2760,4398,0
2770,4391,0
2776,4384,0
2783,4377,0
2792,4365,0
2800,4348,0
2810,4348,0
2818,4358,0
2828,4376,0
2835,4390,0
2842,4396,0
2852,4396,0
2867,4394,0
2880,4376,0
2900,4355,0
2920,4319,0
2938,4275,0
2953,4238,0
2955,4215,0
2953,4216,0
2951,4234,0
2947,4276,0
2942,4318,0
2941,4353,0
2943,4379,0
2944,4391,0
2945,4396,0
2948,4398,0
2950,4398,0
2951,4397,0
2952,4397,0
2960,4393,0
2976,4386,0
2999,4371,0
3024,4355,0
3048,4335,0
3069,4311,0
3086,4282,0
3096,4250,0
3100,4221,0
3093,4207,0
3079,4213,0
3061,4240,0
3049,4282,0
3042,4320,0
