racket, my dear sir, is not in the
658
1002,2792,0
1001,2791,0
1000,2791,0
1000,2791,0
1001,2800,0
1003,2811,0
1006,2832,0
1008,2856,0
1008,2880,0
1008,2904,0
1008,2924,0
1011,2944,0
1013,2948,0
1012,2943,0
1013,2944,0
1010,2936,0
1011,2928,0
1009,2908,0
1010,2888,0
1014,2864,0
1023,2840,0
1032,2820,0
1044,2808,0
1057,2801,0
1070,2792,1
1179,2795,0
1173,2791,0
1166,2791,0
1154,2791,0
1139,2796,0
1122,2805,0
1107,2821,0
1095,2844,0
1087,2869,0
1081,2893,0
1081,2913,0
1085,2929,0
1092,2933,0
1104,2936,0
1118,2932,0
1134,2920,0
1146,2900,0
1161,2888,0
1168,2859,0
1176,2839,0
1182,2818,0
1186,2811,0
1187,2806,0
1187,2803,0
1187,2806,0
1187,2814,0
1186,2835,0
1189,2862,0
1192,2878,0
1196,2898,0
1202,2910,0
1207,2914,0
1214,2914,1
1308,2774,0
1308,2779,0
1305,2779,0
1302,2779,0
1294,2776,0
1285,2781,0
1274,2789,0
1261,2794,0
1252,2811,0
1245,2828,0
1242,2848,0
1240,2864,0
1241,2880,0
1245,2891,0
1256,2899,0
1269,2902,0
1288,2901,1
1374,2683,0
1374,2683,0
1375,2688,0
1380,2703,0
1381,2723,0
1385,2755,0
1382,2779,0
1382,2803,0
1381,2828,0
1382,2852,0
1383,2868,0
1384,2876,0
1384,2876,1
1435,2781,0
1437,2789,0
1431,2789,0
1421,2786,0
1411,2792,0
1400,2797,0
1387,2799,0
1378,2808,0
1372,2813,0
1370,2821,0
1371,2820,0
1379,2828,0
1391,2835,0
1404,2837,0
1418,2840,0
1433,2845,0
1446,2852,0
1458,2858,0
1467,2857,0
1477,2860,0
1488,2862,1
1527,2831,0
1535,2830,0
1549,2824,0
1563,2813,0
1577,2799,1
1597,2778,0
1599,2770,0
1599,2765,0
1592,2759,0
1585,2756,0
1575,2758,0
1561,2756,0
1548,2767,0
1532,2778,0
1518,2796,0
1508,2814,0
1498,2828,0
1498,2840,0
1505,2851,0
1519,2861,0
1539,2866,0
1559,2874,0
1580,2875,0
1603,2874,0
1628,2873,1
1669,2639,0
1672,2643,0
1672,2647,0
1671,2655,0
1674,2675,0
1676,2700,0
1678,2727,0
1677,2752,0
1680,2784,0
1679,2810,0
1677,2835,0
1677,2859,0
1676,2872,1
1669,2774,0
1679,2772,0
1692,2770,0
1703,2767,0
1713,2765,1
1838,2881,0
1835,2881,0
1833,2890,0
1826,2905,0
1813,2924,0
1796,2946,0
1783,2970,0
1771,2985,0
1763,2991,1
2052,2773,0
2052,2777,0
2053,2790,0
2050,2803,0
2052,2828,0
2048,2847,0
2049,2868,0
2048,2881,0
2049,2889,0
2047,2885,0
2049,2885,0
2055,2879,0
2060,2860,0
2065,2836,0
2075,2815,0
2084,2795,0
2094,2779,0
2105,2765,0
2118,2765,0
2121,2763,0
2128,2782,0
2124,2801,0
2119,2816,0
2118,2829,0
2118,2834,0
2122,2836,0
2125,2835,0
2131,2828,0
2138,2813,0
2146,2792,0
2162,2782,0
2173,2768,0
2190,2770,0
2200,2770,0
2207,2779,0
2215,2803,0
2215,2824,0
2213,2842,0
2213,2855,0
2214,2860,0
2218,2861,1
2278,2770,0
2278,2770,0
2280,2774,0
2288,2783,0
2298,2796,0
2311,2813,0
2321,2825,0
2330,2835,0
2340,2842,0
2350,2847,0
2356,2844,0
2366,2848,0
2376,2844,1
2414,2743,0
2411,2745,0
2409,2755,0
2407,2774,0
2400,2796,0
2390,2823,0
2378,2852,0
2364,2880,0
2351,2908,0
2342,2934,0
2338,2954,0
2337,2963,0
2338,2966,1
2730,2713,0
2726,2711,0
2723,2707,0
2719,2705,0
2711,2701,0
2702,2702,0
2687,2702,0
2673,2710,0
2655,2717,0
2640,2731,0
2630,2752,0
2622,2774,0
2615,2792,0
2618,2809,0
2623,2820,0
2643,2837,0
2656,2834,0
2670,2825,0
2688,2814,0
2702,2791,0
2716,2770,0
2728,2748,0
2734,2724,0
2741,2700,0
2747,2673,0
2751,2647,0
2753,2625,0
2750,2608,0
2753,2601,1
2750,2598,0
2750,2598,0
2750,2608,0
2747,2625,0
2747,2649,0
2747,2678,0
2742,2705,0
2745,2736,0
2745,2760,0
2748,2782,0
2749,2796,0
2753,2807,1
2820,2749,0
2824,2746,0
2839,2745,0
2850,2738,0
2861,2731,0
2871,2724,0
2877,2714,0
2885,2709,0
2885,2700,0
2886,2694,0
2883,2691,0
2874,2688,0
2864,2690,0
2852,2693,0
2837,2699,0
2826,2712,0
2813,2721,0
2805,2736,0
2801,2753,0
2799,2768,0
2806,2787,0
2811,2799,0
2823,2810,0
2835,2812,0
2854,2808,1
3016,2688,0
3011,2685,0
2999,2680,0
2985,2680,0
2971,2685,0
2957,2697,0
2936,2707,0
2924,2725,0
2914,2743,0
2909,2760,0
2907,2777,0
2910,2789,0
2920,2797,0
2934,2797,0
2956,2796,0
2976,2786,0
2993,2770,0
3006,2749,0
3023,2732,0
3033,2714,0
3039,2705,0
3040,2704,0
3037,2701,0
3037,2702,0
3035,2707,0
3034,2729,0
3033,2749,0
3036,2767,0
3042,2782,1
3110,2683,0
3107,2680,0
3112,2683,0
3107,2680,0
3108,2685,0
3109,2706,0
3105,2724,0
3101,2742,0
3103,2761,0
3102,2772,0
3101,2777,0
3101,2777,0
3102,2777,0
3103,2777,0
3105,2769,0
3108,2752,0
3115,2736,0
3124,2719,0
3132,2697,0
3152,2681,0
3168,2663,1
3529,2637,0
3529,2637,0
3525,2635,0
3520,2634,0
3508,2634,0
3497,2644,0
3484,2657,0
3463,2667,0
3451,2683,0
3443,2692,0
3445,2700,0
3455,2707,0
3466,2708,0
3489,2714,0
3505,2721,0
3518,2731,0
3525,2741,0
3529,2753,0
3529,2764,0
3525,2773,0
3518,2780,0
3510,2787,0
3498,2793,0
3482,2796,0
3462,2798,0
3448,2801,0
3436,2801,0
3436,2800,0
3448,2795,1
3614,2640,0
3614,2641,0
3610,2646,0
3609,2658,0
3609,2675,0
3609,2697,0
3609,2721,0
3603,2738,0
3605,2757,0
3604,2770,0
3605,2779,0
3611,2785,0
3612,2784,1
3630,2544,0
3633,2545,0
3631,2542,0
3631,2542,0
3631,2542,0
3631,2543,0
3630,2544,0
3626,2548,0
3630,2561,1
3688,2639,0
3689,2643,0
3686,2648,0
3687,2664,0
3688,2685,0
3689,2707,0
3693,2727,0
3691,2741,0
3691,2751,0
3692,2756,0
3696,2758,0
3694,2755,0
3699,2749,0
3699,2725,0
3703,2699,0
3712,2678,0
3721,2662,0
3732,2646,0
3750,2637,0
3766,2631,0
3783,2631,1
3822,2753,0
3822,2753,0
3822,2753,0
3823,2758,0
3813,2770,0
3802,2786,0
3794,2806,0
3792,2826,0
3783,2835,1
4115,2606,0
4116,2606,0
4112,2603,0
4112,2609,0
4111,2630,0
4111,2655,0
4104,2677,0
4102,2697,0
4096,2712,1
4125,2490,0
4120,2490,0
4120,2490,0
4123,2492,0
4125,2496,1
4256,2596,0
4256,2594,0
4254,2591,0
4249,2589,0
4239,2589,0
4226,2594,0
4209,2603,0
4195,2615,0
4178,2630,0
4169,2647,0
4169,2660,0
4173,2668,0
4191,2677,0
4214,2681,0
4237,2683,0
4258,2689,0
4273,2695,0
4284,2702,0
4288,2709,0
4287,2717,0
4274,2727,0
4260,2738,0
4237,2748,0
4211,2753,0
4196,2760,1
4582,2575,0
4582,2575,0
4582,2575,0
4580,2584,0
4584,2600,0
4584,2619,0
4584,2640,0
4581,2659,0
4577,2678,0
4571,2693,0
4570,2709,0
4565,2714,0
4569,2717,0
4569,2717,0
4571,2714,0
4572,2706,0
4574,2688,0
4579,2670,0
4583,2650,0
4591,2631,0
4598,2614,0
4606,2596,0
4616,2580,0
4626,2566,0
4649,2562,0
4659,2560,0
4670,2566,0
4680,2579,0
4691,2598,0
4698,2618,0
4702,2638,0
4706,2656,0
4706,2668,1
4838,2586,0
4835,2583,0
4830,2577,0
4823,2573,0
4821,2576,0
4802,2575,0
4795,2586,0
4777,2598,0
4756,2617,0
4747,2637,0
4739,2656,0
4736,2668,0
4748,2678,0
4760,2682,0
4780,2680,0
4804,2675,0
4822,2663,0
4834,2644,0
4843,2622,0
4851,2603,0
4847,2586,0
4837,2574,0
4825,2569,0
4802,2561,0
4788,2561,1
4962,2431,0
4965,2432,0
4968,2444,0
4966,2463,0
4968,2492,0
4965,2520,0
4961,2548,0
4963,2576,0
4957,2600,0
4953,2620,0
4953,2637,0
4951,2647,0
4945,2649,1
4933,2594,0
4940,2583,0
4958,2569,0
4976,2555,1
5304,2524,0
5308,2526,0
5306,2528,0
5308,2542,0
5306,2562,0
5303,2583,0
5301,2603,0
5299,2622,0
5293,2633,0
5296,2644,0
5289,2647,0
5293,2649,0
5290,2644,1
5319,2413,0
5319,2415,0
5319,2413,0
5319,2413,0
5318,2414,1
5358,2502,0
5357,2502,0
5359,2507,0
5358,2519,0
5363,2535,0
5360,2556,0
5357,2577,0
5351,2596,0
5347,2611,0
5346,2621,0
5349,2625,0
5348,2626,0
5349,2624,0
5354,2615,0
5359,2591,0
5372,2567,0
5380,2543,0
5395,2526,0
5407,2510,0
5421,2502,0
5438,2497,0
5450,2500,0
5456,2514,0
5460,2540,0
5462,2568,0
5463,2593,0
5465,2614,0
5467,2634,0
5475,2645,1
5728,2375,0
5739,2379,0
5741,2384,0
5740,2397,0
5735,2416,0
5744,2442,0
5732,2467,0
5735,2497,0
5731,2523,0
5726,2549,0
5722,2576,0
5727,2601,0
5726,2618,0
5725,2629,0
5726,2635,0
5726,2635,0
5728,2632,1
5693,2509,0
5693,2509,0
5705,2511,0
5714,2511,0
5732,2511,1
5834,2403,0
5838,2405,0
5843,2411,0
5835,2419,0
5835,2437,0
5837,2462,0
5832,2490,0
5827,2518,0
5826,2547,0
5818,2572,0
5820,2596,0
5817,2610,0
5822,2618,0
5822,2618,0
5827,2616,0
5829,2603,0
5836,2580,0
5849,2555,0
5861,2532,0
5881,2517,0
5892,2504,0
5913,2497,0
5922,2497,0
5932,2504,0
5935,2523,0
5932,2541,0
5928,2557,0
5920,2573,0
5925,2591,0
5916,2600,0
5920,2610,0
5923,2612,0
5938,2609,1
6009,2573,0
6009,2573,0
6028,2571,0
6046,2563,0
6056,2550,1
6100,2493,0
6087,2485,0
6075,2483,0
6056,2485,0
6042,2495,0
6020,2506,0
6015,2524,0
6011,2543,0
6005,2555,0
6012,2569,0
6030,2577,0
6060,2579,1
