sadness was in it. &quot;How weary, stale, flat and
914
265,2647,0
263,2646,0
257,2644,0
248,2649,0
242,2651,0
236,2658,0
231,2669,0
229,2681,0
232,2691,0
238,2705,0
245,2715,0
253,2726,0
264,2738,0
274,2754,0
284,2766,0
290,2780,0
291,2793,0
289,2805,0
283,2811,0
272,2808,0
260,2813,0
248,2813,0
238,2806,0
222,2801,0
215,2794,1
395,2698,0
397,2695,0
396,2685,0
390,2675,0
379,2668,0
366,2661,0
354,2661,0
343,2666,0
336,2678,0
332,2692,0
332,2709,0
336,2727,0
340,2745,0
345,2759,0
351,2773,0
357,2783,0
362,2789,0
368,2786,0
374,2779,0
381,2760,0
387,2733,0
392,2705,0
393,2689,0
393,2680,0
393,2680,0
393,2685,0
392,2697,0
393,2714,0
395,2735,0
398,2757,0
405,2779,0
409,2789,0
417,2799,1
511,2714,0
518,2716,0
519,2704,0
517,2690,0
509,2673,0
497,2662,0
488,2656,0
475,2652,0
468,2663,0
465,2679,0
462,2695,0
463,2711,0
464,2736,0
468,2758,0
473,2775,0
477,2792,0
483,2802,0
489,2803,0
497,2797,0
509,2779,0
519,2745,0
524,2700,0
525,2656,0
520,2606,0
514,2559,0
503,2532,0
499,2518,0
501,2514,0
504,2549,0
514,2587,0
528,2627,0
542,2684,0
547,2726,0
554,2756,0
560,2782,0
562,2786,1
591,2707,0
594,2719,0
591,2735,0
591,2751,0
589,2767,0
586,2770,0
582,2778,0
580,2777,0
579,2782,0
579,2773,0
583,2762,0
588,2746,0
595,2727,0
601,2712,0
608,2701,0
615,2699,0
620,2695,0
626,2700,0
631,2709,0
635,2726,0
637,2743,0
637,2764,0
639,2784,0
640,2796,0
641,2801,1
663,2711,1
675,2717,0
680,2718,0
687,2719,0
692,2719,0
698,2716,0
704,2714,0
711,2702,0
716,2699,0
717,2691,0
714,2687,0
709,2682,0
701,2680,0
692,2679,0
685,2685,0
680,2693,0
676,2701,0
675,2709,0
676,2717,0
680,2730,0
686,2739,0
695,2753,0
707,2766,0
719,2772,0
732,2778,0
746,2784,0
760,2777,0
772,2779,0
780,2771,1
820,2659,0
829,2660,0
830,2660,0
830,2661,0
825,2664,0
815,2663,0
806,2670,0
801,2678,0
798,2677,0
797,2680,0
798,2689,0
801,2694,0
805,2702,0
810,2707,0
820,2715,0
830,2729,0
835,2741,0
840,2749,0
843,2762,0
842,2762,0
840,2766,0
833,2765,0
822,2764,0
811,2762,0
801,2758,1
910,2675,0
912,2675,0
911,2671,0
909,2675,0
900,2675,0
890,2678,0
881,2681,0
878,2685,0
877,2692,0
877,2697,0
880,2709,0
888,2718,0
896,2730,0
903,2751,0
907,2759,0
907,2763,0
904,2767,0
901,2770,0
894,2770,0
887,2770,0
878,2769,1
1152,2639,0
1153,2640,0
1153,2639,0
1155,2648,0
1156,2659,1
1172,2723,0
1179,2738,0
1187,2758,0
1192,2766,0
1192,2766,0
1193,2767,0
1192,2750,0
1194,2734,0
1198,2714,0
1201,2690,0
1206,2678,0
1208,2673,0
1213,2669,0
1218,2676,0
1223,2680,0
1228,2692,0
1232,2708,0
1239,2728,0
1246,2743,0
1253,2759,0
1258,2762,0
1261,2767,0
1261,2762,0
1262,2758,0
1268,2745,0
1274,2729,0
1281,2704,0
1289,2676,0
1298,2651,0
1303,2634,0
1309,2630,0
1315,2625,0
1317,2621,0
1320,2621,0
1320,2621,0
1321,2625,1
