stained glass windows, sir, they date
637
1100,2116,0
1093,2109,0
1088,2101,0
1083,2093,0
1075,2093,0
1058,2093,0
1035,2100,0
1008,2111,0
981,2130,0
957,2153,0
943,2172,0
943,2180,0
959,2198,0
991,2215,0
1030,2228,0
1061,2245,0
1076,2269,0
1068,2289,0
1048,2316,0
1018,2335,0
989,2355,0
966,2362,0
950,2362,0
943,2356,0
943,2337,1
1129,2052,0
1131,2044,0
1132,2048,0
1138,2068,0
1144,2100,0
1150,2140,0
1150,2176,0
1148,2212,0
1146,2248,0
1142,2272,0
1137,2288,0
1131,2292,0
1126,2292,1
1090,2209,0
1091,2205,0
1099,2205,0
1112,2193,0
1140,2192,0
1175,2190,0
1211,2185,0
1241,2178,1
1327,2157,0
1309,2156,0
1295,2165,0
1282,2183,0
1268,2208,0
1256,2237,0
1248,2266,0
1247,2290,0
1254,2301,0
1266,2300,0
1289,2294,0
1315,2280,0
1345,2260,0
1370,2232,0
1390,2209,0
1399,2195,0
1406,2203,0
1409,2215,0
1406,2231,0
1409,2258,0
1409,2275,0
1414,2286,0
1419,2290,0
1421,2281,0
1430,2276,0
1438,2258,0
1450,2240,0
1463,2225,0
1475,2223,0
1479,2227,0
1479,2243,0
1479,2271,0
1476,2292,0
1476,2304,0
1474,2301,0
1471,2293,0
1469,2273,1
1440,2091,0
1440,2092,0
1440,2087,0
1442,2087,1
1529,2175,0
1529,2188,0
1534,2215,0
1539,2246,0
1541,2267,0
1544,2282,0
1547,2294,0
1551,2297,0
1554,2297,0
1557,2284,0
1564,2261,0
1576,2234,0
1590,2205,0
1604,2186,0
1619,2178,0
1626,2171,0
1635,2177,0
1643,2192,0
1647,2211,0
1650,2236,0
1652,2256,0
1659,2271,0
1662,2269,0
1675,2270,0
1689,2258,0
1710,2239,0
1731,2207,0
1750,2180,0
1754,2154,0
1749,2147,0
1739,2150,0
1724,2164,0
1710,2189,0
1693,2211,0
1693,2236,0
1703,2249,0
1724,2256,1
1892,2175,0
1888,2168,0
1877,2159,0
1863,2156,0
1847,2162,0
1829,2178,0
1814,2209,0
1794,2236,0
1780,2263,0
1780,2280,0
1791,2289,0
1806,2288,0
1828,2276,0
1850,2255,0
1873,2229,0
1895,2199,0
1910,2163,0
1925,2130,0
1934,2096,0
1943,2079,0
1942,2070,0
1940,2067,0
1941,2071,0
1935,2078,0
1936,2108,0
1923,2135,0
1917,2173,0
1915,2208,0
1908,2228,1
2302,2169,0
2297,2154,0
2297,2149,0
2289,2145,0
2278,2151,0
2260,2162,0
2245,2180,0
2232,2201,0
2224,2215,0
2221,2221,0
2227,2227,0
2239,2230,0
2249,2224,0
2263,2215,0
2277,2207,0
2284,2195,0
2288,2182,0
2294,2178,0
2297,2177,0
2298,2176,0
2306,2190,0
2315,2213,0
2328,2247,0
2343,2285,0
2346,2321,0
2338,2352,0
2323,2384,0
2304,2412,0
2275,2432,0
2248,2451,0
2218,2457,0
2199,2458,0
2186,2447,0
2183,2429,0
2193,2403,0
2210,2368,0
2229,2326,1
2381,2022,0
2379,2019,0
2384,2026,0
2384,2049,0
2380,2086,0
2379,2130,0
2379,2174,0
2376,2208,0
2380,2239,0
2377,2254,0
2379,2263,0
2384,2265,0
2397,2257,1
2515,2118,0
2502,2113,0
2495,2118,0
2482,2133,0
2463,2155,0
2447,2186,0
2431,2210,0
2426,2228,0
2431,2234,0
2442,2231,0
2458,2221,0
2478,2208,0
2495,2195,0
2505,2194,0
2509,2196,0
2509,2202,0
2514,2217,1
2639,2103,0
2637,2094,0
2632,2094,0
2614,2092,0
2594,2098,0
2574,2108,0
2559,2121,0
2548,2133,0
2546,2145,0
2550,2156,0
2563,2167,0
2579,2176,0
2584,2186,0
2576,2193,0
2553,2204,0
2531,2220,0
2505,2224,1
2718,2100,0
2710,2096,0
2707,2099,0
2690,2103,0
2678,2113,0
2665,2123,0
2659,2134,0
2661,2147,0
2665,2159,0
2675,2171,0
2685,2179,0
2697,2190,0
2691,2195,0
2676,2207,0
2645,2215,0
2620,2219,0
2613,2215,1
3033,2056,0
3022,2051,0
3015,2052,0
3008,2065,0
3000,2091,0
2994,2120,0
2998,2148,0
3000,2163,0
3009,2171,0
3017,2169,0
3033,2166,0
3042,2156,0
3048,2145,0
3062,2136,0
3066,2126,0
3071,2128,0
3073,2131,0
3082,2145,0
3091,2159,0
3100,2166,0
3123,2171,0
3144,2166,0
3159,2151,0
3171,2132,0
3173,2108,0
3168,2082,0
3170,2070,0
3168,2064,0
3169,2063,1
3226,2066,0
3232,2071,0
3237,2084,0
3239,2105,0
3245,2123,1
3202,1997,0
3203,1995,0
3200,1993,0
3204,1995,0
3207,2002,1
3259,2039,0
3262,2042,0
3269,2054,0
3281,2082,0
3288,2104,0
3294,2122,0
3295,2134,0
3301,2145,0
3300,2146,0
3308,2149,0
3312,2144,0
3317,2131,0
3327,2108,0
3343,2083,0
3366,2063,0
3382,2055,0
3395,2059,0
3404,2067,0
3411,2083,0
3419,2105,0
