table at the cafe, &quot;Doc said,&quot; they are
880
929,1738,0
933,1750,0
934,1750,0
938,1759,0
940,1767,0
945,1788,0
948,1807,0
950,1832,0
951,1865,0
950,1892,0
952,1916,0
957,1941,0
959,1953,0
964,1965,0
967,1973,0
968,1973,0
968,1965,1
897,1923,0
892,1923,0
895,1919,0
907,1916,0
925,1911,0
948,1908,0
965,1901,0
979,1898,0
988,1899,0
993,1895,0
995,1899,0
995,1903,0
993,1906,1
1077,1913,0
1078,1913,0
1077,1913,0
1073,1913,0
1067,1913,0
1057,1917,0
1047,1929,0
1034,1936,0
1029,1952,0
1027,1956,0
1034,1968,0
1042,1972,0
1052,1973,0
1064,1968,0
1077,1965,0
1088,1957,0
1096,1949,0
1100,1937,0
1099,1920,0
1097,1916,0
1093,1913,0
1090,1908,0
1091,1913,0
1090,1913,0
1095,1921,0
1100,1929,0
1105,1937,0
1115,1952,0
1122,1960,0
1126,1964,0
1132,1972,0
1134,1972,0
1135,1972,0
1138,1972,0
1137,1960,0
1138,1952,1
1098,1797,0
1093,1789,0
1092,1785,0
1094,1788,0
1098,1792,0
1106,1804,0
1114,1821,0
1122,1841,0
1129,1860,0
1141,1887,0
1147,1908,0
1153,1927,0
1158,1943,0
1160,1947,0
1162,1951,0
1162,1951,0
1163,1952,0
1160,1943,0
1160,1939,0
1159,1927,0
1163,1918,0
1170,1911,0
1178,1902,0
1189,1897,0
1197,1897,0
1204,1900,0
1208,1904,0
1213,1915,0
1215,1927,0
1213,1940,0
1210,1952,0
1203,1961,0
1199,1969,0
1194,1969,0
1193,1969,0
1189,1966,0
1184,1958,0
1181,1950,0
1177,1938,0
1180,1934,0
1182,1922,1
1226,1754,0
1225,1754,0
1233,1761,0
1241,1777,0
1247,1792,0
1252,1812,0
1257,1836,0
1262,1859,0
1264,1879,0
1264,1895,0
1265,1911,0
1265,1923,0
1264,1932,0
1265,1935,0
1266,1935,0
1271,1931,0
1276,1918,1
1312,1893,0
1312,1894,0
1317,1897,0
1322,1896,0
1330,1894,0
1338,1885,0
1348,1879,0
1353,1871,0
1356,1862,0
1358,1858,0
1358,1853,0
1356,1850,0
1346,1844,0
1339,1848,0
1326,1850,0
1311,1857,0
1298,1871,0
1288,1884,0
1283,1897,0
1281,1901,0
1290,1912,0
1298,1911,0
1314,1918,0
1329,1919,0
1344,1918,0
1358,1919,0
1366,1918,0
1375,1920,1
1693,1827,0
1679,1828,0
1662,1825,0
1649,1830,0
1631,1836,0
1615,1845,0
1602,1862,0
1589,1874,0
1585,1888,0
1592,1903,0
1599,1909,0
1612,1913,0
1626,1914,0
1634,1907,0
1643,1899,0
1650,1889,0
1654,1874,0
1656,1861,0
1660,1856,0
1657,1853,0
1657,1853,0
1660,1855,0
1666,1862,0
1670,1870,0
1681,1883,0
1686,1889,0
1689,1897,0
1693,1903,0
1695,1907,0
1697,1911,0
1696,1911,0
1696,1911,0
1698,1911,1
1731,1710,0
1731,1710,0
1734,1713,0
1734,1717,0
1742,1735,0
1748,1754,0
1754,1778,0
1754,1799,0
1757,1824,0
1757,1841,0
1761,1857,0
1764,1869,0
1763,1873,1
1727,1840,0
1728,1840,0
1732,1838,0
1744,1833,0
1760,1826,0
1778,1824,0
1792,1822,0
1805,1821,0
1816,1816,1
1964,1677,0
1962,1678,0
1971,1692,0
1976,1712,0
1979,1733,0
1985,1757,0
1986,1780,0
1989,1805,0
1990,1828,0
1990,1846,0
1991,1860,0
1994,1871,0
1990,1874,1
1954,1816,0
1955,1815,0
1959,1813,0
1966,1809,0
1983,1804,0
2009,1804,0
2024,1800,0
2034,1799,0
2042,1799,0
2052,1802,0
2055,1800,0
2061,1801,0
2061,1797,1
2048,1668,0
2052,1670,0
2060,1679,0
2073,1694,0
2081,1713,0
2089,1736,0
2094,1757,0
2101,1781,0
2104,1798,0
2106,1812,0
2113,1826,0
2112,1831,0
2115,1833,0
2115,1833,0
2118,1832,0
2120,1826,0
2127,1812,0
2135,1792,0
2149,1783,0
2159,1776,0
2164,1773,0
2173,1777,0
2178,1783,0
2176,1790,0
2178,1807,0
2176,1823,0
2173,1835,0
2171,1845,0
2171,1850,1
2246,1818,0
2248,1818,0
2252,1819,0
2254,1817,0
2263,1817,0
2270,1812,0
2276,1802,0
2283,1792,0
2289,1783,0
2291,1776,0
2293,1774,0
2291,1771,0
2287,1769,0
2277,1772,0
2263,1782,0
2244,1796,0
2223,1810,0
2215,1825,0
2215,1836,0
2224,1843,0
2246,1853,0
2269,1856,0
2293,1859,0
2318,1861,0
2336,1862,0
2353,1864,0
2364,1862,0
2374,1858,0
2382,1852,1
2707,1710,0
2708,1708,0
2702,1703,0
2694,1700,0
2678,1698,0
2662,1703,0
2642,1713,0
2618,1726,0
2601,1742,0
2596,1759,0
2596,1770,0
2607,1781,0
2620,1785,0
2639,1788,0
2666,1791,0
2690,1790,0
2709,1788,0
2726,1788,0
2731,1788,0
2731,1788,0
2731,1788,1
2835,1730,0
2840,1723,0
2840,1718,0
2834,1713,0
2830,1711,0
2811,1708,0
2796,1713,0
2777,1721,0
2761,1733,0
2755,1746,0
2750,1757,0
2756,1768,0
2770,1776,0
2788,1781,0
2802,1777,0
2823,1773,0
2836,1764,0
2847,1752,0
2852,1739,0
2853,1727,0
2846,1718,0
2838,1714,0
2829,1712,0
2832,1715,0
2832,1720,0
2840,1730,0
2856,1742,0
2873,1752,0
2884,1759,0
2894,1766,0
2901,1770,0
2904,1773,0
2900,1771,1
3026,1574,0
3022,1560,0
3021,1549,0
3016,1540,0
3003,1532,0
2985,1529,0
2961,1527,0
2944,1532,0
2925,1537,0
2913,1546,0
2907,1560,0
2911,1582,0
2914,1604,0
2922,1631,0
2939,1662,0
2952,1691,0
2968,1721,0
2982,1748,0
2989,1771,0
2994,1790,0
2998,1804,0
3004,1816,0
3001,1820,0
3004,1823,0
2996,1819,1
2931,1741,0
2936,1735,0
2939,1725,0
2953,1715,0
2972,1710,0
2977,1703,0
2994,1702,0
3003,1698,1
3094,1711,0
3095,1710,0
3100,1710,0
3106,1709,0
3114,1704,0
3124,1698,0
3132,1688,0
3144,1679,0
3146,1667,0
3148,1659,0
3147,1652,0
3145,1649,0
3137,1647,0
3121,1648,0
3102,1654,0
3080,1663,0
3061,1675,0
3047,1686,0
3043,1698,0
3045,1710,0
3048,1718,0
3066,1727,0
3078,1731,0
3093,1732,0
3111,1735,0
3121,1735,0
3129,1737,0
3134,1737,0
3135,1737,0
3134,1737,0
3134,1737,0
3134,1737,0
3134,1738,1
3293,1715,0
3295,1714,0
3295,1714,0
3302,1718,0
3307,1725,0
3314,1736,0
3315,1748,0
3312,1759,0
3307,1767,1
3326,1489,0
3329,1490,0
3329,1490,0
3329,1491,0
3331,1496,0
