years. &quot;If we get married, old girl,
694
1203,2774,0
1196,2790,0
1194,2802,0
1189,2827,0
1182,2847,0
1181,2875,0
1187,2906,0
1198,2926,0
1216,2934,0
1238,2932,0
1264,2919,0
1288,2889,0
1309,2867,0
1320,2846,0
1323,2829,0
1322,2830,0
1319,2834,0
1313,2843,0
1305,2859,0
1303,2896,0
1300,2940,0
1296,2984,0
1292,3037,0
1286,3086,0
1278,3126,0
1269,3151,0
1260,3163,0
1257,3159,0
1258,3156,0
1256,3139,0
1252,3107,0
1249,3076,0
1251,3044,0
1259,3019,0
1269,2999,0
1281,2985,0
1295,2972,0
1319,2963,0
1345,2944,0
1378,2932,0
1407,2913,0
1438,2901,0
1461,2882,0
1483,2867,0
1493,2845,0
1498,2837,0
1489,2825,0
1479,2831,0
1459,2838,0
1441,2856,0
1424,2871,0
1417,2892,0
1418,2903,0
1433,2922,0
1452,2931,0
1476,2936,0
1505,2932,1
1662,2870,0
1654,2869,0
1643,2858,0
1630,2853,0
1614,2852,0
1596,2856,0
1579,2867,0
1565,2881,0
1558,2907,0
1558,2924,0
1567,2934,0
1578,2928,0
1595,2913,0
1614,2888,0
1633,2864,0
1648,2841,0
1652,2828,0
1652,2832,0
1648,2861,0
1635,2901,0
1633,2938,0
1637,2949,0
1655,2954,0
1678,2941,0
1706,2918,0
1737,2895,0
1761,2868,0
1779,2851,0
1784,2846,0
1787,2857,0
1780,2884,0
1770,2919,0
1763,2938,0
1763,2946,0
1766,2945,0
1772,2927,0
1783,2900,0
1795,2863,0
1807,2835,0
1816,2829,0
1821,2827,0
1827,2830,0
1838,2835,0
1857,2833,0
1882,2822,0
1912,2813,0
1941,2799,0
1961,2784,0
1976,2784,0
1974,2780,0
1964,2779,0
1943,2786,0
1918,2803,0
1893,2819,0
1875,2837,0
1871,2859,0
1874,2871,0
1891,2886,0
1918,2903,0
1942,2912,0
1966,2925,0
1979,2938,0
1979,2955,0
1970,2975,0
1956,2984,0
1944,2992,0
1930,2987,0
1923,2985,0
1918,2978,1
2113,2951,0
2115,2951,0
2117,2950,0
2114,2947,0
2116,2950,0
2114,2951,0
2111,2951,0
2108,2953,0
2106,2949,0
2107,2948,0
2108,2944,0
2110,2944,0
2110,2944,0
2109,2943,0
2110,2944,0
2111,2939,0
2121,2935,1
2511,2681,0
2510,2683,0
2513,2690,0
2511,2709,0
2510,2738,0
2504,2764,0
2500,2789,0
2499,2802,0
2502,2806,1
2591,2677,0
2590,2682,0
2586,2694,0
2578,2722,0
2568,2755,1
2779,2699,0
2778,2700,0
2781,2713,0
2774,2741,0
2763,2777,0
2750,2823,0
2733,2871,0
2722,2920,0
2712,2963,0
2709,2993,0
2708,3006,0
2712,3004,0
2726,2996,1
2959,2770,0
2958,2755,0
2958,2735,0
2954,2714,0
2935,2697,0
2917,2701,0
2900,2712,0
2881,2732,0
2863,2764,0
2841,2807,0
2826,2864,0
2815,2929,0
2799,2986,0
2792,3037,0
2783,3070,0
2779,3095,0
2778,3100,0
2779,3095,0
2780,3086,0
2783,3074,0
2784,3069,0
2784,3064,0
2784,3060,0
2786,3054,0
2790,3047,1
2764,2894,0
2762,2896,0
2764,2894,0
2776,2892,0
2798,2883,0
2822,2877,0
2848,2875,0
2874,2871,0
2902,2867,1
3103,2881,0
3105,2885,0
3105,2885,0
3103,2901,0
3105,2935,0
3103,2967,0
3104,2985,0
3107,2988,0
3110,2987,0
3118,2980,0
3127,2963,0
3132,2941,0
3142,2933,0
3147,2934,0
3151,2946,0
3158,2970,0
3166,2980,0
3173,2980,0
3181,2973,0
3193,2964,0
3198,2945,0
3207,2929,0
3209,2917,0
3206,2914,0
3209,2917,1
3275,2992,0
3283,2992,0
3300,2983,0
3314,2966,0
3330,2948,0
3339,2925,0
3343,2902,0
3339,2885,0
3327,2884,0
3308,2900,0
3284,2924,0
3259,2954,0
3245,2985,0
3244,3011,0
3253,3024,0
3274,3028,0
3300,3018,1
3637,2920,0
3640,2917,0
3636,2910,0
3625,2910,0
3605,2917,0
3580,2929,0
