his face, Di, but it certainly
561
972,4071,0
967,4067,0
966,4067,0
966,4067,0
967,4067,0
970,4083,0
973,4111,0
979,4147,0
985,4184,0
991,4220,0
998,4259,0
1003,4283,0
1006,4296,0
1006,4296,0
1007,4296,0
1007,4283,0
1011,4252,0
1017,4228,0
1022,4212,0
1025,4200,0
1028,4200,0
1030,4200,0
1035,4208,0
1042,4229,0
1047,4253,0
1054,4276,0
1060,4292,0
1065,4304,0
1069,4304,0
1071,4304,0
1076,4292,0
1081,4268,0
1088,4249,0
1094,4225,0
1100,4208,0
1105,4200,0
1107,4196,0
1107,4196,0
1110,4208,0
1114,4228,0
1123,4248,0
1136,4268,0
1149,4280,0
1163,4292,0
1176,4295,0
1190,4295,0
1206,4287,0
1222,4270,0
1240,4249,0
1261,4225,0
1285,4203,0
1308,4190,0
1329,4181,0
1347,4184,0
1363,4194,0
1376,4210,0
1384,4233,0
1380,4254,0
1370,4274,0
1351,4291,0
1327,4302,0
1298,4302,0
1271,4292,0
1249,4265,0
1233,4229,1
1187,4103,0
1184,4099,0
1186,4099,0
1192,4099,1
1536,4235,0
1547,4238,0
1573,4231,0
1598,4215,0
1618,4188,0
1636,4157,0
1647,4116,0
1650,4075,0
1647,4044,0
1635,4021,0
1622,4010,0
1607,4004,0
1599,4013,0
1594,4038,0
1598,4078,0
1609,4129,0
1628,4191,0
1644,4250,0
1660,4311,0
1671,4363,0
1679,4402,0
1681,4418,0
1681,4414,0
1673,4399,0
1658,4365,1
1584,4197,0
1586,4196,0
1594,4200,0
1609,4198,0
1631,4196,0
1655,4192,0
1682,4184,0
1708,4175,1
1785,4159,0
1771,4161,0
1754,4168,0
1731,4172,0
1713,4191,0
1697,4201,0
1693,4218,0
1697,4229,0
1711,4239,0
1732,4244,0
1754,4245,0
1771,4234,0
1789,4227,0
1799,4213,0
1805,4199,0
1805,4188,0
1807,4191,0
1805,4188,0
1806,4191,0
1810,4207,0
1816,4222,0
1827,4237,0
1840,4251,0
1850,4252,0
1863,4258,0
1875,4252,0
1888,4241,0
1901,4227,0
1915,4215,0
1925,4200,0
1936,4190,0
1944,4181,0
1952,4179,0
1959,4177,0
1964,4176,0
1967,4176,0
1970,4179,0
1969,4175,0
1969,4175,0
1968,4175,0
1965,4176,0
1959,4181,0
1947,4184,0
1936,4198,0
1927,4213,0
1927,4232,0
1930,4253,0
1946,4266,0
1964,4274,0
1988,4273,0
2016,4271,0
2041,4261,0
2062,4244,0
2076,4224,0
2079,4210,0
2079,4203,0
2070,4196,0
2059,4200,0
2047,4206,0
2041,4220,0
2043,4236,0
2058,4257,0
2085,4275,0
2122,4291,0
2166,4308,0
2205,4319,0
2239,4330,0
2263,4332,0
2282,4334,1
2328,4233,0
2331,4244,0
2341,4271,0
2343,4300,0
2340,4334,0
2338,4363,0
2340,4384,0
2340,4392,0
2344,4396,1
2497,4033,0
2496,4029,0
2498,4032,0
2507,4055,0
2516,4086,0
2520,4109,0
2532,4144,0
2543,4178,0
2548,4201,0
2550,4222,0
2550,4231,0
2537,4218,0
2524,4197,1
2486,4050,0
2497,4037,0
2518,4021,0
2545,4007,0
2580,4001,0
2621,4007,0
2656,4018,0
2689,4027,0
2717,4049,0
2736,4076,0
2742,4104,0
2734,4133,0
2712,4159,0
2682,4181,0
2649,4198,0
2622,4208,0
2608,4213,0
2610,4213,0
2609,4213,0
2622,4208,0
2649,4202,0
2680,4198,0
2711,4190,0
2739,4183,0
2763,4177,0
2780,4170,0
2789,4167,0
2791,4166,0
2792,4165,0
2791,4165,0
2790,4170,0
