surgery?&quot; You are a fool, darling,
879
516,2605,0
514,2604,0
513,2592,0
511,2591,0
506,2586,0
495,2584,0
479,2583,0
458,2594,0
434,2601,0
411,2611,0
393,2622,0
381,2640,0
376,2655,0
380,2669,0
393,2681,0
415,2695,0
439,2709,0
462,2727,0
482,2741,0
494,2748,0
496,2755,0
492,2771,0
479,2781,0
458,2788,0
429,2793,0
400,2803,0
375,2808,0
359,2804,0
352,2802,1
602,2607,0
601,2610,0
601,2610,0
603,2610,0
603,2610,0
603,2610,0
602,2611,0
601,2610,0
601,2610,0
600,2610,0
601,2610,0
601,2610,0
601,2610,0
603,2615,0
602,2611,0
603,2615,0
603,2610,0
603,2610,0
602,2611,0
602,2611,0
603,2610,0
603,2610,0
603,2610,0
603,2610,0
603,2615,0
603,2610,0
603,2610,0
603,2610,0
603,2615,0
602,2611,0
601,2615,0
601,2619,0
600,2622,0
598,2634,0
596,2647,0
594,2661,0
593,2678,0
593,2698,0
595,2719,0
598,2736,0
604,2749,0
610,2759,0
616,2764,0
622,2769,0
629,2770,0
634,2771,0
641,2764,0
649,2749,0
657,2726,0
666,2704,0
676,2673,0
685,2650,0
692,2631,0
698,2615,0
703,2608,0
705,2604,0
704,2604,0
704,2612,0
704,2636,0
704,2665,0
705,2693,0
710,2718,0
718,2731,0
731,2741,0
748,2752,0
768,2750,0
789,2745,0
811,2738,0
830,2724,0
842,2718,0
846,2706,0
847,2694,0
842,2682,0
834,2668,0
827,2656,0
822,2644,0
823,2632,0
830,2620,0
844,2606,0
864,2595,0
888,2581,0
915,2575,0
941,2569,0
968,2570,0
989,2571,1
1076,2577,0
1074,2573,0
1073,2572,0
1073,2573,0
1072,2572,0
1069,2568,0
1067,2569,0
1063,2564,0
1061,2569,0
1059,2569,0
1054,2564,0
1050,2564,0
1043,2564,0
1035,2564,0
1023,2564,0
1008,2568,0
996,2579,0
981,2583,0
968,2594,0
957,2606,0
947,2617,0
942,2633,0
940,2645,0
942,2653,0
948,2665,0
956,2670,0
967,2670,0
981,2671,0
996,2660,0
1012,2648,0
1025,2636,0
1036,2617,0
1044,2601,0
1050,2589,0
1053,2584,0
1053,2584,0
1052,2580,0
1053,2593,0
1053,2604,0
1056,2629,0
1061,2656,0
1067,2685,0
1074,2713,0
1083,2749,0
1088,2777,0
1088,2801,0
1085,2829,0
1077,2844,0
1066,2864,0
1049,2872,0
1031,2876,0
1011,2876,0
989,2867,0
972,2859,0
962,2846,0
959,2838,0
960,2826,0
968,2811,0
984,2791,0
1003,2768,0
1033,2748,0
1065,2721,0
1100,2692,0
1136,2660,0
1167,2627,0
1192,2598,0
1206,2569,0
1216,2549,0
1215,2528,0
1211,2525,0
1202,2521,0
1191,2530,0
1174,2547,0
1160,2575,0
1150,2608,0
1146,2635,0
1150,2663,0
1162,2683,0
1178,2691,0
1201,2694,0
1228,2689,0
1255,2675,0
1280,2653,0
1300,2627,0
1318,2609,0
1328,2596,0
1330,2591,0
1329,2589,0
1328,2596,0
1323,2608,0
1319,2625,0
1313,2638,0
1312,2649,0
1312,2654,0
1313,2658,0
1315,2654,0
1317,2645,0
1317,2621,0
1318,2589,0
1322,2568,0
1327,2555,0
1330,2552,0
1330,2548,0
1331,2548,0
1340,2550,0
1351,2553,0
1368,2559,0
1384,2557,0
1399,2555,0
1411,2550,0
1425,2548,0
1430,2543,0
1430,2543,0
1430,2551,0
1426,2564,0
1425,2584,0
1422,2597,0
1426,2608,0
1433,2615,0
1443,2614,0
1459,2611,0
1476,2601,0
1496,2586,0
1515,2569,0
1529,2551,0
1541,2540,0
1547,2536,0
1550,2534,0
1551,2534,0
1554,2545,0
1557,2569,0
1560,2602,0
1561,2634,0
1567,2674,0
1573,2709,0
1578,2749,0
1582,2785,0
1582,2822,0
1578,2859,0
1563,2886,0
1546,2917,0
1524,2938,0
1500,2949,0
1471,2949,0
1448,2948,0
1433,2938,0
1433,2930,0
1442,2909,0
1469,2876,1
1642,2374,0
1641,2367,0
1650,2355,0
1664,2343,0
1689,2341,0
1711,2339,0
1728,2338,0
1742,2346,0
1746,2353,0
1744,2367,0
1732,2386,0
1713,2412,0
1695,2443,0
1681,2467,0
1673,2490,0
1674,2511,0
1679,2522,0
1698,2538,0
1721,2544,0
1748,2548,0
1775,2553,1
1702,2627,0
1700,2627,0
1702,2627,0
1707,2630,0
1717,2632,1
1899,2288,0
1895,2285,0
1895,2285,0
1895,2289,0
1891,2304,0
1883,2324,0
1878,2352,0
1872,2375,0
1865,2390,0
1865,2403,0
1867,2407,0
1869,2402,0
1877,2398,1
1948,2290,0
1948,2290,0
1949,2294,0
1945,2300,0
1940,2324,0
1927,2350,0
1914,2381,0
1903,2410,0
1896,2434,1
2195,2308,0
2190,2301,0
2191,2300,0
2193,2304,0
2200,2310,0
2205,2321,0
2214,2338,0
2221,2357,0
2229,2375,0
2239,2393,0
2251,2409,0
2260,2418,0
2274,2420,1
2434,2304,0
2430,2306,0
2420,2314,0
2404,2328,0
2384,2349,0
2358,2368,0
2328,2386,0
2301,2405,0
2287,2422,0
2275,2424,0
2277,2427,0
2278,2427,0
2282,2429,0
2287,2431,0
2293,2441,0
2297,2462,0
2301,2500,0
2304,2548,0
2304,2598,0
2300,2635,0
2300,2666,0
2301,2688,0
2302,2701,0
2304,2701,0
2309,2693,1
2516,2521,0
2514,2517,0
2508,2512,0
2502,2511,0
2492,2513,0
2478,2521,0
2463,2534,0
2451,2555,0
2441,2579,0
2437,2605,0
2440,2625,0
2449,2639,0
2466,2647,0
2487,2645,0
2512,2639,0
2536,2626,0
2557,2608,0
2572,2589,0
2581,2570,0
2577,2545,0
2570,2525,0
2558,2514,0
2540,2507,0
2518,2507,0
2500,2517,1
2651,2477,0
2647,2475,0
2648,2474,0
2649,2474,0
2648,2474,0
2650,2478,0
2649,2479,0
2648,2490,0
2642,2502,0
2639,2523,0
2637,2549,0
2638,2577,0
2638,2596,0
2647,2614,0
2656,2627,0
2665,2631,0
2680,2636,0
2691,2633,0
2704,2624,0
2718,2610,0
2731,2592,0
2742,2575,0
2745,2553,0
2748,2532,0
2758,2520,0
2758,2506,0
2759,2499,0
2758,2496,0
2756,2496,0
2758,2500,0
2758,2509,0
2758,2529,0
2755,2550,0
2758,2574,0
2762,2594,0
2765,2607,0
2770,2614,0
2778,2622,0
2784,2624,0
2792,2628,0
2798,2628,1
3143,2515,0
3145,2509,0
3146,2497,0
3144,2487,0
3138,2478,0
3123,2468,0
3105,2464,0
3083,2467,0
3059,2477,0
3040,2497,0
3019,2521,0
3011,2553,0
3009,2581,0
3010,2596,0
3023,2611,0
3031,2614,0
3048,2615,0
3069,2609,0
3089,2593,0
3110,2570,0
3127,2540,0
3142,2510,0
3156,2488,0
3163,2471,0
3165,2463,0
3165,2463,0
3164,2464,0
3162,2482,0
3163,2514,0
3170,2544,0
3178,2564,0
3194,2583,0
3212,2593,0
3236,2598,0
3255,2598,0
3271,2593,0
3280,2586,0
3285,2571,0
3281,2552,0
3279,2533,0
3280,2515,0
3273,2494,0
3274,2483,0
3276,2480,0
3277,2480,0
3285,2483,0
3305,2497,0
3329,2507,0
3361,2515,0
3397,2519,0
3434,2516,0
3471,2508,0
3507,2499,0
3530,2480,0
3547,2463,0
3553,2450,0
3550,2441,0
3539,2435,0
3515,2431,0
3496,2440,0
3469,2452,0
3449,2472,0
3432,2496,0
3432,2524,0
3438,2546,0
3462,2567,0
3497,2584,0
3543,2594,0
3589,2598,0
3639,2604,0
3684,2615,0
3718,2624,0
3739,2632,1
4080,2488,0
4087,2487,0
4095,2476,0
4110,2470,0
4112,2459,0
4110,2450,0
4103,2439,0
4094,2430,0
4077,2420,0
4060,2417,0
4037,2420,0
4017,2432,0
3991,2453,0
3972,2483,0
3955,2517,0
3945,2548,0
3949,2574,0
3960,2593,0
3974,2601,0
3993,2603,0
4014,2597,0
4038,2587,0
4063,2569,0
4088,2544,0
4104,2510,0
4117,2480,0
4126,2456,0
4129,2438,0
4133,2433,0
4133,2433,0
4131,2435,0
4126,2448,0
4126,2480,0
4129,2517,0
4138,2551,0
4150,2576,0
4172,2592,1
4485,2538,0
4497,2526,0
4516,2507,0
4542,2483,0
4567,2452,0
4590,2417,0
4605,2378,0
4623,2341,0
4624,2302,0
4623,2273,0
4613,2251,0
4602,2238,0
4579,2230,0
4557,2235,0
4537,2253,0
4514,2282,0
4500,2328,0
4485,2380,0
4480,2439,0
4487,2507,0
4496,2572,0
4509,2636,0
4526,2695,0
4537,2740,0
4553,2779,0
4560,2803,0
4570,2823,0
4571,2828,0
4569,2824,1
4435,2608,0
4444,2602,0
4478,2582,0
4521,2564,0
4574,2543,0
4620,2525,0
4671,2506,0
4717,2487,0
4756,2470,1
4851,2446,0
4851,2446,0
4845,2447,0
4829,2451,0
4804,2461,0
4777,2473,0
4751,2492,0
4731,2516,0
4714,2536,0
4707,2553,0
4708,2566,0
4723,2572,0
4742,2573,0
4763,2562,0
4783,2546,0
4801,2526,0
4815,2503,0
4823,2482,0
4820,2464,0
4813,2453,0
4809,2452,0
4805,2451,0
4806,2456,0
4811,2464,0
4821,2471,0
