to me.&quot; &quot;I &apos;m All right, Ray,&quot;
880
480,3239,0
482,3240,0
489,3233,0
499,3222,0
510,3212,0
522,3190,0
535,3163,0
547,3138,0
561,3107,0
573,3073,0
585,3042,0
597,3016,0
607,2989,0
616,2975,0
622,2963,0
624,2956,0
625,2955,0
626,2960,0
627,2972,0
624,2984,0
622,3008,0
620,3040,0
615,3071,0
612,3107,0
610,3144,0
608,3180,0
606,3208,0
605,3245,0
604,3272,0
603,3293,0
603,3313,0
603,3325,0
605,3329,1
601,3211,1
611,3209,0
624,3202,0
642,3197,0
663,3185,0
683,3170,0
704,3161,0
723,3151,0
739,3137,0
750,3134,0
756,3132,0
759,3127,0
759,3127,0
755,3127,0
745,3134,0
735,3144,0
722,3151,0
709,3170,0
695,3188,0
685,3215,0
675,3234,0
672,3262,0
673,3274,0
678,3291,0
688,3304,0
702,3310,0
717,3312,0
731,3301,0
745,3287,0
757,3268,0
769,3245,0
776,3218,0
780,3189,0
781,3162,0
777,3141,0
772,3121,0
766,3116,0
761,3111,0
756,3115,0
752,3118,0
751,3118,0
751,3122,0
753,3123,0
760,3124,0
773,3129,0
789,3134,0
809,3132,0
834,3134,0
862,3133,1
1039,3225,0
1035,3228,0
1030,3224,0
1028,3228,0
1027,3228,0
1025,3220,0
1029,3212,0
1033,3197,0
1039,3180,0
1047,3164,0
1056,3144,0
1068,3136,0
1076,3121,0
1088,3112,0
1097,3112,0
1103,3112,0
1106,3117,0
1109,3129,0
1111,3148,0
1109,3168,0
1107,3192,0
1102,3216,0
1100,3240,0
1098,3260,0
1097,3273,0
1097,3281,0
1099,3281,0
1102,3280,0
1107,3268,0
1114,3252,0
1124,3232,0
1136,3204,0
1149,3175,0
1163,3147,0
1177,3127,0
1188,3111,0
1196,3098,0
1204,3098,0
1208,3102,0
1211,3110,0
1215,3129,0
1215,3149,0
1213,3173,0
1212,3202,0
1211,3230,0
1212,3250,0
1214,3266,0
1216,3266,0
1220,3269,0
1227,3262,0
1237,3249,0
1247,3224,0
1259,3196,0
1271,3166,0
1288,3141,0
1300,3116,0
1313,3103,0
1323,3095,0
1328,3090,0
1334,3098,0
1337,3102,0
1340,3117,0
1341,3137,0
1343,3161,0
1343,3185,0
1344,3209,0
1346,3226,0
1353,3245,0
1360,3256,0
1370,3271,0
1383,3282,0
1396,3281,0
1412,3279,0
1429,3273,0
1446,3263,0
1463,3249,0
1478,3227,0
1492,3209,0
1503,3183,0
1513,3162,0
1520,3140,0
1523,3124,0
1522,3107,0
1520,3100,0
1515,3096,0
1507,3093,0
1499,3098,0
1489,3108,0
1477,3122,0
1467,3144,0
1459,3168,0
1453,3194,0
1452,3218,0
1456,3242,0
1464,3264,0
1476,3279,0
1490,3286,0
1510,3291,0
1533,3284,0
1561,3276,0
1591,3262,1
1674,3300,0
1672,3301,0
1671,3301,0
1669,3297,0
1669,3297,0
1670,3298,0
1670,3298,0
1670,3298,0
1673,3296,1
1785,3068,0
1787,3064,0
1788,3055,0
1790,3042,0
1793,3025,0
1798,3007,0
1807,2992,0
1815,2977,0
1822,2972,1
1855,3066,0
1856,3062,0
1860,3053,0
1865,3035,0
1874,3020,0
1882,3005,0
1891,2991,0
1897,2980,0
1905,2974,1
2060,3089,0
2061,3088,0
2060,3080,0
2062,3067,0
2067,3056,0
2071,3038,0
2077,3028,0
2079,3018,0
2082,3013,1
2104,3086,0
2104,3082,0
2105,3074,0
2110,3063,0
2113,3045,0
2123,3028,0
2130,3009,0
2140,2996,0
2146,2982,1
2253,3158,0
2265,3136,0
2276,3110,0
2289,3088,0
2299,3066,0
2311,3053,0
2318,3041,0
2329,3036,0
2334,3030,0
2344,3034,0
2347,3033,0
2355,3043,0
2362,3057,0
2368,3076,0
2371,3096,0
2376,3124,0
2380,3153,0
2382,3184,0
2380,3210,0
2374,3234,0
2370,3262,0
2361,3283,0
2350,3301,0
2338,3315,0
2323,3325,0
2306,3332,0
2298,3339,0
2291,3333,0
2287,3329,1
2521,3070,0
2524,3064,0
2525,3051,0
2526,3037,0
2534,3023,0
2541,3006,0
2550,2997,0
2562,2996,0
2567,2997,1
2560,3247,0
2568,3234,0
2579,3225,0
2587,3216,0
2594,3208,0
2599,3202,0
2606,3203,0
2608,3202,0
2612,3209,0
2616,3220,0
2618,3232,0
2616,3247,0
2617,3269,0
2615,3287,0
2613,3297,0
2613,3307,0
2614,3310,0
2615,3310,0
2621,3307,0
2627,3295,0
2633,3278,0
2644,3264,0
2655,3249,0
2664,3235,0
2673,3231,0
2678,3229,0
2680,3232,0
2683,3240,0
2683,3253,0
2685,3270,0
