&quot;Oh, at the hospital, I suppose!&quot;
650
1223,2180,0
1218,2172,0
1221,2176,0
1218,2172,0
1218,2176,0
1217,2180,0
1214,2188,0
1213,2212,0
1204,2233,0
1198,2261,0
1192,2285,0
1188,2302,0
1187,2318,0
1187,2322,0
1189,2326,0
1191,2322,0
1195,2314,1
1269,2164,0
1268,2160,0
1269,2164,0
1266,2164,0
1263,2176,0
1254,2197,0
1242,2222,0
1235,2255,0
1225,2280,0
1222,2312,0
1220,2336,0
1221,2348,0
1225,2356,1
1551,2256,0
1552,2248,0
1552,2239,0
1551,2231,0
1545,2225,0
1539,2227,0
1526,2224,0
1510,2232,0
1493,2252,0
1469,2277,0
1445,2306,0
1425,2345,0
1411,2384,0
1406,2422,0
1406,2449,0
1412,2468,0
1422,2484,0
1435,2490,0
1455,2487,0
1481,2478,0
1510,2453,0
1541,2417,0
1567,2376,0
1584,2335,0
1590,2304,0
1587,2280,0
1579,2266,0
1564,2261,0
1542,2258,1
1721,2210,0
1715,2204,0
1710,2201,0
1710,2205,0
1705,2211,0
1697,2234,0
1691,2274,0
1677,2311,0
1668,2364,0
1663,2405,0
1660,2432,0
1661,2447,0
1660,2448,0
1662,2448,0
1662,2443,0
1666,2418,0
1675,2382,0
1690,2345,0
1709,2318,0
1724,2298,0
1739,2285,0
1754,2275,0
1765,2273,0
1771,2279,0
1775,2294,0
1773,2316,0
1771,2346,0
1766,2376,0
1762,2411,0
1763,2437,0
1767,2451,0
1775,2462,0
1782,2463,1
1947,2441,0
1949,2445,0
1945,2441,0
1943,2442,0
1941,2447,0
1936,2466,0
1929,2490,0
1917,2516,0
1911,2543,1
2270,2276,0
2259,2273,0
2258,2274,0
2258,2269,0
2260,2259,0
2278,2248,0
2300,2231,0
2314,2218,0
2327,2219,0
2337,2232,0
2337,2251,0
2333,2282,0
2323,2319,0
2317,2355,0
2306,2375,0
2304,2389,0
2304,2394,0
2305,2394,0
2306,2393,0
2306,2384,0
2304,2367,0
2297,2348,0
2285,2336,0
2274,2333,0
2262,2340,0
2246,2349,0
2234,2369,0
2222,2388,0
2217,2405,0
2211,2412,0
2216,2418,0
2224,2419,0
2241,2415,0
2263,2398,0
2288,2376,0
2316,2355,0
2342,2342,1
2493,2183,0
2489,2181,0
2482,2186,0
2473,2202,0
2463,2233,0
2447,2272,0
2431,2325,0
2415,2371,0
2408,2400,0
2405,2410,0
2405,2410,0
2408,2408,0
2412,2397,1
2422,2279,0
2421,2280,0
2422,2279,0
2425,2277,0
2435,2275,0
2451,2270,0
2468,2263,0
2482,2258,0
2494,2255,1
2807,2161,0
2799,2152,0
2803,2153,0
2802,2154,0
2801,2162,0
2790,2181,0
2779,2216,0
2765,2263,0
2753,2319,0
2740,2359,0
2735,2388,0
2734,2399,0
2734,2399,1
2741,2273,0
2739,2274,0
2736,2271,0
2745,2270,0
2758,2263,0
2780,2251,0
2806,2236,0
2832,2218,0
2849,2198,0
2862,2182,0
2869,2169,0
2871,2163,0
2872,2162,0
2867,2162,0
2864,2169,0
2857,2191,0
2844,2224,0
2827,2264,0
2815,2305,0
2811,2330,0
2806,2339,0
2807,2343,0
2805,2340,0
2806,2339,0
2810,2330,0
2813,2311,0
2826,2292,0
2840,2270,0
2854,2252,0
2873,2241,0
2890,2238,0
2903,2236,0
2912,2239,0
2916,2246,0
2921,2263,0
2917,2282,0
2912,2307,0
2905,2334,0
2905,2356,0
2909,2369,0
2914,2374,1
2970,2305,0
2977,2299,0
2991,2292,0
3008,2282,0
3025,2271,0
3033,2258,0
3040,2251,0
3041,2245,0
3040,2242,0
3027,2236,0
3016,2241,0
2995,2250,0
2980,2269,0
2967,2287,0
2965,2309,0
2968,2328,0
2977,2341,0
3001,2352,0
3033,2356,0
3076,2356,0
3114,2353,1
3412,2133,0
3410,2128,0
3414,2129,0
3409,2130,0
3406,2139,0
3399,2160,0
3390,2195,0
3375,2236,0
3367,2280,0
3358,2313,0
3350,2339,0
3342,2358,0
3335,2371,0
3333,2374,0
3336,2377,0
3333,2374,0
3334,2367,0
3339,2350,0
3352,2326,0
3368,2297,0
3391,2278,0
3408,2264,0
3425,2258,0
3438,2256,0
3451,2258,0
3457,2263,0
3462,2277,0
3459,2292,0
3455,2315,0
3452,2341,0
3443,2364,0
3438,2386,0
3438,2396,1
3597,2285,0
3604,2277,0
3600,2268,0
3597,2266,0
3585,2268,0
3567,2277,0
3541,2295,0
3522,2317,0
3517,2340,0
3516,2354,0
3523,2364,0
3538,2371,0
3554,2371,0
3576,2365,0
3600,2357,0
3623,2342,0
3635,2321,0
3640,2308,0
3634,2297,0
3619,2290,0
3600,2289,1
3715,2273,0
3720,2268,0
3718,2263,0
3706,2258,0
3695,2260,0
3685,2267,0
3679,2280,0
3677,2294,0
3677,2308,0
3682,2321,0
3688,2332,0
3692,2339,0
3694,2344,0
3691,2347,0
3683,2351,0
3671,2352,0
3660,2352,0
3655,2354,0
3648,2350,0
3648,2342,0
3645,2326,1
3824,2278,0
3824,2278,0
3822,2280,0
3822,2287,0
3814,2309,0
3806,2345,0
3792,2388,0
3779,2429,0
3770,2458,0
3767,2475,0
3768,2480,0
3770,2476,0
3771,2464,1
3783,2330,0
3784,2315,0
3795,2301,0
3816,2287,0
3842,2274,0
3872,2266,0
3899,2265,0
3914,2271,0
3918,2278,0
3917,2287,0
3911,2296,0
3898,2306,0
3880,2316,0
3855,2322,0
3841,2328,0
3838,2330,1
3981,2253,0
3974,2249,0
3978,2251,0
3973,2251,0
3972,2258,0
3966,2274,0
3958,2292,0
3951,2308,0
3945,2323,0
3941,2335,0
3933,2338,0
3937,2340,0
3940,2336,1
3995,2227,0
3985,2220,0
3986,2219,0
3983,2216,0
3983,2216,1
4106,2164,0
4104,2161,0
4100,2159,0
4099,2159,0
4094,2167,0
4085,2188,0
4073,2219,0
4061,2258,0
4047,2299,0
4038,2338,0
4032,2360,0
4030,2370,0
4034,2371,1
4043,2271,0
4039,2269,0
4041,2265,0
4053,2262,0
4069,2255,0
4089,2246,0
4113,2239,0
4133,2232,0
4145,2228,0
4157,2225,0
4161,2225,0
4164,2229,0
4167,2239,0
4165,2255,0
4159,2271,0
4157,2288,0
4157,2303,0
4156,2311,0
4155,2313,0
4155,2314,0
4151,2311,0
4152,2310,0
4154,2307,0
4145,2299,0
4140,2292,0
4128,2287,0
4118,2287,0
4106,2291,0
4091,2299,0
4083,2310,0
4082,2320,0
4082,2326,0
4084,2330,0
4091,2335,0
4104,2335,0
4119,2329,0
4141,2318,1
4275,2175,0
4271,2174,0
4268,2177,0
4261,2190,0
4256,2219,0
4240,2252,0
4226,2287,0
4208,2314,0
4197,2336,0
4191,2352,0
4188,2364,0
4185,2368,0
4184,2369,1
4360,2388,0
4360,2388,0
4356,2386,0
4356,2388,0
4355,2388,0
4353,2399,0
4347,2415,0
4339,2433,0
4332,2450,1
4693,2150,0
4693,2149,0
4693,2150,0
4693,2152,0
4686,2162,0
4682,2188,0
4675,2223,0
4661,2262,0
4648,2301,0
4637,2334,0
4639,2362,0
