and night clubs, as you &apos;d know,
652
624,4227,0
622,4210,0
620,4198,0
611,4193,0
593,4196,0
569,4213,0
540,4245,0
513,4282,0
491,4331,0
477,4374,0
473,4410,0
477,4438,0
490,4456,0
508,4454,0
530,4433,0
559,4401,0
581,4359,0
600,4313,0
612,4278,0
616,4246,0
615,4234,0
615,4230,0
614,4238,0
612,4270,0
610,4310,0
605,4357,0
604,4406,0
605,4442,0
615,4459,1
747,4207,0
745,4207,0
745,4219,0
743,4251,0
740,4286,0
735,4326,0
728,4362,0
723,4389,0
716,4401,0
716,4401,0
711,4393,0
711,4360,0
709,4324,0
711,4280,0
716,4232,0
724,4193,0
739,4162,0
757,4140,0
779,4133,0
803,4147,0
822,4172,0
837,4209,0
843,4254,0
841,4298,0
832,4345,0
823,4381,0
820,4404,0
823,4409,0
842,4394,1
1107,4240,0
1119,4229,0
1120,4213,0
1111,4200,0
1090,4196,0
1066,4196,0
1036,4200,0
1008,4215,0
984,4244,0
967,4275,0
958,4307,0
959,4343,0
966,4375,0
980,4395,0
999,4400,0
1020,4388,0
1042,4356,1
1081,4068,0
1081,4068,0
1080,4080,0
1080,4109,0
1080,4157,0
1077,4205,0
1076,4265,0
1076,4320,0
1076,4368,0
1079,4416,0
1088,4440,0
1104,4452,0
1126,4444,1
1414,4219,0
1406,4247,0
1403,4287,0
1401,4336,0
1396,4372,0
1394,4409,0
1392,4429,0
1393,4429,0
1394,4425,0
1395,4404,0
1396,4372,0
1399,4332,0
1403,4292,0
1416,4254,0
1434,4221,0
1459,4194,0
1488,4180,0
1510,4177,0
1531,4191,0
1545,4222,0
1549,4258,0
1545,4302,0
1538,4348,0
1529,4384,0
1527,4413,1
1699,4181,0
1699,4185,0
1696,4189,0
1691,4215,0
1681,4256,0
1672,4298,0
1667,4339,0
1661,4376,0
1660,4405,0
1662,4417,0
1673,4419,0
1690,4401,0
1713,4373,1
1896,4219,0
1893,4216,0
1886,4208,0
1877,4202,0
1860,4202,0
1839,4202,0
1816,4217,0
1795,4238,0
1783,4264,0
1778,4286,0
1780,4306,0
1795,4323,0
1812,4324,0
1835,4321,0
1860,4303,0
1882,4279,0
1903,4263,0
1913,4252,0
1911,4249,0
1910,4257,0
1899,4279,0
1891,4318,0
1881,4352,0
1874,4394,0
1866,4437,0
1856,4479,0
1843,4514,0
1830,4541,0
1815,4555,0
1804,4558,0
1796,4542,0
1792,4506,0
1800,4461,1
2070,4052,0
2069,4073,0
2064,4107,0
2056,4155,0
2043,4203,0
2030,4260,0
2012,4309,0
2000,4357,0
1990,4396,0
1988,4416,0
1989,4420,0
1992,4415,0
2003,4393,0
2022,4352,0
2045,4310,0
2068,4267,0
2092,4240,0
2106,4220,0
2114,4218,0
2118,4230,0
2115,4260,0
2106,4299,0
2096,4347,0
2087,4390,0
2080,4420,1
2285,4050,0
2280,4072,0
2277,4115,0
2272,4162,0
2267,4214,0
2262,4261,0
2256,4309,0
2248,4348,0
2244,4370,1
2268,4259,0
2273,4249,0
2280,4244,0
2287,4242,1
1765,4007,0
1759,4000,0
1761,4000,0
1777,4005,0
1801,4005,1
2696,4299,0
2703,4284,0
2703,4267,0
2700,4250,0
2693,4236,0
2684,4227,0
2669,4220,0
2649,4219,0
2631,4239,0
2608,4261,0
2591,4296,0
2577,4331,0
2577,4373,0
2588,4412,0
2609,4435,0
2642,4448,0
2683,4441,1
2878,4025,0
2878,4025,0
2879,4034,0
2878,4057,0
2879,4095,0
2876,4140,0
2872,4191,0
2862,4248,0
2854,4304,0
2845,4355,0
2841,4401,0
2840,4431,0
2845,4442,1
2995,4205,0
2989,4194,0
2989,4199,0
2980,4217,0
2969,4253,0
2956,4294,0
2951,4340,0
2947,4377,0
2955,4408,0
2971,4423,0
2994,4422,0
3023,4400,0
3057,4366,0
3086,4321,0
3110,4283,0
3124,4249,0
3130,4223,0
3129,4210,0
3124,4209,0
3115,4218,0
3105,4249,0
3096,4294,0
3086,4340,0
3079,4391,0
3077,4436,0
3078,4462,0
3088,4471,0
3105,4459,0
3129,4420,1
3262,4012,0
3260,4000,0
3259,4000,0
3257,4015,0
3250,4047,0
3240,4089,0
3235,4142,0
3224,4193,0
3215,4247,0
3202,4290,0
3195,4329,0
3189,4350,0
3191,4355,0
3195,4356,0
3204,4338,0
3219,4299,0
3238,4258,0
3262,4222,0
3286,4196,0
3301,4178,0
3315,4179,0
3322,4189,0
3327,4219,0
3323,4258,0
3315,4303,0
3300,4348,0
3279,4386,0
3257,4425,0
3228,4447,0
3208,4462,0
3197,4463,0
3195,4451,0
3209,4426,1
3551,4203,0
3554,4198,0
3549,4191,0
3533,4186,0
3506,4189,0
3480,4200,0
3459,4213,0
3449,4228,0
3453,4248,0
3464,4266,0
3484,4286,0
3510,4303,0
3536,4321,0
3559,4339,0
3571,4355,0
3570,4366,0
3561,4380,0
3539,4393,0
3505,4403,0
3463,4409,0
3427,4415,0
3402,4415,0
3395,4415,0
3401,4406,0
3419,4392,1
3728,4334,0
3730,4338,0
3737,4348,0
3737,4361,0
3740,4384,0
3738,4413,0
3726,4444,0
3715,4484,0
3697,4523,0
3676,4554,0
3658,4574,0
3652,4577,0
3663,4561,1
4213,4178,0
4206,4158,0
4199,4143,0
4185,4128,0
4165,4124,0
4143,4131,0
4111,4150,0
4087,4184,0
4070,4227,0
4059,4268,0
4057,4304,0
4068,4331,0
4085,4343,0
4104,4339,0
4128,4323,0
4152,4295,0
4169,4256,0
4179,4214,0
4191,4185,0
4193,4157,0
