gathered, Norrie, Jo &apos;s fallen for
632
1033,2580,0
1030,2560,0
1027,2548,0
1011,2531,0
990,2523,0
965,2521,0
938,2533,0
917,2559,0
903,2594,0
895,2630,0
895,2658,0
900,2682,0
910,2699,0
922,2704,0
938,2701,0
956,2690,0
978,2675,0
996,2644,0
1012,2615,0
1024,2596,0
1030,2580,0
1032,2577,0
1033,2580,0
1028,2592,0
1023,2624,0
1021,2668,0
1023,2724,0
1025,2784,0
1025,2840,0
1024,2896,0
1015,2940,0
1001,2975,0
977,2991,0
948,2985,0
916,2972,0
887,2946,0
863,2912,1
1193,2570,0
1194,2566,0
1188,2558,0
1173,2550,0
1153,2555,0
1126,2564,0
1104,2589,0
1085,2617,0
1078,2653,0
1078,2685,0
1088,2713,0
1103,2732,0
1122,2745,0
1142,2744,0
1164,2735,0
1186,2714,0
1204,2682,0
1218,2649,0
1228,2616,0
1234,2596,0
1237,2579,0
1240,2576,0
1239,2575,0
1235,2588,0
1225,2608,0
1220,2641,0
1216,2677,0
1213,2705,0
1214,2733,0
1213,2749,0
1213,2761,0
1213,2770,0
1213,2777,1
1379,2421,0
1382,2432,0
1380,2453,0
1375,2478,0
1370,2515,0
1363,2556,0
1356,2605,0
1353,2654,0
1350,2695,0
1348,2723,0
1352,2746,0
1355,2746,0
1359,2738,1
1409,2591,0
1401,2587,0
1384,2594,0
1358,2597,0
1331,2600,1
1496,2427,0
1503,2433,0
1503,2446,0
1500,2470,0
1500,2511,0
1495,2557,0
1486,2599,0
1479,2640,0
1473,2673,0
1467,2695,0
1460,2700,0
1461,2704,0
1464,2700,0
1473,2686,0
1483,2660,0
1500,2633,0
1521,2597,0
1544,2568,0
1570,2555,0
1590,2543,0
1604,2536,0
1611,2538,0
1612,2541,0
1608,2560,0
1607,2596,0
1602,2626,0
1603,2654,0
1607,2678,0
1615,2697,0
1623,2703,0
1640,2712,0
1657,2707,0
1680,2698,0
1704,2675,0
1729,2654,0
1750,2631,0
1763,2602,0
1776,2582,0
1782,2564,0
1779,2548,0
1773,2542,0
1763,2544,0
1747,2549,0
1732,2566,0
1715,2586,0
1704,2606,0
1703,2635,0
1713,2666,0
1725,2688,0
1744,2707,0
1768,2721,0
1792,2724,0
1816,2717,0
1845,2704,0
1868,2675,0
1890,2648,0
1906,2617,0
1918,2588,0
1928,2563,0
1932,2545,0
1937,2543,0
1935,2540,0
1931,2545,0
1929,2571,0
1922,2603,0
1918,2642,0
1912,2674,0
1911,2700,0
1908,2709,0
1911,2712,0
1911,2708,0
1912,2691,0
1914,2665,0
1912,2636,0
1913,2615,0
1915,2597,0
1920,2583,0
1935,2581,0
1952,2580,0
1979,2587,0
2007,2589,0
2036,2591,0
2063,2589,0
2087,2579,0
2108,2566,0
2127,2552,0
2133,2533,0
2133,2519,0
2128,2513,0
2116,2509,0
2099,2512,0
2082,2528,0
2063,2555,0
2041,2580,0
2029,2610,0
2024,2634,0
2031,2656,0
2044,2673,0
2062,2684,0
2087,2692,0
2116,2692,1
2278,2571,0
2280,2560,0
2281,2555,0
2273,2546,0
2258,2540,0
2234,2538,0
2213,2548,0
2190,2564,0
2176,2593,0
2163,2620,0
2161,2647,0
2167,2671,0
2181,2686,0
2197,2693,0
2215,2689,0
2239,2682,0
2260,2659,0
2285,2630,0
2304,2589,0
2320,2549,0
2333,2511,0
2342,2478,0
2347,2452,0
2354,2440,0
2354,2436,0
2354,2436,0
2349,2448,0
2342,2479,0
2337,2526,0
2330,2572,0
2323,2611,0
2323,2651,0
2320,2679,0
2319,2702,0
2318,2716,0
2317,2720,0
2316,2721,0
2318,2721,0
2318,2720,0
2321,2719,0
2322,2714,1
2540,2669,0
2539,2671,0
2533,2678,0
2528,2700,0
2519,2728,0
2512,2764,0
2502,2792,0
2496,2808,0
2499,2817,1
2784,2405,0
2784,2406,0
2782,2417,0
2783,2442,0
2777,2480,0
2753,2616,0
2743,2647,1
2781,2409,0
2782,2408,0
2779,2410,0
2784,2426,0
2790,2456,0
2811,2550,0
2824,2601,0
2830,2635,0
2843,2661,0
2856,2675,0
2862,2677,0
2872,2670,0
2880,2649,0
2883,2613,0
2891,2570,0
2899,2520,0
2900,2468,0
2901,2426,0
2904,2398,0
2906,2381,1
3079,2507,0
3088,2520,0
3089,2540,0
3093,2573,0
3088,2610,0
3078,2644,0
3059,2663,0
3038,2669,0
3022,2667,0
3009,2657,0
2999,2639,0
2992,2615,0
2995,2586,0
3003,2555,0
3011,2517,0
3031,2495,0
3049,2480,1
3189,2511,0
3189,2522,0
3189,2543,0
3192,2574,0
3187,2603,0
3190,2639,0
3185,2659,0
3182,2667,0
3182,2666,0
3180,2657,0
3182,2639,0
3187,2615,0
3196,2586,0
3203,2552,0
3214,2527,0
3230,2513,0
3242,2501,1
3297,2499,0
3303,2511,0
3302,2527,0
3302,2555,0
3298,2586,0
3296,2615,0
3293,2639,0
3293,2654,0
3296,2663,1
3303,2656,0
3310,2644,0
3307,2621,0
3308,2593,0
3300,2561,0
3302,2538,0
3308,2521,0
3317,2508,0
3334,2502,0
3351,2497,0
3373,2498,0
3397,2503,0
3424,2510,0
3446,2521,0
3455,2530,0
3465,2548,0
3472,2569,0
3475,2594,0
3469,2616,0
3469,2638,0
3467,2651,0
3476,2666,0
3479,2668,0
3486,2661,1
3484,2400,0
3489,2401,0
3489,2400,0
3491,2404,0
3486,2410,1
3563,2595,0
3565,2593,0
3567,2591,0
3579,2591,0
3590,2585,0
3612,2581,0
3632,2570,0
3655,2557,0
3679,2543,0
3695,2526,0
3704,2509,0
3704,2498,0
3696,2490,0
3679,2484,0
3655,2486,0
3631,2495,0
3603,2513,0
3588,2541,0
3588,2570,0
3592,2595,0
3606,2620,0
3626,2639,0
3645,2649,0
3665,2652,0
3684,2650,0
3702,2642,0
3723,2632,0
3738,2621,0
3752,2612,1
3870,2690,0
3870,2696,0
3867,2706,0
3861,2723,0
3853,2743,0
3843,2772,0
3831,2803,0
3826,2830,0
3822,2852,1
4096,2475,0
4097,2473,0
4098,2472,0
4099,2471,0
4097,2468,0
4098,2466,0
4105,2462,0
4123,2460,0
4145,2456,0
4173,2452,0
4203,2445,0
4230,2434,0
4261,2426,0
4331,2542,0
4323,2585,0
4321,2635,0
4314,2688,0
4306,2739,0
4301,2784,0
4292,2819,0
4276,2838,0
4256,2844,0
4239,2845,0
4222,2834,0
4203,2812,0
4193,2786,0
4193,2758,0
4196,2721,0
4209,2688,0
4231,2660,1
4463,2603,0
4456,2627,0
4444,2651,0
4437,2673,0
4426,2688,0
4415,2695,0
4408,2697,0
4394,2691,0
4385,2683,0
4372,2668,0
4363,2651,0
4357,2632,0
4362,2614,0
4372,2594,0
4445,2566,0
4450,2574,1
4627,2366,0
4629,2369,0
4619,2378,0
4616,2398,0
4618,2426,1
4796,2533,0
4745,2516,0
4719,2520,0
4704,2529,0
4696,2541,0
4712,2560,0
4727,2574,0
4809,2637,0
4805,2659,0
4786,2679,0
4756,2695,0
4720,2698,0
4687,2689,0
4668,2675,0
4660,2658,1
5078,2618,0
5070,2661,0
5069,2700,0
5062,2726,0
5059,2738,1
5031,2564,0
5043,2554,0
5056,2546,0
5079,2540,0
5103,2538,0
5132,2536,0
5164,2536,0
5190,2538,0
5214,2538,1
5296,2497,0
5299,2492,0
5290,2492,0
5197,2599,0
5201,2615,0
5207,2628,0
5228,2639,0
5252,2640,0
5267,2629,0
5292,2610,0
5310,2579,0
5316,2543,0
5325,2520,0
5326,2509,0
5327,2508,0
5327,2508,0
5323,2524,0
5328,2555,0
5331,2591,0
5326,2624,0
5327,2654,0
5329,2675,0
5332,2675,0
5337,2668,1
5444,2417,0
5443,2418,0
5439,2426,0
