the man, hook, line and sinker!
678
1070,2997,0
1068,2988,0
1068,2993,0
1066,2992,0
1066,3013,0
1066,3045,0
1066,3088,0
1066,3133,0
1066,3185,0
1065,3233,0
1063,3273,0
1061,3300,0
1061,3316,1
1109,3160,0
1114,3157,0
1111,3148,0
1101,3144,0
1084,3148,0
1060,3153,0
1035,3152,0
1014,3152,0
999,3151,1
1179,2987,0
1181,2995,0
1182,3018,0
1184,3063,0
1184,3110,0
1182,3159,0
1177,3199,0
1174,3231,0
1174,3255,0
1173,3267,0
1174,3271,0
1176,3271,0
1181,3255,0
1187,3226,0
1196,3190,0
1206,3150,0
1218,3122,0
1230,3093,0
1244,3076,0
1258,3075,0
1266,3078,0
1273,3098,0
1275,3126,0
1279,3170,0
1276,3202,0
1276,3230,0
1278,3250,0
1283,3266,0
1293,3269,0
1311,3268,0
1331,3255,0
1356,3240,0
1384,3214,0
1408,3182,0
1428,3152,0
1442,3127,0
1450,3101,0
1450,3086,0
1443,3078,0
1428,3076,0
1408,3086,0
1389,3112,0
1373,3142,0
1365,3183,0
1367,3219,0
1377,3246,0
1395,3269,0
1418,3282,0
1440,3284,0
1465,3285,0
1486,3266,0
1505,3239,0
1523,3204,1
1730,3057,0
1731,3056,0
1732,3068,0
1732,3093,0
1730,3122,0
1730,3163,0
1728,3200,0
1727,3228,0
1725,3245,0
1725,3250,0
1727,3249,0
1732,3236,0
1739,3214,0
1748,3183,0
1761,3148,0
1774,3107,0
1792,3078,0
1809,3058,0
1825,3049,0
1838,3051,0
1845,3057,0
1856,3088,0
1865,3130,0
1865,3168,0
1863,3201,0
1860,3222,0
1859,3235,0
1858,3235,0
1860,3235,0
1868,3224,0
1878,3197,0
1893,3164,0
1910,3130,0
1929,3100,0
1950,3077,0
1971,3062,0
1990,3061,0
2007,3069,0
2019,3081,0
2019,3106,0
2023,3147,0
2022,3180,0
2023,3209,0
2023,3226,0
2024,3235,1
2188,3076,0
2195,3062,0
2193,3049,0
2186,3044,0
2171,3044,0
2154,3055,0
2137,3074,0
2119,3102,0
2104,3132,0
2099,3164,0
2098,3185,0
2106,3204,0
2113,3210,0
2128,3214,0
2145,3208,0
2167,3195,0
2189,3166,0
2210,3136,0
2228,3113,0
2236,3088,1
2244,3072,0
2246,3063,0
2244,3063,0
2239,3069,0
2231,3091,0
2224,3123,0
2217,3156,0
2215,3186,0
2219,3210,0
2230,3231,0
2241,3240,0
2251,3241,0
2266,3239,0
2282,3225,0
2299,3201,0
2311,3165,0
2326,3138,0
2335,3108,0
2340,3084,0
2344,3065,0
2352,3062,0
2350,3057,0
2354,3065,0
2357,3090,0
2359,3124,0
2358,3158,0
2359,3193,0
2352,3209,0
2346,3220,0
2343,3226,0
2340,3223,0
2340,3219,0
2343,3204,0
2348,3181,0
2353,3148,0
2367,3120,0
2381,3092,0
2403,3074,0
2422,3065,0
2437,3058,0
2448,3057,0
2456,3062,0
2460,3078,0
2469,3110,0
2472,3134,0
2472,3156,0
2473,3178,0
2469,3189,0
2468,3198,0
2466,3199,0
2466,3203,0
2466,3203,0
2467,3202,1
2594,3195,0
2593,3196,0
2590,3197,0
2588,3216,0
2585,3244,0
2576,3276,0
2573,3317,0
2571,3349,0
2570,3366,1
2757,2890,0
2760,2907,0
2757,2936,0
2755,2980,0
2759,3033,0
2758,3080,0
2753,3124,0
2750,3158,0
2750,3181,0
2752,3193,0
2753,3193,0
2758,3186,0
2762,3164,0
2778,3137,0
2793,3097,0
2813,3057,0
2833,3021,0
2849,2996,0
2871,2988,0
2886,2988,0
2898,2999,0
2905,3023,0
2909,3059,0
2908,3102,0
2904,3133,0
2905,3160,0
2907,3177,0
2912,3188,0
2919,3185,1
3035,3014,0
