a wider sphere, but, now the chance had
683
1194,2174,0
1182,2170,0
1174,2171,0
1164,2175,0
1151,2183,0
1136,2200,0
1122,2228,0
1113,2268,0
1111,2300,0
1114,2321,0
1124,2328,0
1138,2328,0
1155,2319,0
1172,2299,0
1188,2274,0
1198,2241,0
1205,2209,0
1210,2188,0
1213,2184,0
1214,2184,0
1218,2192,0
1224,2211,0
1235,2243,0
1247,2270,0
1261,2297,0
1273,2312,0
1285,2323,0
1294,2326,0
1303,2326,1
1527,2183,0
1525,2184,0
1520,2189,0
1515,2207,0
1511,2232,0
1510,2257,0
1513,2273,0
1523,2287,0
1531,2289,1
1574,2284,0
1578,2291,0
1588,2305,0
1602,2310,0
1615,2306,0
1629,2299,0
1637,2280,0
1641,2263,0
1643,2246,0
1643,2225,0
1638,2206,0
1633,2194,0
1630,2191,0
1627,2188,0
1628,2191,0
1626,2188,1
1723,2222,0
1718,2232,0
1714,2250,0
1715,2267,0
1718,2282,1
1722,2169,0
1720,2165,0
1724,2168,0
1727,2166,0
1734,2169,1
1886,2207,0
1876,2207,0
1871,2217,0
1864,2229,0
1853,2241,0
1846,2256,0
1846,2273,0
1846,2282,0
1853,2288,0
1859,2290,0
1871,2289,0
1884,2281,0
1897,2268,0
1910,2249,0
1923,2227,0
1930,2198,0
1938,2173,0
1949,2159,0
1950,2145,0
1952,2145,0
1952,2145,0
1949,2146,0
1946,2161,0
1946,2186,0
1942,2205,0
1946,2226,0
1951,2241,0
1959,2251,0
1972,2258,0
1981,2254,0
1997,2252,0
2017,2247,0
2027,2229,0
2040,2215,0
2046,2203,0
2045,2195,0
2043,2195,0
2032,2196,0
2024,2205,0
2017,2217,0
2014,2235,0
2018,2251,0
2031,2263,0
2041,2263,0
2055,2260,0
2073,2257,0
2092,2252,0
2106,2241,0
2116,2227,0
2123,2215,0
2124,2200,0
2121,2188,0
2114,2178,0
2108,2173,0
2106,2174,0
2105,2174,0
2110,2181,1
2376,2171,0
2366,2162,0
2360,2161,0
2347,2155,0
2342,2159,0
2335,2164,0
2326,2174,0
2325,2193,0
2329,2209,0
2335,2220,0
2354,2236,0
2369,2246,0
2382,2256,0
2390,2265,0
2393,2273,0
2388,2281,0
2381,2290,0
2364,2295,0
2345,2298,0
2325,2301,0
2307,2301,0
2289,2293,0
2277,2286,0
2270,2280,0
2269,2272,1
2488,2195,0
2485,2203,0
2483,2219,0
2483,2243,0
2479,2270,0
2475,2297,0
2466,2317,0
2457,2337,0
2449,2352,0
2444,2359,0
2441,2361,0
2442,2360,0
2439,2347,0
2441,2328,0
2449,2304,0
2455,2271,0
2463,2238,0
2477,2214,0
2489,2190,0
2509,2176,0
2523,2162,0
2539,2154,0
2555,2153,0
2561,2154,0
2567,2164,0
2579,2186,0
2577,2201,0
2575,2217,0
2568,2233,0
2557,2246,0
2546,2253,0
2543,2260,0
2538,2259,1
2673,2116,0
2677,2118,0
2673,2123,0
2673,2142,0
2666,2164,0
2661,2193,0
2650,2216,0
2642,2238,0
2634,2253,0
2627,2264,0
2627,2269,0
2630,2271,0
2634,2269,0
2644,2262,0
2654,2244,0
2666,2224,0
2678,2205,0
2692,2199,0
2699,2194,0
2707,2198,0
2711,2205,0
2713,2212,0
2721,2227,0
2725,2234,0
2737,2245,0
2742,2246,0
2755,2251,0
2762,2246,0
2776,2244,0
2786,2236,0
2799,2226,0
2811,2215,0
2818,2204,0
2821,2196,0
2824,2193,0
2821,2190,0
2815,2191,0
2801,2193,0
2789,2203,0
2777,2217,0
2779,2237,0
2778,2248,0
2791,2263,0
2803,2269,0
2823,2273,0
2841,2268,0
2861,2262,0
2885,2257,0
2904,2246,0
2918,2234,0
2929,2224,0
2931,2217,0
2934,2219,0
2931,2217,0
2929,2219,0
2923,2229,0
2917,2245,0
2907,2258,0
2897,2268,0
2898,2277,0
2897,2279,0
2894,2276,0
2893,2272,0
2899,2267,0
2902,2253,0
2913,2239,0
2920,2222,0
2928,2208,0
2937,2200,0
2947,2196,0
2957,2193,0
2972,2195,0
2985,2193,0
3002,2195,0
3020,2194,0
3042,2195,0
3062,2193,0
3079,2187,0
3095,2182,0
3106,2177,0
3111,2172,0
3106,2166,0
3093,2162,0
3075,2163,0
3061,2171,0
3045,2186,0
3040,2208,0
3040,2225,0
3055,2244,0
3078,2254,0
3115,2263,0
3150,2263,0
3189,2264,1
3392,2259,0
3389,2262,0
3390,2279,0
3381,2299,0
3372,2327,1
3576,2107,0
3576,2108,0
3573,2111,0
3571,2126,0
3570,2147,0
3566,2171,0
3563,2195,0
3557,2214,0
3551,2227,0
3555,2236,0
3555,2236,0
3561,2234,0
3572,2227,0
3587,2215,0
3596,2198,0
3613,2190,0
3629,2189,0
3645,2195,0
3659,2203,0
3667,2212,0
3672,2224,0
3675,2240,0
3670,2253,0
3660,2265,0
3648,2275,0
3631,2281,0
3620,2288,0
3607,2291,0
3594,2289,1
3736,2207,0
3735,2208,0
3738,2211,0
3737,2219,0
3735,2236,0
3735,2255,0
