And, Noreen, did
380
967,816,0
989,848,0
978,871,0
980,911,0
964,941,0
926,974,0
902,1002,0
898,1047,0
890,1098,0
852,1131,0
843,1174,0
831,1200,0
824,1214,1
1009,895,0
1017,915,0
1039,949,0
1059,977,0
1086,1010,0
1112,1044,0
1149,1078,0
1177,1113,0
1198,1138,0
1220,1163,0
1235,1182,0
1255,1199,0
1262,1201,1
1239,1014,0
1213,1011,0
1158,1006,0
1014,991,0
1029,996,0
942,1006,0
876,988,0
813,999,0
774,973,1
1376,1028,0
1380,1044,0
1389,1062,0
1397,1076,0
1405,1094,0
1412,1104,0
1412,1112,0
1412,1112,0
1416,1115,0
1409,1110,0
1405,1094,0
1401,1078,0
1401,1061,1
1427,1017,0
1439,1003,0
1457,996,0
1478,994,0
1509,1001,0
1539,1012,0
1558,1020,0
1585,1037,0
1612,1058,0
1633,1078,0
1650,1096,0
1668,1114,0
1691,1131,0
1711,1143,0
1742,1155,0
1766,1158,1
2033,1025,0
2020,1009,0
1995,995,0
1961,984,0
1927,979,0
1894,980,0
1855,983,0
1819,995,0
1784,1009,0
1764,1030,0
1750,1052,0
1747,1074,0
1754,1094,0
1772,1110,0
1797,1122,0
1827,1129,0
1862,1132,0
1897,1129,0
1939,1124,0
1970,1112,0
1998,1096,1
2006,855,0
2009,878,0
2013,906,0
2016,934,0
2024,967,0
2037,1002,0
2058,1039,0
2068,1068,0
2082,1096,0
2092,1119,0
2106,1139,0
2113,1149,0
2122,1152,1
2282,1158,0
2286,1172,0
2280,1192,0
2269,1210,0
2260,1233,0
2246,1254,0
2239,1278,0
2227,1297,0
2221,1315,1
2518,817,0
2520,840,0
2521,867,0
2528,899,0
2533,932,0
2533,965,0
2528,997,0
2529,1027,0
2528,1052,0
2531,1073,0
2531,1087,0
2531,1093,0
2537,1092,1
2555,803,0
2569,819,0
2595,840,0
2627,867,0
2661,898,0
2694,931,0
2736,965,0
2776,1000,0
2819,1032,0
2857,1061,0
2901,1091,0
2941,1117,0
2979,1139,0
3008,1153,0
3033,1158,0
3053,1154,0
3064,1138,0
3069,1112,0
3076,1079,0
3071,1039,0
3060,994,0
3049,947,0
3034,899,0
3016,851,0
3002,808,0
2993,772,0
2984,745,0
2984,731,0
2986,726,1
3387,1025,0
3387,1015,0
3378,1005,0
3360,996,0
3341,987,1
3298,978,0
3269,977,0
3234,977,0
3206,982,0
3182,991,0
3164,1005,0
3153,1020,0
3153,1039,0
3162,1061,0
3183,1082,0
3214,1102,0
3243,1115,0
3270,1122,0
3300,1123,0
3326,1114,0
3354,1099,0
3373,1076,0
3381,1054,0
3388,1034,0
3382,1016,1
3491,1011,0
3495,1023,0
3493,1037,0
3501,1054,0
3500,1068,0
3504,1079,0
3506,1086,0
3505,1087,0
