hoped for, isn&apos;t it? As a matter of fact,
683
381,3103,0
377,3102,0
377,3102,0
378,3115,0
381,3140,0
383,3177,0
381,3222,0
381,3271,0
378,3320,0
376,3360,0
375,3397,0
376,3417,0
377,3426,0
379,3422,0
387,3403,0
395,3377,0
406,3354,0
419,3337,0
431,3323,0
443,3322,0
452,3331,0
461,3341,0
468,3359,0
472,3380,0
475,3404,0
480,3414,0
488,3419,0
501,3414,0
510,3403,1
588,3460,0
583,3467,0
578,3475,0
572,3474,0
563,3465,0
555,3447,0
552,3422,0
553,3398,0
557,3378,0
565,3363,0
577,3357,0
589,3355,0
598,3361,0
605,3366,0
607,3390,0
603,3410,0
598,3433,1
659,3405,0
665,3431,0
671,3451,0
675,3484,0
678,3517,0
678,3557,0
675,3592,0
670,3620,0
665,3632,0
664,3632,0
660,3607,0
658,3566,0
664,3519,0
673,3480,0
685,3437,0
699,3411,0
712,3392,0
723,3381,0
732,3382,0
736,3390,0
734,3398,0
727,3433,0
713,3460,0
700,3483,0
692,3490,1
788,3399,0
796,3404,0
809,3409,0
821,3410,0
834,3407,0
845,3396,0
853,3377,0
859,3361,0
858,3349,0
852,3345,0
842,3348,0
829,3358,0
817,3378,0
809,3405,0
806,3425,0
810,3438,0
822,3438,0
838,3440,0
860,3433,0
884,3419,0
907,3404,1
971,3431,0
965,3434,0
958,3438,0
948,3430,0
937,3421,0
928,3405,0
926,3380,0
928,3361,0
937,3349,0
948,3341,0
960,3338,0
975,3346,0
991,3363,0
1004,3380,0
1015,3404,0
1021,3428,0
1023,3444,0
1023,3448,0
1023,3448,0
1023,3436,0
1022,3416,0
1022,3376,0
1025,3340,0
1032,3296,0
1046,3264,0
1061,3237,0
1078,3224,0
1094,3221,1
1307,3332,0
1303,3332,0
1295,3333,0
1287,3341,0
1278,3354,0
1274,3379,0
1271,3403,0
1274,3435,0
1283,3466,0
1293,3489,0
1305,3506,0
1316,3512,0
1324,3516,1
1205,3431,0
1207,3434,0
1217,3430,0
1238,3424,0
1266,3411,0
1298,3405,0
1331,3399,0
1361,3396,0
1385,3398,1
1473,3413,0
1467,3421,0
1456,3423,0
1445,3420,0
1436,3413,0
1430,3398,0
1430,3382,0
1438,3361,0
1451,3347,0
1467,3341,0
1485,3343,0
1500,3349,0
1512,3356,0
1518,3370,0
1519,3391,0
1510,3404,0
1500,3418,0
1490,3423,0
1482,3424,0
1476,3416,0
1474,3404,1
1583,3345,0
1582,3345,0
1582,3353,0
1582,3366,0
1584,3381,0
1583,3393,0
1583,3397,0
1585,3397,0
1583,3393,0
1585,3393,0
1583,3378,0
1586,3361,0
1590,3336,0
1599,3322,0
1605,3309,0
1612,3303,0
1619,3303,0
1624,3305,0
1627,3305,0
1631,3309,0
1636,3316,1
1632,3418,0
1627,3419,0
1625,3424,0
1621,3436,0
1611,3454,0
1599,3472,0
1586,3491,0
1577,3511,0
1570,3521,1
1961,3327,0
1964,3336,0
1963,3349,0
1959,3362,0
1955,3379,0
1951,3393,0
1945,3399,0
1944,3399,0
1944,3391,1
1962,3257,0
1966,3248,0
1973,3250,0
1986,3250,0
2001,3258,1
2083,3341,0
2073,3340,0
2065,3344,0
2050,3339,0
2037,3335,0
2031,3337,0
2026,3334,0
2027,3334,0
2036,3340,0
2052,3347,0
2069,3354,0
2087,3361,0
2104,3373,0
2115,3382,0
2123,3396,0
2123,3401,0
2120,3405,0
2113,3408,0
2100,3408,0
2089,3407,0
2079,3406,1
2176,3332,0
2178,3335,0
2178,3344,0
2176,3361,0
2174,3383,0
2170,3402,0
2168,3419,0
2171,3436,0
2172,3435,0
2176,3433,0
2182,3415,0
2196,3388,0
2212,3362,0
2227,3334,0
2241,3317,0
2253,3309,0
2258,3306,0
2267,3316,0
2271,3332,0
2274,3356,0
2270,3379,0
2268,3406,0
2263,3424,0
2263,3433,0
2266,3431,1
2335,3273,0
2334,3277,0
2336,3285,0
2341,3296,0
2346,3302,1
2390,3306,0
2390,3306,0
2392,3305,0
2398,3303,0
2411,3302,0
2429,3303,0
2444,3300,0
2461,3301,0
2473,3297,1
2440,3259,0
2435,3257,0
2434,3261,0
2432,3275,0
2429,3298,0
2426,3325,0
2422,3354,0
2420,3376,0
2423,3392,1
2846,3260,0
2842,3262,0
2842,3281,0
2843,3307,0
2840,3327,0
2840,3350,0
2837,3366,0
2837,3380,0
2831,3378,1
2840,3209,0
2842,3206,0
2845,3200,0
2854,3199,0
2863,3199,1
2899,3275,0
2909,3279,0
2924,3284,0
2945,3290,0
2963,3293,0
2978,3293,0
2997,3296,0
3010,3293,0
3023,3293,1
2992,3233,0
2984,3238,0
2977,3247,0
2970,3260,0
2967,3281,0
2966,3305,0
2967,3328,0
2970,3346,0
2978,3358,1
3098,3179,0
3088,3170,0
3085,3158,0
3086,3139,0
3096,3122,0
3110,3107,0
3123,3095,0
3148,3096,0
3168,3103,0
3185,3114,0
3197,3129,0
3204,3149,0
3208,3177,0
3199,3202,0
3185,3230,0
3173,3259,0
3153,3277,0
3143,3293,0
3140,3300,0
3141,3305,0
3145,3306,1
3144,3360,0
3143,3361,0
3150,3365,0
3156,3366,0
3165,3369,1
3563,3350,0
3556,3346,0
3554,3337,0
3549,3316,0
3551,3289,0
3556,3255,0
3561,3214,0
3568,3177,0
3579,3148,0
3587,3126,0
3592,3111,0
3599,3110,0
3602,3112,0
3605,3126,0
3607,3149,0
3614,3181,0
3614,3211,0
3619,3244,0
3624,3271,0
3631,3291,0
3631,3297,1
3553,3230,0
3551,3232,0
3556,3234,0
3566,3235,0
3585,3237,0
3605,3235,0
3631,3235,0
3657,3238,0
3679,3241,1
3756,3259,0
3744,3264,0
3729,3267,0
3714,3269,0
3703,3267,0
3700,3270,0
3699,3271,0
3702,3268,0
3715,3274,0
3738,3284,0
3757,3291,0
3777,3299,0
3793,3307,0
3800,3311,0
3805,3317,0
3802,3320,0
3796,3325,0
3780,3329,0
3768,3334,0
3761,3339,1
4155,3327,0
4159,3334,0
4159,3340,0
4151,3348,0
4138,3355,0
4118,3357,0
4099,3354,0
4082,3342,0
4071,3319,0
4072,3297,0
4080,3278,0
4089,3262,0
4105,3258,0
4118,3264,0
4127,3276,0
4144,3293,0
4147,3301,0
4148,3311,0
4152,3319,0
4149,3316,0
4151,3308,1
4163,3269,0
4171,3279,0
4170,3291,0
4165,3301,0
