&quot;Don&apos;t go on, Steve! Oh, don&apos;t think
513
1304,4030,0
1302,4042,0
1301,4058,0
1298,4082,0
1291,4115,1
1384,4061,0
1394,4060,0
1397,4068,0
1392,4088,0
1377,4126,0
1358,4162,0
1341,4192,0
1331,4213,0
1325,4217,1
1507,4169,0
1500,4174,0
1500,4195,0
1499,4222,0
1496,4259,0
1493,4304,0
1488,4348,0
1483,4385,0
1479,4406,0
1476,4426,0
1475,4430,0
1476,4430,0
1479,4414,0
1481,4374,0
1486,4324,0
1515,4217,0
1523,4196,0
1528,4175,0
1537,4170,0
1548,4165,0
1560,4172,0
1573,4191,0
1563,4361,0
1544,4403,0
1523,4442,0
1504,4463,0
1490,4473,1
1616,4354,0
1626,4357,0
1640,4360,0
1655,4357,0
1672,4359,0
1689,4357,0
1704,4354,0
1718,4352,0
1729,4355,0
1734,4349,0
1737,4349,0
1740,4353,0
1739,4352,0
1739,4353,0
1734,4354,0
1710,4361,0
1702,4366,0
1695,4372,0
1689,4380,0
1686,4394,0
1685,4406,0
1688,4421,0
1740,4397,0
1751,4384,0
1759,4374,0
1766,4369,0
1768,4360,0
1773,4356,0
1776,4355,0
1787,4345,0
1790,4345,0
1793,4344,0
1795,4343,0
1797,4343,0
1797,4339,0
1799,4343,0
1799,4343,0
1791,4393,0
1796,4379,0
1802,4375,0
1807,4378,0
1816,4389,0
1827,4399,0
1838,4405,0
1880,4406,0
1890,4391,1
1983,4180,0
1982,4176,0
1983,4184,0
1978,4201,0
1973,4231,1
2041,4265,0
2050,4267,0
2053,4266,0
2052,4270,0
2045,4289,0
2031,4317,0
2017,4352,0
2007,4388,0
2000,4406,0
2005,4421,0
2016,4431,0
2029,4432,0
2043,4430,1
1994,4309,0
1988,4310,0
1990,4310,0
2002,4315,0
2022,4314,0
2052,4307,0
2085,4299,0
2116,4288,0
2147,4280,1
2334,4311,0
2330,4307,0
2328,4304,0
2321,4298,0
2313,4292,0
2304,4295,0
2294,4302,0
2282,4314,0
2273,4333,0
2269,4350,0
2270,4359,0
2280,4365,0
2293,4360,0
2309,4352,0
2323,4339,0
2334,4328,0
2342,4321,0
2347,4315,0
2345,4332,0
2343,4354,0
2341,4384,0
2337,4414,0
2331,4441,0
2323,4460,0
2318,4478,0
2311,4484,0
2324,4414,0
2347,4395,0
2378,4373,0
2410,4350,0
2438,4328,0
2456,4310,0
2470,4305,0
2472,4304,0
2468,4352,0
2489,4337,0
2511,4316,0
2533,4300,0
2550,4285,0
2559,4270,0
2563,4256,1
2727,4270,0
2722,4268,0
2720,4268,0
2717,4270,0
2708,4269,0
2702,4275,0
2689,4281,0
2680,4297,0
2669,4318,0
2663,4342,0
2659,4356,0
2666,4362,0
2677,4362,0
2692,4349,0
2714,4336,0
2730,4316,0
2745,4306,0
2756,4302,0
2776,4285,0
2778,4284,0
2784,4285,0
2786,4280,0
2786,4276,0
2789,4279,0
2788,4280,0
2776,4341,0
2782,4338,0
2794,4324,0
2808,4314,0
2825,4316,0
2840,4323,0
2854,4330,0
2872,4336,0
2915,4304,1
3013,4285,0
3015,4293,0
3021,4304,0
3026,4319,0
3024,4333,0
3016,4354,0
3001,4374,0
2989,4398,0
2977,4411,1
3314,4015,0
3309,4013,0
3307,4010,0
3300,4005,0
3289,4002,0
3270,3998,0
3253,4004,0
3240,4015,0
3230,4026,0
