tell him her feelings. &quot;Well, it must be au revoir,
885
966,1597,0
971,1613,0
973,1629,0
974,1657,0
971,1689,0
967,1725,0
966,1773,0
961,1816,0
957,1860,0
952,1901,0
950,1936,0
950,1956,0
950,1964,1
909,1860,0
912,1860,0
919,1861,0
930,1862,0
943,1864,0
955,1860,0
970,1865,0
981,1866,0
991,1867,1
996,1927,0
1003,1932,0
1014,1932,0
1027,1920,0
1044,1901,1
1068,1785,0
1060,1797,0
1053,1816,0
1050,1849,0
1049,1881,0
1051,1909,0
1057,1937,0
1066,1953,0
1080,1965,0
1090,1961,0
1105,1956,0
1118,1937,0
1133,1912,0
1146,1879,0
1158,1843,0
1166,1798,0
1177,1758,0
1187,1717,0
1194,1677,0
1201,1644,0
1206,1623,0
1209,1615,0
1209,1615,0
1208,1615,0
1210,1627,0
1207,1655,0
1204,1700,0
1194,1744,0
1189,1797,0
1183,1846,0
1178,1882,0
1177,1911,0
1179,1930,0
1179,1930,0
1184,1930,0
1189,1913,0
1196,1885,0
1201,1845,0
1208,1804,0
1211,1756,0
1216,1711,0
1225,1674,0
1231,1637,0
1239,1612,0
1243,1599,0
1245,1599,0
1247,1603,0
1249,1619,0
1245,1648,0
1240,1689,0
1239,1741,0
1229,1786,0
1228,1838,0
1229,1882,0
1234,1918,0
1242,1942,1
1420,1622,0
1418,1622,0
1423,1637,0
1423,1662,0
1423,1699,0
1420,1737,0
1417,1778,0
1415,1815,0
1415,1843,0
1415,1856,0
1419,1863,0
1426,1862,0
1437,1855,0
1448,1833,0
1464,1809,0
1479,1784,0
1495,1776,0
1500,1771,0
1508,1777,0
1513,1788,0
1517,1807,0
1522,1836,0
1523,1860,0
1526,1879,0
1532,1890,0
1540,1892,0
1548,1886,0
1555,1872,0
1563,1853,0
1566,1831,0
1571,1813,0
1578,1802,0
1580,1794,0
1585,1792,0
1589,1795,0
1592,1802,0
1597,1821,0
1599,1845,0
1600,1872,0
1599,1892,0
1600,1904,1
1582,1705,0
1580,1701,0
1579,1698,0
1580,1697,0
1585,1699,1
1660,1780,0
1660,1780,0
1662,1783,0
1664,1795,0
1664,1812,0
1667,1841,0
1664,1867,0
1662,1885,0
1660,1894,0
1660,1894,0
1667,1891,0
1673,1877,0
1682,1852,0
1693,1826,0
1702,1802,0
1710,1791,0
1715,1789,0
1716,1788,0
1720,1800,0
1720,1817,0
1722,1838,0
1722,1850,0
1724,1854,0
1731,1851,0
1740,1839,0
1748,1819,0
1757,1798,0
1765,1782,0
1771,1774,0
1773,1774,0
1778,1785,0
1778,1802,0
1783,1830,0
1786,1855,0
1794,1873,0
1812,1884,0
1824,1874,1
2053,1640,0
2055,1639,0
2061,1645,0
2063,1658,0
2067,1689,0
2066,1722,0
2060,1759,0
2056,1795,0
2053,1824,0
2055,1846,0
2058,1854,0
2060,1853,0
2070,1848,0
2081,1831,0
2091,1807,0
2103,1785,0
2116,1771,0
2126,1770,0
2127,1769,0
2131,1780,0
2134,1797,0
2130,1815,0
2128,1835,0
2126,1855,0
2126,1869,1
2142,1830,0
2143,1835,0
2146,1838,0
2147,1836,0
2153,1833,0
2159,1825,0
2162,1813,0
2163,1798,0
2163,1784,0
2157,1773,0
2154,1770,0
2152,1772,0
2146,1775,0
2146,1795,0
2147,1819,0
2147,1843,0
2150,1863,0
2151,1868,0
2164,1874,0
2172,1868,0
2183,1857,0
2194,1841,0
2207,1826,0
2215,1811,0
2222,1802,0
2225,1800,0
2228,1802,0
2235,1816,0
2236,1831,0
2237,1844,0
2243,1860,0
2246,1868,0
2250,1870,0
2250,1865,0
2256,1860,0
2262,1846,0
2265,1830,0
2269,1816,0
2278,1810,0
2287,1804,0
2296,1797,1
2579,1635,0
2570,1627,0
2562,1623,0
2555,1626,0
2548,1633,0
2540,1645,0
2531,1664,0
2523,1690,0
2522,1723,0
2520,1758,0
2518,1792,0
2521,1826,0
2520,1854,0
2516,1877,0
2520,1901,0
2518,1913,0
2515,1915,1
2461,1841,0
2461,1836,0
2466,1831,0
2477,1828,0
2490,1822,0
2505,1819,0
2519,1818,0
2539,1821,1
2600,1821,0
2601,1820,0
2605,1821,0
2611,1821,0
2616,1816,0
2625,1809,0
2634,1800,0
2640,1788,0
2640,1776,0
2639,1767,0
2637,1758,0
2632,1751,0
2625,1748,0
2619,1752,0
2612,1765,0
2607,1787,0
2606,1809,0
2608,1830,0
2615,1850,0
2625,1862,0
2634,1870,1
2704,1821,0
2701,1819,0
2707,1824,0
2712,1825,0
2719,1824,0
2729,1819,0
2739,1803,0
2746,1783,0
2753,1766,0
2753,1749,0
2753,1737,0
2745,1728,0
2739,1728,0
2726,1735,0
2717,1756,0
2709,1782,0
2706,1808,0
2709,1833,0
2714,1849,0
2723,1857,0
2739,1860,0
2760,1855,0
2785,1842,0
2806,1820,0
2833,1797,1
2888,1592,0
2889,1590,0
2885,1587,0
2889,1591,0
2888,1598,0
2891,1620,0
2893,1649,0
2889,1679,0
2887,1712,0
2885,1744,0
2886,1775,0
2890,1800,0
2891,1816,0
2897,1827,0
2906,1830,0
2911,1825,0
2920,1814,0
2929,1799,0
2934,1780,0
2946,1766,0
2955,1756,0
2963,1754,0
2965,1757,0
2966,1768,0
2968,1790,0
2965,1807,0
2963,1820,0
2965,1831,0
2968,1833,1
2958,1670,0
2955,1667,0
2956,1667,0
2956,1667,0
2956,1667,1
3017,1770,0
3018,1767,0
3021,1765,0
3020,1766,0
3017,1768,0
3020,1784,0
3019,1804,0
3021,1821,0
3020,1828,0
3027,1832,0
3025,1828,0
3031,1821,0
3042,1808,0
3049,1788,0
3065,1767,0
3073,1745,0
3085,1736,0
3092,1733,0
3096,1734,0
3100,1742,0
3105,1756,0
3110,1776,0
3103,1790,0
3103,1809,0
3107,1824,1
3172,1734,0
3168,1732,0
3158,1732,0
3153,1740,0
3145,1756,0
3135,1775,0
3130,1795,0
3124,1809,0
3124,1815,0
3125,1813,0
3130,1808,0
3137,1792,0
3143,1773,0
3151,1755,0
3153,1740,0
3153,1733,0
3156,1735,0
3153,1738,0
3152,1754,0
3158,1778,0
