itself, over and over,
389
752,2728,0
757,2736,0
764,2741,0
771,2766,0
770,2806,0
769,2855,0
770,2895,0
774,2916,0
779,2924,0
786,2933,0
791,2926,0
796,2918,0
797,2898,1
762,2596,0
754,2595,0
755,2591,0
754,2595,0
752,2595,0
754,2599,0
760,2604,0
768,2605,0
778,2606,1
905,2586,0
899,2671,0
887,2758,0
877,2841,0
878,2910,0
892,2947,0
915,2955,0
941,2946,0
964,2918,1
830,2793,0
830,2801,0
856,2803,0
895,2790,0
945,2769,0
995,2751,0
1042,2736,0
1080,2724,0
1105,2717,0
1110,2717,0
1106,2717,0
1083,2724,0
1058,2745,0
1044,2764,0
1043,2772,0
1049,2784,0
1068,2801,0
1092,2817,0
1119,2832,0
1140,2848,0
1150,2864,0
1147,2872,0
1132,2893,0
1106,2909,0
1073,2924,0
1045,2929,0
1028,2924,0
1028,2924,0
1032,2909,1
1234,2832,0
1241,2832,0
1252,2831,0
1260,2823,0
1269,2806,0
1277,2786,0
1281,2765,0
1281,2741,0
1276,2721,0
1266,2718,0
1249,2719,0
1233,2741,0
1220,2770,0
1213,2810,0
1216,2841,0
1236,2872,0
1267,2882,0
1306,2887,0
1341,2876,0
1374,2864,0
1399,2846,1
1459,2494,0
1460,2490,0
1460,2494,0
1462,2509,0
1462,2550,0
1462,2619,0
1456,2685,0
1453,2754,0
1453,2811,0
1461,2854,0
1478,2888,0
1501,2908,0
1525,2912,1
1520,3141,0
1520,3136,0
1519,3132,0
1515,3109,0
1516,3060,0
1524,2998,0
1537,2914,0
1563,2829,0
1599,2749,0
1638,2679,0
1673,2613,0
1710,2572,0
1739,2538,1
1551,2893,0
1553,2895,0
1575,2896,0
1609,2890,0
1650,2865,0
1689,2836,0
1726,2815,0
1758,2799,0
1791,2789,1
1924,2905,0
1927,2905,0
1930,2899,0
1936,2902,0
1944,2917,0
1940,2951,0
1910,3006,0
1871,3063,0
1838,3096,1
2435,2692,0
2427,2692,0
2412,2704,0
2394,2741,0
2371,2791,0
2362,2850,0
2367,2883,0
2389,2904,0
2415,2910,0
2446,2906,0
2477,2887,0
2509,2852,0
2536,2805,0
2551,2756,0
2546,2707,0
2532,2675,0
2505,2648,0
2473,2635,0
2439,2631,0
2416,2638,0
2410,2651,0
2411,2664,0
2429,2682,0
2457,2693,0
2492,2702,1
2632,2707,0
2635,2724,0
2651,2762,0
2661,2807,0
2675,2850,0
2690,2888,0
2701,2905,0
2712,2912,0
2718,2909,0
2726,2900,0
2740,2867,0
2760,2821,0
2786,2767,0
2824,2718,0
2861,2676,0
2900,2649,0
2926,2630,1
2873,2844,0
2890,2847,0
2919,2847,0
2945,2829,0
2975,2802,0
2998,2776,0
3010,2747,0
3008,2717,0
3001,2698,0
2982,2683,0
2959,2685,0
2931,2700,0
2905,2735,0
2885,2782,0
2880,2835,0
2894,2873,0
2928,2898,0
2975,2905,0
3024,2890,0
3078,2865,0
3122,2828,0
3153,2793,0
3170,2774,0
3168,2772,0
3166,2777,0
3161,2806,0
3155,2842,0
3156,2886,0
3157,2921,0
3166,2944,0
3169,2947,0
3169,2943,0
3168,2928,0
3163,2886,0
3161,2837,0
3174,2796,0
3192,2767,0
3216,2742,0
3247,2721,0
3293,2709,0
3337,2701,0
3385,2707,0
3421,2717,0
3449,2741,0
3463,2770,1
3913,2683,0
3912,2679,0
3909,2676,0
3895,2673,0
3876,2684,0
3846,2717,0
3811,2772,0
3778,2840,0
3761,2902,0
3764,2938,0
3776,2948,0
3804,2944,0
3831,2917,0
3859,2871,0
3887,2813,0
3908,2750,0
3925,2700,0
3925,2671,0
3923,2666,0
3920,2670,0
3921,2693,0
3931,2748,0
3942,2806,0
3959,2853,0
3984,2891,0
4006,2902,0
4029,2901,0
4044,2885,0
4053,2857,0
4058,2815,0
4066,2770,0
4075,2736,0
4077,2727,0
4077,2728,0
4077,2733,0
4089,2757,0
4102,2790,0
4111,2828,0
4116,2858,0
4123,2874,0
4124,2873,0
4127,2870,0
4131,2847,0
4147,2811,0
4174,2767,0
4212,2727,0
4246,2699,0
4273,2696,0
4289,2708,0
4295,2738,0
4293,2780,0
4286,2827,0
4280,2866,0
4282,2893,0
4297,2907,0
4320,2905,0
4356,2893,1
4508,2745,0
4496,2741,0
4473,2744,0
4439,2758,0
4408,2784,0
4379,2820,0
4354,2864,0
4338,2913,0
4338,2950,0
4352,2971,0
4382,2980,0
4418,2968,0
4452,2939,0
4489,2901,0
4518,2844,0
4544,2777,0
4558,2698,0
4565,2620,0
4566,2548,0
4555,2507,0
4550,2500,0
4550,2507,0
4549,2544,0
4556,2610,0
4560,2682,0
4571,2761,0
4578,2832,0
4601,2894,0
4626,2939,0
4658,2964,0
4702,2972,0
4752,2960,1
5020,2753,0
5016,2760,0
5013,2780,0
5011,2811,0
5015,2847,0
5033,2879,0
5060,2902,0
5091,2914,0
5125,2914,0
5154,2899,0
5171,2866,0
5185,2823,0
5176,2778,0
5158,2747,0
5125,2725,0
5098,2714,0
5072,2711,0
5057,2712,0
5056,2713,0
5062,2725,0
5081,2742,1
5278,2744,0
5279,2750,0
5277,2768,0
5278,2796,0
5277,2828,0
5289,2867,0
5303,2898,0
5319,2918,0
5343,2925,0
5364,2914,0
5397,2885,0
5424,2842,0
5450,2799,0
5467,2761,0
5488,2735,0
5503,2715,0
5511,2702,1
5491,2869,0
5512,2875,0
5541,2873,0
5569,2857,0
5595,2829,0
5605,2804,0
5607,2784,0
5593,2760,0
5578,2740,0
5549,2726,0
5520,2727,0
5493,2743,0
5466,2779,0
5451,2827,0
5455,2869,0
5479,2897,0
5523,2911,0
5574,2910,0
5619,2898,0
5662,2881,0
5694,2859,0
5718,2842,0
5720,2837,0
5719,2839,0
5717,2851,0
5708,2874,0
5711,2900,0
5713,2920,0
5724,2933,0
5728,2934,0
5726,2929,0
5724,2910,0
5718,2880,0
5719,2846,0
5734,2811,0
5763,2785,0
5795,2760,0
5836,2743,0
5880,2737,0
5919,2742,0
5952,2758,1
6029,2925,0
6037,2936,0
6044,2962,0
6030,3003,0
5988,3043,0
5939,3080,0
5901,3105,0
5873,3112,0
5859,3112,1
