such icy politeness, such withdrawn bitterness,
701
876,4448,0
874,4447,0
869,4455,0
857,4463,0
845,4478,0
834,4489,0
829,4501,0
830,4513,0
837,4517,0
849,4522,0
865,4523,0
881,4528,0
892,4528,0
897,4533,0
898,4536,0
863,4583,0
849,4594,0
834,4601,0
820,4601,0
811,4592,0
812,4584,0
819,4577,1
977,4463,0
975,4475,0
974,4495,0
975,4523,0
977,4547,0
980,4559,0
984,4559,0
991,4559,0
998,4552,0
1006,4532,0
1013,4512,0
1019,4496,0
1023,4484,0
1023,4480,0
1023,4480,0
1023,4488,0
1022,4505,0
1025,4524,0
1036,4557,1
1179,4471,0
1178,4471,0
1173,4472,0
1164,4476,0
1152,4480,0
1141,4496,0
1134,4516,0
1130,4536,0
1132,4553,0
1137,4560,0
1148,4560,0
1160,4552,0
1177,4543,0
1192,4527,0
1205,4507,0
1216,4418,0
1213,4398,0
1213,4386,0
1213,4386,0
1213,4386,0
1216,4394,0
1218,4418,0
1220,4447,0
1235,4526,0
1243,4514,0
1252,4497,0
1263,4497,0
1272,4500,0
1281,4507,0
1286,4519,0
1288,4535,0
1303,4555,0
1315,4558,1
1587,4447,0
1590,4450,0
1592,4462,0
1594,4478,0
1596,4497,0
1595,4518,0
1594,4534,0
1595,4546,0
1597,4554,0
1598,4550,0
1601,4549,0
1604,4541,0
1607,4521,1
1619,4354,0
1614,4350,0
1611,4355,0
1607,4360,0
1603,4365,0
1603,4372,0
1604,4376,0
1609,4384,0
1616,4394,1
1722,4437,0
1721,4436,0
1719,4437,0
1710,4434,0
1701,4439,0
1687,4442,0
1675,4455,0
1664,4477,0
1655,4498,0
1652,4511,0
1655,4519,0
1661,4526,0
1671,4533,0
1681,4527,0
1692,4526,0
1705,4524,0
1720,4518,1
1811,4447,0
1811,4451,0
1809,4459,0
1806,4471,0
1805,4492,0
1802,4513,0
1804,4529,0
1807,4536,0
1816,4543,0
1825,4537,0
1864,4470,0
1865,4453,0
1867,4453,0
1869,4456,0
1870,4465,0
1872,4485,0
1867,4505,0
1855,4719,0
1857,4734,0
1862,4742,1
2227,4441,0
2224,4454,0
2225,4479,0
2228,4507,0
2228,4531,0
2230,4556,0
2231,4580,0
2231,4601,0
2233,4617,0
2236,4633,0
2234,4638,0
2237,4645,0
2237,4645,0
2235,4642,0
2229,4627,0
2226,4607,0
2221,4579,0
2258,4424,0
2265,4430,0
2273,4442,0
2276,4452,0
2279,4468,0
2275,4478,0
2270,4492,0
2239,4516,1
2394,4430,0
2392,4427,0
2389,4428,0
2379,4427,0
2362,4427,0
2345,4441,0
2334,4461,0
2326,4476,0
2328,4488,0
2338,4493,0
2352,4493,0
2369,4488,0
2382,4476,0
2393,4473,0
2395,4463,0
2393,4456,0
2388,4449,0
2362,4411,1
2490,4319,0
2490,4328,0
2485,4346,0
2481,4373,0
2475,4405,0
2471,4439,0
2473,4472,0
2475,4492,0
2480,4504,0
2497,4510,0
2505,4503,0
2515,4492,0
2525,4476,0
2533,4457,0
2540,4442,0
2547,4439,0
2547,4507,0
2548,4515,0
2550,4519,0
2555,4521,0
2561,4515,0
2566,4505,0
2572,4490,1
2601,4335,0
2604,4335,0
2606,4338,0
2604,4339,0
2605,4343,0
2603,4343,0
2603,4348,1
2703,4322,0
2704,4330,0
2708,4351,0
2703,4370,0
2701,4401,0
2695,4424,0
2692,4451,0
2688,4466,0
2687,4478,0
2686,4483,0
2688,4487,0
2687,4483,0
2685,4475,1
2669,4430,0
2671,4429,0
2676,4427,0
2686,4428,0
2702,4435,0
2719,4432,0
2735,4426,0
2755,4427,1
2775,4475,0
2781,4472,0
2790,4468,0
2795,4458,0
2803,4451,0
2807,4440,0
2811,4431,0
2809,4422,0
2788,4431,0
2783,4446,0
2783,4463,0
2789,4478,0
2796,4488,0
2807,4497,0
2820,4500,1
2903,4422,0
2905,4435,0
2905,4452,0
2904,4465,0
2905,4482,0
2905,4486,0
2905,4486,0
2909,4485,0
2912,4480,0
2918,4472,0
2922,4462,0
2924,4444,0
2930,4442,0
2931,4436,0
2981,4459,0
2986,4456,0
2990,4458,1
3030,4440,0
3039,4432,0
3044,4421,0
3049,4418,0
3049,4414,0
3045,4412,0
3037,4415,0
3025,4421,0
3016,4434,0
3008,4450,0
3004,4465,0
3008,4477,0
3017,4486,0
3028,4490,0
3042,4488,0
3056,4485,0
3071,4478,1
3130,4424,0
3130,4424,0
3124,4419,0
3119,4421,0
3110,4425,0
3098,4430,0
3103,4468,0
3115,4471,0
3127,4474,0
3135,4480,0
3135,4480,0
3137,4488,0
3135,4497,0
3129,4505,0
3088,4506,1
3271,4407,0
3273,4407,0
3271,4408,0
3260,4408,0
3248,4419,0
3230,4428,0
3214,4442,0
3202,4456,0
3204,4468,0
3199,4471,0
3209,4479,0
3249,4490,0
3247,4492,0
3243,4494,0
3235,4497,0
3223,4503,0
3215,4512,0
3208,4516,0
3210,4524,0
3210,4524,0
3218,4528,1
3366,4493,0
3370,4509,0
3368,4519,0
3361,4532,0
3355,4548,0
3349,4561,0
3354,4577,0
3356,4580,0
3362,4581,1
3720,4424,0
3713,4424,0
3703,4425,0
3689,4429,0
3678,4440,0
3667,4447,0
3668,4456,0
3670,4460,0
3678,4464,0
3694,4468,0
3708,4470,0
3720,4476,0
3723,4478,0
3725,4486,0
3718,4490,0
3712,4504,0
3701,4515,0
3689,4523,0
3669,4520,1
3807,4445,0
3810,4448,0
3808,4449,0
3808,4459,0
3807,4473,0
3805,4484,0
3810,4495,0
3814,4498,0
3831,4501,0
3848,4485,0
3848,4471,0
3854,4462,0
3855,4456,0
3853,4453,0
3890,4505,0
3900,4500,1
4008,4437,0
4003,4435,0
3994,4437,0
3984,4444,0
3970,4458,0
3962,4483,0
3959,4504,0
3961,4517,0
3966,4522,0
3978,4529,0
3993,4524,0
4008,4514,0
4024,4498,1
4069,4350,0
4065,4362,0
4064,4388,0
4066,4421,0
4064,4456,0
4065,4485,0
4065,4505,0
4063,4510,0
4077,4491,0
4085,4471,0
4092,4461,0
4092,4456,0
4097,4462,0
4106,4480,0
4109,4493,0
4115,4508,0
4139,4536,1
4396,4476,0
4395,4477,0
4394,4478,0
4394,4478,0
4392,4484,0
4397,4506,0
4398,4524,0
4403,4536,0
4409,4542,0
4417,4541,0
4426,4539,0
4432,4529,0
4440,4522,0
4444,4509,0
4443,4501,0
4446,4504,0
4449,4510,0
4454,4522,0
4495,4510,1
4534,4469,0
4532,4481,0
4532,4497,0
4526,4511,0
4526,4526,0
4526,4536,0
4531,4543,0
4537,4544,1
4538,4399,0
4538,4398,0
4533,4393,0
4536,4396,0
4541,4398,1
4643,4384,0
4644,4404,0
4640,4425,0
4638,4451,0
4635,4480,0
4632,4502,0
4630,4520,0
4630,4531,0
4636,4541,0
4639,4544,0
4637,4541,1
4595,4476,0
4595,4476,0
4600,4478,0
4611,4484,0
4623,4485,0
4643,4489,0
4657,4483,0
4676,4478,0
4691,4469,0
4714,4413,0
4708,4397,0
4707,4394,0
4705,4395,0
4705,4401,0
4707,4420,0
4707,4447,0
4712,4478,0
4770,4486,0
4780,4489,0
4790,4496,0
4800,4509,0
4807,4519,0
4812,4529,1
4928,4514,0
4928,4508,0
4928,4508,0
4917,4502,0
4912,4507,0
4898,4514,0
4886,4529,0
4885,4546,0
4883,4553,0
4892,4561,0
4926,4547,0
4937,4533,0
4948,4518,0
4952,4502,0
4956,4483,0
4954,4458,0
4953,4437,0
4962,4511,0
4963,4526,0
4973,4538,0
4982,4546,0
4990,4549,0
4995,4546,0
5004,4543,0
5056,4555,0
5057,4564,0
5059,4568,0
5061,4572,0
5059,4568,0
5059,4568,0
5061,4566,0
5067,4491,0
5076,4487,0
5093,4489,0
5108,4491,0
5118,4492,0
5137,4497,1
5170,4492,0
5171,4491,0
5168,4488,0
5165,4486,0
5155,4502,0
5150,4517,0
5149,4529,0
5153,4536,0
5159,4541,0
5166,4540,0
5176,4537,0
5193,4510,0
5197,4522,0
5202,4534,0
5209,4544,0
5215,4549,0
5225,4550,0
5237,4551,0
5255,4539,1
5255,4506,0
5257,4514,0
5257,4526,0
5258,4536,0
5262,4543,0
5269,4548,0
5274,4548,0
5278,4544,0
5285,4538,0
5294,4519,0
5295,4517,0
5293,4519,0
5295,4529,0
5297,4538,0
5301,4545,0
5304,4548,0
5313,4550,0
5346,4517,0
5354,4505,1
5390,4502,0
5385,4507,0
5388,4521,0
5388,4533,0
5384,4541,0
5385,4546,0
5385,4546,0
5385,4546,0
5386,4545,0
5388,4538,0
5393,4528,0
5397,4512,0
5400,4499,0
5434,4510,0
5433,4522,0
5434,4538,0
5429,4548,0
5431,4558,0
5433,4562,0
5436,4564,1
5625,4379,0
5629,4406,0
5633,4442,0
5637,4478,0
5646,4510,0
5650,4534,0
5651,4550,0
5651,4561,0
5651,4561,0
5650,4562,0
5652,4560,0
5651,4550,0
5648,4531,0
5713,4472,0
5722,4480,0
5725,4490,0
5725,4501,0
5723,4515,0
5713,4531,0
5701,4544,0
5667,4546,1
5780,4507,0
5781,4512,0
5782,4517,0
5783,4526,0
5782,4539,0
5782,4546,0
5781,4553,0
5787,4558,0
5787,4558,1
5786,4418,0
5783,4414,0
5781,4410,0
5783,4408,0
5786,4411,1
5870,4419,0
5871,4430,0
5869,4444,0
5875,4467,0
5878,4494,0
5882,4514,0
5887,4537,0
5888,4555,0
5885,4564,0
5888,4573,0
5887,4574,1
5842,4510,0
5839,4508,0
5839,4508,0
5844,4509,0
5859,4516,0
5879,4517,0
5902,4515,0
5926,4512,0
5946,4508,0
5960,4504,1
5931,4410,0
5930,4411,0
5931,4418,0
5926,4435,0
5932,4459,0
5939,4528,0
5941,4550,0
5944,4564,0
5947,4574,0
5946,4574,1
6048,4538,0
6058,4533,0
6063,4526,0
6067,4523,0
6063,4521,0
6061,4523,0
6054,4525,0
6037,4526,0
6023,4541,0
6018,4553,0
6017,4567,0
6020,4576,0
6028,4584,0
6099,4577,0
6099,4577,0
6099,4577,0
6099,4577,0
6099,4577,0
6099,4577,0
6100,4576,0
6099,4572,0
6121,4526,1
6166,4548,0
6170,4562,0
6172,4572,0
6175,4580,0
6175,4580,0
6176,4579,0
6177,4578,0
6182,4573,0
6184,4564,0
6191,4550,0
6200,4540,0
6204,4534,0
6208,4536,0
6215,4540,0
6226,4570,1
6307,4562,0
6313,4555,0
6322,4550,0
6321,4544,0
6322,4543,0
6319,4541,0
6307,4543,0
6293,4553,0
6282,4567,0
6279,4601,0
6287,4604,0
6300,4608,0
6315,4608,0
6329,4605,0
6346,4603,1
6413,4547,0
6408,4541,0
6408,4541,0
6399,4539,0
6393,4546,0
6387,4572,0
6393,4572,0
6401,4573,0
6411,4575,0
6426,4581,0
6424,4584,0
6421,4587,0
6418,4592,1
6487,4526,0
6493,4531,0
6485,4528,0
6479,4529,0
6471,4533,0
6457,4543,0
6447,4548,0
6449,4554,0
6452,4562,0
6455,4565,0
6466,4571,0
6498,4589,0
6491,4591,0
6486,4591,1
6561,4573,0
6557,4573,0
6552,4572,0
6548,4578,0
6543,4589,0
6534,4602,0
6526,4624,0
6522,4648,0
6506,4666,1
