&quot;Goodbye, Sandra,&quot; he said
590
475,3332,0
463,3354,0
463,3374,0
463,3399,0
463,3419,0
462,3443,0
463,3467,0
464,3476,0
468,3489,1
557,3310,0
548,3341,0
547,3393,0
544,3445,0
540,3481,0
540,3522,0
539,3554,0
540,3558,0
547,3575,1
823,3671,0
834,3668,0
853,3665,0
871,3670,0
883,3683,0
893,3691,0
899,3708,0
897,3724,0
887,3743,0
869,3766,0
841,3785,0
808,3802,0
769,3812,0
729,3812,0
694,3796,0
666,3777,0
646,3738,0
637,3693,0
640,3641,0
653,3583,0
678,3525,0
712,3481,0
752,3440,0
797,3428,0
840,3424,1
1030,3752,0
1020,3752,0
1010,3740,0
1003,3724,0
1000,3708,0
1001,3684,0
1008,3660,0
1023,3640,0
1041,3624,0
1064,3617,0
1088,3617,0
1110,3620,0
1126,3628,0
1136,3644,0
1138,3664,0
1134,3684,0
1121,3700,0
1102,3720,0
1079,3733,0
1055,3740,0
1037,3744,1
1322,3729,0
1310,3737,0
1295,3742,0
1277,3743,0
1256,3736,0
1234,3730,0
1217,3718,0
1206,3702,0
1204,3687,0
1207,3670,0
1223,3658,0
1246,3644,0
1271,3631,0
1300,3630,0
1323,3628,0
1344,3634,0
1356,3646,0
1357,3658,0
1348,3678,0
1329,3696,0
1307,3718,1
1536,3614,0
1531,3619,0
1522,3620,0
1507,3622,0
1491,3624,0
1470,3622,0
1452,3633,0
1435,3647,0
1421,3664,0
1416,3684,0
1419,3708,0
1428,3724,0
1440,3730,0
1455,3732,0
1473,3727,0
1490,3708,0
1509,3687,0
1523,3648,0
1537,3610,0
1547,3556,0
1561,3514,0
1573,3480,0
1582,3458,0
1586,3454,0
1586,3454,0
1581,3479,0
1570,3525,0
1558,3575,0
1551,3620,1
1662,3750,0
1664,3749,0
1665,3728,0
1667,3704,0
1668,3672,0
1668,3626,0
1670,3573,0
1672,3513,0
1678,3471,0
1687,3436,0
1694,3411,0
1698,3402,0
1701,3397,1
1660,3734,0
1666,3749,0
1679,3754,0
1696,3756,0
1714,3749,0
1731,3742,0
1744,3728,0
1752,3709,0
1759,3691,0
1757,3667,0
1752,3648,0
1739,3631,0
1725,3625,1
1848,3657,0
1849,3669,0
1853,3672,0
1858,3684,0
1865,3694,0
1877,3712,0
1884,3727,0
1889,3738,0
1895,3749,0
1901,3755,0
1911,3765,0
1914,3765,0
1917,3761,1
2052,3660,0
2058,3662,0
2062,3670,0
2054,3680,0
2041,3704,0
2019,3731,0
1995,3770,0
1964,3802,0
1934,3839,0
1904,3874,0
1882,3904,0
1866,3928,0
1855,3942,1
2166,3705,0
2178,3711,0
2195,3708,0
2214,3711,0
2232,3706,0
2249,3696,0
2267,3689,0
2282,3680,0
2292,3664,0
2303,3652,0
2306,3634,0
2306,3621,0
2298,3612,0
2285,3608,0
2268,3617,0
2246,3629,0
2223,3645,0
2205,3668,0
2192,3689,0
2187,3724,0
2179,3747,0
2181,3759,0
2197,3775,0
2215,3778,0
2246,3776,1
2441,3764,0
2431,3780,0
2420,3793,0
2404,3807,0
2384,3827,0
2362,3847,0
2338,3864,0
2317,3884,0
2308,3896,1
2841,3733,0
2837,3740,0
2835,3740,0
2842,3750,0
2849,3760,0
2857,3765,0
2870,3772,0
2880,3776,0
2890,3776,0
2901,3775,0
2910,3770,0
2921,3761,0
2929,3747,0
2935,3731,0
2933,3705,0
2928,3680,0
2917,3658,0
2903,3638,0
2885,3617,0
2862,3597,0
2835,3575,0
2815,3558,0
2796,3536,0
2782,3513,0
2776,3493,0
2778,3469,0
2789,3446,0
2808,3426,0
2838,3411,0
2869,3403,0
2898,3404,0
2925,3413,0
2952,3434,1
3148,3667,0
3145,3660,0
3140,3653,0
3132,3645,0
3119,3637,0
3104,3633,0
3086,3629,0
3068,3635,0
3047,3642,0
3028,3662,0
3012,3685,0
3001,3713,0
2996,3744,0
2991,3764,0
2994,3785,0
2996,3789,0
3006,3793,0
3016,3788,0
3029,3776,0
3040,3752,0
3047,3720,0
3054,3694,0
3062,3675,0
3065,3665,0
3066,3663,0
3066,3663,0
3069,3676,0
3066,3696,0
3062,3722,0
3052,3750,0
3045,3781,0
3041,3806,0
3043,3822,1
3177,3766,0
3174,3772,0
3171,3769,0
3171,3769,0
3170,3756,0
3169,3733,0
3175,3711,0
3181,3684,0
3190,3661,0
3199,3641,0
3204,3624,0
3210,3620,0
3210,3620,0
3209,3626,0
3206,3646,0
3194,3667,0
3187,3691,0
3181,3713,0
3179,3723,0
3181,3727,0
3187,3723,0
3206,3716,0
3228,3702,0
3255,3687,0
3281,3674,0
3300,3667,0
3315,3668,0
3322,3677,0
3323,3695,0
3315,3718,0
3305,3749,0
3291,3777,0
3281,3802,1
3513,3719,0
3517,3722,0
3515,3718,0
3510,3715,0
3498,3705,0
3486,3703,0
3471,3704,0
3454,3715,0
3435,3733,0
3419,3758,0
3409,3783,0
3407,3808,0
3407,3827,0
3412,3838,0
3419,3838,0
3435,3838,0
3452,3822,0
3469,3796,0
3489,3759,0
3512,3720,0
3530,3667,0
3548,3616,0
3559,3569,0
3573,3539,0
3580,3518,0
3582,3513,0
3578,3515,0
3571,3541,0
3551,3580,0
3537,3629,0
3525,3677,0
3522,3723,0
3520,3759,1
3587,3809,0
3582,3812,0
3580,3809,0
3578,3800,0
3577,3782,0
3580,3755,0
3581,3730,0
3588,3710,0
3594,3697,0
3597,3689,0
3597,3684,0
3599,3688,0
3597,3690,0
3596,3701,0
3595,3710,0
3598,3718,0
3600,3722,0
3607,3722,0
3621,3717,0
3640,3703,0
3661,3682,1
3910,3678,0
3909,3679,0
3900,3675,0
3894,3676,0
3882,3680,0
3862,3685,0
3842,3696,0
3824,3710,0
3807,3728,0
3789,3742,0
3774,3763,0
3768,3783,0
3764,3800,0
3770,3817,0
3778,3826,0
3792,3830,0
3805,3830,0
3820,3823,0
3834,3813,0
3851,3795,0
3865,3775,0
3883,3750,0
3892,3723,0
3901,3701,0
3909,3694,0
3907,3691,0
3907,3695,0
3904,3708,0
3899,3733,0
3892,3759,0
3880,3783,0
3878,3810,0
3873,3829,1
4052,3867,0
4047,3880,0
4040,3892,0
4028,3911,0
4012,3934,0
3992,3959,0
3969,3982,0
3952,4005,0
3936,4021,1
4172,3300,0
4164,3308,0
4159,3317,0
4155,3333,0
4142,3346,0
4134,3365,0
4126,3383,0
4118,3402,0
4109,3415,1
4216,3290,0
4217,3288,0
4217,3288,0
4217,3295,0
4210,3308,0
4196,3327,0
4184,3349,0
4170,3374,0
4157,3397,0
4147,3419,0
4143,3438,0
4139,3453,0
4138,3469,1
4562,3740,0
4560,3725,0
4560,3699,0
4556,3657,0
4555,3613,0
4559,3568,0
4565,3522,0
4569,3472,0
4579,3431,0
4587,3400,0
4591,3382,0
4596,3378,0
4594,3380,0
4593,3392,0
4594,3426,0
4591,3465,0
4586,3511,0
4578,3560,0
4571,3608,0
4565,3648,0
4561,3680,0
4561,3697,0
4561,3703,0
4562,3701,0
4574,3695,0
4589,3674,0
4610,3648,0
4632,3619,0
4660,3597,0
4682,3579,0
4700,3576,0
4713,3580,0
4719,3598,0
4720,3626,0
4718,3663,0
4712,3703,0
4702,3743,0
4696,3777,0
4697,3799,0
4698,3803,0
4710,3797,1
4825,3702,0
4827,3711,0
4838,3723,0
4851,3727,0
4864,3723,0
4886,3718,0
4907,3707,0
4927,3692,0
4956,3677,0
4965,3655,0
4973,3634,0
4967,3618,0
4958,3603,0
4934,3600,0
4913,3611,0
4885,3631,0
4859,3654,0
4835,3679,0
4821,3706,0
4818,3731,0
4826,3752,0
4838,3762,0
4862,3767,0
4888,3763,0
4922,3756,1
5286,3792,0
5287,3810,0
5291,3819,0
5294,3826,0
5306,3831,0
5322,3831,0
5334,3824,0
5350,3817,0
5364,3806,0
5373,3790,0
5380,3774,0
5385,3757,0
5376,3736,0
5371,3718,0
5353,3701,0
5337,3689,0
5325,3679,0
5316,3670,0
5309,3660,0
5306,3652,0
5308,3643,0
5315,3635,0
5332,3631,0
5351,3629,0
5375,3630,1
5607,3665,0
5600,3660,0
5592,3659,0
5577,3658,0
5564,3663,0
5545,3673,0
5527,3690,0
5509,3712,0
5498,3733,0
5490,3755,0
5490,3773,0
5494,3788,0
5507,3798,0
5518,3797,0
5537,3793,0
5555,3782,0
5576,3764,0
5592,3744,0
5611,3719,0
5624,3696,0
5633,3677,0
5640,3669,0
5641,3668,0
5629,3689,0
5619,3715,0
5609,3741,0
5602,3769,0
5598,3793,1
5750,3703,0
5748,3705,0
5747,3706,0
5744,3718,0
5740,3736,0
5732,3759,0
5725,3788,0
5718,3815,0
5712,3836,0
5711,3851,0
5712,3863,0
5718,3868,0
5723,3867,1
6008,3690,0
6007,3691,0
6007,3691,0
5998,3688,0
5995,3687,0
5988,3688,0
5982,3690,0
5971,3693,0
5958,3703,0
5943,3718,0
5919,3736,0
5900,3762,0
5882,3793,0
5869,3823,0
5868,3890,0
5880,3894,0
5930,3875,0
5950,3855,0
5972,3833,0
5989,3803,0
6007,3773,0
6017,3738,0
6023,3701,0
6034,3666,0
6039,3630,0
6041,3593,0
6046,3563,0
6050,3537,0
6054,3516,0
6058,3503,0
6061,3501,0
6058,3503,0
6053,3519,0
6041,3551,0
6033,3591,0
6020,3636,0
6014,3688,0
6006,3740,0
6001,3780,0
5999,3816,0
6001,3841,1
