devil, he thought, certainly
443
715,3806,0
706,3801,0
696,3797,0
685,3791,0
669,3790,0
652,3800,0
637,3810,0
621,3832,0
605,3866,0
593,3909,0
586,3948,0
583,3984,0
587,4009,0
596,4022,0
610,4028,0
629,4027,0
651,4017,0
672,3995,0
695,3957,0
721,3916,0
746,3861,0
769,3812,0
786,3752,0
802,3694,0
814,3646,0
827,3611,0
834,3596,0
836,3592,0
837,3600,0
837,3628,0
834,3672,0
830,3728,0
824,3792,0
823,3852,0
825,3904,0
832,3940,0
843,3969,0
858,3974,0
875,3975,0
895,3964,0
914,3937,0
933,3902,0
945,3866,0
956,3831,0
957,3802,0
957,3794,0
955,3798,0
947,3810,0
942,3834,0
943,3870,0
954,3911,0
971,3939,0
992,3956,0
1017,3968,0
1040,3964,0
1064,3952,0
1086,3928,1
1185,3811,0
1189,3827,0
1194,3851,0
1201,3882,0
1207,3911,0
1211,3922,0
1216,3930,0
1225,3930,0
1240,3917,0
1255,3896,0
1273,3863,0
1295,3830,0
1315,3801,1
1376,3817,0
1380,3836,0
1385,3860,0
1389,3887,0
1389,3904,1
1447,3621,0
1452,3612,0
1453,3604,0
1452,3604,0
1452,3600,1
1571,3573,0
1569,3609,0
1566,3659,0
1561,3725,0
1553,3798,0
1543,3867,0
1537,3929,0
1537,3961,0
1545,3964,1
1763,3952,0
1755,3974,0
1742,3996,0
1727,4030,0
1711,4070,0
1696,4104,0
1684,4122,0
1679,4128,0
1682,4118,1
2137,3606,0
2141,3621,0
2145,3641,0
2147,3682,0
2142,3721,0
2140,3768,0
2139,3806,0
2140,3831,0
2145,3841,0
2147,3840,0
2159,3837,0
2174,3829,0
2193,3810,0
2209,3784,0
2227,3761,0
2246,3751,0
2260,3752,0
2270,3765,0
2276,3796,0
2279,3841,0
2280,3883,0
2284,3920,0
2295,3945,0
2312,3957,0
2334,3954,0
2357,3937,0
2383,3909,0
2404,3866,0
2419,3819,0
2428,3785,0
2427,3769,0
2426,3773,0
2420,3784,0
2414,3812,0
2417,3849,0
2425,3876,0
2440,3896,0
2463,3913,0
2494,3923,0
2528,3918,0
2563,3901,1
2897,3569,0
2895,3576,0
2894,3590,0
2893,3626,0
2888,3674,0
2881,3731,0
2873,3802,0
2859,3863,0
2849,3912,0
2835,3935,0
2826,3945,0
2813,3937,0
2798,3909,1
2812,3800,0
2827,3790,0
2852,3790,0
2871,3785,0
2897,3790,0
2916,3790,0
2936,3793,0
2957,3787,1
3030,3570,0
3028,3585,0
3027,3608,0
3023,3647,0
3018,3690,0
3013,3739,0
3008,3786,0
3006,3824,0
3006,3846,0
3009,3849,0
3019,3845,0
3038,3830,0
3057,3801,0
3081,3771,0
3106,3751,0
3121,3743,0
3134,3754,0
3139,3778,0
3137,3816,0
3129,3853,0
3129,3884,0
3132,3892,0
3150,3892,0
3173,3875,0
3204,3852,1
3361,3752,0
3358,3754,0
3355,3751,0
3344,3749,0
3323,3747,0
3307,3758,0
3288,3770,0
3274,3793,0
3265,3821,0
3264,3849,0
3279,3877,0
3296,3882,0
3324,3884,0
3346,3870,0
3367,3848,0
3382,3820,0
3387,3788,0
3387,3754,0
3383,3734,0
3381,3730,0
3372,3727,1
3460,3726,0
3457,3737,0
3460,3754,0
3461,3783,0
3467,3817,0
3482,3846,0
3495,3851,0
3515,3848,0
3542,3834,0
3559,3808,0
3573,3775,0
3588,3740,0
3597,3704,1
3769,3737,0
3774,3733,0
3773,3728,0
3766,3724,0
3757,3726,0
3737,3731,0
3708,3743,0
3682,3772,0
3660,3806,0
3647,3835,0
3646,3846,0
3653,3841,0
3677,3829,0
3708,3812,0
3736,3801,0
3761,3803,0
3773,3813,0
3779,3844,0
3769,3891,0
3743,3944,0
3703,3991,0
3660,4020,0
3624,4030,0
3595,4020,0
3586,4002,1
3889,3560,0
3892,3563,0
3895,3581,0
3889,3613,0
3882,3665,0
3872,3718,0
3868,3766,0
3863,3791,0
3863,3795,0
3880,3798,0
3902,3786,0
3927,3761,0
3957,3748,0
3978,3742,0
3991,3751,0
3998,3776,0
3994,3816,0
3984,3854,0
3976,3880,0
3976,3890,0
3978,3884,1
4169,3530,0
4163,3528,0
4158,3533,0
4147,3554,0
4134,3592,0
4122,3645,0
4109,3715,0
4093,3786,0
4088,3848,0
4085,3871,0
4084,3866,0
4083,3847,0
4074,3812,1
4090,3747,0
4098,3746,0
4126,3743,0
4153,3740,0
4175,3732,0
4201,3726,0
4222,3718,1
4310,3923,0
4304,3933,0
4293,3947,0
4281,3973,0
4261,4000,0
4240,4034,0
4217,4063,0
4199,4087,0
4193,4102,1
4708,3718,0
4703,3718,0
4689,3716,0
4669,3725,0
4644,3738,0
4618,3759,0
4596,3797,0
4575,3839,0
4567,3880,0
4567,3911,0
4582,3930,0
4613,3946,0
4650,3945,0
4691,3937,0
4733,3925,0
4774,3914,0
4804,3896,1
4817,3830,0
4822,3831,0
4841,3829,0
4852,3823,0
4874,3818,0
4895,3807,0
4912,3796,0
4924,3783,0
4927,3769,0
4922,3756,0
4909,3752,0
4880,3754,0
4848,3775,0
4818,3801,0
4802,3835,0
4801,3865,0
4816,3884,0
4839,3894,0
4872,3901,0
4903,3896,0
4936,3887,1
5031,3791,0
5031,3798,0
5030,3804,0
5029,3823,0
5035,3851,0
5040,3875,0
5045,3887,0
5056,3888,0
5072,3877,0
5101,3858,0
5124,3826,0
5149,3803,0
5172,3790,1
5364,3542,0
5361,3551,0
5357,3568,0
5354,3605,0
5349,3655,0
5337,3714,0
5321,3777,0
5307,3836,0
5298,3882,0
5291,3909,0
5290,3921,0
5293,3918,0
5291,3903,1
5298,3822,0
5295,3819,0
5308,3817,0
5325,3815,0
5346,3809,0
5367,3803,0
5387,3792,0
5414,3779,1
5526,3729,0
5522,3729,0
5506,3730,0
5479,3736,0
5452,3758,0
5435,3790,0
5415,3827,0
5410,3858,0
5410,3876,0
5421,3881,0
5441,3882,0
5462,3870,0
5483,3851,0
5503,3827,0
5518,3803,0
5529,3783,0
5537,3781,0
5535,3782,0
5535,3788,0
5538,3810,0
5540,3840,0
5544,3865,0
5547,3881,0
5554,3884,1
5678,3724,0
5680,3741,0
5680,3767,0
5680,3805,0
5680,3843,0
5680,3871,0
5692,3867,1
5709,3604,0
5715,3583,0
5715,3576,0
5713,3578,1
5796,3713,0
5792,3739,0
5791,3769,0
5786,3800,0
5788,3830,0
5787,3837,0
5791,3834,0
5801,3820,0
5821,3795,0
5843,3764,0
5864,3743,0
5880,3736,0
5892,3740,0
5902,3785,0
5902,3813,0
5900,3841,1
6019,3561,0
6015,3575,0
6020,3603,0
6017,3650,0
6003,3757,0
6003,3790,0
6010,3809,0
6015,3815,1
6303,3691,0
6296,3701,0
6284,3720,0
6261,3760,0
6229,3807,0
6187,3864,0
6142,3926,0
6101,3981,0
6066,4026,0
6042,4051,0
6030,4059,0
6023,4049,0
6030,4027,1
6160,3758,0
6157,3756,0
6164,3760,0
6174,3772,0
6187,3789,1
