that, too, you remember.
477
748,3130,0
748,3130,0
754,3151,0
762,3168,0
774,3202,0
784,3243,0
789,3291,0
784,3351,0
778,3407,0
776,3451,0
784,3487,0
801,3509,0
822,3510,1
641,3399,0
627,3397,0
629,3394,0
654,3389,0
702,3378,0
755,3368,0
805,3357,0
851,3344,0
890,3332,1
867,3173,0
864,3165,0
870,3177,0
922,3261,0
928,3305,0
926,3353,0
929,3397,0
937,3426,0
955,3438,0
984,3435,0
1025,3421,0
1071,3389,0
1117,3356,0
1158,3336,0
1184,3327,0
1195,3334,0
1202,3354,0
1204,3378,0
1213,3406,0
1229,3425,0
1252,3428,0
1284,3422,0
1317,3396,0
1346,3362,0
1364,3324,0
1366,3292,0
1356,3269,0
1333,3262,0
1295,3265,0
1252,3284,0
1216,3317,0
1198,3354,0
1196,3382,0
1206,3402,0
1222,3405,0
1242,3400,0
1267,3382,0
1291,3350,0
1311,3320,0
1319,3303,0
1319,3303,0
1317,3304,0
1315,3312,0
1317,3336,0
1327,3370,0
1342,3394,0
1363,3408,0
1387,3410,0
1413,3395,0
1440,3368,0
1467,3333,1
1491,3095,0
1488,3096,0
1487,3100,0
1490,3129,0
1493,3168,0
1497,3216,0
1500,3264,0
1506,3312,0
1515,3351,0
1520,3374,0
1521,3386,0
1517,3387,0
1502,3377,0
1474,3352,0
1447,3323,0
1421,3298,0
1404,3284,0
1397,3276,0
1396,3272,0
1411,3271,0
1445,3263,0
1486,3254,0
1533,3251,0
1574,3245,0
1609,3247,0
1634,3247,0
1646,3241,1
1885,3349,0
1884,3349,0
1884,3356,0
1883,3373,0
1875,3404,0
1862,3444,0
1838,3479,0
1810,3506,0
1792,3518,1
2198,3128,0
2205,3113,0
2209,3098,0
2213,3101,0
2215,3114,0
2206,3138,0
2194,3177,0
2178,3221,0
2161,3257,0
2157,3292,0
2162,3316,0
2176,3328,0
2185,3333,1
2038,3264,0
2031,3258,0
2033,3257,0
2054,3250,0
2094,3245,0
2149,3244,0
2208,3240,0
2265,3235,0
2316,3233,0
2364,3235,0
2405,3239,0
2435,3238,0
2453,3240,0
2457,3238,0
2452,3227,0
2449,3220,0
2444,3214,0
2437,3207,0
2425,3204,0
2407,3203,0
2386,3213,0
2366,3234,0
2344,3260,0
2340,3296,0
2349,3327,0
2372,3348,0
2405,3356,0
2448,3351,0
2492,3331,0
2533,3308,0
2558,3279,0
2563,3255,0
2550,3235,0
2531,3230,0
2501,3226,0
2475,3226,1
2714,3273,0
2714,3268,0
2715,3264,0
2712,3251,0
2709,3239,0
2695,3229,0
2675,3226,0
2649,3225,0
2630,3240,0
2616,3259,0
