a handicap to her, too, and in
481
1245,3016,0
1235,3013,0
1228,3016,0
1215,3018,0
1200,3018,0
1185,3026,0
1173,3035,0
1163,3047,0
1153,3064,0
1150,3083,0
1151,3095,0
1156,3103,0
1165,3107,0
1177,3099,0
1192,3082,0
1203,3058,0
1215,3037,0
1221,3021,0
1223,3017,0
1220,3017,0
1217,3030,0
1213,3054,0
1216,3078,0
1218,3090,0
1226,3101,0
1238,3105,0
1254,3103,0
1266,3099,0
1278,3091,1
1834,2869,0
1824,2872,0
1821,2869,0
1823,2881,0
1824,2922,0
1825,2955,0
1828,2992,0
1831,3020,0
1836,3039,0
1840,3050,0
1841,3050,0
1842,3041,0
1849,3023,0
1862,3002,0
1879,2986,0
1891,2978,0
1899,2984,0
1904,2999,0
1911,3026,0
1913,3051,0
1916,3074,0
1922,3090,0
1927,3092,0
1936,3094,1
2022,3008,0
2017,3006,0
2009,3004,0
1996,3008,0
1980,3013,0
1967,3026,0
1957,3042,0
1949,3061,0
1949,3082,0
1954,3088,0
1962,3086,0
1978,3081,0
1993,3064,0
2007,3042,0
2017,3023,0
2025,3012,0
2026,3003,0
2026,3003,0
2026,3007,0
2026,3028,0
2022,3047,0
2026,3066,0
2033,3076,0
2043,3082,0
2056,3081,1
2106,2992,0
2106,3000,0
2108,3013,0
2108,3033,0
2112,3054,0
2116,3069,0
2114,3066,0
2118,3064,0
2125,3053,0
2132,3034,0
2139,3014,0
2149,3001,0
2159,3002,0
2166,3004,0
2173,3014,0
2179,3029,0
2183,3049,0
2183,3062,0
2182,3074,0
2181,3079,0
2183,3079,1
2276,3007,0
2263,3008,0
2245,3007,0
2229,3013,0
2221,3030,0
2217,3048,0
2216,3066,0
2226,3074,0
2241,3077,0
2259,3071,0
2277,3058,0
2289,3036,0
2299,3015,1
2304,2824,0
2305,2828,0
2301,2834,0
2298,2854,0
2303,2895,0
2306,2937,0
2310,2975,0
2313,3004,1
2395,3003,1
2418,2912,0
2416,2912,0
2411,2910,0
2409,2917,0
2405,2917,1
2521,2954,0
2517,2951,0
2509,2947,0
2495,2945,0
2475,2946,0
2462,2957,0
2449,2967,0
2446,2987,0
2443,3001,0
2446,3013,0
2462,3023,0
2485,3026,0
2507,3023,1
2629,2964,0
2625,2971,0
2615,2972,0
2605,2968,0
2598,2972,0
2587,2973,0
2577,2979,0
2573,2990,0
2570,3000,0
2571,3009,0
2578,3015,0
2590,3017,0
2603,3016,0
2614,3008,0
2624,2999,0
2632,2990,0
2632,2980,0
2635,2983,0
2632,2981,0
2632,2994,0
2632,3013,0
2634,3025,0
2641,3035,0
2651,3039,0
2663,3037,1
2697,2985,0
2697,3004,0
2699,3021,0
2700,3044,0
2707,3067,0
2714,3082,0
2721,3087,0
2729,3087,0
2736,3083,1
2724,2929,0
2722,2929,0
2721,2929,0
2729,2935,0
2743,2945,0
2758,2959,0
2774,2972,0
2790,2987,0
2795,2993,0
2799,2999,0
2797,3005,0
2785,3008,0
2770,3008,0
2758,3006,0
2743,2995,0
2736,2986,0
2736,2977,1
3194,2745,0
3194,2750,0
3193,2760,0
3192,2783,0
3191,2813,0
3192,2849,0
3192,2879,0
3190,2906,0
3188,2922,0
3189,2932,0
3189,2937,0
3181,2934,0
3173,2919,1
3147,2863,0
3154,2869,0
3158,2871,0
