evening newspaper, looked at Gordon Neal,
1055
743,3608,0
739,3608,0
738,3608,0
737,3607,0
740,3612,0
768,3619,0
788,3616,0
808,3618,0
825,3619,0
834,3612,0
837,3612,0
837,3608,0
834,3600,0
830,3588,0
824,3576,0
813,3566,0
803,3566,0
790,3556,0
778,3555,0
766,3559,0
753,3561,0
736,3576,0
717,3597,0
702,3629,0
697,3655,0
705,3680,0
726,3706,0
751,3718,0
780,3720,0
810,3718,0
836,3708,0
852,3697,1
855,3605,0
852,3605,0
851,3605,0
851,3609,0
850,3609,0
849,3617,0
854,3641,0
862,3662,0
869,3690,0
875,3711,0
881,3719,0
885,3723,0
888,3719,0
892,3715,0
897,3696,0
904,3668,0
913,3645,0
921,3625,0
928,3609,0
930,3605,0
930,3605,1
980,3655,0
976,3660,0
974,3655,0
974,3659,0
977,3659,0
988,3659,0
1008,3660,0
1033,3660,0
1056,3660,0
1072,3661,0
1082,3661,0
1086,3661,0
1087,3656,0
1086,3653,0
1078,3637,0
975,3639,0
969,3662,0
972,3683,0
986,3708,0
1005,3728,0
1030,3740,0
1056,3740,0
1081,3729,1
1131,3644,0
1127,3640,0
1126,3644,0
1126,3644,0
1126,3644,0
1128,3656,0
1132,3676,0
1136,3701,0
1138,3715,0
1138,3732,0
1138,3732,0
1138,3736,0
1138,3728,0
1139,3728,0
1138,3720,0
1141,3708,0
1141,3684,0
1141,3668,0
1138,3655,0
1133,3644,0
1131,3636,0
1134,3641,0
1139,3632,0
1153,3628,0
1171,3631,0
1189,3631,0
1205,3638,0
1218,3658,0
1228,3677,0
1232,3689,0
1235,3709,0
1240,3721,0
1242,3732,0
1244,3737,0
1247,3740,0
1250,3744,0
1255,3744,1
1303,3637,0
1300,3638,0
1300,3645,0
1298,3654,0
1295,3662,0
1293,3678,0
1294,3702,0
1299,3718,0
1305,3730,0
1310,3737,0
1313,3737,0
1316,3732,0
1318,3716,1
1287,3566,0
1281,3563,0
1280,3566,0
1281,3567,0
1284,3566,0
1293,3570,0
1304,3573,0
1315,3576,1
1374,3624,0
1366,3620,0
1369,3629,0
1364,3621,0
1365,3633,0
1369,3653,0
1370,3668,0
1375,3692,0
1377,3708,0
1380,3724,0
1380,3736,0
1380,3736,0
1382,3736,0
1384,3740,0
1383,3732,0
1380,3712,0
1377,3692,0
1375,3677,0
1373,3660,0
1375,3652,0
1382,3643,0
1392,3635,0
1408,3625,0
1425,3624,0
1440,3630,0
1451,3633,0
