whole again and he, to himself, its hub.
790
751,4058,0
750,4067,0
755,4068,0
767,4064,0
786,4053,0
814,4035,0
839,4013,0
859,4003,0
866,4003,0
863,4007,0
852,4029,0
834,4061,0
814,4100,0
791,4134,0
779,4174,0
778,4186,0
787,4182,0
807,4164,0
829,4136,0
852,4110,0
874,4087,0
887,4080,0
887,4080,0
872,4103,0
849,4142,0
827,4192,0
813,4224,0
815,4232,0
827,4232,0
846,4210,0
870,4183,0
896,4148,0
921,4114,0
945,4090,0
964,4075,0
970,4067,0
969,4071,0
962,4087,0
958,4099,0
960,4094,0
962,4099,0
965,4099,0
968,4103,0
971,4103,0
979,4099,0
997,4080,0
1024,4048,0
1056,4005,0
1093,3961,0
1133,3913,0
1165,3872,0
1181,3855,0
1181,3855,0
1168,3867,0
1140,3904,0
1099,3957,0
1050,4028,0
1004,4104,0
967,4167,0
949,4194,0
948,4198,0
953,4191,0
965,4179,0
980,4159,0
997,4147,0
1008,4144,0
1013,4144,0
1018,4144,0
1023,4152,0
1026,4152,0
1033,4148,0
1047,4140,0
1064,4120,0
1085,4101,0
1101,4085,0
1107,4077,0
1106,4077,0
1091,4093,0
1065,4116,0
1042,4161,0
1023,4192,0
1019,4212,0
1023,4212,0
1037,4204,0
1052,4184,0
1069,4156,0
1085,4137,0
1095,4116,0
1096,4112,0
1096,4116,0
1092,4116,0
1087,4133,0
1085,4140,0
1089,4149,0
1098,4148,0
1112,4148,0
1134,4133,0
1161,4104,0
1196,4075,0
1233,4037,0
1278,3987,0
1324,3936,0
1361,3889,0
1380,3868,0
1380,3865,0
1370,3865,0
1346,3891,0
1311,3925,0
1272,3971,0
1230,4029,0
1188,4095,0
1160,4148,0
1148,4184,0
1147,4204,0
1156,4212,0
1175,4212,0
1199,4195,0
1232,4170,0
1263,4140,0
1288,4103,0
1301,4074,0
1303,4066,0
1291,4071,0
1272,4096,0
1252,4133,0
1240,4165,0
1237,4186,0
1247,4200,0
1265,4208,1
1620,4087,0
1607,4085,0
1594,4083,0
1573,4094,0
1546,4113,0
1519,4136,0
1497,4171,0
1481,4209,0
1476,4229,0
1485,4232,0
1504,4230,0
1528,4212,0
1556,4180,0
1580,4150,0
1602,4118,0
1614,4092,0
1614,4088,0
1605,4098,0
1591,4119,0
1578,4154,0
1568,4179,0
1567,4191,0
1573,4198,0
1585,4200,0
1605,4198,0
1628,4179,0
1654,4155,0
1679,4131,0
1695,4117,0
1698,4116,0
1696,4121,0
1682,4135,0
1662,4158,0
1647,4181,0
1640,4198,0
1638,4206,0
1647,4209,0
1667,4202,0
1695,4182,0
1725,4149,0
1754,4119,0
1773,4099,0
1778,4078,0
1777,4079,0
1771,4084,0
1759,4094,0
1744,4113,0
1734,4139,0
1727,4173,0
1719,4206,0
1715,4256,0
1705,4305,0
1697,4360,0
1687,4409,0
1674,4447,0
1659,4470,0
1647,4488,0
1631,4493,0
1621,4495,0
1611,4488,0
1605,4468,0
1607,4440,0
1613,4407,0
1628,4373,0
1650,4329,0
1680,4289,0
1713,4244,0
1747,4198,0
1784,4155,0
1822,4120,0
1857,4088,0
1883,4066,0
1893,4065,0
