&quot;Darling,&quot; he burst out with, &quot;I fear
935
160,1445,0
160,1445,0
160,1450,0
164,1452,0
168,1460,0
169,1476,0
168,1495,0
167,1513,0
164,1535,0
161,1557,0
165,1561,0
170,1563,0
176,1557,1
190,1462,0
192,1453,0
194,1450,0
195,1455,0
199,1457,0
204,1465,0
205,1481,0
205,1500,0
207,1521,0
211,1541,0
214,1567,0
219,1580,0
229,1586,1
289,1469,0
288,1463,0
287,1467,0
288,1467,0
291,1479,0
296,1495,0
301,1512,0
307,1539,0
313,1575,0
319,1604,0
325,1634,0
332,1660,0
337,1685,0
340,1705,0
341,1718,0
339,1726,0
334,1724,1
267,1464,0
275,1459,0
287,1457,0
305,1455,0
322,1450,0
340,1451,0
357,1461,0
376,1467,0
398,1479,0
422,1491,0
447,1503,0
472,1523,0
492,1546,0
505,1573,0
509,1599,0
506,1624,0
501,1648,0
493,1667,0
480,1683,0
460,1701,0
434,1711,0
405,1726,0
375,1730,0
347,1730,0
322,1732,1
653,1578,1
639,1544,0
631,1537,0
619,1534,0
608,1538,0
595,1542,0
580,1554,0
567,1579,0
554,1604,0
546,1635,0
544,1668,0
549,1696,0
559,1712,0
572,1712,0
589,1709,0
604,1697,0
617,1676,0
629,1658,0
638,1636,0
642,1608,0
643,1587,0
639,1566,0
636,1556,0
633,1555,0
631,1554,0
629,1558,0
629,1566,0
631,1592,0
634,1619,0
641,1645,0
654,1669,0
670,1678,0
687,1683,0
702,1679,0
715,1674,0
728,1664,0
736,1645,0
743,1626,0
743,1602,0
740,1580,0
735,1563,0
733,1563,0
731,1558,0
729,1558,0
728,1570,0
729,1594,0
728,1614,0
729,1640,0
731,1661,0
735,1674,0
738,1679,0
742,1684,0
742,1679,0
741,1667,0
738,1642,0
736,1617,0
733,1583,0
731,1558,0
731,1541,0
732,1538,0
735,1539,0
743,1541,0
756,1548,0
772,1543,0
795,1536,0
817,1520,0
839,1503,0
854,1477,0
864,1455,0
871,1436,0
871,1416,0
868,1395,0
869,1391,0
869,1391,0
868,1391,0
868,1403,0
868,1428,0
867,1459,0
866,1492,0
868,1529,0
873,1562,0
881,1595,0
887,1628,0
891,1649,0
895,1665,0
900,1674,0
904,1675,0
909,1667,0
915,1652,1
964,1552,0
967,1556,0
965,1556,0
965,1556,0
964,1556,0
967,1568,0
970,1580,0
971,1593,0
976,1609,0
979,1621,0
982,1634,0
986,1650,0
988,1662,1
972,1372,0
971,1372,0
971,1372,0
971,1372,0
974,1380,0
979,1397,0
984,1417,0
986,1433,0
989,1450,1
1046,1556,0
1043,1552,0
1043,1552,0
1043,1552,0
1044,1556,0
1046,1569,0
1047,1585,0
1052,1604,0
1056,1621,0
1059,1633,0
1061,1645,0
1064,1649,0
1066,1653,0
1065,1649,0
1066,1649,0
1066,1640,0
1068,1625,0
1071,1601,0
1079,1577,0
1094,1561,0
1106,1544,0
1118,1532,0
1131,1527,0
1146,1532,0
1154,1534,0
1165,1546,0
1178,1561,0
1189,1577,0
1203,1596,0
1214,1610,0
1224,1621,0
1237,1633,0
1247,1635,0
1252,1631,0
1262,1630,0
1274,1620,0
1283,1599,0
1299,1580,0
1316,1565,0
1322,1548,0
1327,1539,0
1324,1527,0
1322,1520,0
1312,1509,0
1298,1499,0
1288,1500,0
1276,1507,0
1259,1513,0
1244,1527,0
1235,1544,0
1229,1561,0
1229,1577,0
1233,1589,0
1243,1599,0
1249,1599,0
1262,1602,0
1271,1596,0
1280,1587,0
1288,1573,0
1297,1560,0
1304,1547,0
1307,1534,0
1306,1522,0
1309,1521,0
1308,1522,0
1310,1525,0
1312,1529,0
1317,1541,0
1328,1563,0
1336,1585,0
1348,1616,0
1355,1648,0
1363,1682,0
1368,1714,0
1370,1742,0
1372,1770,0
1371,1795,0
1363,1813,0
1353,1826,0
1340,1836,0
1322,1839,0
1307,1841,0
1293,1840,0
1280,1833,0
1263,1819,0
1252,1807,0
1237,1790,0
1225,1774,0
1220,1766,1
1441,1608,0
1441,1608,0
1440,1609,0
1442,1612,0
1445,1620,0
1443,1633,0
1450,1656,0
1449,1672,0
1447,1693,0
1447,1722,0
1447,1751,0
1439,1773,0
1438,1797,0
1435,1807,0
1438,1810,0
1438,1793,0
1445,1768,1
1532,1273,0
1534,1276,0
1533,1276,0
1537,1283,0
1536,1293,0
1539,1308,0
1541,1324,0
1538,1339,0
1539,1356,0
1540,1372,0
1542,1388,0
1546,1400,0
1548,1404,1
1560,1304,0
1561,1304,0
1561,1304,0
1561,1303,0
1563,1307,0
1563,1311,0
1563,1320,0
1561,1329,0
1563,1342,0
1560,1352,0
1564,1368,0
1562,1381,0
1560,1394,1
1850,1358,0
1845,1351,0
1843,1347,0
1843,1347,0
1845,1351,0
