Perhaps never, she thought,
576
851,1720,1
862,1693,0
870,1698,0
878,1716,0
883,1741,0
886,1785,0
884,1841,0
877,1905,0
868,1976,0
861,2056,0
857,2133,0
854,2205,0
849,2264,0
874,2291,0
834,2319,0
832,2335,0
831,2338,1
841,1710,0
840,1674,0
848,1643,0
866,1614,0
893,1585,0
931,1561,0
979,1549,0
1031,1540,0
1087,1545,0
1129,1544,0
1167,1574,0
1187,1616,0
1187,1669,0
1170,1726,0
1135,1784,0
1085,1841,0
1035,1908,0
978,1954,0
927,1986,0
886,1990,0
858,1975,0
843,1953,0
838,1928,0
845,1901,0
863,1887,1
1177,2182,0
1180,2150,0
1190,2113,0
1203,2072,0
1216,2028,0
1227,1986,0
1227,1951,0
1215,1932,0
1187,1921,0
1159,1931,0
1129,1956,0
1101,2000,0
1073,2057,0
1053,2121,0
1047,2188,0
1055,2244,0
1076,2289,0
1105,2317,0
1144,2332,0
1184,2326,0
1223,2308,0
1261,2277,0
1295,2241,0
1322,2194,0
1339,2144,0
1348,2098,0
1349,2053,0
1346,2022,0
1332,1991,0
1324,1976,0
1321,1964,0
1323,1948,0
1344,1937,0
1370,1913,0
1410,1894,0
1450,1865,0
1496,1842,1
1562,1631,1
1551,1593,0
1557,1587,0
1561,1594,0
1566,1622,0
1562,1665,0
1553,1726,0
1543,1804,0
1528,1891,0
1515,1978,0
1506,2058,0
1504,2123,0
1510,2175,0
1517,2202,0
1528,2212,0
1543,2209,0
1559,2188,0
1578,2147,0
1599,2096,0
1621,2036,0
1655,1996,0
1684,1961,0
1708,1932,0
1734,1918,0
1751,1912,0
1763,1925,0
1770,1952,0
1761,1993,0
1746,2059,0
1723,2130,0
1707,2202,0
1711,2256,0
1729,2292,0
1751,2310,0
1790,2322,0
1826,2306,0
1874,2285,1
2038,2015,0
2029,1989,0
2013,1975,0
1993,1971,0
1973,1985,0
1944,2012,0
1916,2056,0
1882,2110,0
1858,2171,0
1844,2223,0
1836,2252,0
1845,2274,0
1862,2285,0
1882,2282,0
1906,2268,0
1935,2248,0
1958,2208,0
1979,2159,0
1996,2102,0
2012,2055,0
2015,2018,0
2022,2001,0
2026,1994,0
2023,1992,0
2024,2010,0
2018,2043,0
2014,2098,0
2010,2154,0
2006,2195,0
2014,2231,0
2024,2253,0
2039,2264,1
2149,2004,0
2154,2011,0
2162,2034,0
2165,2069,0
2166,2118,0
2166,2183,0
2152,2249,0
2135,2316,0
2123,2379,0
2118,2439,0
2114,2489,0
2110,2530,0
2108,2557,1
2082,2014,0
2093,1985,0
2115,1959,0
2145,1942,0
2181,1935,0
2218,1934,0
2252,1945,0
2275,1968,0
2287,2003,0
2290,2040,0
2282,2078,0
2265,2118,0
2231,2155,0
2185,2182,0
2154,2212,0
2131,2233,0
2124,2250,1
2581,1896,0
2572,1867,0
2562,1848,0
2544,1838,0
2508,1832,0
2468,1839,0
2422,1857,0
2379,1884,0
2342,1912,0
2324,1945,0
2321,1976,0
2339,2008,0
2364,2029,0
2408,2053,0
2451,2070,0
2497,2092,0
2536,2112,0
2567,2134,0
2580,2154,0
2574,2173,0
2553,2194,0
2509,2211,0
2463,2228,0
2413,2241,0
2364,2249,0
2325,2254,0
2297,2257,0
2283,2259,0
2279,2258,1
3097,1903,0
3087,1885,0
3081,1873,0
3078,1870,0
3076,1873,0
3076,1891,0
3077,2097,0
3091,2036,0
3112,1983,0
3139,1940,0
3161,1903,0
3190,1879,0
3208,1870,0
3216,1874,0
3223,1896,0
3221,1931,0
3212,1979,0
3199,2036,0
3253,2260,0
3287,2248,0
3332,2224,0
3375,2188,0
3417,2145,0
3455,2099,0
3481,2048,0
3502,2000,0
3514,1957,0
3514,1923,0
3502,1900,0
3480,1889,0
3454,1891,0
3427,1907,0
3400,1937,0
3374,1976,0
3354,2021,0
3344,2070,0
3346,2124,0
3356,2173,0
3376,2217,0
3400,2249,0
3433,2273,0
3469,2286,0
3507,2285,1
3645,1882,0
3647,1879,0
3652,1886,0
3656,1908,0
3663,1948,0
3664,1995,0
3665,2050,0
3671,2101,0
3673,2146,0
3684,2183,0
3705,2209,0
3723,2218,0
3742,2215,0
3762,2200,0
3779,2171,0
3800,2130,0
3815,2073,0
3824,2010,0
3841,1956,0
3851,1910,0
3857,1877,0
3856,1855,0
3848,1846,0
3841,1850,0
3834,1870,1
3818,2226,0
3832,2247,0
3867,2260,0
3892,2253,0
3932,2239,0
3966,2212,0
3992,2169,0
4015,2121,0
4039,2070,0
4049,2016,0
4054,1970,0
4053,1931,0
4042,1903,0
4020,1887,0
3993,1884,0
3961,1899,0
3935,1935,0
3912,1978,0
3893,2022,0
3884,2063,0
3898,2101,0
3924,2133,0
3961,2157,0
4002,2169,0
4041,2175,0
4080,2174,0
4117,2162,0
4152,2138,0
4181,2106,0
4207,2073,0
4224,2043,0
4229,2011,0
4227,1976,0
