&quot;Do, please,&quot; Mark said curtly.
575
1235,1818,0
1224,1826,0
1219,1847,0
1187,1870,0
1181,1898,0
1177,1930,0
1172,1955,0
1169,1975,0
1166,1979,1
1209,1892,0
1228,1867,0
1240,1857,0
1245,1861,0
1245,1885,0
1237,1914,0
1226,1943,0
1213,1968,1
1402,1976,0
1400,1997,0
1394,2026,0
1387,2060,0
1378,2098,0
1372,2139,0
1363,2164,0
1356,2190,0
1346,2203,1
1401,1997,0
1416,1982,0
1434,1974,0
1451,1976,0
1467,1983,0
1483,2005,0
1494,2031,0
1502,2066,0
1501,2099,0
1500,2136,0
1496,2166,0
1486,2188,0
1470,2204,0
1450,2215,0
1427,2227,0
1399,2232,0
1376,2236,0
1358,2238,0
1350,2239,0
1345,2236,0
1351,2235,1
1578,2126,0
1573,2124,0
1569,2133,0
1563,2147,0
1562,2171,0
1562,2197,0
1562,2217,0
1569,2239,0
1577,2250,0
1588,2251,0
1602,2244,0
1617,2224,0
1632,2195,0
1639,2159,0
1643,2133,0
1631,2112,0
1615,2104,0
1596,2109,0
1575,2119,0
1559,2139,0
1549,2162,1
1804,2187,0
1809,2185,0
1810,2181,0
1813,2183,0
1811,2184,0
1810,2202,0
1799,2223,0
1789,2256,0
1776,2273,1
2014,2142,0
2007,2159,0
2001,2189,0
1987,2226,0
1971,2267,0
1961,2311,0
1949,2341,0
1942,2361,0
1940,2366,0
1940,2362,0
1943,2347,0
1956,2322,0
1974,2280,0
2000,2229,0
2031,2179,0
2062,2142,0
2084,2113,0
2106,2106,0
2121,2107,0
2129,2116,0
2135,2140,0
2130,2170,0
2119,2203,0
2105,2236,0
2087,2263,0
2071,2280,0
2057,2290,0
2040,2290,0
2031,2289,1
2227,2018,0
2216,2043,0
2201,2081,0
2188,2125,0
2176,2168,0
2167,2205,0
2164,2234,0
2166,2251,0
2173,2256,0
2189,2257,0
2213,2248,0
2239,2229,0
2266,2200,0
2292,2171,0
2309,2147,0
2319,2125,0
2321,2116,0
2316,2113,0
2304,2116,0
2285,2129,0
2271,2155,0
2261,2185,0
2254,2212,0
2259,2236,0
2266,2246,0
2286,2253,0
2308,2250,0
2333,2239,0
2355,2217,0
2381,2195,0
2402,2173,0
2412,2152,0
2418,2142,0
2415,2140,0
2405,2141,0
2389,2147,0
2371,2168,0
2357,2196,0
2348,2225,0
2345,2247,0
2349,2258,0
2357,2257,0
2374,2248,0
2389,2224,0
2409,2197,0
2424,2176,0
2430,2173,0
2432,2177,0
2436,2198,0
2434,2218,0
2434,2237,0
2439,2253,0
2440,2258,1
2574,2149,0
2575,2142,0
2569,2137,0
2560,2139,0
2545,2145,0
2532,2160,0
2522,2177,0
2519,2199,0
2515,2217,0
2519,2238,0
2524,2254,0
2522,2260,0
2524,2268,0
2519,2272,0
2511,2277,0
2502,2284,0
2486,2289,0
2468,2292,0
2460,2297,0
2460,2301,0
2465,2304,0
2478,2304,0
2497,2301,0
2523,2293,0
2552,2279,0
2584,2261,0
2615,2239,0
2635,2208,0
2657,2186,0
2670,2171,0
2667,2162,0
2655,2162,0
2632,2175,0
2608,2203,0
2589,2232,0
2584,2261,0
2591,2280,0
2608,2288,0
2637,2291,0
2673,2285,0
2704,2276,1
2865,2216,0
2866,2215,0
2866,2215,0
2863,2218,0
2864,2229,0
2861,2246,0
2855,2273,0
2835,2299,0
2816,2330,1
3066,1957,0
3055,1969,0
3052,1991,0
3045,2009,0
3048,2017,1
3118,1977,0
3123,1996,0
3124,2012,0
3124,2031,1
3402,2100,0
3402,2107,0
3399,2128,0
3396,2163,0
3387,2198,0
3378,2232,0
3373,2268,0
3366,2288,0
3364,2295,0
3365,2294,0
3370,2282,0
3380,2253,0
3400,2214,0
3423,2169,0
3445,2130,0
3465,2105,0
3474,2095,0
3477,2097,0
3477,2111,0
3471,2136,0
3466,2168,0
3462,2190,0
3466,2205,0
3475,2207,0
3493,2198,0
3509,2171,0
3532,2137,0
3558,2099,0
3580,2063,0
3604,2038,0
3616,2028,0
3622,2033,0
3624,2058,0
3613,2099,0
3595,2148,0
3578,2201,0
3556,2246,0
3540,2285,0
3535,2314,0
3527,2328,0
3530,2333,1
3681,2200,0
3679,2197,0
3677,2199,0
3665,2203,0
3653,2217,0
3637,2243,0
3618,2272,0
3609,2302,0
3604,2327,0
3600,2336,0
3613,2340,0
3626,2331,0
3643,2310,0
3660,2277,0
3679,2248,0
3690,2221,0
3699,2209,0
3701,2207,0
3702,2213,0
3692,2226,0
3687,2251,0
3679,2275,0
3679,2298,0
3684,2312,0
3688,2314,0
3706,2311,0
3718,2297,0
3737,2284,0
3747,2272,0
3753,2271,0
3756,2274,0
3752,2279,0
3747,2286,0
3747,2291,0
3743,2289,0
3747,2284,0
3759,2270,0
3771,2254,0
3786,2241,0
3804,2231,0
3815,2223,1
3928,2084,0
3935,2082,0
3930,2081,0
3927,2087,0
3921,2111,0
3906,2145,0
3886,2188,0
3868,2232,0
3843,2271,0
3830,2301,0
3822,2320,0
3820,2328,0
3826,2326,1
3864,2292,0
3885,2262,0
3914,2237,0
3934,2216,0
3945,2207,0
3945,2207,0
3940,2214,0
3927,2226,0
3911,2241,0
3889,2251,0
3873,2258,0
3862,2261,0
3860,2263,0
3860,2263,0
3875,2269,0
3886,2275,0
3901,2288,0
3915,2297,0
3922,2313,0
3934,2330,1
4351,2219,0
4350,2215,0
4340,2207,0
4336,2205,0
4314,2203,0
4296,2209,0
4278,2222,0
4256,2233,0
4249,2245,0
4252,2256,0
4263,2267,0
4276,2277,0
4301,2290,0
4317,2301,0
4330,2311,0
4342,2323,0
4345,2333,0
4341,2345,0
4328,2357,0
4309,2371,0
4282,2383,0
4251,2391,0
4225,2400,0
4203,2403,0
4188,2405,1
4444,2288,0
4445,2287,0
4448,2290,0
4437,2292,0
4422,2302,0
4405,2321,0
4389,2345,0
4377,2371,0
4373,2391,0
4375,2401,0
4381,2399,0
4399,2387,0
4425,2364,0
4445,2333,0
4462,2299,0
4476,2276,0
4488,2265,0
4483,2263,0
4484,2270,0
4477,2289,0
4470,2316,0
4467,2342,0
4467,2364,0
4469,2376,0
4481,2380,0
4495,2374,0
4514,2359,0
4536,2338,0
4552,2314,0
4567,2297,0
4574,2293,0
4573,2294,0
4572,2303,0
4561,2320,0
4553,2342,0
4538,2359,0
4525,2370,1
4621,2220,0
4626,2211,0
4632,2209,0
4631,2212,1
4674,2289,0
4678,2289,0
4681,2292,0
4678,2298,0
4671,2309,0
4664,2328,0
4651,2349,0
4640,2367,0
4642,2386,0
4644,2391,0
4651,2388,0
4667,2378,0
4681,2352,0
4701,2320,0
4724,2283,0
4743,2240,0
4760,2203,0
4771,2174,0
4776,2157,0
4776,2156,0
4763,2163,0
4749,2190,0
4731,2229,0
4715,2273,0
4706,2312,0
4707,2342,0
4712,2364,0
4728,2378,0
4744,2381,1
5252,2264,0
5230,2272,0
5219,2285,0
5202,2301,0
5191,2321,0
5180,2342,0
5180,2367,0
5185,2392,0
5190,2408,0
5199,2415,0
5214,2415,0
5232,2405,0
5255,2388,0
5278,2362,0
5290,2330,0
5308,2304,0
5330,2288,0
5337,2282,0
5333,2280,0
5335,2287,0
5325,2299,0
5314,2319,0
5315,2344,0
5313,2365,0
5319,2379,0
5325,2385,0
5339,2385,0
5348,2376,0
5368,2361,0
5379,2340,0
5389,2322,0
5395,2309,0
5404,2309,0
5404,2310,0
5401,2316,0
5392,2333,0
5381,2354,0
5378,2378,0
5378,2397,0
5380,2408,0
5388,2411,0
5402,2410,0
5421,2400,0
5435,2381,0
5455,2359,0
5472,2335,0
5489,2318,0
5494,2307,0
5499,2306,0
5499,2307,0
5498,2308,0
5496,2311,0
5495,2315,0
5496,2321,0
5495,2322,0
5496,2323,0
5499,2323,0
5500,2323,0
5500,2323,0
5500,2323,0
5500,2323,0
5500,2323,0
5499,2323,0
5497,2328,0
5490,2341,0
5483,2357,0
5475,2373,0
5469,2385,0
5468,2387,0
5468,2387,0
5470,2384,0
5479,2375,0
5487,2357,0
5505,2340,0
5516,2326,0
5532,2320,0
5543,2316,1
5667,2170,0
5668,2171,0
5666,2172,0
5661,2184,0
5658,2212,0
5642,2246,0
5627,2289,0
5607,2330,0
5581,2367,0
5566,2396,0
5553,2414,0
5547,2417,0
5545,2410,1
5578,2382,0
5599,2365,0
5619,2350,0
5639,2338,0
5658,2326,0
5672,2316,0
5681,2304,0
5694,2287,0
5709,2264,0
5721,2236,0
5737,2210,0
5751,2189,0
5758,2181,0
5758,2182,0
5747,2195,0
5734,2227,0
5712,2266,0
5697,2308,0
5680,2345,0
5672,2381,0
5670,2403,0
5675,2411,0
5683,2411,0
5689,2399,0
5711,2381,0
5732,2355,0
5752,2330,0
5766,2311,0
5774,2305,0
5774,2305,0
5769,2314,0
5764,2335,0
5765,2360,0
5760,2381,0
5762,2396,0
5768,2401,0
5779,2397,0
5795,2381,0
5822,2361,0
5846,2337,0
5868,2318,0
5882,2309,0
5885,2310,0
5880,2321,0
5864,2346,0
5844,2381,0
5812,2420,0
5780,2460,0
5747,2499,0
5713,2533,0
5691,2564,0
5670,2589,1
5959,2410,0
5963,2410,0
5959,2408,0
5963,2410,0
5964,2408,1
