Then he said slowly, &quot;Yes, I believe
680
419,3443,0
415,3442,0
413,3442,0
414,3441,0
415,3446,0
419,3463,0
424,3497,0
431,3547,0
439,3602,0
446,3660,0
451,3721,0
452,3775,0
453,3815,0
449,3823,0
446,3814,0
432,3783,0
414,3740,1
347,3465,0
347,3444,0
351,3432,0
366,3431,0
386,3432,0
415,3433,0
448,3440,0
482,3446,0
514,3452,0
541,3461,0
564,3456,0
583,3448,1
637,3274,0
632,3281,0
627,3300,0
624,3340,0
618,3388,0
612,3440,0
606,3495,0
601,3555,0
597,3603,0
596,3639,0
597,3660,0
599,3660,0
604,3653,0
615,3630,0
630,3595,0
648,3561,0
665,3539,0
678,3529,0
687,3538,0
696,3559,0
703,3592,0
709,3625,0
719,3662,0
733,3687,0
750,3701,0
771,3699,0
791,3693,0
810,3670,0
820,3643,0
825,3619,0
825,3599,0
820,3591,0
810,3586,0
798,3590,0
789,3604,0
786,3629,0
803,3662,0
826,3684,0
859,3701,0
894,3703,0
923,3693,0
946,3678,0
962,3655,0
970,3631,0
971,3595,1
967,3535,0
961,3530,0
955,3535,0
952,3542,0
948,3558,0
945,3586,0
946,3626,0
947,3662,0
951,3699,0
957,3718,0
961,3714,0
972,3707,0
988,3691,0
1003,3663,0
1020,3632,0
1039,3608,0
1050,3597,0
1058,3600,0
1066,3612,0
1074,3641,0
1078,3672,0
1080,3700,0
1078,3716,0
1075,3729,1
1395,3264,0
1392,3269,0
1378,3270,0
1374,3283,0
1372,3303,0
1372,3339,0
1372,3383,0
1373,3439,0
1374,3499,0
1376,3568,0
1375,3632,0
1375,3684,0
1375,3708,0
1377,3704,0
1382,3695,0
1387,3659,0
1398,3614,0
1414,3576,0
1430,3554,0
1444,3549,0
1455,3556,0
1469,3578,0
1486,3613,0
1505,3643,0
1525,3665,0
1544,3666,0
1561,3660,0
1578,3637,0
1593,3607,0
1599,3569,0
1602,3544,0
1597,3537,0
1587,3539,0
1572,3544,0
1558,3559,0
1554,3592,0
1563,3635,0
1582,3673,0
1609,3697,0
1641,3708,0
1681,3706,1
2251,3407,0
2259,3400,0
2256,3389,0
2248,3387,0
2226,3387,0
2196,3388,0
2162,3400,0
2131,3419,0
2109,3443,0
2101,3466,0
2108,3489,0
2124,3501,0
2148,3514,0
2173,3527,0
2192,3534,0
2205,3542,0
2211,3553,0
2207,3558,0
2199,3569,0
2182,3579,0
2155,3583,0
2123,3585,0
2092,3581,0
2065,3577,0
2051,3577,1
2339,3507,0
2352,3498,0
2352,3485,0
2351,3481,0
2343,3480,0
2323,3479,0
2297,3484,0
2272,3502,0
2250,3522,0
2237,3552,0
2238,3581,0
2252,3611,0
2272,3625,0
2292,3626,0
2314,3614,0
2332,3586,0
2355,3556,0
2371,3525,0
2382,3499,0
2390,3483,0
2393,3473,0
2391,3474,0
2390,3479,0
2392,3486,0
2393,3495,0
2398,3515,0
2404,3542,0
2415,3581,0
2426,3611,0
2433,3625,0
2442,3634,0
2449,3631,0
2457,3615,1
2543,3445,0
2551,3440,0
2557,3448,0
2565,3470,0
2572,3506,0
2577,3543,0
2577,3575,0
2572,3590,1
2563,3365,0
2572,3308,0
2581,3269,0
2594,3253,0
2602,3254,0
2615,3269,0
2628,3298,0
2637,3330,1
2753,3455,0
2760,3456,0
2764,3450,0
2763,3450,0
2758,3448,0
2738,3440,0
2716,3447,0
2694,3472,0
2678,3501,0
2671,3532,0
2674,3556,0
2688,3577,0
2707,3580,0
2731,3569,0
2755,3539,0
2776,3493,0
2796,3438,0
2813,3379,0
2825,3313,0
2840,3250,0
2846,3195,0
2848,3162,0
2844,3151,0
2839,3148,0
2834,3156,0
2831,3180,0
2830,3222,0
2832,3272,0
2840,3332,0
2852,3395,0
2861,3443,0
2877,3489,0
2894,3526,0
2907,3551,0
2922,3571,0
2933,3578,1
3349,3327,0
3368,3327,0
3375,3322,0
3380,3318,0
3380,3318,0
3379,3320,0
3365,3320,0
3341,3322,0
3309,3330,0
3282,3349,0
3266,3369,0
3262,3391,0
3274,3412,0
3296,3431,0
3322,3447,0
3354,3465,0
3373,3476,0
3384,3487,0
3390,3498,0
3385,3502,0
3371,3511,0
3351,3520,0
3325,3528,0
3294,3529,0
3264,3525,0
3252,3523,0
3248,3511,0
3259,3485,1
3520,2972,0
3518,2979,0
3500,2989,0
3494,3021,0
3484,3055,1
3454,3202,0
3445,3264,0
3442,3333,0
3439,3399,0
3442,3452,0
3445,3474,0
3448,3471,0
3463,3460,0
3483,3442,0
3501,3413,0
3520,3384,0
3539,3358,0
3556,3340,0
3573,3333,0
3583,3330,0
3590,3334,0
3590,3334,0
3588,3337,0
3586,3337,0
3582,3341,0
3561,3347,0
3541,3368,0
3522,3397,0
3514,3424,0
3515,3442,0
3533,3464,0
3557,3475,0
3587,3479,0
3618,3469,0
3643,3446,0
3664,3419,0
3675,3390,0
3679,3366,0
