The Labour party, as we know, is
769
1549,2840,0
1546,2837,0
1544,2832,0
1548,2836,0
1546,2836,0
1551,2856,0
1550,2881,0
1550,2924,0
1545,2966,0
1542,3016,0
1540,3060,0
1539,3105,0
1540,3149,0
1537,3186,0
1535,3211,0
1532,3228,0
1529,3232,1
1458,2895,0
1455,2887,0
1455,2875,0
1463,2866,0
1481,2854,0
1503,2840,0
1527,2823,0
1553,2819,0
1576,2815,0
1594,2811,0
1612,2820,0
1623,2834,0
1633,2860,0
1636,2896,0
1634,2938,0
1633,2987,0
1628,3033,0
1623,3074,0
1618,3104,0
1617,3129,0
1620,3140,0
1624,3143,0
1633,3133,0
1647,3115,0
1661,3075,0
1677,3030,0
1696,2994,0
1713,2965,0
1727,2946,0
1740,2943,0
1748,2946,0
1755,2964,0
1759,2996,0
1757,3038,0
1754,3083,0
1752,3129,0
1749,3163,0
1750,3191,0
1750,3199,0
1754,3203,0
1759,3197,1
1811,3086,0
1812,3086,0
1816,3085,0
1825,3079,0
1838,3067,0
1853,3047,0
1869,3021,0
1884,2996,0
1895,2972,0
1902,2950,0
1906,2931,0
1906,2915,0
1901,2908,0
1893,2907,0
1881,2919,0
1862,2936,0
1847,2974,0
1835,3018,0
1824,3062,0
1816,3106,0
1817,3146,0
1824,3174,0
1838,3194,0
1857,3199,0
1884,3196,0
1909,3176,0
1936,3148,0
1959,3120,0
1973,3087,1
2204,2820,0
2206,2824,0
2205,2824,0
2203,2834,0
2200,2852,0
2195,2881,0
2187,2918,0
2179,2964,0
2172,3011,0
2168,3059,0
2164,3098,0
2164,3141,0
2162,3172,0
2164,3196,0
2167,3212,0
2174,3218,0
2181,3220,0
2189,3217,0
2202,3204,0
2219,3180,0
2242,3150,0
2264,3115,0
2282,3087,0
2296,3064,0
2308,3046,1
2318,2945,0
2324,2942,0
2340,2935,0
2357,2932,0
2377,2931,0
2396,2931,0
2408,2934,0
2417,2938,0
2420,2946,0
2417,2957,0
2408,2975,0
2393,2999,0
2376,3029,0
2349,3059,0
2325,3100,0
2303,3139,0
2285,3176,0
2273,3198,0
2275,3215,0
2282,3224,0
2294,3223,0
2306,3206,0
2325,3182,0
2346,3146,0
2367,3103,0
2383,3056,0
2402,3017,0
2419,2992,0
2427,2973,0
2433,2976,0
2433,2980,0
2432,3006,0
2425,3046,0
2417,3090,0
2410,3132,0
2400,3167,0
2398,3198,0
2396,3221,0
2398,3228,0
2405,3230,0
2412,3218,1
2521,2869,0
2521,2868,0
2522,2867,0
2523,2872,0
2522,2885,0
2520,2914,0
2516,2952,0
2507,2993,0
2502,3040,0
2493,3080,0
2488,3117,0
2486,3149,0
2485,3168,0
2485,3173,0
2488,3175,0
2490,3174,0
2490,3160,0
2497,3135,0
2507,3100,0
2521,3066,0
2533,3033,0
2552,3010,0
2571,2991,0
2587,2973,0
2606,2967,0
2623,2972,0
2639,2987,0
2645,3006,0
2647,3033,0
2642,3066,0
2628,3096,0
2610,3128,0
2589,3153,0
2562,3170,0
2536,3184,0
2513,3190,0
2493,3186,0
2483,3182,0
2475,3173,0
2474,3160,0
2476,3141,1
2767,2939,0
2764,2936,0
2761,2934,0
2755,2932,0
2750,2936,0
2742,2950,0
2726,2968,0
2714,2999,0
2701,3029,0
2697,3069,0
2690,3099,0
2687,3124,0
2692,3148,0
2697,3160,0
2700,3158,0
2709,3158,0
2716,3136,0
2726,3107,0
2737,3069,0
2757,3030,0
2774,2987,0
2795,2960,0
2806,2934,0
2818,2927,0
2821,2924,0
2828,2935,0
2825,2955,0
2824,2994,0
2817,3030,0
2812,3071,0
2808,3106,0
2809,3133,0
2815,3148,0
2827,3155,0
2844,3155,0
2859,3141,0
2877,3112,0
2895,3073,0
2909,3030,0
2926,3001,0
2935,2975,0
2941,2961,0
2944,2960,0
2945,2963,0
2943,2975,0
2942,3008,0
2940,3049,0
2941,3086,0
2944,3117,0
2947,3144,0
2949,3156,0
2951,3165,0
2956,3165,1
3023,3002,0
3025,3001,0
3028,3004,0
3031,3021,0
3035,3048,0
3035,3076,0
3034,3102,0
3034,3126,0
3031,3137,0
3037,3143,0
3037,3142,0
3038,3137,0
3041,3120,0
3047,3093,0
3048,3054,0
3053,3021,0
3062,2990,0
3068,2966,0
3078,2950,0
3083,2936,0
3094,2933,0
3098,2930,0
3102,2932,0
3103,2931,0
3105,2934,0
3105,2935,0
3107,2938,0
3106,2939,0
3107,2943,1
3314,2941,0
3310,2954,0
3315,2986,0
3316,3021,0
3318,3065,0
3317,3112,0
3315,3163,0
3310,3211,0
3307,3257,0
3305,3303,0
3304,3338,0
3308,3375,0
3308,3399,0
3308,3413,0
3312,3421,0
3316,3422,0
3317,3413,1
3308,2976,0
3304,2969,0
3311,2948,0
3322,2934,0
3337,2918,0
3356,2907,0
3378,2904,0
3395,2905,0
3407,2915,0
3419,2937,0
3425,2964,0
3420,2994,0
3409,3033,0
3394,3077,0
3369,3116,0
3349,3157,0
3325,3186,0
3303,3206,0
3288,3222,0
3271,3225,0
3267,3228,0
3259,3223,0
3261,3217,0
3266,3204,1
3493,2936,1
3513,2929,0
3523,2932,0
3533,2939,0
3546,2955,0
3554,2973,0
3561,2994,0
3561,3010,0
3569,3025,0
3573,3032,0
3573,3033,0
3573,3033,0
3571,3033,0
3560,3027,0
3547,3023,0
3533,3024,0
3517,3028,0
3498,3038,0
3479,3054,0
3460,3075,0
3444,3103,0
3438,3133,0
3441,3157,0
3445,3168,0
3455,3171,0
3470,3169,0
3491,3158,0
3512,3130,0
3532,3098,1
3607,2953,0
3607,2970,0
3607,2992,0
3604,3021,0
3604,3058,0
3601,3092,0
3599,3125,0
3594,3151,0
3592,3168,0
3592,3173,0
3592,3173,0
3594,3171,0
3596,3159,0
3595,3129,0
3600,3098,0
3610,3063,0
3621,3026,0
3641,2993,0
3659,2955,0
3679,2919,0
3704,2890,0
3722,2862,0
3740,2844,0
3757,2832,0
3765,2825,0
3771,2824,0
3775,2826,0
3773,2828,0
3768,2839,0
3758,2860,0
3749,2891,0
3741,2926,0
3732,2967,0
3727,3011,0
3727,3055,0
3728,3092,0
3735,3123,0
3746,3141,0
3756,3147,0
3764,3145,0
3777,3139,1
3692,3064,0
3679,3066,0
3675,3064,0
3677,3063,0
3684,3056,0
3698,3039,0
3719,3019,0
3740,2994,0
3764,2971,0
3788,2948,0
3813,2929,0
3838,2916,0
3853,2906,0
3859,2906,0
3860,2910,0
3854,2928,0
3850,2960,0
3840,2997,0
3835,3042,0
3830,3085,0
3827,3120,0
3834,3146,0
3841,3162,0
3854,3165,0
3874,3164,0
3891,3141,0
3913,3115,0
3935,3083,0
3950,3051,0
3959,3019,0
3972,2995,0
3984,2977,0
3988,2962,0
3993,2958,0
3993,2958,0
3991,2959,0
3990,2972,0
3988,3001,0
3983,3040,0
3980,3085,0
3975,3134,0
3971,3189,0
3962,3235,0
3957,3289,0
3946,3337,0
3928,3375,0
3916,3406,0
3898,3427,0
3882,3436,0
3868,3443,0
3860,3444,0
3855,3443,0
3855,3443,1
4131,3107,0
4131,3119,0
4128,3134,0
4134,3161,0
4138,3187,0
4138,3209,0
4139,3231,0
4139,3254,0
4134,3270,1
4244,2950,0
4260,2938,0
4279,2927,0
4298,2918,0
4317,2914,0
4340,2917,0
4356,2924,0
4369,2934,0
4379,2946,0
4381,2955,0
4384,2965,0
4377,2974,0
4365,2987,0
4348,3006,0
4328,3030,0
4306,3054,0
4285,3084,0
4266,3115,0
4253,3148,0
4246,3177,0
4243,3199,0
4247,3212,0
4251,3214,0
4261,3209,0
4278,3192,0
4292,3158,0
4311,3115,0
4326,3069,0
4342,3038,0
4352,3019,0
4355,3011,0
4355,3011,0
4358,3013,0
4357,3028,0
4357,3057,0
4352,3093,0
4352,3134,0
4349,3168,0
4348,3199,0
4345,3219,0
4341,3228,1
4496,2917,0
4496,2917,0
4490,2919,0
4480,2931,0
4470,2955,0
4463,2989,0
4463,3026,0
4470,3062,0
4473,3095,0
4480,3123,0
4488,3151,0
4497,3177,0
4499,3192,0
4500,3204,0
4498,3211,0
4492,3212,0
4490,3214,0
4485,3214,0
4482,3212,0
4483,3211,0
4479,3202,1
4754,2930,0
4750,2930,0
4746,2929,0
4746,2934,0
4748,2952,0
4750,2982,0
4750,3022,0
4750,3067,0
4742,3109,0
4736,3142,0
4733,3158,0
4735,3163,0
4736,3160,0
4745,3143,0
4757,3110,0
4770,3074,0
4782,3047,0
4789,3036,0
4794,3037,0
4799,3044,0
4806,3061,0
4816,3088,0
4823,3117,0
4830,3147,0
4838,3176,0
4840,3197,0
4847,3208,0
4850,3210,0
4854,3211,0
4852,3203,0
4856,3177,0
4864,3141,0
4874,3095,0
4891,3055,0
4901,3021,0
4912,2999,0
4913,2977,0
4917,2966,0
4922,2959,0
4924,2957,0
4926,2960,1
4946,3102,0
4962,3100,0
4975,3089,0
4993,3071,0
5009,3049,0
5024,3022,0
5038,2997,0
5044,2975,0
5040,2958,0
5038,2947,0
5035,2946,0
5019,2948,0
5004,2962,0
4987,2986,0
4967,3020,0
4957,3061,0
4951,3100,0
4960,3136,0
4969,3156,0
4987,3167,0
5011,3173,0
5031,3161,0
5056,3148,0
5079,3124,0
5095,3095,1
5323,2824,0
5322,2825,0
5322,2825,0
5323,2829,0
5329,2843,0
5326,2870,0
5323,2906,0
5315,2946,0
5307,2994,0
5299,3042,0
5294,3092,0
5284,3134,0
5282,3171,0
5274,3197,0
5270,3214,0
5268,3225,0
5265,3222,1
5437,2912,0
5431,2914,0
5418,2919,0
5406,2931,0
5390,2949,0
5371,2970,0
