mink coats which, it seemed,
738
877,4683,0
879,4684,0
879,4688,0
878,4683,0
872,4695,0
866,4715,0
856,4743,0
843,4758,0
830,4782,0
821,4797,0
812,4805,0
802,4816,0
798,4816,0
796,4816,0
793,4808,0
798,4788,0
808,4765,0
822,4729,0
841,4698,0
868,4668,0
904,4633,0
938,4610,0
964,4595,0
982,4591,0
993,4607,0
966,4683,0
954,4715,0
930,4738,0
912,4761,0
905,4770,0
902,4777,0
908,4765,0
916,4745,0
934,4714,0
985,4647,0
1014,4620,0
1041,4593,0
1058,4589,0
1066,4589,0
1071,4604,0
1065,4632,0
1054,4669,0
1047,4704,0
1042,4736,0
1033,4760,0
1036,4780,0
1039,4792,0
1052,4796,0
1066,4792,0
1087,4780,0
1112,4760,0
1136,4740,0
1154,4712,0
1189,4703,0
1211,4674,0
1229,4658,0
1240,4638,0
1247,4633,0
1251,4633,0
1246,4645,0
1235,4666,0
1218,4694,0
1206,4719,0
1201,4739,0
1197,4751,0
1201,4763,0
1211,4767,0
1224,4775,0
1236,4770,0
1256,4765,0
1281,4756,0
1305,4734,0
1337,4721,0
1363,4691,0
1388,4666,0
1409,4640,0
1426,4619,0
1441,4606,0
1448,4601,0
1448,4597,0
1448,4606,0
1439,4622,0
1422,4652,0
1398,4673,0
1380,4707,0
1360,4719,0
1348,4741,0
1341,4745,0
1344,4757,0
1343,4745,0
1352,4740,0
1363,4719,0
1379,4690,0
1403,4669,0
1428,4647,0
1471,4647,0
1473,4663,0
1469,4695,0
1459,4724,0
1450,4729,0
1452,4750,0
1456,4749,0
1466,4756,0
1485,4750,1
1689,4442,0
1684,4446,0
1681,4446,0
1680,4467,0
1669,4497,0
1656,4539,0
1636,4573,0
1619,4612,0
1602,4646,0
1574,4706,0
1567,4723,0
1561,4739,1
1722,4614,0
1730,4613,0
1724,4610,0
1705,4617,0
1671,4629,0
1633,4650,0
1603,4678,0
1589,4704,0
1590,4724,0
1600,4735,0
1624,4741,0
1655,4736,0
1689,4732,1
1242,4465,0
1237,4469,0
1235,4470,0
1231,4454,0
1227,4434,1
2114,4634,0
2106,4624,0
2106,4636,0
2094,4626,0
2088,4636,0
2073,4635,0
2063,4642,0
2047,4649,0
2027,4666,0
2005,4683,0
1984,4707,0
1971,4730,0
1962,4743,0
1966,4772,0
1972,4783,0
1986,4796,0
2000,4798,0
2026,4804,0
2048,4792,0
2082,4785,0
2114,4770,0
2146,4753,0
2178,4738,0
2208,4727,0
2228,4701,0
2246,4700,0
