&quot;But, they &apos;re safe, are they?
735
984,1132,0
1009,1155,0
1010,1154,0
1007,1154,0
1006,1175,0
1006,1202,0
1000,1230,0
998,1258,0
998,1274,1
1116,1136,0
1107,1156,0
1108,1184,0
1090,1221,0
1087,1261,0
1079,1297,0
1077,1337,0
1071,1365,0
1069,1393,1
1013,1171,0
1005,1166,0
999,1158,0
999,1158,0
999,1158,0
1001,1162,0
1003,1178,0
998,1198,0
998,1230,0
991,1254,0
985,1274,0
979,1288,0
977,1300,1
1284,1218,0
1278,1223,0
1271,1236,0
1265,1258,0
1283,1283,0
1281,1316,0
1280,1356,0
1274,1394,0
1269,1435,0
1242,1475,0
1242,1507,0
1245,1527,0
1257,1541,0
1267,1540,0
1287,1537,0
1307,1522,0
1351,1493,0
1375,1459,0
1394,1426,0
1404,1399,0
1412,1368,0
1412,1347,0
1409,1323,0
1397,1306,0
1381,1298,0
1361,1295,0
1341,1295,0
1324,1299,0
1315,1301,0
1307,1307,0
1314,1310,0
1325,1315,0
1343,1312,0
1360,1303,0
1371,1292,0
1399,1272,0
1423,1248,0
1442,1225,0
1455,1204,0
1456,1182,0
1448,1164,0
1435,1155,0
1409,1152,0
1380,1161,0
1351,1178,0
1326,1200,0
1310,1225,0
1305,1250,0
1307,1271,1
1512,1315,0
1508,1316,0
1506,1325,0
1499,1336,0
1493,1356,0
1486,1380,0
1480,1406,0
1497,1426,0
1503,1449,0
1506,1465,0
1517,1474,0
1530,1469,0
1550,1458,0
1570,1442,0
1590,1417,0
1582,1399,0
1595,1372,0
1608,1353,0
1610,1334,0
1610,1326,0
1607,1322,0
1604,1324,0
1602,1334,0
1592,1351,0
1588,1379,0
1585,1406,0
1587,1435,0
1617,1453,0
1630,1470,0
1645,1476,0
1669,1479,0
1692,1469,0
1720,1455,0
1747,1428,0
1777,1402,0
1804,1368,0
1820,1344,0
1818,1326,0
1827,1301,0
1834,1281,0
1837,1266,0
1838,1255,0
1837,1250,0
1830,1246,0
1833,1249,0
1831,1251,0
1830,1260,0
1829,1281,0
1827,1305,0
1823,1332,0
1821,1363,0
1814,1389,0
1809,1416,0
1806,1441,0
1805,1464,0
1804,1483,0
1802,1493,0
1802,1493,0
1802,1493,0
1804,1493,0
1802,1484,0
1799,1468,0
1793,1448,0
1791,1435,0
1809,1407,0
