point, isn&apos;t it?&quot; No, but I
630
902,3008,0
895,3011,0
890,3026,0
885,3054,0
881,3086,0
878,3122,0
873,3169,0
864,3221,0
858,3277,0
845,3324,0
832,3363,0
825,3387,0
822,3394,0
822,3390,0
821,3370,0
818,3329,0
820,3290,0
822,3246,0
825,3198,0
835,3158,0
847,3115,0
863,3077,0
883,3054,0
904,3035,0
926,3021,0
950,3022,0
971,3023,0
988,3031,0
996,3052,0
993,3071,0
979,3095,0
957,3118,0
931,3145,0
904,3163,0
880,3182,0
863,3193,0
856,3200,0
857,3196,0
867,3197,0
889,3187,0
921,3176,0
961,3158,0
1004,3139,0
1045,3121,0
1083,3105,0
1114,3084,0
1137,3069,0
1150,3059,0
1151,3056,0
1147,3056,0
1132,3064,0
1109,3081,0
1089,3108,0
1071,3136,0
1062,3165,0
1061,3185,0
1068,3205,0
1083,3216,0
1101,3221,0
1122,3216,0
1145,3208,0
1164,3192,0
1179,3171,0
1187,3147,0
1189,3127,0
1184,3107,0
1172,3087,0
1157,3076,0
1141,3072,0
1126,3068,0
1124,3076,0
1124,3076,0
1134,3081,0
1153,3084,0
1179,3083,0
1213,3078,0
1252,3076,0
1287,3062,0
1319,3051,0
1344,3041,0
1360,3030,0
1366,3026,0
1365,3027,0
1360,3023,0
1352,3032,0
1340,3045,0
1328,3066,0
1319,3087,0
1319,3115,0
1324,3139,0
1335,3162,0
1352,3185,0
1371,3198,0
1394,3212,0
1414,3214,0
1434,3216,0
1447,3211,0
1457,3206,0
1462,3197,0
1462,3180,0
1460,3157,1
1429,2951,0
1426,2951,0
1424,2947,0
1426,2947,0
1434,2954,1
1488,3060,0
1493,3088,0
1498,3119,0
1499,3139,0
1498,3156,0
1498,3168,0
1502,3179,0
1520,3173,0
1535,3154,0
1553,3127,0
1574,3100,0
1592,3071,0
1613,3055,0
1627,3041,0
1638,3035,0
1645,3034,0
1655,3048,0
1662,3067,0
1667,3091,0
1676,3121,0
1686,3144,0
1697,3158,0
1710,3163,0
1728,3168,0
1746,3160,0
1768,3146,0
1791,3112,0
1818,3072,0
1844,3032,0
1868,2996,0
1887,2962,0
1902,2933,0
1911,2914,0
1913,2905,0
1912,2905,0
1911,2910,0
1903,2929,0
1895,2960,0
1886,2996,0
1877,3036,0
1868,3076,0
1862,3110,0
1858,3136,0
1857,3153,0
1856,3157,0
1857,3157,0
1855,3149,0
1853,3141,0
1850,3127,0
1846,3110,0
1838,3092,0
1831,3081,0
1822,3071,0
1818,3068,0
1819,3068,0
1824,3071,0
1836,3076,0
1858,3083,0
1888,3087,0
1924,3093,0
1960,3095,0
1994,3093,0
2022,3089,0
2045,3086,1
2121,3169,0
2115,3184,0
2106,3208,0
2096,3236,0
2088,3269,0
2082,3296,0
2082,3317,0
2084,3329,0
2089,3323,1
2333,3078,0
2325,3100,0
2319,3124,0
2316,3146,0
2320,3171,0
2327,3189,0
2337,3198,0
2351,3205,0
2366,3203,0
2384,3200,0
2398,3189,0
2421,3179,0
2438,3159,0
2459,3141,0
2475,3119,0
2487,3100,0
2500,3086,0
2508,3072,0
2516,3064,0
2519,3058,0
2524,3056,0
2532,3061,0
2536,3063,0
2547,3076,0
2557,3088,0
2562,3099,0
2567,3119,0
2565,3138,0
2561,3158,0
2551,3176,0
2544,3193,0
2538,3201,0
2536,3206,0
2536,3205,0
2548,3209,0
2563,3201,0
2584,3187,0
2611,3168,0
2643,3148,0
2673,3122,0
2702,3098,0
2729,3078,0
2751,3061,0
2765,3043,0
2771,3035,0
2771,3035,0
2770,3035,0
2767,3042,0
2762,3059,0
2755,3081,0
2750,3112,0
2745,3138,0
2741,3163,0
2743,3185,0
2743,3193,0
2749,3200,0
2755,3201,0
2765,3199,0
2775,3185,0
2790,3168,0
2806,3144,0
2825,3124,0
2840,3106,0
2852,3088,0
2866,3081,0
2878,3082,0
2884,3083,0
2888,3091,0
2890,3108,0
2892,3131,0
2893,3158,0
2897,3179,0
2903,3199,0
2910,3209,0
2919,3212,0
2933,3209,0
2950,3193,1
3094,2929,0
3098,2930,0
3098,2930,0
3100,2934,0
3100,2948,0
3099,2969,0
3094,2992,0
3092,3018,0
3093,3047,1
3284,2981,0
3281,2977,0
3285,2980,0
3279,2984,0
3271,3000,0
3260,3024,0
3249,3052,0
3235,3083,0
3226,3119,0
3217,3151,0
3214,3177,0
3211,3189,0
3214,3196,0
3216,3195,0
3219,3192,0
3223,3180,0
3224,3165,1
3207,3103,0
3207,3103,0
3209,3103,0
3215,3107,0
3233,3114,0
3264,3121,0
3305,3125,0
3342,3122,1
2427,2979,0
2417,2979,0
2415,2980,0
2417,2979,0
2432,2980,1
3508,3060,0
3508,3071,0
3505,3085,0
3498,3105,0
3495,3129,0
3492,3151,0
3489,3170,0
3492,3188,0
3503,3204,0
3518,3213,0
3535,3214,0
3561,3214,0
3586,3204,0
3614,3187,0
3643,3167,0
3667,3140,0
3689,3115,0
3713,3094,0
3729,3074,0
3735,3058,0
3741,3052,0
3737,3050,0
3736,3052,0
3736,3057,0
3733,3071,0
3729,3091,0
3728,3114,0
3723,3134,0
3723,3155,0
3725,3170,0
