industrial design, in Petty France, for
854
1096,3537,0
1093,3532,0
1094,3540,0
1094,3549,0
1094,3573,0
1088,3653,0
1093,3692,0
1097,3720,0
1100,3736,0
1101,3737,0
1102,3732,0
1103,3716,1
1084,3448,0
1078,3445,0
1078,3449,0
1077,3452,0
1078,3456,0
1081,3460,0
1087,3468,0
1097,3484,0
1111,3496,1
1160,3524,0
1160,3527,0
1161,3535,0
1160,3556,0
1157,3588,0
1158,3628,0
1161,3660,0
1167,3687,0
1175,3703,0
1177,3703,0
1179,3699,0
1185,3695,0
1192,3683,0
1194,3655,0
1198,3623,0
1204,3598,0
1210,3574,0
1214,3570,0
1218,3569,0
1223,3581,0
1228,3602,0
1233,3633,0
1232,3661,0
1230,3685,0
1231,3701,0
1238,3713,0
1249,3708,0
1270,3703,0
1295,3678,1
1369,3576,0
1370,3572,0
1375,3560,0
1380,3555,0
1380,3547,0
1375,3544,0
1369,3544,0
1358,3545,0
1345,3558,0
1329,3579,0
1315,3609,0
1305,3641,0
1304,3665,0
1312,3681,0
1327,3684,0
1346,3678,0
1370,3665,0
1392,3647,0
1409,3621,0
1421,3596,0
1423,3563,1
1382,3455,0
1382,3459,0
1382,3467,0
1382,3474,0
1384,3495,0
1382,3515,0
1385,3547,0
1387,3579,0
1394,3618,0
1399,3642,0
1404,3658,0
1407,3665,0
1409,3669,0
1409,3665,0
1409,3669,0
1409,3670,0
1408,3669,0
1408,3669,0
1408,3669,0
1407,3665,0
1409,3669,0
1411,3665,0
1415,3665,0
1418,3656,1
1463,3571,0
1459,3572,0
1459,3584,0
1455,3600,0
1452,3629,0
1452,3653,0
1464,3668,0
1482,3674,0
1508,3670,0
1539,3655,0
1568,3630,0
1590,3607,0
1600,3585,0
1602,3573,0
1592,3562,0
1580,3556,0
1565,3550,0
1552,3551,0
1545,3553,0
1546,3561,0
1551,3564,1
1681,3539,0
1680,3539,0
1680,3539,0
1677,3536,0
1668,3533,0
1655,3532,0
1638,3530,0
1625,3537,0
1613,3543,0
1609,3551,0
1611,3555,0
1619,3562,0
1637,3571,0
1658,3584,0
1679,3597,0
1700,3609,0
1713,3624,0
1717,3634,0
1710,3640,0
1695,3650,0
1671,3663,0
1644,3672,0
1624,3679,0
1607,3673,0
1598,3667,0
1591,3651,0
1592,3635,0
1599,3618,0
1609,3596,1
1732,3444,0
1730,3445,0
1727,3445,0
1726,3458,0
1729,3489,0
1727,3523,0
1730,3567,0
1732,3603,0
1738,3634,0
1744,3653,0
1747,3658,0
1750,3660,0
1750,3660,1
1695,3544,0
1696,3544,0
1707,3538,0
1725,3535,0
1748,3531,0
1772,3525,0
1797,3521,0
1818,3516,0
1831,3513,1
1790,3547,0
1791,3559,0
1793,3579,0
1798,3602,0
1805,3625,0
1812,3641,0
1817,3651,0
1821,3655,0
1819,3651,0
1819,3651,0
1813,3640,0
1804,3621,0
1800,3602,0
1799,3578,0
1806,3563,0
1812,3554,0
1821,3553,0
1836,3554,0
1851,3554,0
1867,3554,1
1928,3547,0
1926,3544,0
1928,3551,0
1926,3561,0
1926,3589,0
1925,3618,0
1926,3643,0
1930,3659,0
1935,3665,0
1940,3668,0
1944,3663,0
1947,3655,0
1944,3634,1
1888,3455,0
1888,3459,0
1890,3462,0
1896,3469,0
1906,3475,1
2065,3573,0
2067,3573,0
2072,3571,0
2075,3566,0
2074,3557,0
2071,3554,0
2065,3552,0
2050,3549,0
2035,3552,0
2017,3557,0
2000,3570,0
1983,3588,0
1968,3607,0
1967,3629,0
1973,3635,0
1990,3643,0
2008,3638,0
2030,3636,0
2048,3628,0
2063,3615,0
2076,3607,0
2080,3597,0
2082,3597,0
2078,3594,0
2078,3598,0
2075,3600,0
2074,3604,0
2076,3624,0
2076,3640,0
2078,3652,0
2082,3660,0
2084,3659,0
2087,3658,0
2090,3657,0
2094,3652,0
2097,3643,0
2101,3629,1
2116,3482,0
2116,3483,0
2116,3483,0
2112,3479,0
2114,3483,0
2115,3491,0
2116,3499,0
2122,3522,0
2124,3547,0
2130,3579,0
2133,3607,0
2140,3638,0
2145,3658,0
2150,3673,0
2153,3676,0
2157,3679,0
2161,3678,1
2487,3525,0
2485,3518,0
2480,3511,0
2473,3510,0
2461,3510,0
2440,3510,0
2420,3518,0
2398,3532,0
2376,3549,0
2367,3573,0
2367,3599,0
2373,3614,0
2388,3621,0
2415,3627,0
2449,3624,0
2479,3607,0
2509,3590,1
2478,3456,0
2476,3460,0
2473,3458,0
2476,3465,0
