show. &quot;To think,&quot; I said to him one day,
734
637,3216,0
615,3206,0
598,3199,0
575,3195,0
544,3198,0
510,3204,0
481,3218,0
459,3235,0
453,3250,0
462,3256,0
487,3269,0
524,3280,0
562,3298,0
595,3320,0
617,3339,0
620,3360,0
611,3378,0
598,3393,0
576,3402,0
545,3409,0
511,3411,0
480,3409,0
453,3404,0
438,3397,0
436,3389,1
654,3086,1
641,3084,0
641,3088,0
647,3113,0
657,3167,0
668,3221,0
673,3283,0
678,3335,0
680,3375,0
686,3388,0
688,3389,0
688,3389,0
688,3389,0
687,3368,0
689,3329,0
701,3281,0
716,3251,0
728,3237,0
740,3243,0
752,3255,0
764,3277,0
776,3310,0
787,3339,0
792,3356,0
796,3376,1
844,3239,0
827,3262,0
816,3293,0
819,3326,0
832,3346,0
852,3361,0
872,3362,0
896,3359,0
918,3349,0
933,3329,0
941,3309,0
937,3290,0
926,3269,0
907,3252,0
884,3243,0
863,3245,0
846,3252,1
1008,3267,0
1001,3264,0
1000,3264,0
998,3264,0
998,3284,0
1003,3324,0
1010,3351,0
1016,3368,0
1023,3376,0
1031,3373,0
1040,3372,0
1045,3360,0
1045,3344,0
1045,3320,0
1049,3300,0
1052,3292,0
1056,3300,0
1066,3320,0
1078,3349,0
1087,3365,0
1095,3373,0
1105,3376,0
1112,3377,0
1114,3364,0
1118,3352,0
1123,3329,0
1129,3300,0
1135,3269,0
1137,3257,0
1137,3257,0
1137,3257,0
1138,3260,0
1141,3268,1
1291,3381,0
1290,3382,0
1293,3382,0
1299,3385,0
1302,3389,1
1617,2953,0
1614,2954,0
1611,2954,0
1610,2959,0
1614,2978,0
1620,2997,0
1628,3012,0
1637,3018,0
1649,3029,1
1657,2953,0
1652,2955,0
1652,2966,0
1652,2980,0
1655,2990,0
1664,3005,0
1674,3015,0
1689,3033,0
1699,3042,1
1925,3052,0
1921,3057,0
1917,3079,0
1923,3118,0
1928,3150,0
1939,3189,0
1945,3221,0
1952,3252,0
1957,3275,0
1963,3291,0
1966,3297,0
1968,3301,0
1961,3295,1
1796,3062,1
1806,3067,0
1829,3061,0
1864,3047,0
1905,3028,0
1953,3013,0
1998,3004,0
2034,3004,0
2062,3016,1
2041,3158,0
2018,3182,0
2010,3218,0
2019,3245,0
2034,3257,0
2055,3267,0
2077,3272,0
2101,3273,0
2123,3266,0
2145,3258,0
2162,3244,0
2173,3228,0
2174,3205,0
2168,3186,0
2153,3167,0
2134,3156,0
2112,3151,1
2316,3025,0
2313,3021,0
2314,3025,0
2316,3038,0
2320,3071,0
2327,3112,0
2336,3159,0
2340,3197,0
2342,3226,0
2345,3242,0
2354,3260,0
2358,3263,0
2356,3259,1
2282,3134,0
2277,3132,0
2279,3132,0
2286,3133,0
2299,3127,0
2322,3122,0
2345,3112,0
2370,3101,0
2391,3083,1
2396,3024,0
2393,3025,0
2392,3030,0
2389,3049,0
2391,3097,0
2393,3148,0
2397,3194,0
2403,3231,0
2405,3252,0
2409,3263,0
2409,3263,0
2409,3263,0
2408,3255,0
2410,3233,0
2415,3199,0
2428,3172,0
2439,3162,0
2448,3163,0
2461,3178,0
2471,3197,0
2480,3219,0
2487,3238,0
2492,3252,0
2496,3264,1
2541,3176,0
2538,3187,0
2533,3203,0
2534,3228,0
2534,3251,0
2538,3271,0
2544,3282,0
2549,3288,0
2548,3284,1
2543,3122,1
2608,3188,0
2603,3186,0
2608,3201,0
2613,3226,0
2615,3257,0
2617,3281,0
2618,3290,0
2620,3290,0
2623,3292,0
2625,3292,0
2623,3279,0
2622,3252,0
2629,3223,0
2634,3192,0
2648,3181,0
2662,3178,0
2678,3183,0
2696,3197,0
2714,3218,0
2726,3244,0
2732,3268,0
2735,3289,0
2734,3298,0
2738,3305,0
2746,3310,1
2838,3176,0
2835,3174,0
2835,3170,0
2849,3165,0
2865,3146,0
2884,3122,0
2898,3093,0
2911,3076,0
2912,3057,0
2908,3040,0
2902,3025,0
2890,3013,0
2872,3002,0
2851,2996,0
2832,2998,0
2817,3008,0
2799,3023,0
2787,3049,0
2782,3079,0
2779,3110,0
2784,3148,0
2791,3189,0
2799,3231,0
2805,3264,0
2812,3288,0
2813,3292,0
2811,3293,0
2808,3291,0
2808,3291,0
2801,3276,0
2797,3255,0
2798,3228,0
2806,3200,0
2822,3177,0
2846,3158,0
2876,3150,0
2904,3151,0
2927,3165,0
2937,3177,0
2934,3189,0
2927,3207,0
2913,3226,0
2893,3233,0
2877,3238,0
2859,3239,0
2844,3238,0
2844,3242,0
2844,3242,0
2854,3251,0
2873,3267,0
2897,3277,0
2926,3288,0
2951,3296,0
2967,3300,0
2980,3306,0
2982,3305,0
2984,3308,0
2984,3309,0
2981,3310,0
2980,3316,0
2972,3320,1
3081,3285,0
3083,3289,0
3087,3306,0
3100,3335,0
3105,3360,0
3103,3381,0
3094,3405,0
3081,3427,0
3069,3440,1
3218,3005,0
3216,3008,0
3213,3025,0
3207,3043,0
3205,3059,0
3206,3069,0
3209,3076,0
